benchmark,modality,run_id,run_name,created_at,state,test_auroc,test_ap,test_f1,notes,raw_note,masking_ratio,noise_level,param_combo,category,masking_behavior
ucsf_pdgm_idh_classification,t1c,7244937638.64192-d8526827-1689,resenc_MDAE_pretrained_t1c_2025-08-13_11-34-25,2025-08-13T05:21:33Z,finished,0.8589743375778198,0.8220474123954773,0.6880720257759094,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M25_N50 pretrained on ucsf_pdgm idh_classification with t1c,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M25_N50 pretrained on ucsf_pdgm idh_classification with t1c,25,50,M25_N50,Fixed Masking,Fixed at M%
ucsf_pdgm_idh_classification,t1c,7244937551.61255-d6c0422b-bcbc,resenc_MDAE_pretrained_t1c_2025-08-13_05-43-13,2025-08-13T05:23:03Z,finished,0.8635531663894653,0.8331754803657532,0.7077831029891968,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M25_N75 pretrained on ucsf_pdgm idh_classification with t1c,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M25_N75 pretrained on ucsf_pdgm idh_classification with t1c,25,75,M25_N75,Fixed Masking,Fixed at M%
ucsf_pdgm_idh_classification,t1c,7244937467.04694-f1e7286c-8e74,resenc_MDAE_pretrained_t1c_2025-08-13_05-42-35,2025-08-13T05:25:35Z,finished,0.7747252583503723,0.7122983932495117,0.7605224847793579,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M25_N100 pretrained on ucsf_pdgm idh_classification with t1c,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M25_N100 pretrained on ucsf_pdgm idh_classification with t1c,25,100,M25_N100,Fixed Masking,Fixed at M%
ucsf_pdgm_idh_classification,t1c,7244937378.99248-cea613c3-b0be,resenc_MDAE_pretrained_t1c_2025-08-13_05-26-11,2025-08-13T05:26:40Z,finished,0.8052502870559692,0.7293871641159058,0.7283951044082642,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M50_N25 pretrained on ucsf_pdgm idh_classification with t1c,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M50_N25 pretrained on ucsf_pdgm idh_classification with t1c,50,25,M50_N25,Fixed Masking,Fixed at M%
ucsf_pdgm_idh_classification,t1c,7244937721.75390-472cb92a-27d3,resenc_MDAE_pretrained_t1c_2025-08-13_05-27-19,2025-08-13T05:27:45Z,finished,0.7716727256774902,0.7286933660507202,0.6645331382751465,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M25_N25 pretrained on ucsf_pdgm idh_classification with t1c,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M25_N25 pretrained on ucsf_pdgm idh_classification with t1c,25,25,M25_N25,Fixed Masking,Fixed at M%
ucsf_pdgm_idh_classification,t1c,7244937287.34851-9d45bc44-cf64,resenc_MDAE_pretrained_t1c_2025-08-13_05-29-38,2025-08-13T05:30:07Z,finished,0.7789987325668335,0.7306986451148987,0.684237003326416,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M50_N50 pretrained on ucsf_pdgm idh_classification with t1c,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M50_N50 pretrained on ucsf_pdgm idh_classification with t1c,50,50,M50_N50,Fixed Masking,Fixed at M%
ucsf_pdgm_idh_classification,t1c,7244937206.54143-d23a2b10-105f,resenc_MDAE_pretrained_t1c_2025-08-13_05-29-39,2025-08-13T05:30:08Z,finished,0.8736263513565063,0.8342056274414062,0.7385427951812744,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M50_N75 pretrained on ucsf_pdgm idh_classification with t1c,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M50_N75 pretrained on ucsf_pdgm idh_classification with t1c,50,75,M50_N75,Fixed Masking,Fixed at M%
ucsf_pdgm_idh_classification,t1c,7244937119.12266-eafed629-fdbf,resenc_MDAE_pretrained_t1c_2025-08-13_05-30-04,2025-08-13T05:30:33Z,finished,0.7747253179550171,0.7469415664672852,0.6743420958518982,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M50_N100 pretrained on ucsf_pdgm idh_classification with t1c,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M50_N100 pretrained on ucsf_pdgm idh_classification with t1c,50,100,M50_N100,Fixed Masking,Fixed at M%
ucsf_pdgm_idh_classification,t1c,7244936801.96778-0cd444db-7274,resenc_MDAE_pretrained_t1c_2025-08-13_10-20-43,2025-08-13T05:36:42Z,finished,0.8064713478088379,0.761794924736023,0.7056757211685181,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M75_N75 pretrained on ucsf_pdgm idh_classification with t1c,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M75_N75 pretrained on ucsf_pdgm idh_classification with t1c,75,75,M75_N75,Fixed Masking,Fixed at M%
ucsf_pdgm_idh_classification,t1c,7244936637.58946-e0a93392-9e56,resenc_MDAE_pretrained_t1c_2025-08-13_05-42-24,2025-08-13T05:42:47Z,finished,0.8052502870559692,0.723966121673584,0.7069078683853149,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M95_N25 pretrained on ucsf_pdgm idh_classification with t1c,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M95_N25 pretrained on ucsf_pdgm idh_classification with t1c,95,25,M95_N25,Fixed Masking,Fixed at M%
ucsf_pdgm_idh_classification,t1c,7244937028.01072-e1d4c2e7-112d,resenc_MDAE_pretrained_t1c_2025-08-13_05-44-18,2025-08-13T05:44:51Z,finished,0.8046398162841797,0.7268707752227783,0.6749082803726196,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M75_N25 pretrained on ucsf_pdgm idh_classification with t1c,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M75_N25 pretrained on ucsf_pdgm idh_classification with t1c,75,25,M75_N25,Fixed Masking,Fixed at M%
ucsf_pdgm_idh_classification,t1c,7244936559.05788-cff2e6e0-c290,resenc_MDAE_pretrained_t1c_2025-08-13_05-46-07,2025-08-13T05:46:28Z,finished,0.8821733593940735,0.7916969060897827,0.7370129823684692,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M95_N50 pretrained on ucsf_pdgm idh_classification with t1c,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M95_N50 pretrained on ucsf_pdgm idh_classification with t1c,95,50,M95_N50,Fixed Masking,Fixed at M%
ucsf_pdgm_idh_classification,t1c,7244936721.67336-70de8183-d7ea,resenc_MDAE_pretrained_t1c_2025-08-13_05-47-20,2025-08-13T05:47:43Z,finished,0.8595848083496094,0.8207266330718994,0.6962785124778748,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M75_N100 pretrained on ucsf_pdgm idh_classification with t1c,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M75_N100 pretrained on ucsf_pdgm idh_classification with t1c,75,100,M75_N100,Fixed Masking,Fixed at M%
ucsf_pdgm_idh_classification,t1c,7244936921.87067-c59e809d-f28b,resenc_MDAE_pretrained_t1c_2025-08-13_05-52-36,2025-08-13T05:53:09Z,finished,0.8815628290176392,0.8247452974319458,0.7394737005233765,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M75_N50 pretrained on ucsf_pdgm idh_classification with t1c,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M75_N50 pretrained on ucsf_pdgm idh_classification with t1c,75,50,M75_N50,Fixed Masking,Fixed at M%
upenn_gbm_idh1_status,flair,7245355498.37060-4e91253b-339a,resenc_MDAE_pretrained_flair_2025-08-08_09-24-35,2025-08-08T09:25:02Z,finished,0.5886107087135315,0.5670344829559326,0.4511627852916717,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M25_N75 pretrained on upenn_gbm idh1_status with flair,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M25_N75 pretrained on upenn_gbm idh1_status with flair,25,75,M25_N75,Fixed Masking,Fixed at M%
upenn_gbm_idh1_status,flair,7245355554.06884-f42a1c67-d4d1,resenc_MDAE_pretrained_flair_2025-08-08_09-29-12,2025-08-08T09:29:53Z,finished,0.5822287797927856,0.5600985288619995,0.4511627852916717,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M25_N50 pretrained on upenn_gbm idh1_status with flair,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M25_N50 pretrained on upenn_gbm idh1_status with flair,25,50,M25_N50,Fixed Masking,Fixed at M%
upenn_gbm_idh1_status,flair,7245353724.68253-f319912d-dc1d,resenc_MDAE_pretrained_flair_2025-08-08_09-46-27,2025-08-08T09:47:09Z,finished,0.6273932456970215,0.5522050857543945,0.4511627852916717,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M50_N25 pretrained on upenn_gbm idh1_status with flair,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M50_N25 pretrained on upenn_gbm idh1_status with flair,50,25,M50_N25,Fixed Masking,Fixed at M%
upenn_gbm_idh1_status,flair,7245353669.05952-3bde8f72-31ce,resenc_MDAE_pretrained_flair_2025-08-08_09-47-33,2025-08-08T09:48:18Z,finished,0.4651448130607605,0.5210911631584167,0.4511627852916717,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M50_N50 pretrained on upenn_gbm idh1_status with flair,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M50_N50 pretrained on upenn_gbm idh1_status with flair,50,50,M50_N50,Fixed Masking,Fixed at M%
upenn_gbm_idh1_status,flair,7245353905.48600-682eacc5-f8a8,resenc_MDAE_pretrained_flair_2025-08-08_09-50-06,2025-08-08T09:50:32Z,finished,0.5991654396057129,0.5537269115447998,0.4511627852916717,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M25_N50 pretrained on upenn_gbm idh1_status with flair,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M25_N50 pretrained on upenn_gbm idh1_status with flair,25,50,M25_N50,Fixed Masking,Fixed at M%
upenn_gbm_idh1_status,flair,7245353961.70586-7b620fcd-c286,resenc_MDAE_pretrained_flair_2025-08-08_09-51-27,2025-08-08T09:51:58Z,finished,0.5819833278656006,0.57818603515625,0.4511627852916717,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M25_N25 pretrained on upenn_gbm idh1_status with flair,FlowMDAE FIXED Masking Ablation RESENC_FLOWMDAE_M25_N25 pretrained on upenn_gbm idh1_status with flair,25,25,M25_N25,Fixed Masking,Fixed at M%
