benchmark,modality,run_id,run_name,created_at,state,masking_ratio,noise_level,param_combo,test_auroc,test_ap,test_f1,test_balanced_acc,test_loss,val_auroc,val_ap,val_f1,train_auroc,train_loss,notes,category,masking_behavior
brats18_lgg_vs_hgg,flair,7245539686.27112-dad9cbf0-7ad7,resenc_MDAE_pretrained_flair_2025-08-06_06-11-01,2025-08-06T06:11:35Z,finished,25,50,M25_N50,0.5555555820465088,0.5521745681762695,0.4352134168148041,0.4333333373069763,0.7639187574386597,0.4793650805950165,0.5423030853271484,0.5258589386940002,0.9980599284172058,0.3583452403545379,FlowMDAE Ablation RESENC_FLOWMDAE_M25_N50 pretrained on brats18 lgg_vs_hgg with flair,Random Sampling,"Random [1%, M%]"
brats18_lgg_vs_hgg,flair,7245539623.47815-6b2a56b0-e97f,resenc_MDAE_pretrained_flair_2025-08-06_06-11-53,2025-08-06T06:12:28Z,finished,25,75,M25_N75,0.6507936716079712,0.6376133561134338,0.5370281934738159,0.5404762029647827,0.6213270425796509,0.476190447807312,0.5164105892181396,0.4316239356994629,0.9982362985610962,0.359708160161972,FlowMDAE Ablation RESENC_FLOWMDAE_M25_N75 pretrained on brats18 lgg_vs_hgg with flair,Random Sampling,"Random [1%, M%]"
brats18_lgg_vs_hgg,flair,7245539570.01227-3b523138-5a6c,resenc_MDAE_pretrained_flair_2025-08-06_06-12-39,2025-08-06T06:13:13Z,finished,25,100,M25_N100,0.3198412656784057,0.4343769550323486,0.4367588758468628,0.461904764175415,0.683811366558075,0.5079364776611328,0.5336169004440308,0.5398385524749756,0.994709014892578,0.3679887056350708,FlowMDAE Ablation RESENC_FLOWMDAE_M25_N100 pretrained on brats18 lgg_vs_hgg with flair,Random Sampling,"Random [1%, M%]"
brats18_lgg_vs_hgg,flair,7245539388.94357-e5ff69d3-a90b,resenc_MDAE_pretrained_flair_2025-08-06_06-15-33,2025-08-06T06:16:06Z,finished,50,75,M50_N75,0.5095238089561462,0.542116105556488,0.4183673560619354,0.488095223903656,0.6648317575454712,0.5428571701049805,0.5885494947433472,0.5398385524749756,0.9966490268707277,0.3576358556747436,FlowMDAE Ablation RESENC_FLOWMDAE_M50_N75 pretrained on brats18 lgg_vs_hgg with flair,Random Sampling,"Random [1%, M%]"
brats18_lgg_vs_hgg,flair,7245539330.55685-54974632-d34b,resenc_MDAE_pretrained_flair_2025-08-06_06-16-15,2025-08-06T06:16:48Z,finished,50,100,M50_N100,0.528571367263794,0.5287003517150879,0.5515734553337097,0.550000011920929,0.6747741103172302,0.5253968238830566,0.5615931749343872,0.4818181991577149,0.9934743642807008,0.3645038902759552,FlowMDAE Ablation RESENC_FLOWMDAE_M50_N100 pretrained on brats18 lgg_vs_hgg with flair,Random Sampling,"Random [1%, M%]"
brats18_lgg_vs_hgg,flair,7245539754.23225-adbe3766-57f7,resenc_MDAE_pretrained_flair_2025-08-06_06-16-48,2025-08-06T06:17:21Z,finished,25,25,M25_N25,0.5047619342803955,0.5179082155227661,0.4668911397457123,0.4666666984558105,0.8308411240577698,0.5111111402511597,0.5405583381652832,0.4477113485336304,0.9922398328781128,0.3642352223396301,FlowMDAE Ablation RESENC_FLOWMDAE_M25_N25 pretrained on brats18 lgg_vs_hgg with flair,Random Sampling,"Random [1%, M%]"
brats18_lgg_vs_hgg,flair,7245539100.71340-213b8f0f-3809,resenc_MDAE_pretrained_flair_2025-08-06_06-20-24,2025-08-06T06:21:03Z,finished,75,100,M75_N100,0.4507936239242553,0.4974658489227295,0.472222238779068,0.4833333194255829,0.7357947826385498,0.5317460298538208,0.5468966960906982,0.5670886039733887,0.990476131439209,0.3699240982532501,FlowMDAE Ablation RESENC_FLOWMDAE_M75_N100 pretrained on brats18 lgg_vs_hgg with flair,Random Sampling,"Random [1%, M%]"
brats18_lgg_vs_hgg,flair,7245539507.32958-3602e469-2f25,resenc_MDAE_pretrained_flair_2025-08-06_06-21-23,2025-08-06T06:21:55Z,finished,50,25,M50_N25,0.6396825313568115,0.598283052444458,0.4242424368858337,0.5,0.6063393950462341,0.5126984119415283,0.546898365020752,0.5099206566810608,0.992416262626648,0.3796699047088623,FlowMDAE Ablation RESENC_FLOWMDAE_M50_N25 pretrained on brats18 lgg_vs_hgg with flair,Random Sampling,"Random [1%, M%]"
brats18_lgg_vs_hgg,flair,7245539454.02386-653375b1-0064,resenc_MDAE_pretrained_flair_2025-08-06_06-22-24,2025-08-06T06:22:56Z,finished,50,50,M50_N50,0.4698412418365478,0.5140848159790039,0.4242424368858337,0.5,0.7811170816421509,0.5539682507514954,0.577826738357544,0.4993243217468261,0.9968253374099731,0.3618350028991699,FlowMDAE Ablation RESENC_FLOWMDAE_M50_N50 pretrained on brats18 lgg_vs_hgg with flair,Random Sampling,"Random [1%, M%]"
brats18_lgg_vs_hgg,flair,7245539216.43442-62eb7975-7a78,resenc_MDAE_pretrained_flair_2025-08-06_06-24-03,2025-08-06T06:24:33Z,finished,75,50,M75_N50,0.5285714268684387,0.5474098324775696,0.4280936419963836,0.449999988079071,0.7078441381454468,0.5365079045295715,0.5760090947151184,0.4345238208770752,0.9978835582733154,0.356474220752716,FlowMDAE Ablation RESENC_FLOWMDAE_M75_N50 pretrained on brats18 lgg_vs_hgg with flair,Random Sampling,"Random [1%, M%]"
brats18_lgg_vs_hgg,flair,7245539269.50500-1e755701-0cf8,resenc_MDAE_pretrained_flair_2025-08-06_06-24-31,2025-08-06T06:25:03Z,finished,75,25,M75_N25,0.6222221851348877,0.5866225361824036,0.4242424368858337,0.5,0.6132249236106873,0.4841269850730896,0.518721878528595,0.4858002066612244,0.9973544478416444,0.3574443459510803,FlowMDAE Ablation RESENC_FLOWMDAE_M75_N25 pretrained on brats18 lgg_vs_hgg with flair,Random Sampling,"Random [1%, M%]"
brats18_lgg_vs_hgg,flair,7245538875.72195-5002f0a4-8526,resenc_MDAE_pretrained_flair_2025-08-06_06-24-30,2025-08-06T06:25:05Z,finished,95,100,M95_N100,0.4523809552192688,0.5015625953674316,0.3736263811588287,0.4047619104385376,0.7232484221458435,0.4920634925365448,0.534605860710144,0.472222238779068,0.9961198568344116,0.3633093237876892,FlowMDAE Ablation RESENC_FLOWMDAE_M95_N100 pretrained on brats18 lgg_vs_hgg with flair,Random Sampling,"Random [1%, M%]"
brats18_lgg_vs_hgg,flair,7245539155.02278-cd15824b-0be2,resenc_MDAE_pretrained_flair_2025-08-06_06-37-18,2025-08-06T06:27:28Z,finished,75,75,M75_N75,0.6650793552398682,0.6355405449867249,0.4183673560619354,0.488095223903656,0.6165226101875305,0.5555555820465088,0.5769996643066406,0.5128205418586731,0.995943546295166,0.3570911884307861,FlowMDAE Ablation RESENC_FLOWMDAE_M75_N75 pretrained on brats18 lgg_vs_hgg with flair,Random Sampling,"Random [1%, M%]"
