id,name,state,created_at,project,Notes,tags,url,modality,benchmark,config.sam,config.fold,config.task,config.T_max,config.mixup,config.model,config.epochs,config.compile,config.devices,config.metrics,config.subtask,config.nesterov,config.strategy,config.benchmark,config.input_dim,config.optimizer,config.precision,config.scheduler,config.warmstart,config.batch_size,config.cifar_size,config.max_epochs,config.pretrained,config.save_preds,config.warmstart2,config.accelerator,config.input_shape,config.mixup_alpha,config.num_classes,config.num_workers,config.result_plot,config.adaptive_sam,config.modality_idx,config.target_shape,config.undecay_norm,config.weight_decay,config.data_root_dir,config.deterministic,config.learning_rate,config.input_channels,config.random_batches,config.resnet_dropout,config.sync_batchnorm,config.apply_shakedrop,config.finetune_method,config.freeze_backbone,config.label_smoothing,config.test_transforms,config.final_batch_size,config.stochastic_depth,config.train_transforms,config.log_every_n_steps,config.squeeze_excitation,config.zero_init_residual,config.classification_task,config.use_single_modality,config.auto_batch_size_mode,config.auto_batch_size_steps,config.prepare_data_per_node,config.accumulate_grad_batches,config.auto_batch_size_enabled,config.metric_computation_mode,config.token_aggregation_method,config.pretrained_checkpoint_path,config.classification_head_dropout,summary.Test/AP,summary.Test/AUROC,summary.Test/Balanced_Accuracy,summary.Test/F1,summary.Test/loss,summary.Train/AP,summary.Train/AUROC,summary.Train/Balanced_Accuracy,summary.Train/F1,summary.Train/loss,summary.Val/AP,summary.Val/AUROC,summary.Val/Balanced_Accuracy,summary.Val/F1,summary.Val/loss,summary._runtime,summary._step,summary._timestamp,summary._wandb,summary.epoch,summary.lr-AdamW,summary.trainer/global_step,summary.val_ConfusionMatrix_absolute,summary.val_ConfusionMatrix_normalized,metrics.Test_AUROC,metrics.Val_AUROC,metrics.Test_AP,metrics.Val_AP,metrics.Test_F1,metrics.Val_F1,metrics.Test_Balanced_Accuracy,metrics.Val_Balanced_Accuracy,metrics.epoch,config.time_dim,config.dropout_rate,config.freeze_encoder,config.learned_sinusoidal_dim,config.gradient_clip_val,config.use_brainiac_preprocessing,config.chpt_path,config.pretrained_encoder_path
7245993580.34062-af687fc8-474c,resenc_multimodal_mm_mdae_pretrained_pretrained_t1_2025-08-01_00-07-00,finished,2025-08-01T00:07:29Z,july_stratified_brats18_lgg_vs_hgg_single_t1,Stratified RESENC_MM_PRETRAINED pretrained on brats18 lgg_vs_hgg with t1,[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_t1/runs/7245993580.34062-af687fc8-474c,t1,brats18_lgg_vs_hgg,False,0,Classification,100,False,ResEncoderMultiModal_Classifier,100,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,"[160, 160, 160]",0.2,2,16,val,False,1,"[160, 160, 160]",False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,5e-05,1,False,0,True,False,full,False,0.2,,4,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,False,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.5092735290527344,0.5063492059707642,0.5928571224212646,0.5167974829673767,0.7284801602363586,0.9860042333602904,0.9890652894973756,0.9396825432777404,0.9396825432777404,0.3977799117565155,0.46429553627967834,0.37142854928970337,0.4452381134033203,0.3943749964237213,1.1696677207946775,6891,500,1754013739.911316,{'runtime': 6891},100,1.927409398192747e-08,4300,"{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_absolute_497_b6a43899cd610e866701.png'], 'format': 'png', 'height': 800, 'width': 800}","{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_normalized_496_c0a3d3c274c7d53fad2c.png'], 'format': 'png', 'height': 800, 'width': 800}",0.5063492059707642,0.37142854928970337,0.5092735290527344,0.46429553627967834,0.5167974829673767,0.3943749964237213,0.5928571224212646,0.4452381134033203,100,,,,,,,,
7245993452.24455-f1bcdec1-d250,resenc_pretrained_t1_2025-08-01_00-09-34,finished,2025-08-01T00:10:12Z,july_stratified_brats18_lgg_vs_hgg_single_t1,Stratified RESENC pretrained on brats18 lgg_vs_hgg with t1,[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_t1/runs/7245993452.24455-f1bcdec1-d250,t1,brats18_lgg_vs_hgg,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,"[160, 160, 160]",0.2,2,16,val,False,1,"[160, 160, 160]",False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,5e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,0.2,0.5169728994369507,0.47460317611694336,0.5,0.4181874394416809,0.791020393371582,0.9265404939651488,0.9396826028823853,0.917460322380066,0.9234967827796936,0.42997023463249207,0.5318413972854614,0.49841272830963135,0.5452381372451782,0.4534488320350647,0.8255544304847717,6352,500,1754013364.1685169,{'runtime': 6352},100,1.927409398192747e-08,2200,"{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_absolute_497_3b4eed3d5bc7c7422aff.png'], 'format': 'png', 'height': 800, 'width': 800}","{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_normalized_496_713f09eb032a317f68e2.png'], 'format': 'png', 'height': 800, 'width': 800}",0.47460317611694336,0.49841272830963135,0.5169728994369507,0.5318413972854614,0.4181874394416809,0.4534488320350647,0.5,0.5452381372451782,100,,,,,,,,
7245993275.05404-4b88c7a1-2f1a,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-01_00-10-47,finished,2025-08-01T00:11:34Z,july_stratified_brats18_lgg_vs_hgg_single_t1,Stratified RESENC_MDAE pretrained on brats18 lgg_vs_hgg with t1,[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_t1/runs/7245993275.05404-4b88c7a1-2f1a,t1,brats18_lgg_vs_hgg,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,"[160, 160, 160]",0.2,2,16,val,False,1,"[160, 160, 160]",False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,5e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.5509467124938965,0.5333333015441895,0.5,0.42424243688583374,0.6337927579879761,0.9970826506614684,0.9982362985610962,0.984920620918274,0.984920620918274,0.3547813594341278,0.5135269165039062,0.46984127163887024,0.4928571581840515,0.4533247947692871,1.1573259830474854,12558,1000,1754019650.4658537,{'runtime': 12558},200,3.8076210902182585e-09,4400,"{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_absolute_997_cfae099a6c49f61ffeaf.png'], 'format': 'png', 'height': 800, 'width': 800}","{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_normalized_996_dbd0f22370b9246c0fbe.png'], 'format': 'png', 'height': 800, 'width': 800}",0.5333333015441895,0.46984127163887024,0.5509467124938965,0.5135269165039062,0.42424243688583374,0.4533247947692871,0.5,0.4928571581840515,200,,,,,,,,
7245993510.95892-b8567a54-3278,resenc_time_conditioned_pretrained_t1_2025-08-01_00-13-48,finished,2025-08-01T00:15:00Z,july_stratified_brats18_lgg_vs_hgg_single_t1,Stratified RESENC_TIME_CONDITIONED pretrained on brats18 lgg_vs_hgg with t1,[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_t1/runs/7245993510.95892-b8567a54-3278,t1,brats18_lgg_vs_hgg,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,"[160, 160, 160]",0.2,2,16,val,False,1,"[160, 160, 160]",False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,5e-05,1,False,0,True,False,full,False,0.2,,4,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,0.467829704284668,0.4079365134239197,0.4238095283508301,0.4219067096710205,0.8349908590316772,0.9961806535720824,0.9970017671585084,0.9738094806671144,0.9772171974182128,0.3501300811767578,0.5328904390335083,0.5198412537574768,0.4476190507411957,0.416879802942276,1.125976800918579,11971,1000,1754019270.888804,{'runtime': 11971},200,3.8076210902182585e-09,8600,"{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_absolute_997_d6099578c474ebf14685.png'], 'format': 'png', 'height': 800, 'width': 800}","{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_normalized_996_770217ca4be73f7e67ea.png'], 'format': 'png', 'height': 800, 'width': 800}",0.4079365134239197,0.5198412537574768,0.467829704284668,0.5328904390335083,0.4219067096710205,0.416879802942276,0.4238095283508301,0.4476190507411957,200,256.0,0.5,False,64.0,,,,
7245976844.64591-a740fb13-7eb3,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-01_06-21-54,finished,2025-08-01T04:49:53Z,july_stratified_brats18_lgg_vs_hgg_single_t1,Stratified RESENC_MDAE pretrained on brats18 lgg_vs_hgg with t1,[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_t1/runs/7245976844.64591-a740fb13-7eb3,t1,brats18_lgg_vs_hgg,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,"[160, 160, 160]",0.2,2,16,val,False,1,"[160, 160, 160]",False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,2e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.5961462259292603,0.634920597076416,0.5976190567016602,0.5619779825210571,0.7797907590866089,0.9994495511054992,0.9996472597122192,0.984920620918274,0.984920620918274,0.34703779220581055,0.526952862739563,0.4968253970146179,0.5214285850524902,0.4203389883041382,1.254527568817139,15496,1371,1754040175.2330427,{'runtime': 15496},200,1.5230484360873043e-09,4400,"{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_absolute_1368_26aa9c2a91c454f2a988.png'], 'format': 'png', 'height': 800, 'width': 800}","{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_normalized_1367_93a6ca10c2a74de6406c.png'], 'format': 'png', 'height': 800, 'width': 800}",0.634920597076416,0.4968253970146179,0.5961462259292603,0.526952862739563,0.5619779825210571,0.4203389883041382,0.5976190567016602,0.5214285850524902,200,,,,,,,,
7245976052.36338-7d9f8552-aec9,resenc_time_conditioned_pretrained_t1_2025-08-01_05-01-55,finished,2025-08-01T05:03:23Z,july_stratified_brats18_lgg_vs_hgg_single_t1,Stratified RESENC_TIME_CONDITIONED pretrained on brats18 lgg_vs_hgg with t1,[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_t1/runs/7245976052.36338-7d9f8552-aec9,t1,brats18_lgg_vs_hgg,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,"[160, 160, 160]",0.2,2,16,val,False,1,"[160, 160, 160]",False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,2e-05,1,False,0,True,False,full,False,0.2,,4,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,0.5187760591506958,0.4968253970146179,0.4452380836009979,0.4461717903614044,0.7932757139205933,0.9985846281051636,0.999118149280548,0.984920620918274,0.984920620918274,0.346851646900177,0.5303741693496704,0.5063492059707642,0.4690476357936859,0.42424243688583374,1.1000516414642334,12209,1000,1754036809.9209104,{'runtime': 12209},200,1.5230484360873043e-09,8600,"{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_absolute_997_071498dc5b9b8df56469.png'], 'format': 'png', 'height': 800, 'width': 800}","{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_normalized_996_6e974c9fc52abc0ce510.png'], 'format': 'png', 'height': 800, 'width': 800}",0.4968253970146179,0.5063492059707642,0.5187760591506958,0.5303741693496704,0.4461717903614044,0.42424243688583374,0.4452380836009979,0.4690476357936859,200,256.0,0.5,False,64.0,,,,
7245970107.33821-828db81c-aa70,resenc_time_conditioned_pretrained_t1_2025-08-01_06-41-18,finished,2025-08-01T06:42:03Z,july_stratified_brats18_lgg_vs_hgg_single_t1,Stratified RESENC_TIME_CONDITIONED pretrained on brats18 lgg_vs_hgg with t1,[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_t1/runs/7245970107.33821-828db81c-aa70,t1,brats18_lgg_vs_hgg,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,"[160, 160, 160]",0.2,2,16,val,False,1,"[160, 160, 160]",False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,1,False,0,True,False,full,False,0.2,,4,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,0.4655309319496155,0.3761904835700989,0.5,0.42424243688583374,0.63614821434021,0.914091944694519,0.9444444179534912,0.8349206447601318,0.8446584343910217,0.451100081205368,0.4967307448387146,0.4642857313156128,0.5309523940086365,0.5128205418586731,0.7943850159645081,14881,1000,1754045403.504544,{'runtime': 14881},200,7.615242180436517e-09,8600,"{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_absolute_997_20920eca8d7bd71538bc.png'], 'format': 'png', 'height': 800, 'width': 800}","{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_normalized_996_9ac8eb9f72393f461e86.png'], 'format': 'png', 'height': 800, 'width': 800}",0.3761904835700989,0.4642857313156128,0.4655309319496155,0.4967307448387146,0.42424243688583374,0.5128205418586731,0.5,0.5309523940086365,200,256.0,0.5,False,64.0,,,,
7245918059.73607-ac5e30e0-98a0,resenc_pretrained_t1_2025-08-01_21-04-31,finished,2025-08-01T21:05:06Z,july_stratified_brats18_lgg_vs_hgg_single_t1,Stratified RESENC pretrained on brats18 lgg_vs_hgg with t1,[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_t1/runs/7245918059.73607-ac5e30e0-98a0,t1,brats18_lgg_vs_hgg,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,"[160, 160, 160]",0.2,2,16,val,False,1,"[160, 160, 160]",False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,6e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,0.2,0.5222851037979126,0.5317460298538208,0.5976190567016602,0.5619779825210571,0.6449291706085205,0.9899153113365172,0.994179904460907,0.958730161190033,0.9620286822319032,0.36446571350097656,0.5590208172798157,0.5420634746551514,0.43095239996910095,0.3500770330429077,1.134369730949402,13326,1000,1754095631.6670654,{'runtime': 13326},200,4.5691453082619125e-09,4400,"{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_absolute_997_6901f5fb2e8140cdb84c.png'], 'format': 'png', 'height': 800, 'width': 800}","{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_normalized_996_8cc8e4527ac24a67b842.png'], 'format': 'png', 'height': 800, 'width': 800}",0.5317460298538208,0.5420634746551514,0.5222851037979126,0.5590208172798157,0.5619779825210571,0.3500770330429077,0.5976190567016602,0.43095239996910095,200,,,,,,,,
7245916391.05911-7bb94773-ce69,resenc_time_conditioned_pretrained_t1_2025-08-01_21-31-48,finished,2025-08-01T21:32:31Z,july_stratified_brats18_lgg_vs_hgg_single_t1,Stratified RESENC_TIME_CONDITIONED pretrained on brats18 lgg_vs_hgg with t1,[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_t1/runs/7245916391.05911-7bb94773-ce69,t1,brats18_lgg_vs_hgg,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,"[160, 160, 160]",0.2,2,16,val,False,1,"[160, 160, 160]",False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,6e-05,1,False,0,True,False,full,False,0.2,,4,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,0.5005276203155518,0.4555555582046509,0.5,0.42424243688583374,0.6537101864814758,0.9945574998855592,0.9961199760437012,0.9666666984558104,0.9768762588500975,0.3608488738536834,0.499336838722229,0.4841269850730896,0.5642857551574707,0.5378378629684448,0.9321994185447692,13997,1000,1754097947.4786806,{'runtime': 13997},200,4.5691453082619125e-09,8600,"{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_absolute_997_19447dc05f849aa64137.png'], 'format': 'png', 'height': 800, 'width': 800}","{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_normalized_996_ca88aad6bd520e92c891.png'], 'format': 'png', 'height': 800, 'width': 800}",0.4555555582046509,0.4841269850730896,0.5005276203155518,0.499336838722229,0.42424243688583374,0.5378378629684448,0.5,0.5642857551574707,200,256.0,0.5,False,64.0,,,,
7245917224.41203-99785de8-b94c,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-01_21-34-37,finished,2025-08-01T21:35:18Z,july_stratified_brats18_lgg_vs_hgg_single_t1,Stratified RESENC_MDAE pretrained on brats18 lgg_vs_hgg with t1,[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_t1/runs/7245917224.41203-99785de8-b94c,t1,brats18_lgg_vs_hgg,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,"[160, 160, 160]",0.2,2,16,val,False,1,"[160, 160, 160]",False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,6e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.5900478363037109,0.6222221851348877,0.5,0.42424243688583374,0.617438554763794,0.9992110133171082,0.9994708895683287,0.984920620918274,0.984920620918274,0.3558896780014038,0.49735724925994873,0.44285714626312256,0.49523812532424927,0.4722222089767456,1.1390283107757568,13868,1000,1754097986.9725735,{'runtime': 13868},200,4.5691453082619125e-09,4400,"{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_absolute_997_aca868d58007e0362125.png'], 'format': 'png', 'height': 800, 'width': 800}","{'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_normalized_996_a8fbe1b4d98b9936da5e.png'], 'format': 'png', 'height': 800, 'width': 800}",0.6222221851348877,0.44285714626312256,0.5900478363037109,0.49735724925994873,0.42424243688583374,0.4722222089767456,0.5,0.49523812532424927,200,,,,,,,,
