Method,BraTS18 LGG vs HGG,BraTS23 Glioma vs Meningioma,BraTS23 Glioma vs Metastasis,BraTS23 Meningioma vs Metastasis,MGMT Methylation,TCGA-GBM DSS 1-Year,TCGA-GBM PFI 1-Year,IDH Classification,UPenn-GBM Age Group,UPenn-GBM Gender,UPenn-GBM GTR Status,UPenn-GBM IDH1 Status,UPenn-GBM Survival 18-Month,UPenn-GBM Survival 1-Year,UPenn-GBM Survival 2-Year
BrainIAC,0.7101525068283081,0.9950920343399048,0.8892099857330322,0.831814706325531,0.6620006561279297,,,0.7510921359062195,0.8895701169967651,0.7715376615524292,0.5584923028945923,0.5531946420669556,0.6543604135513306,0.6017471551895142,0.6531771421432495
BrainMVP,0.8222721815109253,0.6898732781410217,0.8768864870071411,0.8923898339271545,0.606813907623291,0.5154155492782593,0.5678343176841736,0.6269642114639282,0.7648262977600098,0.6841796636581421,0.5349145531654358,0.5549446940422058,0.6144487857818604,0.5845180749893188,0.563669741153717
DinoV2,0.8591125011444092,0.9920156598091124,0.9138631224632264,0.8360294103622437,0.618614673614502,0.6098467111587524,0.7019551992416382,0.7038792967796326,0.9016956686973572,0.7776848077774048,0.6059823632240295,0.5776256918907166,0.5769857168197632,0.6224695444107056,0.5662285089492798
MAE,0.7005335092544556,0.9662660956382751,0.8186769485473633,0.9232012033462524,0.6477205753326416,0.6026248931884766,0.4545004665851593,0.6545373201370239,0.8222490549087524,0.8432414531707764,0.5503337383270264,0.5761200785636902,0.671396017074585,0.6565415859222412,0.618986964225769
MDAE,0.7749053239822388,0.9664623737335204,0.9518988132476808,0.9666114449501038,0.6629034280776978,0.7297800779342651,0.6281400322914124,0.7159714102745056,0.909009337425232,0.8673837184906006,0.609257698059082,0.5866110324859619,0.6808815002441406,0.632075846195221,0.5818266868591309
MDAE (TC),0.7965859770774841,0.9587235450744628,0.9335244297981262,0.9699050188064576,0.5936486721038818,0.7062641382217407,0.6578984260559082,0.7029664516448975,0.8962788581848145,0.8490540981292725,0.6013576984405518,0.5585435628890991,0.6443648338317871,0.626842200756073,0.6722248792648315
MG,0.607420802116394,0.9449224472045898,0.7308887243270874,0.8155338764190674,0.5771499276161194,0.4624391794204712,0.4864704310894013,0.7173089385032654,0.8581300973892212,0.8728079795837402,0.5923739075660706,0.5279952883720398,0.5917383432388306,0.584708571434021,0.5714101195335388
MRI-Core,0.9066050052642822,0.5321460366249084,0.7313008308410645,0.7887265682220459,0.5780766606330872,0.6096007823944092,0.7707509994506836,0.6018497943878174,0.6969960331916809,0.6465575695037842,0.5162348747253418,0.5096378326416016,0.565741240978241,0.5764792561531067,0.5298354029655457
ResNet-50,0.6977352499961853,0.8422355651855469,0.8468474745750427,0.7360969185829163,0.6043206453323364,,,0.6111255884170532,0.7838897109031677,0.5414588451385498,0.4776556491851806,0.5107294321060181,0.5211333632469177,0.5824159383773804,0.5920171737670898
S3D,0.6209980249404907,0.9448039531707764,0.7022836804389954,0.7588426470756531,0.5988500118255615,0.699730634689331,0.4536107778549194,0.5904096961021423,0.8809748888015747,0.849284291267395,0.535439133644104,0.5571867823600769,0.6582992076873779,0.6092262268066406,0.5531212091445923
SimCLR,0.6754735112190247,0.9789605140686036,0.6002234220504761,0.7763612866401672,0.5591681003570557,0.4980465471744537,0.5496258735656738,0.729738712310791,0.9321325421333312,0.8573395609855652,0.5160677433013916,0.5135605335235596,0.6434399485588074,0.5976060628890991,0.5603877902030945
SwinUNETR,0.8689069747924805,0.9328491687774658,0.7530602216720581,0.9274343848228456,0.5398041605949402,0.405207872390747,0.5230648517608643,0.7221128940582275,0.9189131259918212,0.8641784191131592,0.5584930181503296,0.5531506538391113,0.6383278369903564,0.5811890363693237,0.599116325378418
VF,0.7896237969398499,0.9836041927337646,0.7850556969642639,0.6322258710861206,0.5604791641235352,0.5953050851821899,0.5911728143692017,0.7036405801773071,0.8542680144309998,0.8505250215530396,0.4934049844741822,0.4902327060699463,0.635689377784729,0.6150675415992737,0.5377854108810425
VoCo,0.8536590337753296,0.9766961336135864,0.9300637245178224,0.976402997970581,0.5559281706809998,0.6333969831466675,0.6491970419883728,0.760331392288208,0.8879584074020386,0.8709024786949158,0.5414444208145142,0.532110333442688,0.660730242729187,0.6463355422019958,0.543438732624054
