Method,brats18_lgg_vs_hgg,brats23_gli_vs_men,brats23_gli_vs_met,brats23_men_vs_met,rsna_miccai_mgmt_methylation,tcga_gbm_dss_1year,tcga_gbm_pfi_1year,ucsf_pdgm_idh_classification,upenn_gbm_age_group,upenn_gbm_gender,upenn_gbm_gtr_status,upenn_gbm_idh1_status,upenn_gbm_survival_18month,upenn_gbm_survival_1year,upenn_gbm_survival_2year
BrainIAC,0.7761905193328857,0.9985828399658204,0.9549157619476318,0.8168919086456299,0.6511627435684204,,,0.7924298048019409,0.8880208134651184,0.7902735471725464,0.5538690686225891,0.5895925760269165,0.6566050052642822,0.6064268350601196,0.7054521441459656
BrainMVP,0.8666666746139526,0.7584775686264038,0.9262171983718872,0.8878378868103027,0.6028012633323669,0.4675324559211731,0.5338345766067505,0.6913919448852539,0.7883391380310059,0.710334300994873,0.5339285731315613,0.537800669670105,0.6202532052993774,0.5654481053352356,0.6156915426254272
DinoV2,0.8563492298126221,0.9982791543006896,0.966666579246521,0.8277026414871216,0.6107293963432312,0.5714285373687744,0.7218044996261597,0.7912087440490723,0.9045138359069824,0.7835866212844849,0.602529764175415,0.5569465160369873,0.597370982170105,0.6036261320114136,0.6130319237709045
MAE,0.7968254089355469,0.9838546514511108,0.8792603015899658,0.9290540218353271,0.6144291758537292,0.5779221057891846,0.3233082592487335,0.7585470080375671,0.8527199029922485,0.8361701965332031,0.5629464387893677,0.6337751746177673,0.6876014471054077,0.6680424213409424,0.6480496525764465
MG,0.6579364538192749,0.977275013923645,0.7497659921646118,0.8013513088226318,0.5655391216278076,0.4025973677635193,0.4360902309417724,0.7585470676422119,0.854889988899231,0.8729482889175415,0.6001487970352173,0.5341187715530396,0.622849702835083,0.6059846878051758,0.5893173813819885
MRI-Core,0.8968254327774048,0.6246583461761475,0.8060393333435059,0.7756756544113159,0.5848308801651001,0.5827922224998474,0.7218044996261597,0.6926129460334778,0.7285879850387573,0.6735562086105347,0.5252975821495056,0.5282278060913086,0.6022394895553589,0.5865271091461182,0.5789006948471069
ResNet-50,0.7317460179328918,0.959510087966919,0.8995318412780762,0.7412161827087402,0.6189217567443848,,,0.660866916179657,0.801360011100769,0.5428571701049805,0.4555059671401977,0.4887089133262634,0.5210970640182495,0.5854952335357666,0.6128102540969849
S3D,0.6841269731521606,0.9665957689285278,0.7316011190414429,0.7297297716140747,0.6062368154525757,0.6558441519737244,0.3383458852767944,0.6239316463470459,0.8854166269302368,0.8480243682861328,0.515625,0.5959744453430176,0.6444336175918579,0.6254422068595886,0.5930851101875305
SimCLR,0.726190447807312,0.983095407485962,0.6967228651046753,0.7567567825317383,0.547568678855896,0.4740259647369385,0.5037593841552734,0.7680097818374634,0.9273726940155028,0.8621580600738525,0.5165178775787354,0.5385370850563049,0.6655306816101074,0.6254421472549438,0.6081560850143433
SwinUNETR,0.9095238447189332,0.9746938347816468,0.8213014602661133,0.9317567348480223,0.5433403253555298,0.2792207598686218,0.4812029898166657,0.7893772125244141,0.9184027910232544,0.8553191423416138,0.5613095760345459,0.5049091577529907,0.6403764486312866,0.6025943756103516,0.6385195255279541
VF,0.8214285373687744,0.985727310180664,0.8841760158538818,0.6270270347595215,0.5480972528457642,0.5259740352630615,0.6090225577354431,0.7967032790184021,0.8637152910232544,0.8446807861328125,0.4736607074737549,0.4445262551307678,0.6642323732376099,0.5975825786590576,0.5556294322013855
VoCo,0.905555546283722,0.9894219636917114,0.975327730178833,0.9760135412216188,0.5676532983779907,0.6233766078948975,0.6917293071746826,0.7878510355949402,0.8940972089767456,0.8720364570617676,0.5364583730697632,0.5245459079742432,0.6506004333496094,0.6736438274383545,0.5664893388748169
MDAE (Combined),0.803174614906311,0.985524833202362,0.972565531730652,0.9702702760696412,0.6434988975524902,0.7207791805267334,0.6691729426383972,0.7710622549057007,0.9131944179534912,0.8702127933502197,0.6303571462631226,0.6435935497283936,0.6945797204971313,0.6465212106704712,0.7016844153404236
