Method,BraTS18 LGG vs HGG,BraTS23 Glioma vs Meningioma,BraTS23 Glioma vs Metastasis,BraTS23 Meningioma vs Metastasis,MGMT Methylation,TCGA-GBM DSS 1-Year,TCGA-GBM PFI 1-Year,IDH Classification,UPenn-GBM Age Group,UPenn-GBM Gender,UPenn-GBM GTR Status,UPenn-GBM IDH1 Status,UPenn-GBM Survival 18-Month,UPenn-GBM Survival 1-Year,UPenn-GBM Survival 2-Year
BrainIAC,0.711904764175415,0.9324324131011964,0.6231273412704468,0.5625,0.5473044514656067,,,0.66300368309021,0.7595486044883728,0.6591185331344604,0.519345223903656,0.4845360815525055,0.6165205836296082,0.5793042182922363,0.5
BrainMVP,0.764285683631897,0.5675675868988037,0.5,0.6902027130126953,0.5776955485343933,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5186627507209778,0.5078125,0.5
DinoV2,0.5,0.8629921674728394,0.7906367182731628,0.6229729652404785,0.5,0.5,0.5,0.5,0.7557870149612427,0.5,0.5,0.5,0.5,0.5,0.5
MAE,0.6619047522544861,0.9249417781829834,0.6231273412704468,0.5,0.5,0.5,0.5,0.5,0.7951388955116272,0.7580547332763672,0.5,0.5,0.5451152324676514,0.5,0.5
MDAE,0.761904776096344,0.8918918967247009,0.5,0.7124999761581421,0.5,0.7207792401313782,0.5,0.75,0.8570601940155029,0.7940729260444641,0.5571428537368774,0.5,0.5,0.5857900977134705,0.5
MDAE (TC),0.5,0.9336471557617188,0.7250000238418579,0.5,0.5,0.5,0.5,0.5347985625267029,0.8272569179534912,0.7439209222793579,0.5,0.5083456039428711,0.5,0.6179245710372925,0.5
MG,0.5785714387893677,0.913705825805664,0.6800093650817871,0.6344594359397888,0.5214059352874756,0.402597427368164,0.4924812018871307,0.6758241653442383,0.7462384700775146,0.7939209938049316,0.5571428537368774,0.5,0.5654008388519287,0.583431601524353,0.5
MRI-Core,0.5,0.5,0.5,0.6114864945411682,0.5,0.5,0.5,0.5,0.5043402910232544,0.5,0.5,0.5,0.5,0.5,0.5
ResNet-50,0.6619048118591309,0.8130883574485779,0.675000011920929,0.6361486911773682,0.5779598355293274,,,0.517399251461029,0.515625,0.4996960461139679,0.5,0.5,0.5,0.5591096878051758,0.5
S3D,0.5952380895614624,0.9095556139945984,0.6106273531913757,0.6114864945411682,0.5,0.548701286315918,0.5,0.5,0.8229166269302368,0.7437689900398254,0.5392857193946838,0.5,0.5915287137031555,0.5,0.5
SimCLR,0.523809552192688,0.8648648262023926,0.5669475793838501,0.6324324607849121,0.5,0.5324675440788269,0.4210526347160339,0.7060439586639404,0.7884837985038757,0.7727963328361511,0.5,0.5,0.5128205418586731,0.5,0.5
SwinUNETR,0.8285714387893677,0.8856159448623657,0.7875936031341553,0.5,0.5412262082099915,0.402597427368164,0.5,0.726190447807312,0.8356481790542603,0.7655014991760254,0.4663690626621246,0.5,0.6118143796920776,0.580925703048706,0.5771276950836182
VF,0.6928571462631226,0.9789958596229552,0.5375000238418579,0.6094594597816467,0.5364693403244019,0.5,0.4736842215061188,0.6978021860122681,0.7986111044883728,0.6981762647628784,0.5,0.4980363249778747,0.5908795595169067,0.5623525977134705,0.5
VoCo,0.8357142806053162,0.9249417781829834,0.6356273293495178,0.5,0.575581431388855,0.5389610528945923,0.5,0.6776556968688965,0.8619791269302368,0.7550151944160461,0.5056547522544861,0.5,0.5128205418586731,0.6046580076217651,0.5
