Method,BraTS18: LGG_vs_HGG,BraTS23: Glio_vs_Men,BraTS23: Glio_vs_Met,BraTS23: Men_vs_Met,RSNA-MICCAI: MGMT,TCGA-GBM: DSS_1Y,TCGA-GBM: PFI_1Y,UCSF-PDGM: IDH,UPenn-GBM: Age,UPenn-GBM: GTR,UPenn-GBM: Gender,UPenn-GBM: IDH1,UPenn-GBM: Surv_18M,UPenn-GBM: Surv_1Y,UPenn-GBM: Surv_2Y
BrainIAC,0.7165674567222595,0.9788945913314819,0.8427668809890747,0.7412162274122238,0.5700317025184631,,,0.7667887806892395,0.7821180522441864,0.5122023969888687,0.770820677280426,0.5741286277770996,0.6129097938537598,0.5843528807163239,0.6235040128231049
BrainMVP,0.6976190507411957,0.7249215543270111,0.845201313495636,0.8514358252286911,0.5628964006900787,0.4675324559211731,0.5338345766067505,0.6738400459289551,0.6194661557674408,0.5328125059604645,0.6628419160842896,0.5209867358207703,0.5777750909328461,0.5188310891389847,0.5802304893732071
DinoV2,0.689087301492691,0.9886122047901154,0.7422284483909607,0.7513513267040253,0.5522595196962357,0.5714285373687744,0.7218044996261597,0.7896825075149536,0.8428819179534912,0.561532735824585,0.7712005972862244,0.527491420507431,0.5178513377904892,0.5630896091461182,0.5990137606859207
MAE,0.6690476387739182,0.9725427627563477,0.852141872048378,0.7758445739746094,0.5409619212150574,0.5779221057891846,0.3233082592487335,0.7242063581943512,0.8389395326375961,0.5567708611488342,0.8161094188690186,0.593151718378067,0.5996024012565613,0.6102962791919708,0.605053186416626
MDAE,0.7369047701358795,0.953006386756897,0.960206001996994,0.9594594389200211,0.5991675406694412,0.7597402334213257,0.7443608641624451,0.7915140688419342,0.8773871511220932,0.6051339209079742,0.8688449859619141,0.6497299671173096,0.6321405470371246,0.6034787893295288,0.6189051568508148
MDAE (Combined),0.754365086555481,0.9788692891597748,0.967286989092827,0.9648648500442505,0.6068314015865326,0.7597402334213257,0.7443608641624451,0.7921245396137238,0.8773871511220932,0.6158482134342194,0.8688449859619141,0.6497299671173096,0.6412690579891205,0.6111807376146317,0.6446697860956192
MDAE (TC),0.7238095104694366,0.9788692891597748,0.9593047797679901,0.961402028799057,0.5874075293540955,0.6883116960525513,0.6691729426383972,0.7615994811058044,0.8547092229127884,0.606547623872757,0.8384498357772827,0.5856651663780212,0.6058909595012665,0.6055793315172195,0.6338652521371841
MG,0.5940476059913635,0.9741876721382141,0.6701311022043228,0.6875844448804855,0.5373943150043488,0.4025973677635193,0.4360902309417724,0.7342796325683594,0.8398437350988388,0.584598183631897,0.8337385952472687,0.5331369638442993,0.5534729063510895,0.5661851316690445,0.5662677437067032
MRI-Core,0.7595238089561462,0.6041856408119202,0.6997542083263397,0.670185774564743,0.548361524939537,0.5827922224998474,0.7218044996261597,0.6088217198848724,0.6298466473817825,0.48973211646080017,0.6569148898124695,0.5056455731391907,0.5365546718239784,0.5551665723323822,0.5547983050346375
ResNet-50,0.6257936209440231,0.8990282416343689,0.8283708095550537,0.6423986405134201,0.5153276920318604,,,0.6495726406574249,0.6215640008449554,0.4493303596973419,0.5428571701049805,0.45618557929992676,0.47168126702308655,0.5274911224842072,0.5393949523568153
S3D,0.5990079194307327,0.9461230635643005,0.6479283571243286,0.5578547343611717,0.552325576543808,0.6558441519737244,0.3383458852767944,0.6156898736953735,0.8684172034263611,0.5123511850833893,0.8480243682861328,0.5640648007392883,0.49963484704494476,0.5313237011432648,0.5547428876161575
SimCLR,0.6819444298744202,0.9623443484306335,0.6802317500114441,0.675000011920929,0.5305893421173096,0.4740259647369385,0.5037593841552734,0.7469475269317627,0.8428457975387573,0.4885416626930237,0.8373100161552429,0.47250860929489136,0.6077572107315063,0.5676591793696085,0.5605053305625916
SwinUNETR,0.6424603313207626,0.9745419919490814,0.8001989722251892,0.9219594597816467,0.5301268100738525,0.2792207598686218,0.4812029898166657,0.7396214604377747,0.8523582220077515,0.5201637148857117,0.851519763469696,0.4453853666782379,0.6021178066730499,0.5633476078510284,0.5733045190572739
VF,0.5791666507720947,0.9782872796058654,0.7602879106998444,0.5812499970197678,0.5229915380477905,0.5259740352630615,0.6090225577354431,0.7774725258350372,0.8324652761220932,0.4575148820877075,0.8427051305770874,0.4423171281814575,0.5685653835535049,0.5452903807163239,0.5212766081094742
VoCo,0.690476194024086,0.9796031713485718,0.9372542053461075,0.8842905461788177,0.5386495739221573,0.6233766078948975,0.6917293071746826,0.7736568748950958,0.8384693413972855,0.5223958492279053,0.8718844652175903,0.5137456953525543,0.6179406046867371,0.6001989990472794,0.4924645274877548
