Method,BraTS18 LGG vs HGG,BraTS23 Glioma vs Meningioma,BraTS23 Glioma vs Metastasis,BraTS23 Meningioma vs Metastasis,MGMT Methylation,TCGA-GBM DSS 1-Year,TCGA-GBM PFI 1-Year,IDH Classification,UPenn-GBM Age Group,UPenn-GBM Gender,UPenn-GBM GTR Status,UPenn-GBM IDH1 Status,UPenn-GBM Survival 18-Month,UPenn-GBM Survival 1-Year,UPenn-GBM Survival 2-Year
BrainIAC,0.6687179803848267,0.9591299295425416,0.6685473322868347,0.4505606591701507,0.4709184765815735,,,0.6743420958518982,0.7602322101593018,0.6612622737884521,0.51902174949646,0.4433962404727936,0.6211056113243103,0.5700210928916931,0.4433962404727936
BrainMVP,0.7816091775894165,0.5907790660858154,0.4651567935943603,0.6691575050354004,0.5456598401069641,0.3055555522441864,0.422222226858139,0.4406779706478119,0.3139534890651703,0.3743315637111664,0.3723404109477997,0.4511627852916717,0.3295454382896423,0.3289940953254699,0.4433962404727936
DinoV2,0.4242424368858337,0.9052556753158568,0.8285599946975708,0.5722222328186035,0.3307692408561706,0.3589743673801422,0.422222226858139,0.4406779706478119,0.7564778923988342,0.3743315637111664,0.3723404109477997,0.4511627852916717,0.4010152220726013,0.3535911738872528,0.4433962404727936
MAE,0.6686046123504639,0.9299449324607848,0.6685473322868347,0.3245614171028137,0.3307692408561706,0.3589743673801422,0.422222226858139,0.4406779706478119,0.7951388955116272,0.7542016506195068,0.3723404109477997,0.4511627852916717,0.5084993839263916,0.3535911738872528,0.4433962404727936
MDAE,0.7563155889511108,0.9320138692855836,0.4651567935943603,0.6796889305114746,0.3358778655529022,0.718196451663971,0.422222226858139,0.7250000238418579,0.8554234504699707,0.8039575815200806,0.5562928915023804,0.4511627852916717,0.4010152220726013,0.5835667848587036,0.4433962404727936
MDAE (TC),0.4242424368858337,0.854013979434967,0.7905606031417847,0.3245614171028137,0.3307692408561706,0.3589743673801422,0.422222226858139,0.5193063616752625,0.8220211267471313,0.7430518865585327,0.3723404109477997,0.4854976236820221,0.4010152220726013,0.605425238609314,0.4433962404727936
MG,0.5670886039733887,0.890885591506958,0.7281111478805542,0.5961294770240784,0.4470339119434356,0.356617659330368,0.4811529815196991,0.6944444179534912,0.7368155717849731,0.7996575236320496,0.5562928915023804,0.4511627852916717,0.5661764740943909,0.5711144208908081,0.4433962404727936
MRI-Core,0.4242424368858337,0.4676007032394409,0.4651567935943603,0.5455930233001709,0.3307692408561706,0.3589743673801422,0.422222226858139,0.4406779706478119,0.396590918302536,0.3743315637111664,0.3723404109477997,0.4511627852916717,0.4010152220726013,0.3535911738872528,0.4433962404727936
ResNet-50,0.583677351474762,0.840648889541626,0.7360450029373169,0.5959183573722839,0.5396825671195984,,,0.4834782481193542,0.3479501008987427,0.4317573606967926,0.3723404109477997,0.4511627852916717,0.4010152220726013,0.5554711222648621,0.4433962404727936
S3D,0.3943749964237213,0.9143771529197692,0.651631236076355,0.5455930233001709,0.3307692408561706,0.5484400391578674,0.422222226858139,0.4406779706478119,0.8214054107666016,0.7380596995353699,0.5203251838684082,0.4511627852916717,0.5909054279327393,0.3535911738872528,0.4433962404727936
SimCLR,0.259740263223648,0.9126838445663452,0.5662335157394409,0.6063810586929321,0.3307692408561706,0.5192307829856873,0.380952388048172,0.7283951044082642,0.7906348705291748,0.7828612923622131,0.3723404109477997,0.4511627852916717,0.4280612170696258,0.3535911738872528,0.4433962404727936
SwinUNETR,0.808080792427063,0.8112426400184631,0.7155599594116211,0.3418803513050079,0.5372340679168701,0.356617659330368,0.422222226858139,0.7070593237876892,0.8370047211647034,0.7712877988815308,0.4161043465137481,0.4511627852916717,0.5835294127464294,0.5738860964775085,0.5853182673454285
VF,0.5756824016571045,0.9628243446350098,0.5373681783676147,0.5616161823272705,0.4827586114406585,0.3589743673801422,0.409090906381607,0.6978021860122681,0.8009533882141113,0.703797459602356,0.3723404109477997,0.477228432893753,0.5935705900192261,0.561074435710907,0.4433962404727936
VoCo,0.7689188718795776,0.9299449324607848,0.6848480701446533,0.3418803513050079,0.5726802349090576,0.5331069231033325,0.422222226858139,0.7131543159484863,0.8629898428916931,0.7639796733856201,0.5039364099502563,0.4511627852916717,0.4280612170696258,0.6038076877593994,0.4433962404727936
