Baseline,Baseline AUROC,MDAE Improvement (%),MDAE (TC) Improvement (%)
MRI-Core,0.6605717460314433,16.34153696317063,15.541641983479343
ResNet-50,0.6630482627795293,15.906995797826887,15.11008846386988
MG,0.6686240116755168,14.940431192649967,14.150169380106977
S3D,0.6696275671323141,14.768172608040011,13.979095142727042
BrainMVP,0.6737703402837117,14.062504109905538,13.278278400068022
SimCLR,0.6799895962079366,13.019276524699173,12.242223425176633
VF,0.6828122297922771,12.55207340255603,11.778232512891233
SwinUNETR,0.6967898786067963,10.29427172708896,9.535954134369403
MAE,0.7168337444464365,7.210260123971988,6.47314635460766
DinoV2,0.7337183038393656,4.743103457548012,4.022952385111172
VoCo,0.7489867051442464,2.6078723158944594,1.9024018185580658
BrainIAC,0.7523395052322974,2.150600457986055,1.4482738890611524
