Method,BraTS18_LGG_vs_HGG,BraTS23_Glio_vs_Men,BraTS23_Glio_vs_Met,BraTS23_Men_vs_Met,RSNA-MICCAI_MGMT,TCGA-GBM_DSS_1Y,TCGA-GBM_PFI_1Y,UCSF-PDGM_IDH,UPenn-GBM_Age,UPenn-GBM_GTR,UPenn-GBM_Gender,UPenn-GBM_IDH1,UPenn-GBM_Surv_18M,UPenn-GBM_Surv_1Y,UPenn-GBM_Surv_2Y
BrainIAC,0.7523809671401978,0.5381617546081543,,0.917567491531372,0.5303910970687866,,,,0.6464120149612427,0.4997023940086365,0.6039513349533081,0.5014727115631104,0.4716001152992248,0.4345518946647644,0.5352393388748169
BrainMVP,0.8523809909820557,0.8968518972396851,0.6456460952758789,0.5317567586898804,0.5531183481216431,0.0,0.6999999284744263,0.8021978139877319,0.7850115895271301,0.5345237851142883,0.5609422922134399,0.6310751438140869,0.4384939968585968,0.6472582817077637,0.5664893388748169
DinoV2,,,,,,0.5,0.199999988079071,,,,,,,,
MAE,0.9007936716079712,0.9619394540786744,0.6959737539291382,0.961486518383026,0.542283296585083,1.0,1.0,0.8492063283920288,0.8744213581085205,0.608779788017273,0.8395136594772339,0.7304860353469849,0.5864979028701782,0.5875589847564697,0.5735815763473511
MDAE,0.92380952835083,0.9879542589187622,0.96685391664505,0.9722973108291626,0.5454545617103577,1.0,1.0,0.9297924041748048,0.8842592239379883,0.5617559552192688,0.859878420829773,0.6418752670288086,0.6322622299194336,0.5900648832321167,0.6755318641662598
MG,0.8492063283920288,0.9725174903869628,0.5278558135032654,0.5820945501327515,0.5832452774047852,,0.6000000238418579,0.923076868057251,,0.4799107313156128,,,,,
ResNet-50,0.8142857551574707,0.6036542654037476,0.7327247262001038,0.962499976158142,0.4836152195930481,,,,0.4782986044883728,0.4477678537368774,0.5395137071609497,0.5594010353088379,0.4985394477844238,0.5368514060974121,0.560062050819397
S3D,0.8936507701873779,0.9639639854431152,0.5196161270141602,0.4432432353496551,,,,0.7927350997924805,,,,,,,
SimCLR,0.879365086555481,0.9693795442581176,0.5174625515937805,0.7587838172912598,0.5396405458450317,1.0,1.0,0.8021978139877319,0.8602430820465088,0.5330357551574707,0.8644376993179321,0.7167403101921082,0.5555014610290527,0.5704599022865295,0.5817819237709045
SwinUNETR,0.8269841074943542,0.9942301511764526,0.5763108730316162,0.7692567706108093,0.4315539002418518,1.0,0.7999999523162842,0.865079402923584,0.8883101940155029,0.5657738447189331,0.887537956237793,0.6671575307846069,0.6921454071998596,0.6232311725616455,0.7092198729515076
Unknown,,,,,0.4460887908935547,0.875,0.0,,,,,,,,
VF,0.8365079164505005,0.9957485198974608,0.7798221111297607,0.5543918609619141,0.5280126929283142,0.375,0.3000000119209289,0.9017094373703004,0.8229166269302368,0.5790178775787354,0.8297872543334961,0.6251840591430664,0.6351833343505859,0.6426886916160583,0.5769060850143433
VoCo,0.8476190567016602,0.9985828399658204,0.8830056190490723,0.7908783555030823,0.5729386806488037,0.625,1.0,0.9157508611679076,0.8548900485038757,0.563095211982727,0.8635258674621582,0.4879725277423858,0.6108406782150269,0.5952240228652954,0.4988918304443359
