Method,Mean_AUROC,Std_AUROC,Median_AUROC,Min_AUROC,Max_AUROC,Count
MDAE,0.8114526549975077,0.17888622123440415,0.8842592239379883,0.5454545617103577,1.0,15
MAE,0.7808348218599955,0.1705222166666623,0.8395136594772339,0.542283296585083,1.0,15
SwinUNETR,0.7531194090843201,0.1637829434706139,0.7692567706108093,0.4315539002418518,1.0,15
SimCLR,0.743268632888794,0.18167876611423817,0.7587838172912598,0.5174625515937805,1.0,15
VoCo,0.7405477066834768,0.18129521857085423,0.7908783555030823,0.4879725277423858,1.0,15
S3D,0.7226418435573578,0.23004158187564916,0.7927350997924805,0.4432432353496551,0.9639639854431152,5
MG,0.6897383853793144,0.1931156044990544,0.5916226506233215,0.4799107313156128,0.9725174903869628,8
VF,0.6655250986417135,0.19393733570356075,0.6351833343505859,0.3000000119209289,0.9957485198974608,15
BrainMVP,0.6097164173920949,0.2139211653328111,0.6310751438140869,0.0,0.8968518972396851,15
ResNet-50,0.6014345039923986,0.15598493505399644,0.5494573712348938,0.4477678537368774,0.962499976158142,12
BrainIAC,0.5846755558794196,0.14147285535234297,0.5352393388748169,0.4345518946647644,0.917567491531372,11
Unknown,0.44036293029785156,0.43752810093715244,0.4460887908935547,0.0,0.875,3
DinoV2,0.3499999940395355,0.21213204278533399,0.3499999940395355,0.199999988079071,0.5,2
