run_id,run_name,project,modality,model,learning_rate,batch_size,epochs,epoch,test_balanced_accuracy,test_accuracy,test_f1,test_auc,test_precision,test_recall,test_sensitivity,test_specificity,val_balanced_accuracy,val_f1,val_auc,notes
7245993804.08787-6c768af3-7ad3,brainiac_scratch_t1_2025-08-01_00-02-07,july_stratified_brats18_lgg_vs_hgg_single_t1,T1,brainiac,5e-05,4.0,100.0,100.0,0.5095238089561462,,0.4722222089767456,,,,,,0.5095238089561462,0.4722222089767456,,scratch | timestamped
7245993750.99511-66269919-194e,mri_core_pretrained_t1_2025-08-01_00-02-35,july_stratified_brats18_lgg_vs_hgg_single_t1,T1,MRICore,5e-05,1.0,100.0,100.0,0.5,,0.42424243688583374,,,,,,0.5,0.42424243688583374,,pretrained | model_MRICore | timestamped
7245993856.24297-05008267-38b7,brainiac_pretrained_t1_2025-08-01_00-03-27,july_stratified_brats18_lgg_vs_hgg_single_t1,T1,brainiac,5e-05,4.0,100.0,100.0,0.4714285731315613,,0.4620224833488464,,,,,,0.38809525966644287,0.34360411763191223,,pretrained | timestamped
7245993689.91600-7fb79343-8af9,mri_core_frozen_t1_2025-08-01_00-05-25,july_stratified_brats18_lgg_vs_hgg_single_t1,T1,MRICore,5e-05,4.0,100.0,100.0,0.5,,0.42424243688583374,,,,,,0.5,0.42424243688583374,,frozen | model_MRICore | timestamped
7245993580.34062-af687fc8-474c,resenc_multimodal_mm_mdae_pretrained_pretrained_t1_2025-08-01_00-07-00,july_stratified_brats18_lgg_vs_hgg_single_t1,T1,ResEncoderMultiModal_Classifier,5e-05,4.0,100.0,100.0,0.5928571224212646,,0.5167974829673767,,,,,,0.4452381134033203,0.3943749964237213,,pretrained | model_ResEncoderMultiModal_Classifier | timestamped
7245993639.32994-8cc1a016-2ac4,brainmvp_pretrained_t1_2025-08-01_00-07-25,july_stratified_brats18_lgg_vs_hgg_single_t1,T1,brainmvp,5e-05,4.0,100.0,100.0,0.5,,0.42424243688583374,,,,,,0.5,0.42424243688583374,,pretrained | timestamped
7245993388.05472-fc6953c0-67ce,dinov2_pretrained_t1_2025-08-01_00-09-35,july_stratified_brats18_lgg_vs_hgg_single_t1,T1,dinov2,5e-05,1.0,50.0,100.0,0.5,,0.42424243688583374,,,,,,0.5,0.42424243688583374,,pretrained | timestamped
7245993452.24455-f1bcdec1-d250,resenc_pretrained_t1_2025-08-01_00-09-34,july_stratified_brats18_lgg_vs_hgg_single_t1,T1,ResEncoder_Classifier,5e-05,4.0,100.0,100.0,0.5,,0.4181874394416809,,,,,,0.5452381372451782,0.4534488320350647,,pretrained | model_ResEncoder_Classifier | timestamped
7245993275.05404-4b88c7a1-2f1a,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-01_00-10-47,july_stratified_brats18_lgg_vs_hgg_single_t1,T1,ResEncoder_Classifier,5e-05,4.0,200.0,200.0,0.5,,0.42424243688583374,,,,,,0.4928571581840515,0.4533247947692871,,pretrained | model_ResEncoder_Classifier | timestamped
7245993510.95892-b8567a54-3278,resenc_time_conditioned_pretrained_t1_2025-08-01_00-13-48,july_stratified_brats18_lgg_vs_hgg_single_t1,T1,ResEncTimeConditioned,5e-05,4.0,200.0,200.0,0.4238095283508301,,0.4219067096710205,,,,,,0.4476190507411957,0.416879802942276,,pretrained | model_ResEncTimeConditioned | timestamped
