run_id,run_name,project,modality,model,learning_rate,batch_size,epochs,epoch,Test_Balanced_Accuracy,Test_Accuracy,Test_F1,Test_AUROC,Test_AP,Test_Precision,Test_Recall,Test_Sensitivity,Test_Specificity,Val_Balanced_Accuracy,Val_F1,Val_AUROC,Val_AP,notes
7245696370.39277-aa42b98e-a424,resenc_VoCo_pretrained_t2f_2025-08-04_10-45-15,july_stratified_brats23_gli_vs_met_single_t2f,T2f,ResEncoder_Classifier,8e-05,4,200,200,0.6356273293495178,,0.6848480701446533,0.975327730178833,0.9300637245178224,,,,,0.8314536809921265,0.8810717463493347,0.962406039237976,0.9383281469345092,pretrained | model_ResEncoder_Classifier | mod_t2f | timestamped
7245876103.48856-39f0f099-3c67,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f_2025-08-02_10-10-51,july_stratified_brats23_gli_vs_met_single_t2f,T2f,ResEncoder_Classifier,8e-05,4,200,200,0.5,,0.4651567935943603,0.972565531730652,0.9518988132476808,,,,,0.8970985412597656,0.8970985412597656,0.952284574508667,0.9399349689483644,pretrained | model_ResEncoder_Classifier | mod_t2f | timestamped
7245873629.39482-1daad422-6f6f,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f_2025-08-02_09-28-10,july_stratified_brats23_gli_vs_met_single_t2f,T2f,ResEncoder_Classifier,0.0001,4,200,200,0.6499999761581421,,0.7058581709861755,0.9695693254470824,0.9439269304275512,,,,,0.8880374431610107,0.901183784008026,0.9793232679367064,0.9557466506958008,pretrained | model_ResEncoder_Classifier | mod_t2f | timestamped
7245969104.81442-5e2adbee-1243,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f_2025-08-01_06-55-01,july_stratified_brats23_gli_vs_met_single_t2f,T2f,ResEncoder_Classifier,0.0001,4,200,200,0.6499999761581421,,0.7058581709861755,0.9695693254470824,0.9439269304275512,,,,,0.8880374431610107,0.901183784008026,0.9793232679367064,0.9557466506958008,pretrained | model_ResEncoder_Classifier | mod_t2f | timestamped
7245820258.09787-309ed0a4-1919,resenc_time_conditioned_pretrained_t1c_2025-08-03_02-18-41,july_stratified_brats23_gli_vs_met_single_t1c,T1c,ResEncTimeConditioned,8e-05,4,200,200,0.7250000238418579,,0.7905606031417847,0.9670880436897278,0.9335244297981262,,,,,0.866155743598938,0.8963913321495056,0.9216792583465576,0.913253366947174,pretrained | model_ResEncTimeConditioned | mod_t1c | timestamped
7246050537.42321-9c14c102-28e8,dinov2_pretrained_t2f_2025-07-31_08-16-34,july_stratified_brats23_gli_vs_met_single_t2f,T2f,dinov2,2e-05,1,50,100,0.7906367182731628,,0.8285599946975708,0.966666579246521,0.9138631224632264,,,,,0.7892327308654785,0.8364149332046509,0.961634874343872,0.9002599120140076,pretrained | mod_t2f | timestamped
7245995984.89755-80794de5-2d94,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w_2025-07-31_23-32-18,july_stratified_brats23_gli_vs_met_single_t2w,T2w,ResEncoder_Classifier,5e-05,4,200,200,0.5,,0.4651567935943603,0.9660580158233644,0.953952431678772,,,,,0.8345382809638977,0.8273584842681885,0.9185463786125184,0.8976294994354248,pretrained | model_ResEncoder_Classifier | mod_t2w | timestamped
7245608197.46813-c791558d-deb7,resenc_multimodal_mm_mdae_pretrained_pretrained_t2f_2025-08-05_11-16-58,july_stratified_brats23_gli_vs_met_single_t2f,T2f,ResEncoderMultiModal_Classifier,3e-05,4,200,200,0.5,,0.4651567935943603,0.9655430316925048,0.9461053013801576,,,,,0.8642760515213013,0.8897666335105896,0.9419703483581544,0.8966121077537537,pretrained | model_ResEncoderMultiModal_Classifier | mod_t2f | timestamped
7245608628.03960-1a69f647-b3c0,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f_2025-08-05_11-08-07,july_stratified_brats23_gli_vs_met_single_t2f,T2f,ResEncoder_Classifier,3e-05,4,200,200,0.5,,0.4651567935943603,0.9655430316925048,0.9461053013801576,,,,,0.8642760515213013,0.8897666335105896,0.9419703483581544,0.8966121077537537,pretrained | model_ResEncoder_Classifier | mod_t2f | timestamped
7245608358.27633-cb70f5e0-84f2,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f_2025-08-05_11-13-20,july_stratified_brats23_gli_vs_met_single_t2f,T2f,ResEncoder_Classifier,3e-05,4,200,200,0.5,,0.4651567935943603,0.9655430316925048,0.9461053013801576,,,,,0.8642760515213013,0.8897666335105896,0.9419703483581544,0.8966121077537537,pretrained | model_ResEncoder_Classifier | mod_t2f | timestamped
7245607518.87220-fbd0fb45-25e8,resenc_multimodal_mm_mdae_pretrained_pretrained_t2f_2025-08-05_11-28-18,july_stratified_brats23_gli_vs_met_single_t2f,T2f,ResEncoderMultiModal_Classifier,3e-05,4,200,200,0.5,,0.4651567935943603,0.9655430316925048,0.9461053013801576,,,,,0.8642760515213013,0.8897666335105896,0.9419703483581544,0.8966121077537537,pretrained | model_ResEncoderMultiModal_Classifier | mod_t2f | timestamped
7245589373.51335-cdfbed02-8a48,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f_2025-08-05_16-26-34,july_stratified_brats23_gli_vs_met_single_t2f,T2f,ResEncoder_Classifier,7e-05,4,180,180,0.5,,0.4651567935943603,0.9642322063446044,0.932896375656128,,,,,0.8842779994010925,0.8885260820388794,0.9631289839744568,0.9392043352127076,pretrained | model_ResEncoder_Classifier | mod_t2f | timestamped
7245996011.05152-2ff5c6f8-15dc,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1n_2025-07-31_23-32-28,july_stratified_brats23_gli_vs_met_single_t1n,T1n,ResEncoder_Classifier,5e-05,4,200,200,0.5,,0.4651567935943603,0.9634363651275636,0.9504302740097046,,,,,0.8292365670204163,0.8403738737106323,0.9570561051368712,0.8853658437728882,pretrained | model_ResEncoder_Classifier | mod_t1n | timestamped
7245589387.29641-cb58b691-3b48,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w_2025-08-05_16-26-33,july_stratified_brats23_gli_vs_met_single_t2w,T2w,ResEncoder_Classifier,7e-05,4,180,180,0.5,,0.4651567935943603,0.9617041349411012,0.952789306640625,,,,,0.8542028069496155,0.8033527135848999,0.9609600305557252,0.9041299819946288,pretrained | model_ResEncoder_Classifier | mod_t2w | timestamped
7245605929.57625-85892e90-1d49,resenc_VoCo_pretrained_t2w_2025-08-05_16-12-14,july_stratified_brats23_gli_vs_met_single_t2w,T2w,ResEncoder_Classifier,3e-05,4,200,200,0.6106273531913757,,0.651631236076355,0.960159182548523,0.9102461338043212,,,,,0.9483805894851683,0.9295547008514404,0.9790340662002563,0.9694228172302246,pretrained | model_ResEncoder_Classifier | mod_t2w | timestamped
7245607558.01250-911c1723-07ba,resenc_multimodal_mm_mdae_pretrained_pretrained_t1n_2025-08-05_11-27-09,july_stratified_brats23_gli_vs_met_single_t1n,T1n,ResEncoderMultiModal_Classifier,3e-05,4,200,200,0.5,,0.4651567935943603,0.958567440509796,0.9500364065170288,,,,,0.8654810190200806,0.8324213027954102,0.9125698804855348,0.9023298025131226,pretrained | model_ResEncoderMultiModal_Classifier | mod_t1n | timestamped
7245608236.33309-673a418d-d3f2,resenc_multimodal_mm_mdae_pretrained_pretrained_t1n_2025-08-05_11-16-57,july_stratified_brats23_gli_vs_met_single_t1n,T1n,ResEncoderMultiModal_Classifier,3e-05,4,200,200,0.5,,0.4651567935943603,0.958567440509796,0.9500364065170288,,,,,0.8654810190200806,0.8324213027954102,0.9125698804855348,0.9023298025131226,pretrained | model_ResEncoderMultiModal_Classifier | mod_t1n | timestamped
7245608397.67310-14fb8a3a-e27e,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1n_2025-08-05_11-14-20,july_stratified_brats23_gli_vs_met_single_t1n,T1n,ResEncoder_Classifier,3e-05,4,200,200,0.5,,0.4651567935943603,0.958567440509796,0.9500364065170288,,,,,0.8654810190200806,0.8324213027954102,0.9125698804855348,0.9023298025131226,pretrained | model_ResEncoder_Classifier | mod_t1n | timestamped
7245995970.51610-5cafc26e-c554,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f_2025-07-31_23-32-22,july_stratified_brats23_gli_vs_met_single_t2f,T2f,ResEncoder_Classifier,5e-05,4,200,200,0.5,,0.4651567935943603,0.9551498293876648,0.9470860958099364,,,,,0.9061596393585204,0.8932297229766846,0.977491855621338,0.9250164031982422,pretrained | model_ResEncoder_Classifier | mod_t2f | timestamped
7245913909.91901-a98b3b43-210b,brainiac_pretrained_t2f_2025-08-01_22-13-18,july_stratified_brats23_gli_vs_met_single_t2f,T2f,brainiac,6e-05,4,200,200,0.6231273412704468,,0.6685473322868347,0.9549157619476318,0.8892099857330322,,,,,0.8186331391334534,0.8708539009094238,0.9278966188430786,0.8979803323745728,pretrained | mod_t2f | timestamped
7245873642.42591-556055f4-c4bb,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w_2025-08-02_09-27-41,july_stratified_brats23_gli_vs_met_single_t2w,T2w,ResEncoder_Classifier,0.0001,4,200,200,0.5,,0.4651567935943603,0.9533239603042604,0.9475363492965698,,,,,0.9424040913581848,0.8794742226600647,0.9812994003295898,0.943018674850464,pretrained | model_ResEncoder_Classifier | mod_t2w | timestamped
7245969118.68207-0a6c995c-2058,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w_2025-08-01_06-55-05,july_stratified_brats23_gli_vs_met_single_t2w,T2w,ResEncoder_Classifier,0.0001,4,200,200,0.5,,0.4651567935943603,0.9533239603042604,0.9475363492965698,,,,,0.9424040913581848,0.8794742226600647,0.9812994003295898,0.943018674850464,pretrained | model_ResEncoder_Classifier | mod_t2w | timestamped
7245589417.98093-d62fb924-be31,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1n_2025-08-05_16-27-16,july_stratified_brats23_gli_vs_met_single_t1n,T1n,ResEncoder_Classifier,7e-05,4,180,180,0.5,,0.4651567935943603,0.953136682510376,0.9433047771453856,,,,,0.8417196869850159,0.8205232620239258,0.9527183175086976,0.9242901802062988,pretrained | model_ResEncoder_Classifier | mod_t1n | timestamped
7245917871.61022-b1416325-8fd3,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f_2025-08-01_21-08-01,july_stratified_brats23_gli_vs_met_single_t2f,T2f,ResEncoder_Classifier,6e-05,4,200,200,0.5,,0.4651567935943603,0.9506086111068726,0.9473873376846312,,,,,0.8639386892318726,0.8561320900917053,0.965346097946167,0.9000863432884216,pretrained | model_ResEncoder_Classifier | mod_t2f | timestamped
7245917885.42482-88a1cc57-f5ee,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w_2025-08-01_21-07-49,july_stratified_brats23_gli_vs_met_single_t2w,T2w,ResEncoder_Classifier,6e-05,4,200,200,0.5,,0.4651567935943603,0.9496254920959472,0.9455775022506714,,,,,0.7941970825195312,0.7941970825195312,0.9477058053016664,0.8842566013336182,pretrained | model_ResEncoder_Classifier | mod_t2w | timestamped
7245876116.17630-cfbede75-0301,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w_2025-08-02_10-10-39,july_stratified_brats23_gli_vs_met_single_t2w,T2w,ResEncoder_Classifier,8e-05,4,200,200,0.5,,0.4651567935943603,0.9479401111602784,0.9359446167945862,,,,,0.8582996129989624,0.8396241664886475,0.9469828605651855,0.8825393915176392,pretrained | model_ResEncoder_Classifier | mod_t2w | timestamped
7245917911.19087-f04e98c7-9202,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1n_2025-08-01_21-09-05,july_stratified_brats23_gli_vs_met_single_t1n,T1n,ResEncoder_Classifier,6e-05,4,200,200,0.5,,0.4651567935943603,0.9475187063217164,0.9425195455551147,,,,,0.867698073387146,0.867698073387146,0.9510314464569092,0.9107887744903564,pretrained | model_ResEncoder_Classifier | mod_t1n | timestamped
7245608371.93152-38d89884-8acb,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w_2025-08-05_11-13-20,july_stratified_brats23_gli_vs_met_single_t2w,T2w,ResEncoder_Classifier,3e-05,4,200,200,0.5,,0.4651567935943603,0.9460206031799316,0.9441646337509156,,,,,0.8160786628723145,0.8027531504631042,0.9582610726356506,0.9077569246292114,pretrained | model_ResEncoder_Classifier | mod_t2w | timestamped
7245608641.20000-71e719c5-ddc8,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w_2025-08-05_11-07-46,july_stratified_brats23_gli_vs_met_single_t2w,T2w,ResEncoder_Classifier,3e-05,4,200,200,0.5,,0.4651567935943603,0.9460206031799316,0.9441646337509156,,,,,0.8160786628723145,0.8027531504631042,0.9582610726356506,0.9077569246292114,pretrained | model_ResEncoder_Classifier | mod_t2w | timestamped
7245607532.72323-4b8cc0ce-67f5,resenc_multimodal_mm_mdae_pretrained_pretrained_t2w_2025-08-05_11-27-22,july_stratified_brats23_gli_vs_met_single_t2w,T2w,ResEncoderMultiModal_Classifier,3e-05,4,200,200,0.5,,0.4651567935943603,0.9460206031799316,0.9441646337509156,,,,,0.8160786628723145,0.8027531504631042,0.9582610726356506,0.9077569246292114,pretrained | model_ResEncoderMultiModal_Classifier | mod_t2w | timestamped
7245588986.51619-5a2a2d33-f658,resenc_multimodal_mm_mdae_pretrained_pretrained_t2w_2025-08-05_16-31-25,july_stratified_brats23_gli_vs_met_single_t2w,T2w,ResEncoderMultiModal_Classifier,7e-05,4,180,180,0.5,,0.4651567935943603,0.9450374841690063,0.9470741152763368,,,,,0.8454791307449341,0.8309312462806702,0.953055739402771,0.8906261920928955,pretrained | model_ResEncoderMultiModal_Classifier | mod_t2w | timestamped
