run_id,run_name,project,modality,model,learning_rate,batch_size,epochs,epoch,Test_Balanced_Accuracy,Test_F1,Test_AUROC,Test_AP,Val_Balanced_Accuracy,Val_F1,Val_AUROC,Val_AP,wandb_notes
7245696343.70940-77282aa9-6808,resenc_VoCo_pretrained_t1c_2025-08-04_10-39-23,july_stratified_brats23_men_vs_met_single_t1c,T1c,ResEncoder_Classifier,8e-05,4,200,200.0,0.5,0.3418803513050079,0.9760135412216188,0.976402997970581,0.9608454704284668,0.9605194330215454,0.9868329763412476,0.9874098896980286,
7245875419.98126-15bc64d5-796f,resenc_time_conditioned_pretrained_t2f_2025-08-02_08-58-27,july_stratified_brats23_men_vs_met_single_t2f,T2f,ResEncTimeConditioned,8e-05,4,200,200.0,0.5,0.3245614171028137,0.9702702760696412,0.9699050188064576,0.9615384340286256,0.9605194330215454,0.9986139535903932,0.9986577033996582,
7245588083.66206-d9b64e37-df09,resenc_VoCo_pretrained_t1n_2025-08-05_16-43-52,july_stratified_brats23_men_vs_met_single_t1n,T1n,ResEncoder_Classifier,7e-05,4,180,180.0,0.5,0.3418803513050079,0.9685810804367064,0.9693551063537598,0.9615384340286256,0.9605194330215454,0.9916839599609376,0.9920216798782348,
7245875465.53184-7a3e8a35-19e3,resenc_time_conditioned_pretrained_t1n_2025-08-02_08-58-32,july_stratified_brats23_men_vs_met_single_t1n,T1n,ResEncTimeConditioned,8e-05,4,200,200.0,0.6875,0.6464646458625793,0.9655405282974244,0.9675551652908324,0.9230769276618958,0.9208333492279052,0.9993070363998412,0.9993239045143129,
7246051120.45694-f7e86eb3-5d58,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1c_2025-07-31_10-57-07,july_stratified_brats23_men_vs_met_single_t1c,T1c,ResEncoder_Classifier,2e-05,1,200,200.0,0.7124999761581421,0.6796889305114746,0.9648648500442504,0.9666114449501038,0.8953568935394287,0.8947368264198303,0.964656949043274,0.9659857749938964,
7245977425.59437-b6ee67f7-e713,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f_2025-08-01_04-34-49,july_stratified_brats23_men_vs_met_single_t2f,T2f,ResEncoder_Classifier,2e-05,4,200,200.0,0.5,0.3418803513050079,0.9648648500442504,0.9639153480529784,0.8582813739776611,0.8540247678756714,0.9577269554138184,0.9568989276885986,
7245829114.22305-95ee743d-e43c,resenc_time_conditioned_pretrained_t2f_2025-08-02_21-46-32,july_stratified_brats23_men_vs_met_single_t2f,T2f,ResEncTimeConditioned,0.0001,4,200,200.0,0.5,0.3245614171028137,0.9641891717910768,0.9635074138641356,0.8839223980903625,0.8810641765594482,0.9670825004577636,0.9688252210617064,
7245607464.51493-05d9647b-7f63,resenc_multimodal_mm_mdae_pretrained_pretrained_t2f_2025-08-05_11-27-29,july_stratified_brats23_men_vs_met_single_t2f,T2f,ResEncoderMultiModal_Classifier,3e-05,4,200,200.0,0.5,0.3418803513050079,0.9641891717910768,0.961334466934204,0.909563422203064,0.907750964164734,0.9570339918136596,0.9482988715171814,
7246051015.51451-e85d46f6-55c8,resenc_multimodal_mm_mdae_pretrained_pretrained_t2f_2025-07-31_08-08-18,july_stratified_brats23_men_vs_met_single_t2f,T2f,ResEncoderMultiModal_Classifier,2e-05,4,100,100.0,0.5,0.3418803513050079,0.9635134935379028,0.9630898237228394,0.9223839044570924,0.92099791765213,0.975051999092102,0.9764211177825928,
7245917814.60849-9429b069-a23e,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f_2025-08-01_21-08-09,july_stratified_brats23_men_vs_met_single_t2f,T2f,ResEncoder_Classifier,6e-05,4,200,200.0,0.7307432889938354,0.7193877696990967,0.9587838053703308,0.956614911556244,0.9102563858032228,0.907494306564331,0.9868329763412476,0.9875698685646056,
