run_id,run_name,project,modality,model,learning_rate,batch_size,epochs,epoch,test_balanced_accuracy,test_accuracy,test_f1,test_auc,test_precision,test_recall,test_sensitivity,test_specificity,val_balanced_accuracy,val_f1,val_auc,notes
7245993233.69942-72d6876f-f220,brainiac_pretrained_t1w_2025-08-01_00-11-31,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,T1w,brainiac,5e-05,4.0,100.0,100.0,0.5002642869949341,,0.35555556416511536,,,,,,0.4807027578353882,0.4611872434616089,,pretrained | timestamped
7245993181.40047-2cbcb2a1-e715,brainiac_scratch_t1w_2025-08-01_00-12-33,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,T1w,brainiac,5e-05,4.0,100.0,100.0,0.466173380613327,,0.3382936716079712,,,,,,0.4907833933830261,0.4290957450866699,,scratch | timestamped
7245993062.47494-9a167d98-c855,mri_core_frozen_t1w_2025-08-01_00-14-19,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,T1w,MRICore,5e-05,4.0,100.0,100.0,0.5,,0.33076924085617065,,,,,,0.5,0.3444444537162781,,frozen | model_MRICore | timestamped
7245992995.77415-f069bfe6-a2a5,brainmvp_pretrained_t1w_2025-08-01_00-16-20,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,T1w,brainmvp,5e-05,4.0,100.0,100.0,0.5,,0.33076924085617065,,,,,,0.5,0.3444444537162781,,pretrained | timestamped
7245992939.39604-0d290b1f-6b06,resenc_multimodal_mm_mdae_pretrained_pretrained_t1w_2025-08-01_00-19-04,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,T1w,ResEncoderMultiModal_Classifier,5e-05,4.0,100.0,100.0,0.5,,0.33076924085617065,,,,,,0.47897467017173767,0.45116281509399414,,pretrained | model_ResEncoderMultiModal_Classifier | timestamped
7245993121.90267-14829a29-2ef0,mri_core_pretrained_t1w_2025-08-01_00-19-02,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,T1w,MRICore,5e-05,1.0,100.0,100.0,0.5,,0.33076924085617065,,,,,,0.5,0.3444444537162781,,pretrained | model_MRICore | timestamped
7245992822.80585-cc724b7c-fd52,resenc_pretrained_t1w_2025-08-01_02-15-57,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,T1w,ResEncoder_Classifier,5e-05,4.0,100.0,100.0,0.5,,0.33076924085617065,,,,,,0.5,0.3444444537162781,,pretrained | model_ResEncoder_Classifier | timestamped
7245992886.97927-b4c61e82-7f64,resenc_time_conditioned_pretrained_t1w_2025-08-01_02-15-49,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,T1w,ResEncTimeConditioned,5e-05,4.0,200.0,200.0,0.5,,0.33076924085617065,,,,,,0.4611175060272217,0.42700502276420593,,pretrained | model_ResEncTimeConditioned | timestamped
7245992770.38149-8ebbf8b5-127e,dinov2_pretrained_t1w_2025-08-01_00-25-57,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,T1w,dinov2,5e-05,1.0,50.0,100.0,0.5,,0.3358778655529022,,,,,,0.5,0.3444444537162781,,pretrained | timestamped
7245992652.41155-7cf5d037-5a50,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1w_2025-08-01_00-27-28,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,T1w,ResEncoder_Classifier,5e-05,4.0,200.0,200.0,0.5,,0.3358778655529022,,,,,,0.46889400482177734,0.4647351503372192,,pretrained | model_ResEncoder_Classifier | timestamped
7245992708.19932-274dac1d-936a,dinov2_frozen_t1w_2025-08-01_01-12-25,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,T1w,dinov2,5e-05,4.0,50.0,100.0,0.5187631845474243,,0.5093985199928284,,,,,,0.5679723620414734,0.5675170421600342,,frozen | timestamped
7245977411.29688-cc16c87e-d31d,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1w_2025-08-01_04-35-18,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,T1w,ResEncoder_Classifier,2e-05,4.0,200.0,200.0,0.5177061557769775,,0.5166666507720947,,,,,,0.45823734998703,0.44863903522491455,,pretrained | model_ResEncoder_Classifier | timestamped
7245976609.19618-d5a3d441-4835,resenc_time_conditioned_pretrained_t1w_2025-08-01_06-12-49,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,T1w,ResEncTimeConditioned,2e-05,4.0,200.0,200.0,0.5,,0.33076924085617065,,,,,,0.4930875599384308,0.4866917431354522,,pretrained | model_ResEncTimeConditioned | timestamped
7245974810.61965-c0b5d9f1-e329,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1w_2025-08-01_05-25-39,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,T1w,ResEncoder_Classifier,2e-05,1.0,200.0,4.0,,,,,,,,,0.5,0.3444444537162781,,pretrained | model_ResEncoder_Classifier | timestamped
7245973981.34895-ae4ea552-4c1d,resenc_time_conditioned_pretrained_t1w_2025-08-01_05-37-28,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,T1w,ResEncTimeConditioned,2e-05,1.0,200.0,200.0,0.5,,0.3358778655529022,,,,,,0.4985598921775818,0.48339372873306274,,pretrained | model_ResEncTimeConditioned | timestamped
7245973105.83617-191dbbdb-abfd,brainiac_pretrained_t1w_2025-08-01_05-46-23,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,T1w,brainiac,0.0001,4.0,100.0,100.0,0.5,,0.33076924085617065,,,,,,0.4539170563220978,0.4265216588973999,,pretrained | timestamped
7245972287.27093-24a9a568-d612,mri_core_pretrained_t1w_2025-08-01_06-12-59,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,T1w,MRICore,0.0001,1.0,100.0,100.0,0.5,,0.3358778655529022,,,,,,0.5,0.3444444537162781,,pretrained | model_MRICore | timestamped
7245971467.88755-6cb39595-d999,brainmvp_pretrained_t1w_2025-08-01_06-19-03,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,T1w,brainmvp,0.0001,4.0,100.0,100.0,0.4696089029312134,,0.45918920636177063,,,,,,0.4804147481918335,0.4800260066986084,,pretrained | timestamped
7245970670.59221-078334c0-312d,resenc_time_conditioned_pretrained_t1w_2025-08-01_06-28-54,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,T1w,ResEncTimeConditioned,0.0001,4.0,200.0,200.0,0.5,,0.33076924085617065,,,,,,0.5,0.3444444537162781,,pretrained | model_ResEncTimeConditioned | timestamped
7245969846.81545-4dc34c16-7baa,dinov2_pretrained_t1w_2025-08-01_06-45-13,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,T1w,dinov2,0.0001,1.0,50.0,100.0,0.5,,0.3358778655529022,,,,,,0.5,0.3444444537162781,,pretrained | timestamped
7245969026.58759-af6cb620-4736,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1w_2025-08-01_07-05-18,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,T1w,ResEncoder_Classifier,0.0001,4.0,200.0,200.0,0.5108351111412048,,0.38922449946403503,,,,,,0.5011520385742188,0.4939367175102234,,pretrained | model_ResEncoder_Classifier | timestamped
7245917801.03022-282a15c8-73e4,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1w_2025-08-01_21-09-07,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,T1w,ResEncoder_Classifier,6e-05,4.0,200.0,200.0,0.4904862642288208,,0.43103447556495667,,,,,,0.544066846370697,0.5388925671577454,,pretrained | model_ResEncoder_Classifier | timestamped
7245916960.52969-666e59d7-f343,resenc_time_conditioned_pretrained_t1w_2025-08-01_21-28-42,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,T1w,ResEncTimeConditioned,6e-05,4.0,200.0,200.0,0.5,,0.33076924085617065,,,,,,0.4593893885612488,0.4137820601463318,,pretrained | model_ResEncTimeConditioned | timestamped
7245915069.54594-81b6a778-c8ff,mri_core_pretrained_t1w_2025-08-01_21-53-49,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,T1w,MRICore,6e-05,4.0,200.0,200.0,0.5,,0.33076924085617065,,,,,,0.5,0.3444444537162781,,pretrained | model_MRICore | timestamped
7245914648.13212-9ccfb6eb-ba08,dinov2_pretrained_t1w_2025-08-01_22-05-03,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,T1w,dinov2,6e-05,4.0,50.0,200.0,0.5,,0.3358778655529022,,,,,,0.5,0.3444444537162781,,pretrained | timestamped
7245914246.82479-86541f7f-2b3b,brainmvp_pretrained_t1w_2025-08-01_22-07-51,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,T1w,brainmvp,6e-05,4.0,200.0,200.0,0.5,,0.3358778655529022,,,,,,0.531682014465332,0.4811386168003082,,pretrained | timestamped
7245913839.88831-49bd9218-daa9,brainiac_pretrained_t1w_2025-08-01_22-14-23,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,T1w,brainiac,6e-05,4.0,200.0,200.0,0.5327695608139038,,0.4651372134685517,,,,,,0.4717741906642914,0.4498203992843628,,pretrained | timestamped
7245876089.98279-1ddb80ad-72e3,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1w_2025-08-02_10-10-29,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,T1w,ResEncoder_Classifier,8e-05,4.0,200.0,200.0,0.518498957157135,,0.5120192170143127,,,,,,0.5397465229034424,0.5219751000404358,,pretrained | model_ResEncoder_Classifier | timestamped
7245875353.30638-aabd77ca-7e4d,resenc_time_conditioned_pretrained_t1w_2025-08-02_08-58-37,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,T1w,ResEncTimeConditioned,8e-05,4.0,200.0,200.0,0.5,,0.33076924085617065,,,,,,0.4602534770965576,0.42065250873565674,,pretrained | model_ResEncTimeConditioned | timestamped
7245874439.59425-a27c1703-0ed0,resenc_pretrained_t1w_2025-08-02_09-17-50,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,T1w,ResEncoder_Classifier,0.0001,4.0,200.0,200.0,0.5,,0.33076924085617065,,,,,,0.4369239807128906,0.4083159565925598,,pretrained | model_ResEncoder_Classifier | timestamped
7245873615.71339-c06e8f36-04a6,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1w_2025-08-02_09-26-27,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,T1w,ResEncoder_Classifier,0.0001,4.0,200.0,200.0,0.5108351111412048,,0.38922449946403503,,,,,,0.5011520385742188,0.4939367175102234,,pretrained | model_ResEncoder_Classifier | timestamped
7245829050.28739-ab4d3b39-f8b9,resenc_time_conditioned_pretrained_t1w_2025-08-02_21-47-39,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,T1w,ResEncTimeConditioned,0.0001,4.0,200.0,200.0,0.573731541633606,,0.5710859298706055,,,,,,0.5,0.3444444537162781,,pretrained | model_ResEncTimeConditioned | timestamped
7245826540.82457-4900a951-f7f8,resenc_time_conditioned_pretrained_t1w_2025-08-02_22-30-26,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,T1w,ResEncTimeConditioned,6e-05,4.0,200.0,200.0,0.46379491686820984,,0.3868646025657654,,,,,,0.515841007232666,0.4545760154724121,,pretrained | model_ResEncTimeConditioned | timestamped
7245824315.97785-038beee4-6c32,resenc_time_conditioned_pretrained_t1w_2025-08-02_23-12-46,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,T1w,ResEncTimeConditioned,2e-05,4.0,200.0,200.0,0.5,,0.33076924085617065,,,,,,0.5,0.3444444537162781,,pretrained | model_ResEncTimeConditioned | timestamped
7245820217.79045-9f7f4a33-857a,resenc_time_conditioned_pretrained_t1w_2025-08-03_01-25-26,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,T1w,ResEncTimeConditioned,8e-05,4.0,200.0,200.0,0.5,,0.33076924085617065,,,,,,0.5256336331367493,0.4759868383407593,,pretrained | model_ResEncTimeConditioned | timestamped
7245739446.10414-3039805b-cadc,mri_core_pretrained_t1w_2025-08-03_22-48-12,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,T1w,MRICore,0.0001,1.0,100.0,100.0,0.5,,0.33076924085617065,,,,,,0.5,0.3444444537162781,,pretrained | model_MRICore | timestamped
