run_id,run_name,project,modality,model,learning_rate,batch_size,epochs,epoch,Test_Balanced_Accuracy,Test_Accuracy,Test_F1,Test_AUROC,Test_AP,Test_Precision,Test_Recall,Test_Sensitivity,Test_Specificity,Val_Balanced_Accuracy,Val_F1,Val_AUROC,Val_AP,notes
7245320021.93316-38315971-425f,resenc_MDAE_pretrained_mixed_contrasts_2025-08-08_19-19-57,july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,6e-05,4.0,200.0,200.0,0.4642857015132904,,0.3421052694320678,0.7597402334213257,0.7394715547561646,,,,,0.6136363744735718,0.5993589758872986,0.551948070526123,0.5599102973937988,pretrained | model_ResEncoder_Classifier | mod_mixed_contrasts | timestamped
7245589103.31606-e9d1aac0-f30b,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_mixed_contrasts_2025-08-05_16-26-10,july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,7e-05,4.0,180.0,180.0,0.7207792401313782,,0.718196451663971,0.7207791805267334,0.7297800779342651,,,,,0.4870129823684693,0.4799999892711639,0.5324674844741821,0.5429887771606445,pretrained | model_ResEncoder_Classifier | mod_mixed_contrasts | timestamped
7245976006.04643-dcf44c8b-686d,resenc_time_conditioned_pretrained_mixed_contrasts_2025-08-01_05-01-54,july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts,mixed_contrasts,ResEncTimeConditioned,2e-05,4.0,200.0,200.0,0.5,,0.3589743673801422,0.6883116960525513,0.7062641382217407,,,,,0.5227272510528564,0.5192307829856873,0.4870129823684693,0.5302340984344482,pretrained | model_ResEncTimeConditioned | mod_mixed_contrasts | timestamped
7245586136.92029-9080fab7-3b2c,resenc_S3D_pretrained_mixed_contrasts_2025-08-05_17-20-58,july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,7e-05,4.0,180.0,180.0,0.548701286315918,,0.5484400391578674,0.6558441519737244,0.699730634689331,,,,,0.6655844449996948,0.6666666865348816,0.6428571343421936,0.6436647772789001,pretrained | model_ResEncoder_Classifier | mod_mixed_contrasts | timestamped
7245318380.95402-f042c12b-2dbd,resenc_MDAE_pretrained_mixed_contrasts_2025-08-08_19-39-13,july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,6e-05,4.0,200.0,200.0,0.4740259647369385,,0.4047619104385376,0.649350643157959,0.6586809158325195,,,,,0.5779221057891846,0.5571658611297607,0.5974025726318359,0.6364933848381042,pretrained | model_ResEncoder_Classifier | mod_mixed_contrasts | timestamped
7245998195.37593-6cdbf817-b8c3,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_mixed_contrasts_2025-07-31_22-55-51,july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,5e-05,1.0,200.0,200.0,0.5,,0.3589743673801422,0.649350643157959,0.6485655903816223,,,,,0.3863636255264282,0.3842364549636841,0.3441558480262756,0.4350402653217316,pretrained | model_ResEncoder_Classifier | mod_mixed_contrasts | timestamped
7245587814.09339-16940136-b095,resenc_VoCo_pretrained_mixed_contrasts_2025-08-05_16-53-44,july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,7e-05,4.0,180.0,180.0,0.5389610528945923,,0.5331069231033325,0.6233766078948975,0.6333969831466675,,,,,0.451298713684082,0.4391025602817535,0.4675324559211731,0.5377130508422852,pretrained | model_ResEncoder_Classifier | mod_mixed_contrasts | timestamped
7245914859.17507-7d166805-0671,mri_core_pretrained_mixed_contrasts_2025-08-01_21-58-18,july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts,mixed_contrasts,MRICore,6e-05,4.0,200.0,200.0,0.5,,0.3589743673801422,0.5827922224998474,0.6096007823944092,,,,,0.5,0.3589743673801422,0.266233742237091,0.4286178052425385,pretrained | model_MRICore | mod_mixed_contrasts | timestamped
7245607517.83679-1e19bea8-9c71,resenc_time_conditioned_pretrained_mixed_contrasts_2025-08-05_11-28-09,july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts,mixed_contrasts,ResEncTimeConditioned,3e-05,4.0,200.0,200.0,0.5097402334213257,,0.4282744228839874,0.5779221057891846,0.6000732183456421,,,,,0.3798701465129852,0.350649356842041,0.4610389769077301,0.5074062943458557,pretrained | model_ResEncTimeConditioned | mod_mixed_contrasts | timestamped
7245588659.61176-05bb0cc5-ca59,resenc_multimodal_mm_mdae_pretrained_pretrained_mixed_contrasts_2025-08-05_16-39-44,july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts,mixed_contrasts,ResEncoderMultiModal_Classifier,7e-05,4.0,180.0,180.0,0.5616883039474487,,0.4791666865348816,0.5779221057891846,0.6246206760406494,,,,,0.2337662428617477,0.2351046800613403,0.207792192697525,0.3899285793304443,pretrained | model_ResEncoderMultiModal_Classifier | mod_mixed_contrasts | timestamped
7245999981.77825-9b129d3c-6c75,resenc_pretrained_mixed_contrasts_2025-07-31_22-20-13,july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,5e-05,4.0,100.0,100.0,0.5,,0.3589743673801422,0.5779221057891846,0.6026248931884766,,,,,0.5,0.3589743673801422,0.4285714030265808,0.4727819859981537,pretrained | model_ResEncoder_Classifier | mod_mixed_contrasts | timestamped
7245976805.18200-14948ecd-bf5d,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_mixed_contrasts_2025-08-01_06-22-01,july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,2e-05,4.0,200.0,200.0,0.6590908765792847,,0.6376811265945435,0.5714285373687744,0.5867339372634888,,,,,0.4610389471054077,0.4318181872367859,0.4675324559211731,0.52752685546875,pretrained | model_ResEncoder_Classifier | mod_mixed_contrasts | timestamped
7245969232.88103-155b0a07-53bf,dinov2_pretrained_mixed_contrasts_2025-08-01_06-56-41,july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts,mixed_contrasts,dinov2,0.0001,1.0,50.0,100.0,0.5,,0.3589743673801422,0.5714285373687744,0.6098467111587524,,,,,0.5,0.3589743673801422,0.5779221057891846,0.6325291395187378,pretrained | mod_mixed_contrasts | timestamped
7245973331.93961-4547f85e-3dad,resenc_time_conditioned_pretrained_mixed_contrasts_2025-08-01_05-43-22,july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts,mixed_contrasts,ResEncTimeConditioned,2e-05,1.0,200.0,200.0,0.5,,0.3589743673801422,0.5649350881576538,0.6398731470108032,,,,,0.5681818127632141,0.5600000023841858,0.5454545021057129,0.5731848478317261,pretrained | model_ResEncTimeConditioned | mod_mixed_contrasts | timestamped
7245608345.64395-86c4c6cc-d45b,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_mixed_contrasts_2025-08-05_11-13-11,july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,3e-05,4.0,200.0,200.0,0.4383116960525512,,0.380952388048172,0.5649350881576538,0.5792062878608704,,,,,0.4610389471054077,0.4318181872367859,0.4805194735527038,0.5288329124450684,pretrained | model_ResEncoder_Classifier | mod_mixed_contrasts | timestamped
7245607114.71052-2af5d5c9-a4c7,resenc_VoCo_pretrained_mixed_contrasts_2025-08-05_11-26-26,july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,3e-05,4.0,200.0,200.0,0.548701286315918,,0.5484400391578674,0.5584415197372437,0.5915921926498413,,,,,0.4870129823684693,0.4799999892711639,0.3766233325004577,0.44553142786026,pretrained | model_ResEncoder_Classifier | mod_mixed_contrasts | timestamped
7245916349.24595-cf1b7a89-d8aa,resenc_time_conditioned_pretrained_mixed_contrasts_2025-08-01_21-35-56,july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts,mixed_contrasts,ResEncTimeConditioned,6e-05,4.0,200.0,200.0,0.5,,0.3589743673801422,0.551948070526123,0.6170408725738525,,,,,0.4058441519737244,0.4000000059604645,0.4155844449996948,0.517039954662323,pretrained | model_ResEncTimeConditioned | mod_mixed_contrasts | timestamped
7245606287.81643-0533bcbe-a7f3,resenc_VF_pretrained_mixed_contrasts_2025-08-05_12-00-32,july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,3e-05,4.0,200.0,200.0,0.5,,0.3589743673801422,0.5259740352630615,0.5953050851821899,,,,,0.5324675440788269,0.5192307829856873,0.6233766078948975,0.6908251643180847,pretrained | model_ResEncoder_Classifier | mod_mixed_contrasts | timestamped
7245586947.57307-098c3a6a-69bb,resenc_VF_pretrained_mixed_contrasts_2025-08-05_17-09-21,july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,7e-05,4.0,180.0,180.0,0.5,,0.3589743673801422,0.5194804668426514,0.564358115196228,,,,,0.5681818127632141,0.5600000023841858,0.5649350881576538,0.6188940405845642,pretrained | model_ResEncoder_Classifier | mod_mixed_contrasts | timestamped
7245606728.93661-7dd03177-3e53,resenc_SimCLR_pretrained_mixed_contrasts_2025-08-05_11-34-15,july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,3e-05,4.0,200.0,200.0,0.5324675440788269,,0.5192307829856873,0.4740259647369385,0.4980465471744537,,,,,0.4675324857234955,0.4663382768630981,0.4675324559211731,0.5121915340423584,pretrained | model_ResEncoder_Classifier | mod_mixed_contrasts | timestamped
7245588234.65983-f2e662c9-f350,resenc_time_conditioned_pretrained_mixed_contrasts_2025-08-05_16-49-52,july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts,mixed_contrasts,ResEncTimeConditioned,7e-05,4.0,180.0,180.0,0.4837662279605865,,0.4485294222831726,0.4675324559211731,0.5272777080535889,,,,,0.5389610528945923,0.5331069231033325,0.4415584504604339,0.4915634393692016,pretrained | model_ResEncTimeConditioned | mod_mixed_contrasts | timestamped
7245914040.22086-a7c68ca3-188e,brainmvp_pretrained_mixed_contrasts_2025-08-01_22-11-08,july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts,mixed_contrasts,brainmvp,6e-05,4.0,200.0,200.0,0.5,,0.3055555522441864,0.4675324559211731,0.5154155492782593,,,,,0.4610389471054077,0.4318181872367859,0.4220779538154602,0.5034751892089844,pretrained | mod_mixed_contrasts | timestamped
7245998209.12932-97871ccf-4172,resenc_pretrained_mixed_contrasts_2025-07-31_22-55-47,july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,5e-05,4.0,100.0,100.0,0.5,,0.3589743673801422,0.4675324559211731,0.5405209064483643,,,,,0.4935064911842346,0.4791666865348816,0.551948070526123,0.5510206818580627,pretrained | model_ResEncoder_Classifier | mod_mixed_contrasts | timestamped
7245606043.22659-ee967158-0897,resenc_time_conditioned_pretrained_mixed_contrasts_2025-08-05_15-56-10,july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts,mixed_contrasts,ResEncTimeConditioned,3e-05,4.0,200.0,200.0,0.4870129823684693,,0.4799999892711639,0.4675324559211731,0.5025328993797302,,,,,0.6136363744735718,0.5993589758872986,0.6038961410522461,0.6443064212799072,pretrained | model_ResEncTimeConditioned | mod_mixed_contrasts | timestamped
7245606838.61216-a41ccdf7-8915,resenc_multimodal_mm_mdae_pretrained_pretrained_mixed_contrasts_2025-08-05_11-31-11,july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts,mixed_contrasts,ResEncoderMultiModal_Classifier,3e-05,4.0,200.0,200.0,0.4642857015132904,,0.3421052694320678,0.4545454382896423,0.5078655481338501,,,,,0.5032467842102051,0.5,0.3831169009208679,0.4500509202480316,pretrained | model_ResEncoderMultiModal_Classifier | mod_mixed_contrasts | timestamped
7245970868.59500-45adfb9e-d48f,brainmvp_pretrained_mixed_contrasts_2025-08-01_07-16-41,july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts,mixed_contrasts,brainmvp,0.0001,4.0,100.0,100.0,0.5,,0.3589743673801422,0.4545454382896423,0.528900146484375,,,,,0.5,0.3589743673801422,0.4610389471054077,0.5645816922187805,pretrained | mod_mixed_contrasts | timestamped
7245998134.07230-d917b937-78ca,mri_core_pretrained_mixed_contrasts_2025-07-31_23-01-19,july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts,mixed_contrasts,MRICore,5e-05,1.0,100.0,100.0,0.5,,0.3589743673801422,0.4545454382896423,0.5114179253578186,,,,,0.5,0.3589743673801422,0.2987012863159179,0.4256472289562225,pretrained | model_MRICore | mod_mixed_contrasts | timestamped
7245998155.37007-6caecadd-6f02,mri_core_frozen_mixed_contrasts_2025-07-31_22-50-05,july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts,mixed_contrasts,MRICore,5e-05,4.0,100.0,100.0,0.5,,0.3589743673801422,0.4366883039474487,0.5050615668296814,,,,,0.5,0.3589743673801422,0.3636363744735718,0.4601321518421173,frozen | model_MRICore | mod_mixed_contrasts | timestamped
7245319220.50193-8ce9c75d-bd83,resenc_MDAE_pretrained_mixed_contrasts_2025-08-08_19-26-03,july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,6e-05,4.0,200.0,200.0,0.5,,0.3589743673801422,0.4350649118423462,0.5323605537414551,,,,,0.2337662428617477,0.2351046800613403,0.259740263223648,0.4272261261940002,pretrained | model_ResEncoder_Classifier | mod_mixed_contrasts | timestamped
7245607912.41669-fdc8f16a-707d,resenc_multimodal_mm_mdae_pretrained_pretrained_mixed_contrasts_2025-08-05_11-21-58,july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts,mixed_contrasts,ResEncoderMultiModal_Classifier,3e-05,4.0,200.0,200.0,0.409090906381607,,0.2647058963775635,0.4285714626312256,0.4708863496780395,,,,,0.5876623392105103,0.5484400391578674,0.5584415197372437,0.5871400833129883,pretrained | model_ResEncoderMultiModal_Classifier | mod_mixed_contrasts | timestamped
7245917161.67306-39b7f3d0-dfe0,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_mixed_contrasts_2025-08-01_21-26-24,july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,6e-05,4.0,200.0,200.0,0.3896103799343109,,0.3333333432674408,0.4025973677635193,0.4809926748275757,,,,,0.6136363744735718,0.5993589758872986,0.5064934492111206,0.5271523594856262,pretrained | model_ResEncoder_Classifier | mod_mixed_contrasts | timestamped
7245585719.27300-1b8536b6-9980,resenc_MG_pretrained_mixed_contrasts_2025-08-05_17-26-33,july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,7e-05,4.0,180.0,180.0,0.402597427368164,,0.356617659330368,0.4025973677635193,0.4624391794204712,,,,,0.4675324857234955,0.4663382768630981,0.4610389471054077,0.5311046838760376,pretrained | model_ResEncoder_Classifier | mod_mixed_contrasts | timestamped
7245974184.40715-e3488d39-1e34,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_mixed_contrasts_2025-08-01_05-29-24,july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,2e-05,1.0,200.0,200.0,0.5551947951316833,,0.5039682388305664,0.3961038887500763,0.5078134536743164,,,,,0.4318181872367859,0.4318181872367859,0.4090909361839294,0.49641814827919,pretrained | model_ResEncoder_Classifier | mod_mixed_contrasts | timestamped
7245971661.73640-0401f094-bfe3,mri_core_pretrained_mixed_contrasts_2025-08-01_06-16-15,july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts,mixed_contrasts,MRICore,0.0001,1.0,100.0,100.0,0.5,,0.3589743673801422,0.3896103799343109,0.4715021550655365,,,,,0.5,0.3589743673801422,0.4350649416446686,0.5001987218856812,pretrained | model_MRICore | mod_mixed_contrasts | timestamped
7245970059.14510-6cbc012e-8b9c,resenc_time_conditioned_pretrained_mixed_contrasts_2025-08-01_06-42-35,july_stratified_tcga_gbm_dss_1year_single_mixed_contrasts,mixed_contrasts,ResEncTimeConditioned,0.0001,4.0,200.0,200.0,0.5,,0.3589743673801422,0.3831169009208679,0.479788988828659,,,,,0.5389610528945923,0.5331069231033325,0.4870129823684693,0.5168049335479736,pretrained | model_ResEncTimeConditioned | mod_mixed_contrasts | timestamped
