run_id,run_name,project,modality,model,learning_rate,batch_size,epochs,epoch,Test_Balanced_Accuracy,Test_F1,Test_AUROC,Test_AP,Val_Balanced_Accuracy,Val_F1,Val_AUROC,Val_AP,wandb_notes
7245320009.23026-d3391686-ad5a,resenc_MDAE_pretrained_mixed_contrasts_2025-08-08_19-12-33,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,6e-05,4,200,200.0,0.5,0.422222226858139,0.7443608641624451,0.7063518762588501,0.5277777910232544,0.5252747535705566,0.4629629850387573,0.5624196529388428,
7245998068.29477-0c8e2fc4-a6ae,dinov2_pretrained_mixed_contrasts_2025-07-31_22-57-04,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,dinov2,5e-05,1,50,100.0,0.5,0.422222226858139,0.7218044996261597,0.7019551992416382,0.5,0.4285714328289032,0.555555522441864,0.5991207361221313,
7245995262.53944-312cba20-8ee3,mri_core_frozen_mixed_contrasts_2025-07-31_23-38-11,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,MRICore,5e-05,4,100,100.0,0.5,0.422222226858139,0.7218044996261597,0.7707509994506836,0.5,0.4285714328289032,0.5486111640930176,0.5929334163665771,
7245971648.41532-c9f4ecfb-ac2d,mri_core_pretrained_mixed_contrasts_2025-08-01_06-23-36,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,MRICore,0.0001,1,100,100.0,0.5,0.422222226858139,0.6992481350898743,0.7150086164474487,0.5,0.4285714328289032,0.4537037014961242,0.5341017842292786,
7245914846.07839-1ae40741-645a,mri_core_pretrained_mixed_contrasts_2025-08-01_22-00-23,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,MRICore,6e-05,4,200,200.0,0.5,0.422222226858139,0.6917293071746826,0.701295018196106,0.5,0.4285714328289032,0.4537037014961242,0.5155705213546753,
7245587800.24055-70d9a086-a2b7,resenc_VoCo_pretrained_mixed_contrasts_2025-08-05_16-53-50,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,7e-05,4,180,180.0,0.5,0.422222226858139,0.6917293071746826,0.6491970419883728,0.4166666567325592,0.3846153914928436,0.546296238899231,0.5668454170227051,
7245975993.31696-6331eb06-9d9f,resenc_time_conditioned_pretrained_mixed_contrasts_2025-08-01_05-01-57,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,ResEncTimeConditioned,2e-05,4,200,200.0,0.5,0.422222226858139,0.6691729426383972,0.6578984260559082,0.4722222089767456,0.4666666984558105,0.444444477558136,0.5265249013900757,
7245998042.43607-218179c8-daa1,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_mixed_contrasts_2025-07-31_22-57-18,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,5e-05,1,200,200.0,0.5,0.422222226858139,0.6616541147232056,0.6281400322914124,0.5277777910232544,0.5213675498962402,0.5,0.5965827703475952,
7245998081.38803-b4cc871d-277b,dinov2_frozen_mixed_contrasts_2025-07-31_22-57-04,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,dinov2,5e-05,4,50,100.0,0.5263158082962036,0.2687500119209289,0.6616541147232056,0.6273503303527832,0.5,0.4285714328289032,0.546296238899231,0.5725977420806885,
7245998029.62045-0870499b-bee6,resenc_multimodal_mm_mdae_pretrained_pretrained_mixed_contrasts_2025-07-31_22-57-18,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,ResEncoderMultiModal_Classifier,5e-05,4,100,100.0,0.5,0.422222226858139,0.6165413856506348,0.6025000810623169,0.5277777910232544,0.5213675498962402,0.3240740895271301,0.4582604765892029,
