run_id,run_name,project,modality,model,learning_rate,batch_size,epochs,epoch,Test_Balanced_Accuracy,Test_F1,Test_AUROC,Test_AP,Val_Balanced_Accuracy,Val_F1,Val_AUROC,Val_AP,wandb_notes
7245319923.23974-5d0bea23-aeff,resenc_MDAE_pretrained_asl_2025-08-08_19-22-19,july_stratified_ucsf_pdgm_idh_classification_single_asl,ASL,ResEncoder_Classifier,6e-05,4,200,200.0,0.6520146727561951,0.6702892184257507,0.8131868243217468,0.7628761529922485,0.7337662577629089,0.7378442287445068,0.8385900259017944,0.7978310585021973,
7245587025.81428-015cf8ac-27c0,resenc_VF_pretrained_asl_2025-08-05_17-10-41,july_stratified_ucsf_pdgm_idh_classification_single_asl,ASL,ResEncoder_Classifier,7e-05,4,180,180.0,0.6978021860122681,0.6978021860122681,0.7967032790184021,0.7036405801773071,0.6839827299118042,0.6776316165924072,0.8027210235595703,0.7671467065811157,
7245913687.15084-2a11c509-21da,brainiac_pretrained_asl_2025-08-01_22-16-50,july_stratified_ucsf_pdgm_idh_classification_single_asl,ASL,brainiac,6e-05,4,200,200.0,0.66300368309021,0.6743420958518982,0.7924298048019409,0.7510921359062195,0.6190476417541504,0.5910276174545288,0.7421150207519531,0.6869509220123291,
7246061963.77075-17d15308-f1d6,dinov2_pretrained_swi_2025-07-31_05-06-18,july_stratified_ucsf_pdgm_idh_classification_single_swi,SWI,dinov2,2e-05,1,50,100.0,0.5,0.4406779706478119,0.7912087440490723,0.7038792967796326,0.5,0.4399999976158142,0.5488559007644653,0.5376182794570923,
7245605952.38374-36cc2b59-c0ee,resenc_SwinUNETR_pretrained_asl_2025-08-05_16-10-04,july_stratified_ucsf_pdgm_idh_classification_single_asl,ASL,ResEncoder_Classifier,3e-05,4,200,200.0,0.726190447807312,0.7070593237876892,0.7893772125244141,0.7221128940582275,0.6580086350440979,0.6797385811805725,0.8085961937904358,0.7199735641479492,
7246061939.70902-601c3878-61af,dinov2_pretrained_asl_2025-07-31_05-06-41,july_stratified_ucsf_pdgm_idh_classification_single_asl,ASL,dinov2,2e-05,1,50,100.0,0.6593406796455383,0.6424999833106995,0.788156270980835,0.7395369410514832,0.5,0.4399999976158142,0.612863302230835,0.6439374089241028,
7245607187.65396-8dccec5d-6848,resenc_VoCo_pretrained_asl_2025-08-05_11-26-06,july_stratified_ucsf_pdgm_idh_classification_single_asl,ASL,ResEncoder_Classifier,3e-05,4,200,200.0,0.6776556968688965,0.7131543159484863,0.7878510355949402,0.760331392288208,0.6645021438598633,0.6902769804000854,0.8314781188964844,0.7759795188903809,
7245462834.99309-73a9a008-6616,eva_mg_pretrained_asl_2025-08-07_03-32-01,july_stratified_ucsf_pdgm_idh_classification_single_asl,ASL,Eva_MAE,0.0001,2,200,200.0,0.610805869102478,0.6272590160369873,0.7799144983291626,0.7234743237495422,0.6363636255264282,0.6363636255264282,0.6709957122802734,0.6710057854652405,
7245588751.49735-9784b9f0-8565,resenc_multimodal_mm_mdae_pretrained_pretrained_swi_2025-08-05_16-37-03,july_stratified_ucsf_pdgm_idh_classification_single_swi,SWI,ResEncoderMultiModal_Classifier,7e-05,4,180,180.0,0.5347985625267029,0.5193063616752625,0.7710622549057007,0.7029664516448975,0.588744580745697,0.6009050011634827,0.7303649187088013,0.7248921990394592,
7245693061.05662-7162d9d4-1ca6,resenc_VF_pretrained_asl_2025-08-04_11-50-32,july_stratified_ucsf_pdgm_idh_classification_single_asl,ASL,ResEncoder_Classifier,8e-05,4,200,200.0,0.6263736486434937,0.6328011751174927,0.7701465487480164,0.7151999473571777,0.7943723201751709,0.7995279431343079,0.8806431889533997,0.856415867805481,
7246061370.23325-6c84d76a-6ad0,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_swi_2025-07-31_11-02-32,july_stratified_ucsf_pdgm_idh_classification_single_swi,SWI,ResEncoder_Classifier,5e-06,1,200,200.0,0.75,0.7250000238418579,0.7698413133621216,0.7159714102745056,0.7164502143859863,0.7279111742973328,0.7816945314407349,0.7351019382476807,
7245914539.89952-96347246-e60f,dinov2_pretrained_swi_2025-08-01_22-05-14,july_stratified_ucsf_pdgm_idh_classification_single_swi,SWI,dinov2,6e-05,4,50,200.0,0.5,0.4406779706478119,0.7698412537574768,0.6948087215423584,0.5,0.4399999976158142,0.5411255359649658,0.5297577381134033,
7245587477.42806-5945d9a2-f81a,resenc_SimCLR_pretrained_asl_2025-08-05_17-00-00,july_stratified_ucsf_pdgm_idh_classification_single_asl,ASL,ResEncoder_Classifier,7e-05,4,180,180.0,0.7060439586639404,0.7283951044082642,0.7680097818374634,0.729738712310791,0.6450216770172119,0.6597222089767456,0.7999381422996521,0.7575985193252563,
7245719046.46568-66d84ef2-24b4,brainiac_pretrained_asl_2025-08-04_04-27-19,july_stratified_ucsf_pdgm_idh_classification_single_asl,ASL,brainiac,6e-05,4,200,200.0,0.6327838897705078,0.6417763233184814,0.764346718788147,0.7025002241134644,0.7554112672805786,0.7341139316558838,0.7724180221557617,0.7287387251853943,
7245587897.48868-5c63be16-af11,resenc_VoCo_pretrained_swi_2025-08-05_16-52-11,july_stratified_ucsf_pdgm_idh_classification_single_swi,SWI,ResEncoder_Classifier,7e-05,4,180,180.0,0.7435897588729858,0.7152445316314697,0.7594627141952515,0.714039146900177,0.7359307408332825,0.761805534362793,0.8429189920425415,0.8215326070785522,
7245694614.61356-0e3ea523-91e3,resenc_MG_pretrained_asl_2025-08-04_11-08-06,july_stratified_ucsf_pdgm_idh_classification_single_asl,ASL,ResEncoder_Classifier,8e-05,4,200,200.0,0.6758241653442383,0.6944444179534912,0.7585470676422119,0.7173089385032654,0.6926407217979431,0.7061958909034729,0.8002473711967468,0.7819600105285645,
7245918108.51329-6a62f992-e2a9,resenc_pretrained_swi_2025-08-01_21-03-22,july_stratified_ucsf_pdgm_idh_classification_single_swi,SWI,ResEncoder_Classifier,6e-05,4,200,200.0,0.5,0.4406779706478119,0.7585470080375671,0.6545373201370239,0.5,0.4399999976158142,0.6725417375564575,0.6424319744110107,
