run_id,run_name,project,modality,model,learning_rate,batch_size,epochs,epoch,test_balanced_accuracy,test_accuracy,test_f1,test_auc,test_precision,test_recall,test_sensitivity,test_specificity,val_balanced_accuracy,val_f1,val_auc,notes
7245977358.16990-a1fb824a-23ee,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-01_04-41-03,july_stratified_upenn_gbm_age_group_single_t1,T1,ResEncoder_Classifier,2e-05,4,200,200,0.7780671119689941,,0.7780671119689941,,,,,,0.7037037014961243,0.7007672786712646,,pretrained | model_ResEncoder_Classifier | timestamped
7245976549.85969-23ff8b0c-c478,resenc_time_conditioned_pretrained_t1_2025-08-01_05-54-57,july_stratified_upenn_gbm_age_group_single_t1,T1,ResEncTimeConditioned,2e-05,4,200,200,0.7517361044883728,,0.752082884311676,,,,,,0.7195767164230347,0.7205970287322998,,pretrained | model_ResEncTimeConditioned | timestamped
7245974759.37008-f4c97b83-a892,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-01_05-56-45,july_stratified_upenn_gbm_age_group_single_t1,T1,ResEncoder_Classifier,2e-05,1,200,200,0.7424768209457397,,0.743105947971344,,,,,,0.7037037014961243,0.7045454978942871,,pretrained | model_ResEncoder_Classifier | timestamped
7245973916.23625-2b63da4c-2ced,resenc_time_conditioned_pretrained_t1_2025-08-01_06-02-54,july_stratified_upenn_gbm_age_group_single_t1,T1,ResEncTimeConditioned,2e-05,1,200,200,0.6536458730697632,,0.6519174575805664,,,,,,0.6640211343765259,0.6642137169837952,,pretrained | model_ResEncTimeConditioned | timestamped
7245973053.53506-21848999-e7fa,brainiac_pretrained_t1_2025-08-01_05-53-38,july_stratified_upenn_gbm_age_group_single_t1,T1,brainiac,0.0001,1,100,100,0.5,,0.35164836049079895,,,,,,0.4986772537231446,0.32899409532546997,,pretrained | timestamped
7245972223.70574-d6e3b27b-32c8,mri_core_pretrained_t1_2025-08-01_06-12-59,july_stratified_upenn_gbm_age_group_single_t1,T1,MRICore,0.0001,1,100,100,0.5,,0.35164836049079895,,,,,,0.5,0.3499999940395355,,pretrained | model_MRICore | timestamped
7245971413.93456-4acc877d-ccaa,brainmvp_pretrained_t1_2025-08-01_06-16-56,july_stratified_upenn_gbm_age_group_single_t1,T1,brainmvp,0.0001,1,100,100,0.5610532760620117,,0.44878214597702026,,,,,,0.4907407462596894,0.3117647171020508,,pretrained | timestamped
7245970618.79065-a9deb28d-fdf8,resenc_time_conditioned_pretrained_t1_2025-08-01_06-37-19,july_stratified_upenn_gbm_age_group_single_t1,T1,ResEncTimeConditioned,0.0001,4,200,200,0.5,,0.35164836049079895,,,,,,0.6296296119689941,0.6080547571182251,,pretrained | model_ResEncTimeConditioned | timestamped
7245969784.54105-0ec7da4b-0dec,dinov2_pretrained_t1_2025-08-01_06-53-11,july_stratified_upenn_gbm_age_group_single_t1,T1,dinov2,0.0001,1,50,100,0.5,,0.35164836049079895,,,,,,0.5,0.31578946113586426,,pretrained | timestamped
7245968972.64771-270d9d98-0aad,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-01_07-50-00,july_stratified_upenn_gbm_age_group_single_t1,T1,ResEncoder_Classifier,0.0001,4,200,200,0.7731481790542603,,0.7707748413085938,,,,,,0.7182539701461792,0.7172050476074219,,pretrained | model_ResEncoder_Classifier | timestamped
7245918586.65046-b8b89387-e0cd,resenc_pretrained_t1_2025-08-01_21-08-19,july_stratified_upenn_gbm_age_group_single_t1,T1,ResEncoder_Classifier,6e-05,1,200,200,0.7326388955116272,,0.728735625743866,,,,,,0.6613756418228149,0.661824643611908,,pretrained | model_ResEncoder_Classifier | timestamped
7245917736.13369-d5fc00ad-dbac,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-01_21-10-08,july_stratified_upenn_gbm_age_group_single_t1,T1,ResEncoder_Classifier,6e-05,4,200,200,0.7054398059844971,,0.7064676284790039,,,,,,0.6957671642303467,0.6965093016624451,,pretrained | model_ResEncoder_Classifier | timestamped
7245916899.80874-4b6208c7-3407,resenc_time_conditioned_pretrained_t1_2025-08-01_21-31-13,july_stratified_upenn_gbm_age_group_single_t1,T1,ResEncTimeConditioned,6e-05,4,200,200,0.5324074029922485,,0.5175499320030212,,,,,,0.6865079402923584,0.6836682558059692,,pretrained | model_ResEncTimeConditioned | timestamped
7245884028.79427-53bcbc36-19e0,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-02_08-20-37,july_stratified_upenn_gbm_age_group_single_t1,T1,ResEncoder_Classifier,6e-05,4,200,200,0.7537615299224854,,0.7556935548782349,,,,,,0.7301587462425232,0.7311939597129822,,pretrained | model_ResEncoder_Classifier | timestamped
7245883633.96527-9c1abc21-6a8c,resenc_time_conditioned_pretrained_t1_2025-08-02_06-37-29,july_stratified_upenn_gbm_age_group_single_t1,T1,ResEncTimeConditioned,6e-05,4,200,200,0.6400462985038757,,0.6403483152389526,,,,,,0.7129629850387573,0.7093805074691772,,pretrained | model_ResEncTimeConditioned | timestamped
7245883244.29982-6e040114-8faf,mri_core_pretrained_t1_2025-08-02_06-50-55,july_stratified_upenn_gbm_age_group_single_t1,T1,MRICore,6e-05,4,200,200,0.5,,0.3139534890651703,,,,,,0.5,0.31578946113586426,,pretrained | model_MRICore | timestamped
7245882858.52767-f5bb3786-d3df,dinov2_pretrained_t1_2025-08-02_06-52-26,july_stratified_upenn_gbm_age_group_single_t1,T1,dinov2,6e-05,4,50,200,0.5943287014961243,,0.5357556343078613,,,,,,0.5251322984695435,0.4289849996566773,,pretrained | timestamped
7245882461.45208-0549b8e3-c2c3,brainmvp_pretrained_t1_2025-08-02_07-03-20,july_stratified_upenn_gbm_age_group_single_t1,T1,brainmvp,6e-05,4,200,200,0.5567129850387573,,0.47051283717155457,,,,,,0.4841269850730896,0.3426966369152069,,pretrained | timestamped
7245882074.76545-ef2bfe91-1817,brainiac_pretrained_t1_2025-08-02_07-05-33,july_stratified_upenn_gbm_age_group_single_t1,T1,brainiac,6e-05,4,200,200,0.5943287014961243,,0.5869101881980896,,,,,,0.6415343880653381,0.632306694984436,,pretrained | timestamped
7245875805.00802-412e673a-1bac,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-02_10-15-38,july_stratified_upenn_gbm_age_group_single_t1,T1,ResEncoder_Classifier,0.0001,4,200,200,0.6655092239379883,,0.6640695333480835,,,,,,0.6719576716423035,0.6723172068595886,,pretrained | model_ResEncoder_Classifier | timestamped
7245875088.69952-73aac7c4-2b5b,resenc_time_conditioned_pretrained_t1_2025-08-02_09-00-09,july_stratified_upenn_gbm_age_group_single_t1,T1,ResEncTimeConditioned,8e-05,4,200,199,,,,,,,,,0.6574074029922485,0.6568914651870728,,pretrained | model_ResEncTimeConditioned | timestamped
7245873351.09937-59ef8ed0-f1e1,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-02_09-37-45,july_stratified_upenn_gbm_age_group_single_t1,T1,ResEncoder_Classifier,0.0001,4,200,200,0.7688078880310059,,0.7691806554794312,,,,,,0.7407407760620117,0.7413030862808228,,pretrained | model_ResEncoder_Classifier | timestamped
7245828788.79602-504089ed-1b91,resenc_time_conditioned_pretrained_t1_2025-08-02_22-43-27,july_stratified_upenn_gbm_age_group_single_t1,T1,ResEncTimeConditioned,0.0001,4,200,200,0.7005208730697632,,0.7007896900177002,,,,,,0.7050265073776245,0.7008547186851501,,pretrained | model_ResEncTimeConditioned | timestamped
7245824047.22039-84f69431-c9b7,resenc_time_conditioned_pretrained_t1_2025-08-02_23-16-42,july_stratified_upenn_gbm_age_group_single_t1,T1,ResEncTimeConditioned,2e-05,4,200,200,0.7010995149612427,,0.7014880776405334,,,,,,0.7195767164230347,0.7205970287322998,,pretrained | model_ResEncTimeConditioned | timestamped
