run_id,run_name,project,modality,model,learning_rate,batch_size,epochs,epoch,Test_Balanced_Accuracy,Test_F1,Test_AUROC,Test_AP,Val_Balanced_Accuracy,Val_F1,Val_AUROC,Val_AP,wandb_notes
7245694507.43011-b48915bb-d2f1,resenc_MG_pretrained_t2_2025-08-04_11-16-52,july_stratified_upenn_gbm_gender_single_t2,T2,ResEncoder_Classifier,8e-05,4.0,200.0,200.0,0.7939209938049316,0.7996575236320496,0.8729482889175415,0.8728079795837402,0.8223403692245483,0.8277411460876465,0.9060790538787842,0.9064162969589232,
7245696103.15462-8d2e93ee-f720,resenc_VoCo_pretrained_t1_2025-08-04_10-43-21,july_stratified_upenn_gbm_gender_single_t1,T1,ResEncoder_Classifier,8e-05,4.0,200.0,200.0,0.7550151944160461,0.7639796733856201,0.8720364570617676,0.8709024786949158,0.8933130502700806,0.8933130502700806,0.9650455713272096,0.9685416221618652,
7245696077.85274-a4dcd069-05ce,resenc_VoCo_pretrained_t2_2025-08-04_10-44-00,july_stratified_upenn_gbm_gender_single_t2,T2,ResEncoder_Classifier,8e-05,4.0,200.0,200.0,0.7835866212844849,0.7967574000358582,0.8717324733734131,0.881450891494751,0.8861702084541321,0.8848163485527039,0.9364742040634156,0.9116007089614868,
7245977270.29487-a54a8cdb-2006,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2_2025-08-01_04-41-26,july_stratified_upenn_gbm_gender_single_t2,T2,ResEncoder_Classifier,2e-05,4.0,200.0,200.0,0.7940729260444641,0.8039575815200806,0.8702127933502197,0.8673837184906006,0.8329787254333496,0.8374999761581421,0.898480236530304,0.8787584900856018,
7245974695.95152-2dc91f1a-72db,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-01_05-22-34,july_stratified_upenn_gbm_gender_single_t1,T1,ResEncoder_Classifier,2e-05,1.0,200.0,200.0,0.7727963328361511,0.7828612923622131,0.8674771785736084,0.8694100975990295,0.8577507734298706,0.8577507734298706,0.9507598876953124,0.954084038734436,
7245884082.70494-aafbea3f-08e5,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-02_08-27-25,july_stratified_upenn_gbm_gender_single_t1,T1,ResEncoder_Classifier,6e-05,4.0,200.0,200.0,0.7054711580276489,0.7113077640533447,0.8623100519180298,0.8615709543228149,0.8721884489059448,0.8810696601867676,0.9270516633987428,0.9309031963348388,
7245695300.21040-8799e05f-be75,resenc_SimCLR_pretrained_t2_2025-08-04_10-57-06,july_stratified_upenn_gbm_gender_single_t2,T2,ResEncoder_Classifier,8e-05,4.0,200.0,200.0,0.7727963328361511,0.7828612923622131,0.8621580600738525,0.8573395609855652,0.7972644567489624,0.7962135672569275,0.8800911903381348,0.8760006427764893,
7245696880.54259-93b0d74e-2f7d,resenc_SwinUNETR_pretrained_t1_2025-08-04_10-37-15,july_stratified_upenn_gbm_gender_single_t1,T1,ResEncoder_Classifier,8e-05,4.0,200.0,200.0,0.7655014991760254,0.7712877988815308,0.8553191423416138,0.8641784191131592,0.8683890700340271,0.8670958280563354,0.9509118795394896,0.9531996846199036,
7245873405.64590-031638fe-9854,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-02_09-28-27,july_stratified_upenn_gbm_gender_single_t1,T1,ResEncoder_Classifier,0.0001,4.0,200.0,200.0,0.7512158155441284,0.7552111744880676,0.8490881323814392,0.8448458313941956,0.9075987935066224,0.9104409217834472,0.9241641759872437,0.9246670603752136,
7245693741.65192-62f92aa9-3f0f,resenc_S3D_pretrained_t2_2025-08-04_11-25-10,july_stratified_upenn_gbm_gender_single_t2,T2,ResEncoder_Classifier,8e-05,4.0,200.0,200.0,0.7437689900398254,0.7380596995353699,0.8480243682861328,0.849284291267395,0.7583586573600769,0.763231635093689,0.8759878873825073,0.8725451231002808,
7245696840.41197-32ad7853-680a,resenc_SwinUNETR_pretrained_t2_2025-08-04_10-38-26,july_stratified_upenn_gbm_gender_single_t2,T2,ResEncoder_Classifier,8e-05,4.0,200.0,200.0,0.7513678073883057,0.7585713863372803,0.8477203845977783,0.8592506647109985,0.8577507734298706,0.8577507734298706,0.9249240159988404,0.9254395961761476,
7245606509.48475-91833d58-a1e3,resenc_time_conditioned_pretrained_t1_2025-08-05_11-40-56,july_stratified_upenn_gbm_gender_single_t1,T1,ResEncTimeConditioned,3e-05,4.0,200.0,200.0,0.7439209222793579,0.7430518865585327,0.844984769821167,0.8490540981292725,0.8613982200622559,0.8651348352432251,0.9437689781188964,0.9458096027374268,
7245692986.61909-6ac04ff9-df6e,resenc_VF_pretrained_t1_2025-08-04_11-48-31,july_stratified_upenn_gbm_gender_single_t1,T1,ResEncoder_Classifier,8e-05,4.0,200.0,200.0,0.6981762647628784,0.703797459602356,0.8446807861328125,0.8505250215530396,0.8756839036941528,0.882138729095459,0.9422492980957032,0.941060483455658,
7245462661.86801-94edb5cd-d6c4,eva_mg_pretrained_t2_2025-08-07_03-40-27,july_stratified_upenn_gbm_gender_single_t2,T2,Eva_MAE,0.0001,2.0,200.0,200.0,0.7901215553283691,0.7880434989929199,0.8419452905654907,0.8343695402145386,0.8329787254333496,0.8374999761581421,0.8384498357772827,0.8206793069839478,
7245917658.33209-4dc323f1-6b98,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2_2025-08-01_21-17-37,july_stratified_upenn_gbm_gender_single_t2,T2,ResEncoder_Classifier,6e-05,4.0,200.0,200.0,0.7443768978118896,0.7530844211578369,0.8416413068771362,0.8201227784156799,0.8188449740409851,0.8261787295341492,0.9106383323669434,0.9031864404678344,
7245692961.76148-96f0a797-8790,resenc_VF_pretrained_t2_2025-08-04_11-59-01,july_stratified_upenn_gbm_gender_single_t2,T2,ResEncoder_Classifier,8e-05,4.0,200.0,200.0,0.7290273904800415,0.7008547186851501,0.8407294750213623,0.8468768000602722,0.8436170220375061,0.847152829170227,0.9243161678314208,0.9193183779716492,
7245318189.46152-d9b8ec24-4e05,resenc_MDAE_pretrained_t2_2025-08-08_19-51-02,july_stratified_upenn_gbm_gender_single_t2,T2,ResEncoder_Classifier,6e-05,4.0,200.0,200.0,0.725227952003479,0.6822752356529236,0.8402736186981201,0.8357075452804565,0.7691489458084106,0.7771428823471069,0.849088191986084,0.842026948928833,
7245974669.81089-b7231a90-2c9a,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2_2025-08-01_06-03-10,july_stratified_upenn_gbm_gender_single_t2,T2,ResEncoder_Classifier,2e-05,1.0,200.0,200.0,0.7367781400680542,0.7350543737411499,0.8398176431655884,0.8345378637313843,0.8223403692245483,0.8277411460876465,0.908358633518219,0.9095850586891174,
7245319812.37658-136e2ff5-732c,resenc_MDAE_pretrained_t2_2025-08-08_22-14-01,july_stratified_upenn_gbm_gender_single_t2,T2,ResEncoder_Classifier,6e-05,4.0,200.0,200.0,0.7504559755325317,0.7263157963752747,0.8389058113098145,0.8299806714057922,0.7550151944160461,0.7639796733856201,0.8699088096618652,0.8670821785926819,
7245462719.96050-48dc106a-fce1,eva_mg_pretrained_t1_2025-08-07_03-34-54,july_stratified_upenn_gbm_gender_single_t1,T1,Eva_MAE,0.0001,2.0,200.0,200.0,0.7124620079994202,0.7193316221237183,0.8384498357772827,0.8450733423233032,0.8224923610687256,0.8328571319580078,0.8718844652175903,0.8802403211593628,
