run_id,run_name,project,modality,model,learning_rate,batch_size,epochs,epoch,test_balanced_accuracy,test_accuracy,test_f1,test_auc,test_precision,test_recall,test_sensitivity,test_specificity,val_balanced_accuracy,val_f1,val_auc,notes
7245992527.90061-82d86229-d8e6,brainiac_scratch_t1gd_2025-08-01_00-28-33,july_stratified_upenn_gbm_gtr_status_single_t1gd,T1gd,brainiac,5e-05,1.0,100.0,100.0,0.5,,0.3723404109477997,,,,,,0.5,0.3709677457809448,,scratch | mod_t1gd | timestamped
7245992472.16036-da2424a2-17a1,mri_core_pretrained_t1gd_2025-08-01_00-28-05,july_stratified_upenn_gbm_gtr_status_single_t1gd,T1gd,MRICore,5e-05,1.0,100.0,100.0,0.5,,0.3723404109477997,,,,,,0.5,0.3709677457809448,,pretrained | model_MRICore | mod_t1gd | timestamped
7245992409.84648-5cdbd3e0-db18,mri_core_frozen_t1gd_2025-08-01_00-28-15,july_stratified_upenn_gbm_gtr_status_single_t1gd,T1gd,MRICore,5e-05,4.0,100.0,100.0,0.5,,0.3723404109477997,,,,,,0.5,0.3709677457809448,,frozen | model_MRICore | mod_t1gd | timestamped
7245992358.03924-a38299d2-6d93,brainmvp_pretrained_t1gd_2025-08-01_00-29-26,july_stratified_upenn_gbm_gtr_status_single_t1gd,T1gd,brainmvp,5e-05,1.0,100.0,100.0,0.5,,0.28915661573410034,,,,,,0.5,0.3709677457809448,,pretrained | mod_t1gd | timestamped
7245992132.34900-c029ed9c-b3d6,dinov2_pretrained_t1gd_2025-08-01_00-29-46,july_stratified_upenn_gbm_gtr_status_single_t1gd,T1gd,dinov2,5e-05,1.0,50.0,100.0,0.5,,0.3723404109477997,,,,,,0.5,0.3709677457809448,,pretrained | mod_t1gd | timestamped
7245992079.89548-d33ad4f3-5d31,dinov2_frozen_t1gd_2025-08-01_00-31-15,july_stratified_upenn_gbm_gtr_status_single_t1gd,T1gd,dinov2,5e-05,4.0,50.0,100.0,0.5,,0.3723404109477997,,,,,,0.5,0.3709677457809448,,frozen | mod_t1gd | timestamped
7245992586.31005-cb764835-ddf4,brainiac_pretrained_t1gd_2025-08-01_00-32-24,july_stratified_upenn_gbm_gtr_status_single_t1gd,T1gd,brainiac,5e-05,1.0,100.0,100.0,0.5,,0.3723404109477997,,,,,,0.5,0.3709677457809448,,pretrained | mod_t1gd | timestamped
7245992026.10055-25688da2-deb0,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1gd_2025-08-01_02-13-58,july_stratified_upenn_gbm_gtr_status_single_t1gd,T1gd,ResEncoder_Classifier,5e-05,4.0,200.0,200.0,0.5,,0.3723404109477997,,,,,,0.5135869979858398,0.512499988079071,,pretrained | model_ResEncoder_Classifier | mod_t1gd | timestamped
7245992304.02121-568c52d5-03c3,resenc_multimodal_mm_mdae_pretrained_pretrained_t1gd_2025-08-01_00-33-56,july_stratified_upenn_gbm_gtr_status_single_t1gd,T1gd,ResEncoderMultiModal_Classifier,5e-05,1.0,100.0,100.0,0.538690447807312,,0.5277301073074341,,,,,,0.5,0.3709677457809448,,pretrained | model_ResEncoderMultiModal_Classifier | mod_t1gd | timestamped
7245992243.74149-bbf91d77-eefe,resenc_time_conditioned_pretrained_t1gd_2025-08-01_00-33-58,july_stratified_upenn_gbm_gtr_status_single_t1gd,T1gd,ResEncTimeConditioned,5e-05,4.0,200.0,200.0,0.5247023701667786,,0.5204644203186035,,,,,,0.595108687877655,0.5873016119003296,,pretrained | model_ResEncTimeConditioned | mod_t1gd | timestamped
