run_id,run_name,project,modality,model,learning_rate,batch_size,epochs,epoch,Test_Balanced_Accuracy,Test_Accuracy,Test_F1,Test_AUROC,Test_AP,Test_Precision,Test_Recall,Test_Sensitivity,Test_Specificity,Val_Balanced_Accuracy,Val_F1,Val_AUROC,Val_AP,notes
7245353944.33520-0f0d6257-dcc3,resenc_MDAE_pretrained_t1_2025-08-08_09-51-52,july_stratified_upenn_gbm_idh1_status_single_t1,T1,ResEncoder_Classifier,0.0001,4,200,200,0.5,,0.4511627852916717,0.6958762407302856,0.6432573795318604,,,,,0.5,0.4507042169570923,0.5148809552192688,0.5087679624557495,pretrained | model_ResEncoder_Classifier | timestamped
7245353365.09231-4d72c67d-31c7,resenc_MDAE_pretrained_t1_2025-08-08_09-59-28,july_stratified_upenn_gbm_idh1_status_single_t1,T1,ResEncoder_Classifier,0.0001,4,200,200,0.5,,0.4511627852916717,0.6514481902122498,0.5870386958122253,,,,,0.5,0.4507042169570923,0.4980158507823944,0.5170837044715881,pretrained | model_ResEncoder_Classifier | timestamped
7245968802.65767-f2025232-8656,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-01_08-08-50,july_stratified_upenn_gbm_idh1_status_single_t1,T1,ResEncoder_Classifier,0.0001,4,200,200,0.5,,0.4511627852916717,0.6435935497283936,0.5866110324859619,,,,,0.5,0.4507042169570923,0.6056547164916992,0.5771713852882385,pretrained | model_ResEncoder_Classifier | timestamped
7245875753.89097-86544019-a403,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-02_10-21-11,july_stratified_upenn_gbm_idh1_status_single_t1,T1,ResEncoder_Classifier,0.0001,4,200,200,0.5,,0.4511627852916717,0.6435935497283936,0.5866110324859619,,,,,0.5,0.4507042169570923,0.6056547164916992,0.5771713852882385,pretrained | model_ResEncoder_Classifier | timestamped
7245884372.49502-52295c24-093c,resenc_pretrained_t1_2025-08-02_06-25-55,july_stratified_upenn_gbm_idh1_status_single_t1,T1,ResEncoder_Classifier,6e-05,4,200,200,0.5,,0.4511627852916717,0.6337751746177673,0.5761200785636902,,,,,0.5,0.4507042169570923,0.6408729553222656,0.6135175824165344,pretrained | model_ResEncoder_Classifier | timestamped
7245355302.75332-dbaae3ef-086d,resenc_MDAE_pretrained_t1_2025-08-08_10-21-16,july_stratified_upenn_gbm_idh1_status_single_t1,T1,ResEncoder_Classifier,0.0001,4,200,200,0.5,,0.4511627852916717,0.6246931552886963,0.589155912399292,,,,,0.5,0.4507042169570923,0.6579861044883728,0.583189845085144,pretrained | model_ResEncoder_Classifier | timestamped
7245874124.50814-4b2dceeb-d331,resenc_pretrained_t1_2025-08-02_09-24-48,july_stratified_upenn_gbm_idh1_status_single_t1,T1,ResEncoder_Classifier,0.0001,4,200,200,0.5,,0.4511627852916717,0.6043200492858887,0.5573133230209351,,,,,0.5,0.4507042169570923,0.6202876567840576,0.6094621419906616,pretrained | model_ResEncoder_Classifier | timestamped
7245974557.64145-b18c4168-3b67,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2_2025-08-01_05-25-48,july_stratified_upenn_gbm_idh1_status_single_t2,T2,ResEncoder_Classifier,2e-05,1,200,200,0.5,,0.4511627852916717,0.6035836935043335,0.5643071532249451,,,,,0.523809552192688,0.4982847571372986,0.7437995672225952,0.6577624678611755,pretrained | model_ResEncoder_Classifier | mod_t2 | timestamped
7245976347.17435-8709e7c1-e84b,resenc_time_conditioned_pretrained_t2_2025-08-01_04-53-26,july_stratified_upenn_gbm_idh1_status_single_t2,T2,ResEncTimeConditioned,2e-05,4,200,200,0.5083456039428711,,0.4854976236820221,0.6008836030960083,0.5585435628890991,,,,,0.664434552192688,0.6902941465377808,0.8129960298538208,0.7033261656761169,pretrained | model_ResEncTimeConditioned | mod_t2 | timestamped
7245819864.06452-d599475d-16e1,resenc_time_conditioned_pretrained_t2_2025-08-03_00-21-20,july_stratified_upenn_gbm_idh1_status_single_t2,T2,ResEncTimeConditioned,8e-05,4,200,200,0.5,,0.4511627852916717,0.5979381799697876,0.5927028059959412,,,,,0.5,0.4507042169570923,0.8157241344451904,0.7661980390548706,pretrained | model_ResEncTimeConditioned | mod_t2 | timestamped
7245917572.96815-b1d980eb-2b3f,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-01_21-12-30,july_stratified_upenn_gbm_idh1_status_single_t1,T1,ResEncoder_Classifier,6e-05,4,200,200,0.5,,0.4511627852916717,0.5976926684379578,0.5652678608894348,,,,,0.5,0.4507042169570923,0.5562995672225952,0.5424111485481262,pretrained | model_ResEncoder_Classifier | timestamped
7245353888.18402-0ba510e5-6911,resenc_MDAE_pretrained_t1_2025-08-08_09-50-00,july_stratified_upenn_gbm_idh1_status_single_t1,T1,ResEncoder_Classifier,0.0001,4,200,200,0.5,,0.4511627852916717,0.5974472165107727,0.565450131893158,,,,,0.5,0.4507042169570923,0.5228174924850464,0.5242847204208374,pretrained | model_ResEncoder_Classifier | timestamped
7245693655.26774-17d00cb3-75c4,resenc_S3D_pretrained_t1_2025-08-04_11-25-34,july_stratified_upenn_gbm_idh1_status_single_t1,T1,ResEncoder_Classifier,8e-05,4,200,200,0.5,,0.4511627852916717,0.5959744453430176,0.5571867823600769,,,,,0.5,0.4507042169570923,0.7286706566810608,0.6758065819740295,pretrained | model_ResEncoder_Classifier | timestamped
7245974591.27046-e72d6867-e328,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-01_06-02-56,july_stratified_upenn_gbm_idh1_status_single_t1,T1,ResEncoder_Classifier,2e-05,1,200,200,0.5,,0.4511627852916717,0.5954835414886475,0.566562294960022,,,,,0.5,0.4507042169570923,0.6624504327774048,0.6475672721862793,pretrained | model_ResEncoder_Classifier | timestamped
7245353742.53455-28f7f612-3824,resenc_MDAE_pretrained_t2_2025-08-08_10-00-14,july_stratified_upenn_gbm_idh1_status_single_t2,T2,ResEncoder_Classifier,0.0001,4,200,200,0.5,,0.4511627852916717,0.5952380895614624,0.5611103773117065,,,,,0.523809552192688,0.4982847571372986,0.8122520446777344,0.7608500719070435,pretrained | model_ResEncoder_Classifier | mod_t2 | timestamped
7245968768.49571-8961c2d2-6ca5,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2_2025-08-01_08-06-56,july_stratified_upenn_gbm_idh1_status_single_t2,T2,ResEncoder_Classifier,0.0001,4,200,200,0.5,,0.4511627852916717,0.593765377998352,0.5663690567016602,,,,,0.5,0.4507042169570923,0.7559523582458496,0.7097741365432739,pretrained | model_ResEncoder_Classifier | mod_t2 | timestamped
7245353808.17734-af24477c-39fa,resenc_MDAE_pretrained_t2_2025-08-08_09-51-59,july_stratified_upenn_gbm_idh1_status_single_t2,T2,ResEncoder_Classifier,0.0001,4,200,200,0.5,,0.4511627852916717,0.5905743837356567,0.5559238791465759,,,,,0.5,0.4507042169570923,0.8085317611694336,0.7077527642250061,pretrained | model_ResEncoder_Classifier | mod_t2 | timestamped
7245882023.78422-e28bf0fb-cd49,brainiac_pretrained_t1_2025-08-02_07-09-27,july_stratified_upenn_gbm_idh1_status_single_t1,T1,brainiac,6e-05,4,200,200,0.4845360815525055,,0.4433962404727936,0.5895925760269165,0.5531946420669556,,,,,0.5297619104385376,0.5293935537338257,0.5084325075149536,0.5065323710441589,pretrained | timestamped
