run_id,run_name,project,modality,model,learning_rate,batch_size,epochs,epoch,test_balanced_accuracy,test_accuracy,test_f1,test_auc,test_precision,test_recall,test_sensitivity,test_specificity,val_balanced_accuracy,val_f1,val_auc,notes
7245977128.50470-b2221e76-4d8e,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-01_06-27-23,july_stratified_upenn_gbm_survival_18month_single_t1,T1,ResEncoder_Classifier,2e-05,4.0,200.0,200.0,0.5006491541862488,,0.4622151553630829,,,,,,0.48650896549224854,0.4861486554145813,,pretrained | model_ResEncoder_Classifier | timestamped
7245976321.03366-2b476c71-12d5,resenc_time_conditioned_pretrained_t1_2025-08-01_05-00-36,july_stratified_upenn_gbm_survival_18month_single_t1,T1,ResEncTimeConditioned,2e-05,4.0,200.0,200.0,0.5,,0.4010152220726013,,,,,,0.5,0.4030612111091614,,pretrained | model_ResEncTimeConditioned | timestamped
7245974532.06854-73bc6db4-4923,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-01_05-26-51,july_stratified_upenn_gbm_survival_18month_single_t1,T1,ResEncoder_Classifier,2e-05,1.0,200.0,200.0,0.5,,0.4010152220726013,,,,,,0.5956029295921326,0.5990259647369385,,pretrained | model_ResEncoder_Classifier | timestamped
7245973687.79599-c41fb6b7-c13b,resenc_time_conditioned_pretrained_t1_2025-08-01_06-02-56,july_stratified_upenn_gbm_survival_18month_single_t1,T1,ResEncTimeConditioned,2e-05,1.0,200.0,200.0,0.5,,0.4010152220726013,,,,,,0.5,0.4030612111091614,,pretrained | model_ResEncTimeConditioned | timestamped
7245972823.37214-31ee0aec-3b5c,brainiac_pretrained_t1_2025-08-01_06-04-02,july_stratified_upenn_gbm_survival_18month_single_t1,T1,brainiac,0.0001,1.0,100.0,100.0,0.5019474029541016,,0.5016149282455444,,,,,,0.5,0.4030612111091614,,pretrained | timestamped
7245971999.23067-f69fb683-ed91,mri_core_pretrained_t1_2025-08-01_06-16-41,july_stratified_upenn_gbm_survival_18month_single_t1,T1,MRICore,0.0001,1.0,100.0,100.0,0.5,,0.4010152220726013,,,,,,0.5,0.4030612111091614,,pretrained | model_MRICore | timestamped
7245971182.68999-9ea2b73e-431a,brainmvp_pretrained_t1_2025-08-01_06-25-18,july_stratified_upenn_gbm_survival_18month_single_t1,T1,brainmvp,0.0001,1.0,100.0,100.0,0.5,,0.4010152220726013,,,,,,0.5,0.4030612111091614,,pretrained | timestamped
7245970385.90989-b73a0401-2603,resenc_time_conditioned_pretrained_t1_2025-08-01_06-34-29,july_stratified_upenn_gbm_survival_18month_single_t1,T1,ResEncTimeConditioned,0.0001,4.0,200.0,200.0,0.5,,0.4010152220726013,,,,,,0.5,0.4030612111091614,,pretrained | model_ResEncTimeConditioned | timestamped
7245969558.67038-a9b4c0f7-fee7,dinov2_pretrained_t1_2025-08-01_06-47-03,july_stratified_upenn_gbm_survival_18month_single_t1,T1,dinov2,0.0001,1.0,50.0,100.0,0.5,,0.4010152220726013,,,,,,0.5,0.4030612111091614,,pretrained | timestamped
7245968737.37783-a2c6241f-15d2,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-01_09-09-17,july_stratified_upenn_gbm_survival_18month_single_t1,T1,ResEncoder_Classifier,0.0001,4.0,200.0,200.0,0.5,,0.4010152220726013,,,,,,0.5088274478912354,0.48076924681663513,,pretrained | model_ResEncoder_Classifier | timestamped
7245918344.96743-638714b9-af80,resenc_pretrained_t1_2025-08-01_20-59-33,july_stratified_upenn_gbm_survival_18month_single_t1,T1,ResEncoder_Classifier,6e-05,1.0,200.0,200.0,0.5,,0.4010152220726013,,,,,,0.5,0.4030612111091614,,pretrained | model_ResEncoder_Classifier | timestamped
7245917519.78888-b6614662-3f4e,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-01_21-21-54,july_stratified_upenn_gbm_survival_18month_single_t1,T1,ResEncoder_Classifier,6e-05,4.0,200.0,200.0,0.5,,0.4010152220726013,,,,,,0.4873417615890503,0.3969072103500366,,pretrained | model_ResEncoder_Classifier | timestamped
7245916669.87212-9d9a7fa2-489d,resenc_time_conditioned_pretrained_t1_2025-08-01_21-27-32,july_stratified_upenn_gbm_survival_18month_single_t1,T1,ResEncTimeConditioned,6e-05,4.0,200.0,200.0,0.5,,0.4010152220726013,,,,,,0.5,0.4030612111091614,,pretrained | model_ResEncTimeConditioned | timestamped
7245884601.63345-4646c133-1412,resenc_pretrained_t1_2025-08-02_06-22-05,july_stratified_upenn_gbm_survival_18month_single_t1,T1,ResEncoder_Classifier,6e-05,4.0,200.0,200.0,0.5,,0.4010152220726013,,,,,,0.4571951925754547,0.42222222685813904,,pretrained | model_ResEncoder_Classifier | timestamped
