run_id,run_name,state,created_at,url,project,metric_epoch,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Val/Balanced_Accuracy,metric_Val/F1,config_model,config_learning_rate,config_batch_size,config_epochs,modality
7245993804.08787-6c768af3-7ad3,brainiac_scratch_t1_2025-08-01_00-02-07,finished,2025-08-01T00:02:38Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_t1/runs/7245993804.08787-6c768af3-7ad3,july_stratified_brats18_lgg_vs_hgg_single_t1,100.0,0.5095238089561462,0.4722222089767456,0.5626984238624573,0.546419084072113,0.5095238089561462,0.4722222089767456,brainiac,5e-05,4.0,100.0,T1
7245993750.99511-66269919-194e,mri_core_pretrained_t1_2025-08-01_00-02-35,finished,2025-08-01T00:03:23Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_t1/runs/7245993750.99511-66269919-194e,july_stratified_brats18_lgg_vs_hgg_single_t1,100.0,0.5,0.42424243688583374,0.5,0.42424243688583374,0.5,0.42424243688583374,MRICore,5e-05,1.0,100.0,T1
7245993856.24297-05008267-38b7,brainiac_pretrained_t1_2025-08-01_00-03-27,finished,2025-08-01T00:03:54Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_t1/runs/7245993856.24297-05008267-38b7,july_stratified_brats18_lgg_vs_hgg_single_t1,100.0,0.4714285731315613,0.4620224833488464,0.7690476179122925,0.7969924807548523,0.38809525966644287,0.34360411763191223,brainiac,5e-05,4.0,100.0,T1
7245993689.91600-7fb79343-8af9,mri_core_frozen_t1_2025-08-01_00-05-25,finished,2025-08-01T00:06:21Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_t1/runs/7245993689.91600-7fb79343-8af9,july_stratified_brats18_lgg_vs_hgg_single_t1,100.0,0.5,0.42424243688583374,0.5,0.42424243688583374,0.5,0.42424243688583374,MRICore,5e-05,4.0,100.0,T1
7245993580.34062-af687fc8-474c,resenc_multimodal_mm_mdae_pretrained_pretrained_t1_2025-08-01_00-07-00,finished,2025-08-01T00:07:29Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_t1/runs/7245993580.34062-af687fc8-474c,july_stratified_brats18_lgg_vs_hgg_single_t1,100.0,0.5928571224212646,0.5167974829673767,0.9396825432777404,0.9396825432777404,0.4452381134033203,0.3943749964237213,ResEncoderMultiModal_Classifier,5e-05,4.0,100.0,T1
7245993639.32994-8cc1a016-2ac4,brainmvp_pretrained_t1_2025-08-01_00-07-25,finished,2025-08-01T00:07:54Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_t1/runs/7245993639.32994-8cc1a016-2ac4,july_stratified_brats18_lgg_vs_hgg_single_t1,100.0,0.5,0.42424243688583374,0.4960317313671112,0.4222972989082336,0.5,0.42424243688583374,brainmvp,5e-05,4.0,100.0,T1
7245993388.05472-fc6953c0-67ce,dinov2_pretrained_t1_2025-08-01_00-09-35,finished,2025-08-01T00:10:00Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_t1/runs/7245993388.05472-fc6953c0-67ce,july_stratified_brats18_lgg_vs_hgg_single_t1,100.0,0.5,0.42424243688583374,0.5,0.42424243688583374,0.5,0.42424243688583374,dinov2,5e-05,1.0,50.0,T1
7245993452.24455-f1bcdec1-d250,resenc_pretrained_t1_2025-08-01_00-09-34,finished,2025-08-01T00:10:12Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_t1/runs/7245993452.24455-f1bcdec1-d250,july_stratified_brats18_lgg_vs_hgg_single_t1,100.0,0.5,0.4181874394416809,0.917460322380066,0.9234967827796936,0.5452381372451782,0.4534488320350647,ResEncoder_Classifier,5e-05,4.0,100.0,T1
7245993275.05404-4b88c7a1-2f1a,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-01_00-10-47,finished,2025-08-01T00:11:34Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_t1/runs/7245993275.05404-4b88c7a1-2f1a,july_stratified_brats18_lgg_vs_hgg_single_t1,200.0,0.5,0.42424243688583374,0.984920620918274,0.984920620918274,0.4928571581840515,0.4533247947692871,ResEncoder_Classifier,5e-05,4.0,200.0,T1
7245993510.95892-b8567a54-3278,resenc_time_conditioned_pretrained_t1_2025-08-01_00-13-48,finished,2025-08-01T00:15:00Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_single_t1/runs/7245993510.95892-b8567a54-3278,july_stratified_brats18_lgg_vs_hgg_single_t1,200.0,0.4238095283508301,0.4219067096710205,0.9738094806671144,0.9772171974182128,0.4476190507411957,0.416879802942276,ResEncTimeConditioned,5e-05,4.0,200.0,T1
