run_id,run_name,state,created_at,url,project,metric_epoch,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Val/Balanced_Accuracy,metric_Val/F1,config_model,config_learning_rate,config_batch_size,config_epochs,modality
7246063892.97771-d221e0ea-fdd4,resenc_pretrained_t1_2025-07-31_04-33-19,finished,2025-07-31T04:33:52Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t1/runs/7246063892.97771-d221e0ea-fdd4,july_stratified_upenn_gbm_survival_2year_single_t1,100.0,0.5,0.4433962404727936,0.5,0.4435611963272095,0.5,0.44285714626312256,ResEncoder_Classifier,2e-05,1.0,100.0,T1
7246044459.59485-ab9e923f-69dc,brainmvp_pretrained_t1_2025-07-31_10-03-12,finished,2025-07-31T10:03:41Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t1/runs/7246044459.59485-ab9e923f-69dc,july_stratified_upenn_gbm_survival_2year_single_t1,100.0,0.5,0.4433962404727936,0.5,0.4435611963272095,0.5,0.44285714626312256,brainmvp,2e-05,1.0,100.0,T1
7246044408.15930-eaa0f6e4-4534,dinov2_frozen_t1_2025-07-31_10-04-35,finished,2025-07-31T10:05:00Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t1/runs/7246044408.15930-eaa0f6e4-4534,july_stratified_upenn_gbm_survival_2year_single_t1,100.0,0.5,0.4433962404727936,0.48182645440101624,0.450549453496933,0.5,0.44285714626312256,dinov2,2e-05,4.0,50.0,T1
7246044354.77523-115ac0bd-6c5b,dinov2_pretrained_t1_2025-07-31_10-04-47,finished,2025-07-31T10:05:15Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t1/runs/7246044354.77523-115ac0bd-6c5b,july_stratified_upenn_gbm_survival_2year_single_t1,100.0,0.5,0.4433962404727936,0.5,0.4435611963272095,0.5,0.44285714626312256,dinov2,2e-05,1.0,50.0,T1
7246044137.09457-01051992-a05d,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-07-31_10-08-27,finished,2025-07-31T10:09:06Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t1/runs/7246044137.09457-01051992-a05d,july_stratified_upenn_gbm_survival_2year_single_t1,200.0,0.5044326186180115,0.4891774952411651,0.829067587852478,0.8627911806106567,0.48723119497299194,0.4824971556663513,ResEncoder_Classifier,2e-05,1.0,200.0,T1
7246044300.37853-e61c01c0-5c70,mri_core_frozen_t1_2025-07-31_10-08-53,finished,2025-07-31T10:09:28Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t1/runs/7246044300.37853-e61c01c0-5c70,july_stratified_upenn_gbm_survival_2year_single_t1,100.0,0.5,0.4433962404727936,0.5,0.4435611963272095,0.5,0.44285714626312256,MRICore,2e-05,4.0,100.0,T1
7246007441.08017-84c28596-7721,resenc_time_conditioned_pretrained_t1_2025-07-31_20-20-29,finished,2025-07-31T20:21:05Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t1/runs/7246007441.08017-84c28596-7721,july_stratified_upenn_gbm_survival_2year_single_t1,200.0,0.5,0.4433962404727936,0.5,0.4435611963272095,0.5,0.44285714626312256,ResEncTimeConditioned,2e-05,1.0,200.0,T1
7245977009.51497-10b018dd-694b,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-01_06-30-39,finished,2025-08-01T04:44:32Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t1/runs/7245977009.51497-10b018dd-694b,july_stratified_upenn_gbm_survival_2year_single_t1,200.0,0.5,0.4433962404727936,0.5650461912155151,0.5670995712280273,0.5,0.44285714626312256,ResEncoder_Classifier,2e-05,4.0,200.0,T1
7245976207.61241-b0d57af3-3c31,resenc_time_conditioned_pretrained_t1_2025-08-01_06-12-54,finished,2025-08-01T04:55:46Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t1/runs/7245976207.61241-b0d57af3-3c31,july_stratified_upenn_gbm_survival_2year_single_t1,200.0,0.5,0.4433962404727936,0.5,0.4435611963272095,0.5,0.44285714626312256,ResEncTimeConditioned,2e-05,4.0,200.0,T1
7245974415.05016-1bff3c3b-5de0,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-01_05-29-05,finished,2025-08-01T05:29:41Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t1/runs/7245974415.05016-1bff3c3b-5de0,july_stratified_upenn_gbm_survival_2year_single_t1,200.0,0.5,0.4433962404727936,0.5052501559257507,0.45707982778549194,0.5,0.44285714626312256,ResEncoder_Classifier,2e-05,1.0,200.0,T1
