run_id,run_name,state,created_at,url,project,metric_epoch,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,config_model,config_learning_rate,config_batch_size,config_epochs,modality
7246062603.02537-8800e96a-6f10,brainiac_pretrained_swi_2025-07-31_04-55-43,finished,2025-07-31T04:56:05Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_swi/runs/7246062603.02537-8800e96a-6f10,july_stratified_ucsf_pdgm_idh_classification_single_swi,100.0,0.7078701257705688,0.7411477565765381,0.5,0.4406779706478119,0.579250693321228,0.5858182907104492,0.5220110416412354,0.49706533551216125,0.6282271146774292,0.6691403388977051,0.5,0.4399999976158142,brainiac,2e-05,4,100,SWI
7246062109.98892-25929039-447f,dinov2_frozen_swi_2025-07-31_05-08-57,failed,2025-07-31T05:09:18Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_swi/runs/7246062109.98892-25929039-447f,july_stratified_ucsf_pdgm_idh_classification_single_swi,,,,,,,,,,,,,,dinov2,2e-05,4,50,SWI
7246062448.68732-cc255684-8f9d,brainiac_scratch_swi_2025-07-31_05-09-48,finished,2025-07-31T05:10:23Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_swi/runs/7246062448.68732-cc255684-8f9d,july_stratified_ucsf_pdgm_idh_classification_single_swi,100.0,0.5978374481201172,0.6382783651351929,0.5,0.4406779706478119,0.676766037940979,0.7032575011253357,0.5,0.441904753446579,0.5661921501159668,0.6144094467163086,0.551948070526123,0.5527930855751038,brainiac,2e-05,4,100,SWI
7246061821.06173-c798679f-1006,mri_core_frozen_swi_2025-07-31_05-10-02,failed,2025-07-31T05:10:36Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_swi/runs/7246061821.06173-c798679f-1006,july_stratified_ucsf_pdgm_idh_classification_single_swi,,,,,,,,,,,,,,MRICore,2e-05,8,100,SWI
7246061516.28691-638cb581-de83,resenc_pretrained_swi_2025-07-31_05-13-25,finished,2025-07-31T05:14:00Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_swi/runs/7246061516.28691-638cb581-de83,july_stratified_ucsf_pdgm_idh_classification_single_swi,100.0,0.5062591433525085,0.5170940160751343,0.5,0.4406779706478119,0.7081624269485474,0.757702112197876,0.5,0.441904753446579,0.563403844833374,0.5411255359649658,0.5,0.4399999976158142,ResEncoder_Classifier,2e-05,4,100,SWI
7246061665.64172-225ccda6-386d,mri_core_pretrained_swi_2025-07-31_05-15-45,finished,2025-07-31T05:16:16Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_swi/runs/7246061665.64172-225ccda6-386d,july_stratified_ucsf_pdgm_idh_classification_single_swi,100.0,0.4877011775970459,0.45970696210861206,0.5,0.4406779706478119,0.5141189694404602,0.5003533363342285,0.5,0.441904753446579,0.4927065968513489,0.4724798798561096,0.5,0.4399999976158142,MRICore,2e-05,1,100,SWI
7246061370.23325-6c84d76a-6ad0,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_swi_2025-07-31_11-02-32,finished,2025-07-31T05:22:32Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_swi/runs/7246061370.23325-6c84d76a-6ad0,july_stratified_ucsf_pdgm_idh_classification_single_swi,200.0,0.7159714102745056,0.7698413133621216,0.75,0.7250000238418579,0.971506118774414,0.9703929424285888,0.954706072807312,0.9630935788154602,0.7351019382476807,0.7816945314407349,0.7164502143859863,0.7279111742973328,ResEncoder_Classifier,5e-06,1,200,SWI
7246061219.98367-b7b204d4-9a9a,resenc_multimodal_mm_mdae_pretrained_pretrained_swi_2025-07-31_05-32-37,finished,2025-07-31T05:33:08Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_swi/runs/7246061219.98367-b7b204d4-9a9a,july_stratified_ucsf_pdgm_idh_classification_single_swi,100.0,0.6806666851043701,0.7231379747390747,0.5393772721290588,0.535400927066803,0.919361650943756,0.9318118095397948,0.8291760683059692,0.8545072078704834,0.711634635925293,0.737786054611206,0.6060606241226196,0.625,ResEncoderMultiModal_Classifier,2e-05,4,100,SWI
7246061070.23812-12676e2a-9661,resenc_time_conditioned_pretrained_swi_2025-07-31_05-32-29,finished,2025-07-31T05:33:18Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_swi/runs/7246061070.23812-12676e2a-9661,july_stratified_ucsf_pdgm_idh_classification_single_swi,200.0,0.6836928129196167,0.7313797473907471,0.6611721515655518,0.6583645939826965,0.9936851859092712,0.99639630317688,0.9383126497268676,0.951943576335907,0.6729623079299927,0.7149041891098022,0.6515151262283325,0.6695652008056641,ResEncTimeConditioned,5e-06,1,200,SWI
7246055712.03786-59f64c70-8e57,brainmvp_pretrained_swi_2025-07-31_06-56-15,finished,2025-07-31T06:56:38Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_swi/runs/7246055712.03786-59f64c70-8e57,july_stratified_ucsf_pdgm_idh_classification_single_swi,100.0,0.6422845125198364,0.6852869987487793,0.5,0.4406779706478119,0.5064213275909424,0.49378180503845215,0.5,0.441904753446579,0.5101795196533203,0.4638218879699707,0.5,0.4399999976158142,brainmvp,2e-05,4,100,SWI
