run_id,run_name,state,created_at,url,project,metric_epoch,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,config_model,config_learning_rate,config_batch_size,config_epochs,modality
7245977358.16990-a1fb824a-23ee,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-01_04-41-03,finished,2025-08-01T04:41:39Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_single_t1/runs/7245977358.16990-a1fb824a-23ee,july_stratified_upenn_gbm_age_group_single_t1,200,0.8418452739715576,0.8425925970077515,0.7780671119689941,0.7780671119689941,0.9814525842666626,0.9807749390602112,0.9247757196426392,0.9251644611358644,0.7651033401489258,0.7777777910232544,0.7037037014961243,0.7007672786712646,ResEncoder_Classifier,2e-05,4,200,T1
7245976549.85969-23ff8b0c-c478,resenc_time_conditioned_pretrained_t1_2025-08-01_05-54-57,finished,2025-08-01T04:50:46Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_single_t1/runs/7245976549.85969-23ff8b0c-c478,july_stratified_upenn_gbm_age_group_single_t1,200,0.8099119663238525,0.8363715410232544,0.7517361044883728,0.752082884311676,0.9305257201194764,0.9353248476982116,0.8743961453437805,0.8736917972564697,0.767043948173523,0.7933568358421326,0.7195767164230347,0.7205970287322998,ResEncTimeConditioned,2e-05,4,200,T1
7245974759.37008-f4c97b83-a892,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-01_05-56-45,finished,2025-08-01T05:25:17Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_single_t1/runs/7245974759.37008-f4c97b83-a892,july_stratified_upenn_gbm_age_group_single_t1,200,0.8470090627670288,0.8431712985038757,0.7424768209457397,0.743105947971344,0.9028228521347046,0.908146858215332,0.8207959532737732,0.8213638663291931,0.7863236665725708,0.7801293134689331,0.7037037014961243,0.7045454978942871,ResEncoder_Classifier,2e-05,1,200,T1
7245973916.23625-2b63da4c-2ced,resenc_time_conditioned_pretrained_t1_2025-08-01_06-02-54,finished,2025-08-01T05:36:42Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_single_t1/runs/7245973916.23625-2b63da4c-2ced,july_stratified_upenn_gbm_age_group_single_t1,200,0.6839938163757324,0.6866319179534912,0.6536458730697632,0.6519174575805664,0.8477597236633301,0.861743688583374,0.7960662841796875,0.795928418636322,0.7128329277038574,0.7228100895881653,0.6640211343765259,0.6642137169837952,ResEncTimeConditioned,2e-05,1,200,T1
7245973053.53506-21848999-e7fa,brainiac_pretrained_t1_2025-08-01_05-53-38,finished,2025-08-01T05:54:00Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_single_t1/runs/7245973053.53506-21848999-e7fa,july_stratified_upenn_gbm_age_group_single_t1,100,0.48220404982566833,0.42780670523643494,0.5,0.35164836049079895,0.653896689414978,0.6572020053863525,0.6197377443313599,0.6170302629470825,0.5880364179611206,0.6184597015380859,0.4986772537231446,0.32899409532546997,brainiac,0.0001,1,100,T1
7245972223.70574-d6e3b27b-32c8,mri_core_pretrained_t1_2025-08-01_06-12-59,finished,2025-08-01T06:13:30Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_single_t1/runs/7245972223.70574-d6e3b27b-32c8,july_stratified_upenn_gbm_age_group_single_t1,100,0.5634536743164062,0.5800057649612427,0.5,0.35164836049079895,0.4360652565956116,0.3900719881057739,0.4658385217189789,0.3840000033378601,0.5868902802467346,0.6152263283729553,0.5,0.3499999940395355,MRICore,0.0001,1,100,T1
7245971413.93456-4acc877d-ccaa,brainmvp_pretrained_t1_2025-08-01_06-16-56,finished,2025-08-01T06:17:21Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_single_t1/runs/7245971413.93456-4acc877d-ccaa,july_stratified_upenn_gbm_age_group_single_t1,100,0.5779271125793457,0.5717592239379883,0.5610532760620117,0.44878214597702026,0.6078966856002808,0.6153340339660645,0.5545203685760498,0.5466282367706299,0.5328491926193237,0.5205761194229126,0.4907407462596894,0.3117647171020508,brainmvp,0.0001,1,100,T1
7245970618.79065-a9deb28d-fdf8,resenc_time_conditioned_pretrained_t1_2025-08-01_06-37-19,finished,2025-08-01T06:38:02Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_single_t1/runs/7245970618.79065-a9deb28d-fdf8,july_stratified_upenn_gbm_age_group_single_t1,200,0.6687994003295898,0.7120949029922485,0.5,0.35164836049079895,0.6754323244094849,0.6737487316131592,0.626524031162262,0.626794695854187,0.6887891292572021,0.6935626268386841,0.6296296119689941,0.6080547571182251,ResEncTimeConditioned,0.0001,4,200,T1
7245969784.54105-0ec7da4b-0dec,dinov2_pretrained_t1_2025-08-01_06-53-11,finished,2025-08-01T06:53:34Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_single_t1/runs/7245969784.54105-0ec7da4b-0dec,july_stratified_upenn_gbm_age_group_single_t1,100,0.5921359062194824,0.5959201455116272,0.5,0.35164836049079895,0.5179538130760193,0.4979296326637268,0.5386473536491394,0.5035184621810913,0.5580735206604004,0.5443856716156006,0.5,0.31578946113586426,dinov2,0.0001,1,50,T1
7245968972.64771-270d9d98-0aad,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-01_07-50-00,finished,2025-08-01T07:50:35Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_age_group_single_t1/runs/7245968972.64771-270d9d98-0aad,july_stratified_upenn_gbm_age_group_single_t1,200,0.79371178150177,0.811921238899231,0.7731481790542603,0.7707748413085938,0.9198626279830932,0.9264845848083496,0.863239049911499,0.8643578290939331,0.7791412472724915,0.7933568954467773,0.7182539701461792,0.7172050476074219,ResEncoder_Classifier,0.0001,4,200,T1
