run_id,run_name,state,created_at,url,project,metric_epoch,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,config_model,config_learning_rate,config_batch_size,config_epochs,modality
7245977128.50470-b2221e76-4d8e,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-01_06-27-23,finished,2025-08-01T04:44:33Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_18month_single_t1/runs/7245977128.50470-b2221e76-4d8e,july_stratified_upenn_gbm_survival_18month_single_t1,200.0,0.5625308752059937,0.5705939531326294,0.5006491541862488,0.4622151553630829,0.9309713244438172,0.9377243518829346,0.861517071723938,0.87041836977005,0.5109668374061584,0.4930046796798706,0.48650896549224854,0.4861486554145813,ResEncoder_Classifier,2e-05,4.0,200.0,T1
7245976321.03366-2b476c71-12d5,resenc_time_conditioned_pretrained_t1_2025-08-01_05-00-36,finished,2025-08-01T05:01:20Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_18month_single_t1/runs/7245976321.03366-2b476c71-12d5,july_stratified_upenn_gbm_survival_18month_single_t1,200.0,0.5546290874481201,0.5223953723907471,0.5,0.4010152220726013,0.623227596282959,0.6493617296218872,0.5,0.4017094075679779,0.5165683627128601,0.49267154932022095,0.5,0.4030612111091614,ResEncTimeConditioned,2e-05,4.0,200.0,T1
7245974532.06854-73bc6db4-4923,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-01_05-26-51,finished,2025-08-01T05:27:47Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_18month_single_t1/runs/7245974532.06854-73bc6db4-4923,july_stratified_upenn_gbm_survival_18month_single_t1,200.0,0.6189044713973999,0.6088931560516357,0.5,0.4010152220726013,0.6305802464485168,0.6556891798973083,0.5578168630599976,0.5493896007537842,0.6084634065628052,0.643237829208374,0.5956029295921326,0.5990259647369385,ResEncoder_Classifier,2e-05,1.0,200.0,T1
7245973687.79599-c41fb6b7-c13b,resenc_time_conditioned_pretrained_t1_2025-08-01_06-02-56,finished,2025-08-01T05:41:06Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_18month_single_t1/runs/7245973687.79599-c41fb6b7-c13b,july_stratified_upenn_gbm_survival_18month_single_t1,200.0,0.5422001481056213,0.5438169240951538,0.5,0.4010152220726013,0.49020642042160034,0.4745976328849793,0.5,0.4017094075679779,0.5719838738441467,0.5712858438491821,0.5,0.4030612111091614,ResEncTimeConditioned,2e-05,1.0,200.0,T1
7245972823.37214-31ee0aec-3b5c,brainiac_pretrained_t1_2025-08-01_06-04-02,finished,2025-08-01T06:04:26Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_18month_single_t1/runs/7245972823.37214-31ee0aec-3b5c,july_stratified_upenn_gbm_survival_18month_single_t1,100.0,0.541232705116272,0.5314021110534668,0.5019474029541016,0.5016149282455444,0.5405559539794922,0.5497686862945557,0.5,0.4017094075679779,0.5466616749763489,0.5163224935531616,0.5,0.4030612111091614,brainiac,0.0001,1.0,100.0,T1
7245971999.23067-f69fb683-ed91,mri_core_pretrained_t1_2025-08-01_06-16-41,finished,2025-08-01T06:17:15Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_18month_single_t1/runs/7245971999.23067-f69fb683-ed91,july_stratified_upenn_gbm_survival_18month_single_t1,100.0,0.5064878463745117,0.5137941837310791,0.5,0.4010152220726013,0.5329892039299011,0.5276410579681396,0.5,0.4017094075679779,0.5370713472366333,0.5334776639938354,0.5,0.4030612111091614,MRICore,0.0001,1.0,100.0,T1
7245971182.68999-9ea2b73e-431a,brainmvp_pretrained_t1_2025-08-01_06-25-18,finished,2025-08-01T06:25:47Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_18month_single_t1/runs/7245971182.68999-9ea2b73e-431a,july_stratified_upenn_gbm_survival_18month_single_t1,100.0,0.5721611976623535,0.5730282068252563,0.5,0.4010152220726013,0.5118971467018127,0.4982978701591492,0.5,0.4017094075679779,0.5257807970046997,0.5019986629486084,0.5,0.4030612111091614,brainmvp,0.0001,1.0,100.0,T1
7245970385.90989-b73a0401-2603,resenc_time_conditioned_pretrained_t1_2025-08-01_06-34-29,finished,2025-08-01T06:35:15Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_18month_single_t1/runs/7245970385.90989-b73a0401-2603,july_stratified_upenn_gbm_survival_18month_single_t1,200.0,0.5663566589355469,0.5777344703674316,0.5,0.4010152220726013,0.5036178827285767,0.5022757053375244,0.5,0.4017094075679779,0.5314331650733948,0.5228181481361389,0.5,0.4030612111091614,ResEncTimeConditioned,0.0001,4.0,200.0,T1
7245969558.67038-a9b4c0f7-fee7,dinov2_pretrained_t1_2025-08-01_06-47-03,finished,2025-08-01T06:47:28Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_18month_single_t1/runs/7245969558.67038-a9b4c0f7-fee7,july_stratified_upenn_gbm_survival_18month_single_t1,100.0,0.501970648765564,0.4909120798110962,0.5,0.4010152220726013,0.5137978792190552,0.5099907517433167,0.5,0.4017094075679779,0.5243741273880005,0.5406395792961121,0.5,0.4030612111091614,dinov2,0.0001,1.0,50.0,T1
7245968737.37783-a2c6241f-15d2,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-01_09-09-17,finished,2025-08-01T09:09:53Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_18month_single_t1/runs/7245968737.37783-a2c6241f-15d2,july_stratified_upenn_gbm_survival_18month_single_t1,200.0,0.5711231231689453,0.5689711570739746,0.5,0.4010152220726013,0.6443800926208496,0.6655874252319336,0.5443108081817627,0.5209853649139404,0.6121942400932312,0.6229180693626404,0.5088274478912354,0.48076924681663513,ResEncoder_Classifier,0.0001,4.0,200.0,T1
