run_id,run_name,state,created_at,url,project,metric_epoch,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,config_model,config_learning_rate,config_batch_size,config_epochs,benchmark,modalities
7245191876.49333-f449c4f4-8f9e,brainiac_pretrained_multi_flair_t1_t1ce_t2_2025-08-10_06-44-29,finished,2025-08-10T06:44:50Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7245191876.49333-f449c4f4-8f9e,july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,200.0,0.6065446734428406,0.6015872955322266,0.561904788017273,0.5644943714141846,1.0,1.0,1.0,1.0,0.6310054659843445,0.6396825313568115,0.49761903285980225,0.4631578922271729,brainiac,6e-05,1.0,200.0,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7245191850.02639-736dd1a0-af85,brainiac_scratch_multi_flair_t1_t1ce_t2_2025-08-10_06-51-28,finished,2025-08-10T06:51:52Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7245191850.02639-736dd1a0-af85,july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,200.0,0.6867483854293823,0.7317460179328918,0.5,0.42424243688583374,0.9953807592391968,0.9970017075538636,0.9547618627548218,0.9547618627548218,0.5418731570243835,0.5111110806465149,0.5214285850524902,0.4815039336681366,brainiac,6e-05,1.0,200.0,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7245191105.20592-22c735a6-d92a,brainmvp_pretrained_multi_flair_t1_t1ce_t2_2025-08-10_07-03-25,finished,2025-08-10T07:03:46Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7245191105.20592-22c735a6-d92a,july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,200.0,0.8361515998840332,0.8523809909820557,0.7523809671401978,0.7632890343666077,0.983473777770996,0.98430335521698,0.9515873193740844,0.9614604711532592,0.720134437084198,0.7976190447807312,0.7785714268684387,0.7143334150314331,brainmvp,6e-05,1.0,200.0,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7245190694.83084-47e082a3-3351,dinov2_frozen_multi_flair_t1_t1ce_t2_2025-08-10_07-04-16,failed,2025-08-10T07:04:37Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7245190694.83084-47e082a3-3351,july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,,,,,,,,,,,,,,dinov2,0.0001,4.0,50.0,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7245190665.61954-c0925638-ce09,dinov2_pretrained_multi_flair_t1_t1ce_t2_2025-08-10_07-04-41,failed,2025-08-10T07:05:01Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7245190665.61954-c0925638-ce09,july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,,,,,,,,,,,,,,,,,,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7245189895.22308-344591af-73cc,mri_core_frozen_multi_flair_t1_t1ce_t2_2025-08-10_07-17-18,failed,2025-08-10T07:18:19Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7245189895.22308-344591af-73cc,july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,,,,,,,,,,,,,,MRICore,0.0001,4.0,100.0,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7245189869.22432-c498f1c7-a112,mri_core_pretrained_multi_flair_t1_t1ce_t2_2025-08-10_07-17-48,failed,2025-08-10T07:18:37Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7245189869.22432-c498f1c7-a112,july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,,,,,,,,,,,,,,,,,,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7245189115.75042-21bd73c9-5c8e,resenc_pretrained_multi_flair_t1_t1ce_t2_2025-08-10_07-36-22,finished,2025-08-10T07:36:57Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7245189115.75042-21bd73c9-5c8e,july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,180.0,0.8279103636741638,0.8063491582870483,0.7309523820877075,0.7508741617202759,1.0,1.0,1.0,1.0,0.7092618942260742,0.7246031761169434,0.6428571939468384,0.6000668406486511,ResEncoder_Classifier,7e-05,1.0,180.0,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7245188728.66569-6ecaea2f-7bf2,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_flair_t1_t1ce_t2_2025-08-10_07-36-57,finished,2025-08-10T07:37:31Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7245188728.66569-6ecaea2f-7bf2,july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,180.0,0.7324542999267578,0.7825396656990051,0.6380952596664429,0.6380952596664429,0.9968637228012084,0.9980599880218506,0.9920635223388672,0.9851304292678832,0.5923997163772583,0.6563491821289062,0.5904762148857117,0.5808823704719543,ResEncoder_Classifier,7e-05,2.0,180.0,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7245188245.39772-68f57b50-eb1b,resenc_time_conditioned_pretrained_multi_flair_t1_t1ce_t2_2025-08-10_07-45-05,finished,2025-08-10T07:47:33Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7245188245.39772-68f57b50-eb1b,july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,180.0,0.7847371101379395,0.8507936596870422,0.6428571343421936,0.6620553135871887,0.994943618774414,0.9962962865829468,0.947619080543518,0.954098105430603,0.6739907264709473,0.7190476655960083,0.6214286088943481,0.5907692313194275,ResEncTimeConditioned,7e-05,2.0,180.0,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7245182353.66114-94de096d-a505,resenc_pretrained_multi_flair_t1_t1ce_t2_2025-08-10_09-23-42,finished,2025-08-10T09:24:17Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7245182353.66114-94de096d-a505,july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,180.0,0.8844053745269775,0.9007936716079712,0.7214285731315613,0.7548972368240356,0.9979279041290284,0.998589038848877,0.9777777791023254,0.9846993684768676,0.6314535140991211,0.6992063522338867,0.688095211982727,0.6381556987762451,ResEncoder_Classifier,7e-05,1.0,180.0,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7245181983.64334-c7496e30-9247,resenc_multimodal_mm_mdae_pretrained_pretrained_multi_flair_t1_t1ce_t2_2025-08-10_09-29-15,finished,2025-08-10T09:29:41Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7245181983.64334-c7496e30-9247,july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,180.0,0.8950235247612,0.920634925365448,0.8523809909820557,0.8449280858039856,1.0,1.0,1.0,1.0,0.6972763538360596,0.7888888716697693,0.8023809194564819,0.746666669845581,ResEncoderMultiModal_Classifier,7e-05,4.0,180.0,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7245182165.89456-9735d1ac-358d,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_flair_t1_t1ce_t2_2025-08-10_09-32-25,finished,2025-08-10T09:33:02Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7245182165.89456-9735d1ac-358d,july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,200.0,0.9181393384933472,0.92380952835083,0.8071428537368774,0.8006218671798706,1.0,1.0,1.0,1.0,0.7809751033782959,0.8301587104797363,0.6499999761581421,0.6531440019607544,ResEncoder_Classifier,5e-05,2.0,200.0,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7245181771.89479-fbea1097-c4c4,resenc_time_conditioned_pretrained_multi_flair_t1_t1ce_t2_2025-08-10_09-39-10,finished,2025-08-10T09:39:57Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7245181771.89479-fbea1097-c4c4,july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,200.0,0.7174127697944641,0.7626984119415283,0.6380952596664429,0.5525902509689331,0.9962669610977172,0.997707188129425,0.9809523820877076,0.9775403738021852,0.6387170553207397,0.6984126567840576,0.6285714507102966,0.5626598596572876,ResEncTimeConditioned,5e-05,2.0,200.0,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7245181789.08253-ac843ea0-3408,resenc_pretrained_multi_flair_t1_t1ce_t2_2025-08-10_09-39-33,finished,2025-08-10T09:40:11Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7245181789.08253-ac843ea0-3408,july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,180.0,0.7276318073272705,0.7730158567428589,0.6499999761581421,0.6531440019607544,0.9997272491455078,0.9998235702514648,0.9888888597488404,0.9924057722091676,0.7399015426635742,0.7539682388305664,0.6904761791229248,0.6598806381225586,ResEncoder_Classifier,7e-05,1.0,180.0,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7245181678.66569-54a3886c-b361,resenc_pretrained_multi_flair_t1_t1ce_t2_2025-08-10_09-41-18,finished,2025-08-10T09:41:52Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7245181678.66569-54a3886c-b361,july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,180.0,0.6712235808372498,0.738095223903656,0.5761904716491699,0.5755319595336914,0.9987301826477052,0.999118149280548,0.984920620918274,0.984920620918274,0.7457491159439087,0.7833333015441895,0.7333333492279053,0.6762445569038391,ResEncoder_Classifier,7e-05,1.0,180.0,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7245181307.15904-0b5ac731-630b,resenc_MDAE_pretrained_multi_flair_t1_t1ce_t2_2025-08-10_09-48-02,crashed,2025-08-10T09:48:32Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7245181307.15904-0b5ac731-630b,july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,7.0,,,,,0.7046616077423096,0.6952381134033203,0.6373015642166138,0.6498876214027405,0.6470041275024414,0.7269841432571411,0.6476190686225891,0.6374859809875488,ResEncoder_Classifier,7e-05,2.0,180.0,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7245180965.32424-89af9d01-fa21,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_flair_t1_t1ce_t2_2025-08-10_09-53-51,crashed,2025-08-10T09:54:21Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7245180965.32424-89af9d01-fa21,july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,22.0,,,,,0.7418099045753479,0.7961199283599854,0.6134920716285706,0.6198382377624512,0.6606255769729614,0.6746032238006592,0.6357142925262451,0.6227940917015076,ResEncoder_Classifier,5e-05,2.0,200.0,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7245180662.53367-bb5a52c4-0f64,resenc_MG_pretrained_multi_flair_t1_t1ce_t2_2025-08-10_09-56-44,crashed,2025-08-10T09:57:16Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7245180662.53367-bb5a52c4-0f64,july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,6.0,,,,,0.6836718320846558,0.7023809552192688,0.5111111402511597,0.4474148154258728,0.527660071849823,0.5174603462219238,0.488095223903656,0.4183673560619354,ResEncoder_Classifier,7e-05,2.0,180.0,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7245180355.94861-332f8056-607d,resenc_multimodal_mm_mdae_pretrained_pretrained_multi_flair_t1_t1ce_t2_2025-08-10_10-02-10,crashed,2025-08-10T10:02:34Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7245180355.94861-332f8056-607d,july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,108.0,,,,,0.9907161593437196,0.9899470806121826,0.9809523820877076,0.9775403738021852,0.7357819676399231,0.7682539224624634,0.6190476417541504,0.6305555701255798,ResEncoderMultiModal_Classifier,7e-05,4.0,180.0,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7245179650.95458-6113ac7b-3e6f,resenc_SimCLR_pretrained_multi_flair_t1_t1ce_t2_2025-08-10_10-12-53,crashed,2025-08-10T10:13:22Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7245179650.95458-6113ac7b-3e6f,july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,94.0,,,,,0.9866015911102296,0.9908288717269896,0.961904764175415,0.95539128780365,0.8058347105979919,0.8460317254066467,0.7928571701049805,0.7564102411270142,ResEncoder_Classifier,7e-05,2.0,180.0,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
