run_id,run_name,state,created_at,url,project,metric_epoch,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,config_model,config_learning_rate,config_batch_size,config_epochs,benchmark,modalities
7245191824.90205-a9f04534-5bf7,brainiac_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_06-51-38,finished,2025-08-10T06:51:58Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f/runs/7245191824.90205-a9f04534-5bf7,july_stratified_brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f,200.0,0.5163059830665588,0.5381617546081543,0.5444883108139038,0.43224266171455383,0.9999575018882751,0.9999885559082032,0.9862385392189026,0.9920862913131714,0.5189601182937622,0.5498374104499817,0.5,0.46748682856559753,brainiac,6e-05,1.0,200.0,brats23_gli_vs_men,t1n_t1c_t2w_t2f
7245191749.48935-ac1c2c0a-b7a5,brainiac_scratch_multi_t1n_t1c_t2w_t2f_2025-08-10_06-53-27,finished,2025-08-10T06:53:50Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f/runs/7245191749.48935-ac1c2c0a-b7a5,july_stratified_brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f,200.0,0.5273923873901367,0.6036542654037476,0.5,0.4676007032394409,0.992649793624878,0.9976921081542968,0.9614254236221312,0.9707473516464232,0.5095154047012329,0.471194863319397,0.5087380409240723,0.4656084477901459,brainiac,6e-05,1.0,200.0,brats23_gli_vs_men,t1n_t1c_t2w_t2f
7245191079.79951-9d1e918f-0c1d,brainmvp_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_07-03-30,finished,2025-08-10T07:03:51Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f/runs/7245191079.79951-9d1e918f-0c1d,july_stratified_brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f,200.0,0.7718626260757446,0.8968518972396851,0.8387994766235352,0.7126703262329102,0.9941996932029724,0.9983924627304076,0.958922266960144,0.9607473611831664,0.7474747896194458,0.8942288160324097,0.8317415118217468,0.756548285484314,brainmvp,6e-05,1.0,200.0,brats23_gli_vs_men,t1n_t1c_t2w_t2f
7245190641.00134-bed66a64-39f8,dinov2_frozen_multi_t1n_t1c_t2w_t2f_2025-08-10_07-06-34,crashed,2025-08-10T07:06:52Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f/runs/7245190641.00134-bed66a64-39f8,july_stratified_brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f,,,,,,,,,,,,,,,,,,brats23_gli_vs_men,t1n_t1c_t2w_t2f
7245190565.99883-1bbc810a-9df6,dinov2_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_07-11-56,failed,2025-08-10T07:12:16Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f/runs/7245190565.99883-1bbc810a-9df6,july_stratified_brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f,,,,,,,,,,,,,,,,,,brats23_gli_vs_men,t1n_t1c_t2w_t2f
7245189842.26175-984a04bb-4cb5,mri_core_frozen_multi_t1n_t1c_t2w_t2f_2025-08-10_07-20-46,crashed,2025-08-10T07:21:28Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f/runs/7245189842.26175-984a04bb-4cb5,july_stratified_brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f,,,,,,,,,,,,,,,,,,brats23_gli_vs_men,t1n_t1c_t2w_t2f
7245189763.89467-5b14c49e-d1bb,mri_core_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_07-26-53,failed,2025-08-10T07:27:40Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f/runs/7245189763.89467-5b14c49e-d1bb,july_stratified_brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f,,,,,,,,,,,,,,,,,,brats23_gli_vs_men,t1n_t1c_t2w_t2f
7245189090.58969-be28327b-3876,resenc_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_07-30-32,crashed,2025-08-10T07:31:05Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f/runs/7245189090.58969-be28327b-3876,july_stratified_brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f,,,,,,,,,,,,,,,,,,brats23_gli_vs_men,t1n_t1c_t2w_t2f
7245188702.77040-3609afe6-c5d5,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_07-43-51,crashed,2025-08-10T07:44:28Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f/runs/7245188702.77040-3609afe6-c5d5,july_stratified_brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f,,,,,,,,,,,,,,,,,,brats23_gli_vs_men,t1n_t1c_t2w_t2f
7245188220.14445-ffa44b44-8e39,resenc_time_conditioned_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_07-45-30,finished,2025-08-10T07:46:56Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f/runs/7245188220.14445-ffa44b44-8e39,july_stratified_brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f,180.0,0.908246636390686,0.9449337124824524,0.8833383917808533,0.832329511642456,0.9855360388755798,0.990326166152954,0.9580898284912108,0.9730771780014038,0.9219379425048828,0.9549888372421264,0.8749746084213257,0.8706591129302979,ResEncTimeConditioned,7e-05,2.0,180.0,brats23_gli_vs_men,t1n_t1c_t2w_t2f
