run_id,run_name,state,created_at,url,project,metric_epoch,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,config_model,config_learning_rate,config_batch_size,config_epochs,benchmark,modalities,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1
7245191799.60892-18b34058-cc01,brainiac_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-11_19-30-42,running,2025-08-10T06:52:04Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245191799.60892-18b34058-cc01,july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f,163.0,0.9996658563613892,0.9999037981033324,0.98655366897583,0.9901293516159058,0.42431584000587463,0.24199923872947693,0.36128783226013184,0.34829872846603394,brainiac,6e-05,1.0,200.0,brats23_gli_vs_met,t1n_t1c_t2w_t2f,,,,
7245191714.85715-dae96d47-da4a,brainiac_scratch_multi_t1n_t1c_t2w_t2f_2025-08-10_06-54-33,finished,2025-08-10T06:54:54Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245191714.85715-dae96d47-da4a,july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f,200.0,0.999090015888214,0.9997326135635376,0.977380871772766,0.9826623797416688,0.5706996321678162,0.6642085909843445,0.6250240802764893,0.5153253674507141,brainiac,6e-05,1.0,200.0,brats23_gli_vs_met,t1n_t1c_t2w_t2f,0.616163432598114,0.7327247262001038,0.6740168333053589,0.5242109298706055
7245191054.98388-8bc0679b-4c56,brainmvp_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_07-03-29,finished,2025-08-10T07:03:51Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245191054.98388-8bc0679b-4c56,july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f,200.0,0.9961134791374208,0.9988019466400146,0.9682081341743468,0.9751397371292114,0.8459777235984802,0.9211971759796144,0.7560728788375854,0.7904125452041626,brainmvp,6e-05,1.0,200.0,brats23_gli_vs_met,t1n_t1c_t2w_t2f,0.5801658630371094,0.6456460952758789,0.5150281190872192,0.5107171535491943
7245190615.78036-16001cba-ab3b,dinov2_frozen_multi_t1n_t1c_t2w_t2f_2025-08-10_07-06-35,crashed,2025-08-10T07:06:52Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245190615.78036-16001cba-ab3b,july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f,,,,,,,,,,,,,,brats23_gli_vs_met,t1n_t1c_t2w_t2f,,,,
7245190540.45732-680d3521-b488,dinov2_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_07-11-57,failed,2025-08-10T07:12:18Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245190540.45732-680d3521-b488,july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f,,,,,,,,,,,,,,brats23_gli_vs_met,t1n_t1c_t2w_t2f,,,,
7245189816.76291-a3b60d54-61aa,mri_core_frozen_multi_t1n_t1c_t2w_t2f_2025-08-10_07-20-50,crashed,2025-08-10T07:21:32Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245189816.76291-a3b60d54-61aa,july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f,,,,,,,,,,,,,,brats23_gli_vs_met,t1n_t1c_t2w_t2f,,,,
7245189737.96884-d6737d47-4235,mri_core_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_07-26-07,failed,2025-08-10T07:26:49Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245189737.96884-d6737d47-4235,july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f,,,,,,,,,,,,,,brats23_gli_vs_met,t1n_t1c_t2w_t2f,,,,
7245189063.71286-c61da176-6471,resenc_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_07-31-08,crashed,2025-08-10T07:31:43Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245189063.71286-c61da176-6471,july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f,,,,,,,,,,,,,,brats23_gli_vs_met,t1n_t1c_t2w_t2f,,,,
7245188676.62320-952dd76e-32fd,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_07-37-50,crashed,2025-08-10T07:38:31Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245188676.62320-952dd76e-32fd,july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f,,,,,,,,,,,,,,brats23_gli_vs_met,t1n_t1c_t2w_t2f,,,,
7245188194.29420-e8e7e5ef-2bc6,resenc_time_conditioned_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_07-45-46,finished,2025-08-10T07:46:42Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245188194.29420-e8e7e5ef-2bc6,july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f,180.0,0.997367024421692,0.9984275102615356,0.990827202796936,0.9926241636276244,0.8628950119018555,0.9627915620803832,0.8873625993728638,0.8385525941848755,ResEncTimeConditioned,7e-05,2.0,180.0,brats23_gli_vs_met,t1n_t1c_t2w_t2f,0.8291794061660767,0.8907303810119629,0.5,0.4651567935943603
