run_id,run_name,state,created_at,url,project,metric_epoch,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,config_model,config_learning_rate,config_batch_size,config_epochs,benchmark,modalities
7246004269.97936-2ded619f-2eeb,resenc_pretrained_multi_t1_t1gd_t2_flair_2025-07-31_21-13-14,finished,2025-07-31T21:13:46Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7246004269.97936-2ded619f-2eeb,july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair,100.0,0.8187500238418579,0.75,0.5,0.25,1.0,1.0,1.0,1.0,0.550000011920929,0.375,0.25,0.25,ResEncoder_Classifier,5e-05,1.0,100.0,tcga_gbm_dss_1year,t1_t1gd_t2_flair
7245191612.68481-1970dae5-5013,brainiac_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_06-55-24,failed,2025-08-10T06:55:45Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245191612.68481-1970dae5-5013,july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair,,,,,,,,,,,,,,,,,,tcga_gbm_dss_1year,t1_t1gd_t2_flair
7245191561.83277-fe6e50d4-65dd,brainiac_scratch_multi_t1_t1gd_t2_flair_2025-08-10_06-56-39,failed,2025-08-10T06:56:59Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245191561.83277-fe6e50d4-65dd,july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair,,,,,,,,,,,,,,,,,,tcga_gbm_dss_1year,t1_t1gd_t2_flair
7245190979.60266-a9cda0b2-d2cb,brainmvp_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-04-47,finished,2025-08-10T07:05:09Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245190979.60266-a9cda0b2-d2cb,july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair,200.0,0.3958333134651184,0.0,0.5,0.4000000059604645,1.0,1.0,1.0,1.0,0.6729166507720947,0.5,0.5,0.485714316368103,brainmvp,6e-05,1.0,200.0,tcga_gbm_dss_1year,t1_t1gd_t2_flair
7245190439.29626-5845ba73-5f79,dinov2_frozen_multi_t1_t1gd_t2_flair_2025-08-10_07-14-31,finished,2025-08-10T07:14:52Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245190439.29626-5845ba73-5f79,july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair,100.0,0.6104166507720947,0.5,0.5,0.4000000059604645,0.8346468210220337,0.8181818723678589,0.7545454502105713,0.7681159377098083,0.8916666507720947,0.875,0.75,0.7777777910232544,dinov2,0.0001,4.0,50.0,tcga_gbm_dss_1year,t1_t1gd_t2_flair
7245190389.30292-425267f6-7a80,dinov2_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-18-04,failed,2025-08-10T07:18:24Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245190389.30292-425267f6-7a80,july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair,,,,,,,,,,,,,,,,,,tcga_gbm_dss_1year,t1_t1gd_t2_flair
7245189631.06316-01483296-05d5,mri_core_frozen_multi_t1_t1gd_t2_flair_2025-08-10_07-21-56,failed,2025-08-10T07:23:16Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245189631.06316-01483296-05d5,july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair,,,,,,,,,,,,,,MRICore,0.0001,4.0,100.0,tcga_gbm_dss_1year,t1_t1gd_t2_flair
7245189580.17228-56c0863c-732d,mri_core_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-22-28,failed,2025-08-10T07:23:46Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245189580.17228-56c0863c-732d,july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair,,,,,,,,,,,,,,,,,,tcga_gbm_dss_1year,t1_t1gd_t2_flair
7245188987.07054-bec09508-d58c,resenc_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-39-05,finished,2025-08-10T07:39:41Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245188987.07054-bec09508-d58c,july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair,180.0,1.0,1.0,0.875,0.8285714387893677,0.9285930395126344,0.9454545974731444,0.9545454978942872,0.9307359457015992,0.8916666507720947,0.875,0.5,0.4000000059604645,ResEncoder_Classifier,7e-05,1.0,180.0,tcga_gbm_dss_1year,t1_t1gd_t2_flair
7245188595.07921-e0051c65-54a9,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-39-37,finished,2025-08-10T07:40:13Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245188595.07921-e0051c65-54a9,july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair,180.0,0.8187500238418579,0.75,0.625,0.485714316368103,1.0,1.0,1.0,1.0,0.6166666746139526,0.5,0.25,0.25,ResEncoder_Classifier,7e-05,2.0,180.0,tcga_gbm_dss_1year,t1_t1gd_t2_flair
