run_id,run_name,state,created_at,url,project,metric_epoch,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,config_model,config_learning_rate,config_batch_size,config_epochs,benchmark,modalities
7246004285.92053-6d75ab99-a214,resenc_pretrained_multi_t1_t1gd_t2_flair_2025-07-31_21-07-48,finished,2025-07-31T21:08:57Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair/runs/7246004285.92053-6d75ab99-a214,july_stratified_tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair,100.0,0.7014285922050476,0.7000000476837158,0.5,0.4166666567325592,1.0,1.0,0.9583333730697632,0.9227052927017212,0.7250000238418579,0.75,0.5,0.4444444477558136,ResEncoder_Classifier,5e-05,1.0,100.0,tcga_gbm_pfi_1year,t1_t1gd_t2_flair
7245191536.84887-da60b24f-9d4e,brainiac_scratch_multi_t1_t1gd_t2_flair_2025-08-10_06-56-37,failed,2025-08-10T06:56:58Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair/runs/7245191536.84887-da60b24f-9d4e,july_stratified_tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair,,,,,,,,,,,,,,,,,,tcga_gbm_pfi_1year,t1_t1gd_t2_flair
7245191587.12156-ea1bebc3-afbc,brainiac_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_06-56-42,failed,2025-08-10T06:57:03Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair/runs/7245191587.12156-ea1bebc3-afbc,july_stratified_tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair,,,,,,,,,,,,,,,,,,tcga_gbm_pfi_1year,t1_t1gd_t2_flair
7245190954.00655-fbb97943-da53,brainmvp_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-02-29,finished,2025-08-10T07:02:51Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair/runs/7245190954.00655-fbb97943-da53,july_stratified_tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair,200.0,0.7883332967758179,0.6999999284744263,0.5,0.4166666567325592,1.0,1.0,1.0,1.0,0.43958333134651184,0.0,0.375,0.375,brainmvp,6e-05,1.0,200.0,tcga_gbm_pfi_1year,t1_t1gd_t2_flair
7245190414.08593-72246bcd-8af1,dinov2_frozen_multi_t1_t1gd_t2_flair_2025-08-10_07-08-49,finished,2025-08-10T07:09:11Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair/runs/7245190414.08593-72246bcd-8af1,july_stratified_tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair,100.0,0.4486904442310333,0.19999998807907104,0.4000000059604645,0.3636363744735718,0.7731667757034302,0.7708333730697632,0.7083333730697632,0.7257143259048462,1.0,1.0,1.0,1.0,dinov2,0.0001,4.0,50.0,tcga_gbm_pfi_1year,t1_t1gd_t2_flair
7245190363.69916-36d1041a-d42b,dinov2_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-18-05,failed,2025-08-10T07:18:26Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair/runs/7245190363.69916-36d1041a-d42b,july_stratified_tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair,,,,,,,,,,,,,,,,,,tcga_gbm_pfi_1year,t1_t1gd_t2_flair
7245189554.96035-5e38dcb3-5327,mri_core_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-22-56,failed,2025-08-10T07:24:05Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair/runs/7245189554.96035-5e38dcb3-5327,july_stratified_tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair,,,,,,,,,,,,,,,,,,tcga_gbm_pfi_1year,t1_t1gd_t2_flair
7245189605.16819-8bdbfd41-8c67,mri_core_frozen_multi_t1_t1gd_t2_flair_2025-08-10_07-28-37,failed,2025-08-10T07:29:15Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair/runs/7245189605.16819-8bdbfd41-8c67,july_stratified_tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair,,,,,,,,,,,,,,MRICore,0.0001,4.0,100.0,tcga_gbm_pfi_1year,t1_t1gd_t2_flair
7245188961.59043-838a6d76-f8be,resenc_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-32-44,finished,2025-08-10T07:33:23Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair/runs/7245188961.59043-838a6d76-f8be,july_stratified_tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair,180.0,0.7014285922050476,0.7000000476837158,0.5,0.4166666567325592,1.0,1.0,1.0,1.0,0.7250000238418579,0.75,0.875,0.761904776096344,ResEncoder_Classifier,7e-05,1.0,180.0,tcga_gbm_pfi_1year,t1_t1gd_t2_flair
7245188538.62628-1de6d26a-a1c8,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-46-29,finished,2025-08-10T07:47:06Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair/runs/7245188538.62628-1de6d26a-a1c8,july_stratified_tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair,180.0,0.7383333444595337,0.6000000238418579,0.5,0.4166666567325592,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.4444444477558136,ResEncoder_Classifier,7e-05,2.0,180.0,tcga_gbm_pfi_1year,t1_t1gd_t2_flair
