run_id,run_name,state,created_at,url,project,metric_epoch,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,config_model,config_learning_rate,config_batch_size,config_epochs,benchmark,modalities
7245191436.90610-454efd3f-de64,brainiac_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_06-57-37,finished,2025-08-10T06:57:56Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair/runs/7245191436.90610-454efd3f-de64,july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair,200.0,0.5915080308914185,0.6039513349533081,0.5313069820404053,0.510801374912262,0.9865148067474364,0.9864235520362854,0.9265450835227966,0.928532600402832,0.5960575342178345,0.6244680881500244,0.5,0.28658536076545715,brainiac,6e-05,1.0,200.0,upenn_gbm_gender,t1_t1gd_t2_flair
7245191255.50092-e3ba7e1b-3370,brainiac_scratch_multi_t1_t1gd_t2_flair_2025-08-10_07-00-55,finished,2025-08-10T07:01:17Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair/runs/7245191255.50092-e3ba7e1b-3370,july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair,200.0,0.5725810527801514,0.5395137071609497,0.4965045750141144,0.29783952236175537,0.9281187057495116,0.9264944195747375,0.8270516395568848,0.8314814567565918,0.6514654159545898,0.6463525295257568,0.6183890700340271,0.567307710647583,brainiac,6e-05,1.0,200.0,upenn_gbm_gender,t1_t1gd_t2_flair
7245190876.81611-bdd5bf13-72fe,brainmvp_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-06-30,finished,2025-08-10T07:06:49Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair/runs/7245190876.81611-bdd5bf13-72fe,july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair,200.0,0.5973955392837524,0.5609422922134399,0.5110942125320435,0.3871428668498993,0.7844589948654175,0.8021782636642456,0.7086119651794434,0.712895929813385,0.6021583080291748,0.5896656513214111,0.5319148898124695,0.4404347836971283,brainmvp,6e-05,1.0,200.0,upenn_gbm_gender,t1_t1gd_t2_flair
7245190261.99457-3330c50d-2eb8,dinov2_frozen_multi_t1_t1gd_t2_flair_2025-08-10_07-11-49,crashed,2025-08-10T07:12:10Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair/runs/7245190261.99457-3330c50d-2eb8,july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair,,,,,,,,,,,,,,,,,,upenn_gbm_gender,t1_t1gd_t2_flair
7245190085.27407-616a3f07-b6e4,dinov2_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-15-36,failed,2025-08-10T07:15:55Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair/runs/7245190085.27407-616a3f07-b6e4,july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair,,,,,,,,,,,,,,,,,,upenn_gbm_gender,t1_t1gd_t2_flair
7245189270.42020-8ec9e117-43e5,mri_core_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-27-48,failed,2025-08-10T07:28:30Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair/runs/7245189270.42020-8ec9e117-43e5,july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair,,,,,,,,,,,,,,,,,,upenn_gbm_gender,t1_t1gd_t2_flair
7245189451.94299-e3912f57-aca9,mri_core_frozen_multi_t1_t1gd_t2_flair_2025-08-10_07-31-19,crashed,2025-08-10T07:31:57Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair/runs/7245189451.94299-e3912f57-aca9,july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair,,,,,,,,,,,,,,,,,,upenn_gbm_gender,t1_t1gd_t2_flair
7245188883.67550-9289803d-7303,resenc_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-41-15,finished,2025-08-10T07:41:49Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair/runs/7245188883.67550-9289803d-7303,july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair,180.0,0.7867147326469421,0.7974164485931396,0.693617045879364,0.6746194362640381,0.8859196901321411,0.8985762596130371,0.8063277006149292,0.8116424083709717,0.9073337316513062,0.901519775390625,0.8436170220375061,0.847152829170227,ResEncoder_Classifier,7e-05,1.0,180.0,upenn_gbm_gender,t1_t1gd_t2_flair
7245188399.04856-99f7bae4-f322,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-48-14,finished,2025-08-10T07:48:50Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair/runs/7245188399.04856-99f7bae4-f322,july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair,180.0,0.8509126901626587,0.8437689542770386,0.7370820641517639,0.74261474609375,0.9764395952224731,0.9805808663368224,0.933637261390686,0.9346479177474976,0.9342126846313475,0.9322187900543212,0.8542553186416626,0.8567054271697998,ResEncoder_Classifier,7e-05,2.0,180.0,upenn_gbm_gender,t1_t1gd_t2_flair
7245188016.55718-0651bd4e-6cd0,resenc_time_conditioned_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-48-44,finished,2025-08-10T07:49:59Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair/runs/7245188016.55718-0651bd4e-6cd0,july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair,180.0,0.8013310432434082,0.8027355670928955,0.7048631906509399,0.7055593729019165,0.8577282428741455,0.8647247552871704,0.779685914516449,0.7848020195960999,0.915267050266266,0.916717290878296,0.8188449740409851,0.8261787295341492,ResEncTimeConditioned,7e-05,2.0,180.0,upenn_gbm_gender,t1_t1gd_t2_flair
7245182230.02264-cfac64d1-4f3e,resenc_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_09-27-32,finished,2025-08-10T09:28:06Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair/runs/7245182230.02264-cfac64d1-4f3e,july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair,180.0,0.8368079662322998,0.8395136594772339,0.7548632025718689,0.760999321937561,0.930804967880249,0.935798704624176,0.8495440483093262,0.8531468510627747,0.9067364931106568,0.8948328495025635,0.8436170220375061,0.847152829170227,ResEncoder_Classifier,7e-05,1.0,180.0,upenn_gbm_gender,t1_t1gd_t2_flair
7245181849.14943-d3ec75bb-c5dd,resenc_multimodal_mm_mdae_pretrained_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_09-31-37,finished,2025-08-10T09:32:05Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair/runs/7245181849.14943-d3ec75bb-c5dd,july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair,180.0,0.8529953956604004,0.8574467897415161,0.7618540525436401,0.7652777433395386,0.9628016948699952,0.9619723558425904,0.9077507257461548,0.9176636338233948,0.9266815185546876,0.9240121841430664,0.8471124768257141,0.8483184576034546,ResEncoderMultiModal_Classifier,7e-05,4.0,180.0,upenn_gbm_gender,t1_t1gd_t2_flair
7245182067.44912-7535d3b6-5d47,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_09-34-19,finished,2025-08-10T09:34:54Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair/runs/7245182067.44912-7535d3b6-5d47,july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair,200.0,0.7731684446334839,0.7869300842285156,0.7048631906509399,0.7055593729019165,0.9676358699798584,0.9668354988098145,0.9169706106185912,0.91453754901886,0.9304978847503662,0.9279634952545166,0.8366261124610901,0.8444757461547852,ResEncoder_Classifier,5e-05,2.0,200.0,upenn_gbm_gender,t1_t1gd_t2_flair
7245181445.64649-c8cb4593-75c1,resenc_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_09-38-11,finished,2025-08-10T09:38:47Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair/runs/7245181445.64649-c8cb4593-75c1,july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair,180.0,0.7865915298461914,0.7872340679168701,0.7013677358627319,0.7032967209815979,0.9259200096130372,0.9260722398757936,0.8377913236618042,0.8449552655220032,0.8975823521614075,0.9021276235580444,0.8083586692810059,0.820624589920044,ResEncoder_Classifier,7e-05,1.0,180.0,upenn_gbm_gender,t1_t1gd_t2_flair
7245181100.83801-31125cbd-0a1f,resenc_MDAE_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_09-44-10,finished,2025-08-10T09:44:51Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair/runs/7245181100.83801-31125cbd-0a1f,july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair,180.0,0.8044966459274292,0.8047112226486206,0.682674765586853,0.6491625905036926,0.9551264643669128,0.9553191661834716,0.8520263433456421,0.8599410057067871,0.8650034666061401,0.873860239982605,0.7867780923843384,0.7914761304855347,ResEncoder_Classifier,7e-05,2.0,180.0,upenn_gbm_gender,t1_t1gd_t2_flair
7245180782.24566-9c3e19bb-ef20,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_09-55-38,crashed,2025-08-10T09:56:13Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair/runs/7245180782.24566-9c3e19bb-ef20,july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair,,,,,,,,,,,,,,,,,,upenn_gbm_gender,t1_t1gd_t2_flair
7245180147.57103-00abf95e-c408,resenc_multimodal_mm_mdae_pretrained_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_10-00-24,finished,2025-08-10T10:00:53Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair/runs/7245180147.57103-00abf95e-c408,july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair,180.0,0.8600907325744629,0.859878420829773,0.7867780923843384,0.7914761304855347,0.985500991344452,0.985106348991394,0.9313576221466064,0.9368926882743835,0.9441975355148317,0.9413373470306396,0.8756839036941528,0.882138729095459,ResEncoderMultiModal_Classifier,7e-05,4.0,180.0,upenn_gbm_gender,t1_t1gd_t2_flair
7245179064.96609-7d1d313b-2474,resenc_SwinUNETR_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_10-18-00,finished,2025-08-10T10:18:38Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair/runs/7245179064.96609-7d1d313b-2474,july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair,180.0,0.8890433311462402,0.887537956237793,0.8188449740409851,0.8261787295341492,0.9958956837654114,0.9958797693252563,0.972694993019104,0.970498263835907,0.9478408694267272,0.9516717195510864,0.9075987935066224,0.9104409217834472,ResEncoder_Classifier,7e-05,2.0,180.0,upenn_gbm_gender,t1_t1gd_t2_flair
7245179429.81219-f4f4bc7d-ff0f,resenc_SimCLR_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_10-18-47,finished,2025-08-10T10:19:20Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair/runs/7245179429.81219-f4f4bc7d-ff0f,july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair,180.0,0.8732591271400452,0.8644376993179321,0.7265957593917847,0.7340909242630005,0.9797778129577636,0.9798548221588136,0.924214780330658,0.9281669855117798,0.9316229224205016,0.9288753271102904,0.8791793584823608,0.8831169009208679,ResEncoder_Classifier,7e-05,2.0,180.0,upenn_gbm_gender,t1_t1gd_t2_flair
7245178721.94080-3d11f093-1740,resenc_time_conditioned_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_10-23-22,finished,2025-08-10T10:24:39Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair/runs/7245178721.94080-3d11f093-1740,july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair,200.0,0.7854555249214172,0.7823708057403564,0.7194528579711914,0.7262164354324341,0.8782682418823242,0.8919621706008911,0.7938703298568726,0.7980974912643433,0.9008665680885316,0.8981763124465942,0.7942249178886414,0.807692289352417,ResEncTimeConditioned,5e-05,2.0,200.0,upenn_gbm_gender,t1_t1gd_t2_flair
