run_id,run_name,state,created_at,url,project,metric_epoch,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,config_model,config_learning_rate,config_batch_size,config_epochs,benchmark,modalities
7245191382.61525-821b85ca-d535,brainiac_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_06-57-42,finished,2025-08-10T06:58:01Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair/runs/7245191382.61525-821b85ca-d535,july_stratified_upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair,200.0,0.5109898447990417,0.5014727115631104,0.5,0.45116278529167175,0.6482207775115967,0.6921833753585815,0.5,0.45226916670799255,0.5577946901321411,0.53447425365448,0.5,0.4507042169570923,brainiac,6e-05,1.0,200.0,upenn_gbm_idh1_status,t1_t1gd_t2_flair
7245191204.75336-c0317935-3951,brainiac_scratch_multi_t1_t1gd_t2_flair_2025-08-10_07-01-59,finished,2025-08-10T07:02:22Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair/runs/7245191204.75336-c0317935-3951,july_stratified_upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair,200.0,0.5566801428794861,0.5594010353088379,0.5,0.45116278529167175,0.746505618095398,0.8372284173965454,0.5849736332893372,0.6042666435241699,0.4952238798141479,0.479414701461792,0.5,0.4507042169570923,brainiac,6e-05,1.0,200.0,upenn_gbm_idh1_status,t1_t1gd_t2_flair
7245190826.01424-f999408a-40a7,brainmvp_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-08-06,finished,2025-08-10T07:08:26Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair/runs/7245190826.01424-f999408a-40a7,july_stratified_upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair,200.0,0.5642383098602295,0.6310751438140869,0.4845360815525055,0.4433962404727936,0.7281333208084106,0.8364909887313843,0.5845198631286621,0.6021061539649963,0.5894695520401001,0.6770833730697632,0.4895833432674408,0.4454976320266723,brainmvp,6e-05,1.0,200.0,upenn_gbm_idh1_status,t1_t1gd_t2_flair
7245190211.28073-bdfdf888-47a3,dinov2_frozen_multi_t1_t1gd_t2_flair_2025-08-10_07-18-50,crashed,2025-08-10T07:19:10Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair/runs/7245190211.28073-bdfdf888-47a3,july_stratified_upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair,,,,,,,,,,,,,,,,,,upenn_gbm_idh1_status,t1_t1gd_t2_flair
7245190002.76303-373ca937-2aba,dinov2_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-20-51,failed,2025-08-10T07:21:10Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair/runs/7245190002.76303-373ca937-2aba,july_stratified_upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair,,,,,,,,,,,,,,,,,,upenn_gbm_idh1_status,t1_t1gd_t2_flair
7245189401.41250-25a3740a-d2d1,mri_core_frozen_multi_t1_t1gd_t2_flair_2025-08-10_07-32-31,crashed,2025-08-10T07:33:42Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair/runs/7245189401.41250-25a3740a-d2d1,july_stratified_upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair,,,,,,,,,,,,,,,,,,upenn_gbm_idh1_status,t1_t1gd_t2_flair
7245189218.89100-6908bda3-a2dc,mri_core_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-34-54,failed,2025-08-10T07:35:28Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair/runs/7245189218.89100-6908bda3-a2dc,july_stratified_upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair,,,,,,,,,,,,,,,,,,upenn_gbm_idh1_status,t1_t1gd_t2_flair
7245188832.64389-5c5e858b-6fda,resenc_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-35-20,finished,2025-08-10T07:35:54Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair/runs/7245188832.64389-5c5e858b-6fda,july_stratified_upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair,180.0,0.5708869099617004,0.599410891532898,0.5,0.45116278529167175,0.6927294135093689,0.8164955377578735,0.5,0.45226916670799255,0.6632834672927856,0.8067956566810608,0.5,0.4507042169570923,ResEncoder_Classifier,7e-05,1.0,180.0,upenn_gbm_idh1_status,t1_t1gd_t2_flair
7245188347.24498-4cf76cdc-76ae,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-43-01,finished,2025-08-10T07:43:34Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair/runs/7245188347.24498-4cf76cdc-76ae,july_stratified_upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair,180.0,0.591419517993927,0.6342661380767822,0.5218458771705627,0.5137362480163574,0.8442783355712891,0.9139485955238342,0.744994044303894,0.7780163288116455,0.7366081476211548,0.7760416269302368,0.6748511791229248,0.7103960514068604,ResEncoder_Classifier,7e-05,2.0,180.0,upenn_gbm_idh1_status,t1_t1gd_t2_flair
7245187966.53555-6c6e50b7-4a95,resenc_time_conditioned_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-49-37,finished,2025-08-10T07:52:08Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair/runs/7245187966.53555-6c6e50b7-4a95,july_stratified_upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair,180.0,0.5167068839073181,0.507854700088501,0.5,0.45116278529167175,0.47697797417640686,0.4259742498397827,0.5,0.45226916670799255,0.5343026518821716,0.523065447807312,0.5,0.4507042169570923,ResEncTimeConditioned,7e-05,2.0,180.0,upenn_gbm_idh1_status,t1_t1gd_t2_flair
