id,name,state,created_at,config,summary,tags,url,project,notes,epoch,Test/AUROC,Test/AP,Test/F1,Test/Balanced_Accuracy,Train/AP,Train/AUROC,Train/Balanced_Accuracy,Train/F1,Val/AP,Val/AUROC,Val/Balanced_Accuracy,Val/F1
7246072914.40164-63465036-aa23,mri_core_frozen_t1c_2025-07-31_02-03-38,failed,2025-07-31T02:04:16Z,"{'sam': False, 'fold': '0', 'task': 'Classification', 'T_max': 100, 'depth': 12, 'mixup': False, 'model': 'MRICore', 'epochs': 100, 'compile': False, 'devices': 1, 'metrics': ['f1', 'balanced_acc', 'ap', 'auroc'], 'subtask': 'multiclass', 'nesterov': False, 'strategy': 'auto', 'benchmark': False, 'embed_dim': 768, 'input_dim': 3, 'mlp_ratio': 4, 'num_heads': 12, 'optimizer': 'AdamW', 'precision': '16-mixed', 'scheduler': 'CosineAnneal', 'warmstart': 20, 'batch_size': 8, 'cifar_size': False, 'hidden_dim': 512, 'image_size': 224, 'max_epochs': 100, 'patch_size': 16, 'pretrained': False, 'save_preds': True, 'warmstart2': 0, 'accelerator': 'gpu', 'input_shape': [160, 160, 160], 'mixup_alpha': 0.2, 'num_classes': 2, 'num_workers': 16, 'result_plot': 'val', 'adaptive_sam': False, 'modality_idx': 1, 'target_shape': [224, 224, 224], 'undecay_norm': False, 'weight_decay': 0.01, 'data_root_dir': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM', 'deterministic': False, 'learning_rate': 2e-05, 'freeze_encoder': True, 'input_channels': 1, 'random_batches': False, 'resnet_dropout': 0, 'sync_batchnorm': True, 'apply_shakedrop': False, 'finetune_method': 'full', 'label_smoothing': 0.2, 'test_transforms': None, 'final_batch_size': 8, 'stochastic_depth': False, 'train_transforms': 'batchgenerators.get_training_transforms', 'log_every_n_steps': 10, 'slice_aggregation': 'mean', 'squeeze_excitation': False, 'zero_init_residual': False, 'classification_task': 'idh_classification', 'use_single_modality': True, 'auto_batch_size_mode': 'power', 'auto_batch_size_steps': 3, 'prepare_data_per_node': False, 'accumulate_grad_batches': 1, 'auto_batch_size_enabled': True, 'metric_computation_mode': 'epochwise', 'token_aggregation_method': 'mean', 'pretrained_checkpoint_path': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth', 'classification_head_dropout': 0.5}","{'_runtime': 2, '_wandb': {'runtime': 2}}",[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t1c/runs/7246072914.40164-63465036-aa23,july_stratified_ucsf_pdgm_idh_classification_single_t1c,Stratified MRI_CORE frozen on ucsf_pdgm idh_classification with t1c,,,,,,,,,,,,,
7246072452.42003-6e27c02e-c0a1,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1c_2025-07-31_02-11-12,failed,2025-07-31T02:11:49Z,"{'sam': False, 'fold': '0', 'task': 'Classification', 'T_max': 200, 'mixup': False, 'model': 'ResEncoder_Classifier', 'epochs': 200, 'compile': False, 'devices': 1, 'metrics': ['f1', 'balanced_acc', 'ap', 'auroc'], 'subtask': 'multiclass', 'nesterov': False, 'strategy': 'auto', 'benchmark': False, 'input_dim': 3, 'optimizer': 'AdamW', 'precision': '16-mixed', 'scheduler': 'CosineAnneal', 'warmstart': 20, 'batch_size': 1, 'cifar_size': False, 'max_epochs': 200, 'pretrained': True, 'save_preds': True, 'warmstart2': 0, 'accelerator': 'gpu', 'input_shape': [160, 160, 160], 'mixup_alpha': 0.2, 'num_classes': 2, 'num_workers': 16, 'result_plot': 'val', 'adaptive_sam': False, 'modality_idx': 1, 'target_shape': [160, 160, 160], 'undecay_norm': False, 'weight_decay': 0.01, 'data_root_dir': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM', 'deterministic': False, 'learning_rate': 5e-06, 'input_channels': 1, 'random_batches': False, 'resnet_dropout': 0, 'sync_batchnorm': True, 'apply_shakedrop': False, 'finetune_method': 'full', 'freeze_backbone': False, 'label_smoothing': 0.2, 'test_transforms': None, 'final_batch_size': 1, 'stochastic_depth': False, 'train_transforms': 'batchgenerators.get_training_transforms', 'log_every_n_steps': 10, 'squeeze_excitation': False, 'zero_init_residual': False, 'classification_task': 'idh_classification', 'use_single_modality': True, 'auto_batch_size_mode': 'power', 'auto_batch_size_steps': 3, 'prepare_data_per_node': False, 'accumulate_grad_batches': 1, 'auto_batch_size_enabled': True, 'metric_computation_mode': 'epochwise', 'token_aggregation_method': None, 'pretrained_checkpoint_path': '/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth', 'classification_head_dropout': 0.2}","{'_runtime': 2, '_wandb': {'runtime': 2}}",[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t1c/runs/7246072452.42003-6e27c02e-c0a1,july_stratified_ucsf_pdgm_idh_classification_single_t1c,Stratified RESENC_MDAE pretrained on ucsf_pdgm idh_classification with t1c,,,,,,,,,,,,,
7246072761.38152-91389beb-fd19,mri_core_pretrained_t1c_2025-07-31_02-13-00,failed,2025-07-31T02:13:34Z,"{'sam': False, 'fold': '0', 'task': 'Classification', 'T_max': 100, 'depth': 12, 'mixup': False, 'model': 'MRICore', 'epochs': 100, 'compile': False, 'devices': 1, 'metrics': ['f1', 'balanced_acc', 'ap', 'auroc'], 'subtask': 'multiclass', 'nesterov': False, 'strategy': 'auto', 'benchmark': False, 'embed_dim': 768, 'input_dim': 3, 'mlp_ratio': 4, 'num_heads': 12, 'optimizer': 'AdamW', 'precision': '16-mixed', 'scheduler': 'CosineAnneal', 'warmstart': 20, 'batch_size': 1, 'cifar_size': False, 'hidden_dim': 512, 'image_size': 224, 'max_epochs': 100, 'patch_size': 16, 'pretrained': False, 'save_preds': True, 'warmstart2': 0, 'accelerator': 'gpu', 'input_shape': [160, 160, 160], 'mixup_alpha': 0.2, 'num_classes': 2, 'num_workers': 16, 'result_plot': 'val', 'adaptive_sam': False, 'modality_idx': 1, 'target_shape': [224, 224, 224], 'undecay_norm': False, 'weight_decay': 0.01, 'data_root_dir': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM', 'deterministic': False, 'learning_rate': 2e-05, 'freeze_encoder': False, 'input_channels': 1, 'random_batches': False, 'resnet_dropout': 0, 'sync_batchnorm': True, 'apply_shakedrop': False, 'finetune_method': 'full', 'freeze_backbone': False, 'label_smoothing': 0.2, 'test_transforms': None, 'final_batch_size': 1, 'stochastic_depth': False, 'train_transforms': 'batchgenerators.get_training_transforms', 'log_every_n_steps': 10, 'slice_aggregation': 'mean', 'squeeze_excitation': False, 'zero_init_residual': False, 'classification_task': 'idh_classification', 'use_single_modality': True, 'auto_batch_size_mode': 'power', 'auto_batch_size_steps': 3, 'prepare_data_per_node': False, 'accumulate_grad_batches': 1, 'auto_batch_size_enabled': True, 'metric_computation_mode': 'epochwise', 'token_aggregation_method': 'mean', 'pretrained_checkpoint_path': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth', 'classification_head_dropout': 0.5}","{'_runtime': 2, '_wandb': {'runtime': 2}}",[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t1c/runs/7246072761.38152-91389beb-fd19,july_stratified_ucsf_pdgm_idh_classification_single_t1c,Stratified MRI_CORE pretrained on ucsf_pdgm idh_classification with t1c,,,,,,,,,,,,,
7246072301.16220-3ec0624c-e4e7,resenc_multimodal_mm_mdae_pretrained_pretrained_t1c_2025-07-31_02-13-36,failed,2025-07-31T02:14:03Z,"{'sam': False, 'fold': '0', 'task': 'Classification', 'T_max': 100, 'mixup': False, 'model': 'ResEncoderMultiModal_Classifier', 'epochs': 100, 'compile': False, 'devices': 1, 'metrics': ['f1', 'balanced_acc', 'ap', 'auroc'], 'subtask': 'multiclass', 'nesterov': False, 'strategy': 'auto', 'benchmark': False, 'input_dim': 3, 'optimizer': 'AdamW', 'precision': '16-mixed', 'scheduler': 'CosineAnneal', 'warmstart': 20, 'batch_size': 4, 'cifar_size': False, 'max_epochs': 100, 'pretrained': True, 'save_preds': True, 'warmstart2': 0, 'accelerator': 'gpu', 'input_shape': [160, 160, 160], 'mixup_alpha': 0.2, 'num_classes': 2, 'num_workers': 16, 'result_plot': 'val', 'adaptive_sam': False, 'modality_idx': 1, 'target_shape': [160, 160, 160], 'undecay_norm': False, 'weight_decay': 0.01, 'data_root_dir': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM', 'deterministic': False, 'learning_rate': 2e-05, 'input_channels': 1, 'random_batches': False, 'resnet_dropout': 0, 'sync_batchnorm': True, 'apply_shakedrop': False, 'finetune_method': 'full', 'freeze_backbone': False, 'label_smoothing': 0.2, 'test_transforms': None, 'final_batch_size': 4, 'stochastic_depth': False, 'train_transforms': 'batchgenerators.get_training_transforms', 'log_every_n_steps': 10, 'squeeze_excitation': False, 'zero_init_residual': False, 'classification_task': 'idh_classification', 'use_single_modality': True, 'auto_batch_size_mode': 'power', 'auto_batch_size_steps': 3, 'prepare_data_per_node': False, 'accumulate_grad_batches': 1, 'auto_batch_size_enabled': True, 'metric_computation_mode': 'epochwise', 'token_aggregation_method': None, 'pretrained_checkpoint_path': '/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth', 'classification_head_dropout': 0.2}","{'_runtime': 1, '_wandb': {'runtime': 1}}",[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t1c/runs/7246072301.16220-3ec0624c-e4e7,july_stratified_ucsf_pdgm_idh_classification_single_t1c,Stratified RESENC_MM_PRETRAINED pretrained on ucsf_pdgm idh_classification with t1c,,,,,,,,,,,,,
7246073226.02859-d7a3153c-4da4,dinov2_frozen_t1c_2025-07-31_02-14-05,failed,2025-07-31T02:14:27Z,"{'sam': False, 'fold': '0', 'task': 'Classification', 'T_max': 100, 'mixup': False, 'model': 'dinov2', 'epochs': 50, 'compile': False, 'devices': 1, 'metrics': ['f1', 'balanced_acc', 'ap', 'auroc'], 'subtask': 'multiclass', 'nesterov': False, 'strategy': 'auto', 'benchmark': False, 'input_dim': 3, 'optimizer': 'AdamW', 'precision': '16-mixed', 'scheduler': 'CosineAnneal', 'warmstart': 20, 'batch_size': 4, 'cifar_size': False, 'max_epochs': 100, 'pretrained': True, 'save_preds': True, 'warmstart2': 0, 'accelerator': 'gpu', 'input_shape': [160, 160, 160], 'mixup_alpha': 0.2, 'num_classes': 2, 'num_workers': 16, 'result_plot': 'val', 'adaptive_sam': False, 'modality_idx': 1, 'target_shape': [224, 224, 224], 'undecay_norm': False, 'weight_decay': 0.01, 'data_root_dir': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM', 'deterministic': False, 'learning_rate': 2e-05, 'input_channels': 1, 'random_batches': False, 'resnet_dropout': 0, 'sync_batchnorm': True, 'apply_shakedrop': False, 'finetune_method': 'full', 'freeze_backbone': True, 'label_smoothing': 0.2, 'test_transforms': None, 'final_batch_size': 4, 'stochastic_depth': False, 'train_transforms': 'batchgenerators.get_training_transforms', 'dinov2_model_name': 'facebook/dinov2-base', 'log_every_n_steps': 10, 'slice_aggregation': 'mean', 'squeeze_excitation': False, 'zero_init_residual': False, 'classification_task': 'idh_classification', 'use_single_modality': True, 'auto_batch_size_mode': 'power', 'auto_batch_size_steps': 3, 'prepare_data_per_node': False, 'accumulate_grad_batches': 1, 'auto_batch_size_enabled': True, 'metric_computation_mode': 'epochwise', 'token_aggregation_method': 'mean', 'pretrained_checkpoint_path': None, 'use_brainiac_preprocessing': True, 'classification_head_dropout': 0.5}","{'_runtime': 1, '_wandb': {'runtime': 1}}",[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t1c/runs/7246073226.02859-d7a3153c-4da4,july_stratified_ucsf_pdgm_idh_classification_single_t1c,Stratified DINOV2 frozen on ucsf_pdgm idh_classification with t1c,,,,,,,,,,,,,
7246072157.24858-7f2657f0-71bd,resenc_time_conditioned_pretrained_t1c_2025-07-31_02-16-29,failed,2025-07-31T02:17:17Z,"{'sam': False, 'fold': '0', 'task': 'Classification', 'T_max': 200, 'mixup': False, 'model': 'ResEncTimeConditioned', 'epochs': 200, 'compile': False, 'devices': 1, 'metrics': ['f1', 'balanced_acc', 'ap', 'auroc'], 'subtask': 'multiclass', 'nesterov': False, 'strategy': 'auto', 'time_dim': 256, 'benchmark': False, 'input_dim': 3, 'optimizer': 'AdamW', 'precision': '16-mixed', 'scheduler': 'CosineAnneal', 'warmstart': 20, 'batch_size': 1, 'cifar_size': False, 'max_epochs': 200, 'pretrained': True, 'save_preds': True, 'warmstart2': 0, 'accelerator': 'gpu', 'input_shape': [160, 160, 160], 'mixup_alpha': 0.2, 'num_classes': 2, 'num_workers': 16, 'result_plot': 'val', 'adaptive_sam': False, 'dropout_rate': 0.5, 'modality_idx': 1, 'target_shape': [160, 160, 160], 'undecay_norm': False, 'weight_decay': 0.01, 'data_root_dir': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM', 'deterministic': False, 'learning_rate': 5e-06, 'freeze_encoder': False, 'input_channels': 1, 'random_batches': False, 'resnet_dropout': 0, 'sync_batchnorm': True, 'apply_shakedrop': False, 'finetune_method': 'full', 'freeze_backbone': False, 'label_smoothing': 0.2, 'test_transforms': None, 'final_batch_size': 1, 'stochastic_depth': False, 'train_transforms': 'batchgenerators.get_training_transforms', 'log_every_n_steps': 10, 'squeeze_excitation': False, 'zero_init_residual': False, 'classification_task': 'idh_classification', 'use_single_modality': True, 'auto_batch_size_mode': 'power', 'auto_batch_size_steps': 3, 'prepare_data_per_node': False, 'learned_sinusoidal_dim': 64, 'accumulate_grad_batches': 1, 'auto_batch_size_enabled': True, 'metric_computation_mode': 'epochwise', 'token_aggregation_method': 'cls_token', 'pretrained_checkpoint_path': '/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth', 'classification_head_dropout': 0.5}","{'_runtime': 2, '_wandb': {'runtime': 2}}",[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t1c/runs/7246072157.24858-7f2657f0-71bd,july_stratified_ucsf_pdgm_idh_classification_single_t1c,Stratified RESENC_TIME_CONDITIONED pretrained on ucsf_pdgm idh_classification with t1c,,,,,,,,,,,,,
7246072613.25735-d5012802-8d3e,resenc_pretrained_t1c_2025-07-31_02-35-59,failed,2025-07-31T02:37:10Z,"{'sam': False, 'fold': '0', 'task': 'Classification', 'T_max': 100, 'mixup': False, 'model': 'ResEncoder_Classifier', 'epochs': 100, 'compile': False, 'devices': 1, 'metrics': ['f1', 'balanced_acc', 'ap', 'auroc'], 'subtask': 'multiclass', 'nesterov': False, 'strategy': 'auto', 'benchmark': False, 'input_dim': 3, 'optimizer': 'AdamW', 'precision': '16-mixed', 'scheduler': 'CosineAnneal', 'warmstart': 20, 'batch_size': 4, 'cifar_size': False, 'max_epochs': 100, 'pretrained': True, 'save_preds': True, 'warmstart2': 0, 'accelerator': 'gpu', 'input_shape': [160, 160, 160], 'mixup_alpha': 0.2, 'num_classes': 2, 'num_workers': 16, 'result_plot': 'val', 'adaptive_sam': False, 'modality_idx': 1, 'target_shape': [160, 160, 160], 'undecay_norm': False, 'weight_decay': 0.01, 'data_root_dir': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM', 'deterministic': False, 'learning_rate': 2e-05, 'input_channels': 1, 'random_batches': False, 'resnet_dropout': 0, 'sync_batchnorm': True, 'apply_shakedrop': False, 'finetune_method': 'full', 'freeze_backbone': False, 'label_smoothing': 0.2, 'test_transforms': None, 'final_batch_size': 4, 'stochastic_depth': False, 'train_transforms': 'batchgenerators.get_training_transforms', 'log_every_n_steps': 10, 'squeeze_excitation': False, 'zero_init_residual': False, 'classification_task': 'idh_classification', 'use_single_modality': True, 'auto_batch_size_mode': 'power', 'auto_batch_size_steps': 3, 'prepare_data_per_node': False, 'accumulate_grad_batches': 1, 'auto_batch_size_enabled': True, 'metric_computation_mode': 'epochwise', 'token_aggregation_method': None, 'pretrained_checkpoint_path': '/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth', 'classification_head_dropout': 0.2}","{'_runtime': 2, '_wandb': {'runtime': 2}}",[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t1c/runs/7246072613.25735-d5012802-8d3e,july_stratified_ucsf_pdgm_idh_classification_single_t1c,Stratified RESENC pretrained on ucsf_pdgm idh_classification with t1c,,,,,,,,,,,,,
7246073373.65015-0fb83b5f-5cab,brainmvp_pretrained_t1c_2025-07-31_02-46-12,failed,2025-07-31T02:46:48Z,"{'sam': False, 'fold': '0', 'task': 'Classification', 'T_max': 100, 'mixup': False, 'model': 'brainmvp', 'epochs': 100, 'compile': False, 'devices': 1, 'metrics': ['f1', 'balanced_acc', 'ap', 'auroc'], 'subtask': 'multiclass', 'nesterov': False, 'strategy': 'auto', 'benchmark': False, 'input_dim': 3, 'optimizer': 'AdamW', 'precision': '16-mixed', 'scheduler': 'CosineAnneal', 'warmstart': 20, 'batch_size': 4, 'cifar_size': False, 'max_epochs': 100, 'pretrained': True, 'save_preds': True, 'warmstart2': 0, 'accelerator': 'gpu', 'input_shape': [160, 160, 160], 'mixup_alpha': 0.2, 'num_classes': 2, 'num_workers': 16, 'result_plot': 'val', 'adaptive_sam': False, 'dropout_prob': 0.2, 'modality_idx': 1, 'target_shape': [96, 96, 96], 'undecay_norm': False, 'weight_decay': 0.01, 'data_root_dir': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM', 'deterministic': False, 'learning_rate': 2e-05, 'input_channels': 1, 'random_batches': False, 'resnet_dropout': 0, 'sync_batchnorm': True, 'apply_shakedrop': False, 'finetune_method': 'full', 'freeze_backbone': False, 'label_smoothing': 0.2, 'test_transforms': None, 'final_batch_size': 4, 'stochastic_depth': False, 'train_transforms': 'batchgenerators.get_training_transforms', 'log_every_n_steps': 10, 'squeeze_excitation': False, 'zero_init_residual': False, 'classification_task': 'idh_classification', 'use_single_modality': True, 'auto_batch_size_mode': 'power', 'auto_batch_size_steps': 3, 'prepare_data_per_node': False, 'accumulate_grad_batches': 1, 'auto_batch_size_enabled': True, 'metric_computation_mode': 'epochwise', 'token_aggregation_method': 'cls_token', 'pretrained_checkpoint_path': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt', 'use_brainiac_preprocessing': True, 'classification_head_dropout': 0}","{'_runtime': 1, '_wandb': {'runtime': 1}}",[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t1c/runs/7246073373.65015-0fb83b5f-5cab,july_stratified_ucsf_pdgm_idh_classification_single_t1c,Stratified BRAINMVP pretrained on ucsf_pdgm idh_classification with t1c,,,,,,,,,,,,,
7246073068.09732-7bf81666-5b88,dinov2_pretrained_t1c_2025-07-31_02-50-47,failed,2025-07-31T02:51:08Z,"{'sam': False, 'fold': '0', 'task': 'Classification', 'T_max': 100, 'mixup': False, 'model': 'dinov2', 'epochs': 50, 'compile': False, 'devices': 1, 'metrics': ['f1', 'balanced_acc', 'ap', 'auroc'], 'subtask': 'multiclass', 'nesterov': False, 'strategy': 'auto', 'benchmark': False, 'input_dim': 3, 'optimizer': 'AdamW', 'precision': '16-mixed', 'scheduler': 'CosineAnneal', 'warmstart': 20, 'batch_size': 1, 'cifar_size': False, 'max_epochs': 100, 'pretrained': True, 'save_preds': True, 'warmstart2': 0, 'accelerator': 'gpu', 'input_shape': [160, 160, 160], 'mixup_alpha': 0.2, 'num_classes': 2, 'num_workers': 16, 'result_plot': 'val', 'adaptive_sam': False, 'modality_idx': 1, 'target_shape': [224, 224, 224], 'undecay_norm': False, 'weight_decay': 0.01, 'data_root_dir': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM', 'deterministic': False, 'learning_rate': 2e-05, 'input_channels': 1, 'random_batches': False, 'resnet_dropout': 0, 'sync_batchnorm': True, 'apply_shakedrop': False, 'finetune_method': 'full', 'freeze_backbone': False, 'label_smoothing': 0.2, 'test_transforms': None, 'final_batch_size': 1, 'stochastic_depth': False, 'train_transforms': 'batchgenerators.get_training_transforms', 'dinov2_model_name': 'facebook/dinov2-base', 'log_every_n_steps': 10, 'slice_aggregation': 'mean', 'squeeze_excitation': False, 'zero_init_residual': False, 'classification_task': 'idh_classification', 'use_single_modality': True, 'auto_batch_size_mode': 'power', 'auto_batch_size_steps': 3, 'prepare_data_per_node': False, 'accumulate_grad_batches': 1, 'auto_batch_size_enabled': True, 'metric_computation_mode': 'epochwise', 'token_aggregation_method': 'mean', 'pretrained_checkpoint_path': None, 'use_brainiac_preprocessing': True, 'classification_head_dropout': 0.5}","{'_runtime': 1, '_wandb': {'runtime': 1}}",[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t1c/runs/7246073068.09732-7bf81666-5b88,july_stratified_ucsf_pdgm_idh_classification_single_t1c,Stratified DINOV2 pretrained on ucsf_pdgm idh_classification with t1c,,,,,,,,,,,,,
7246063880.22981-62b4be5f-8251,resenc_pretrained_t1c_2025-07-31_04-33-21,finished,2025-07-31T04:33:54Z,"{'sam': False, 'fold': '0', 'task': 'Classification', 'T_max': 100, 'mixup': False, 'model': 'ResEncoder_Classifier', 'epochs': 100, 'compile': False, 'devices': 1, 'metrics': ['f1', 'balanced_acc', 'ap', 'auroc'], 'subtask': 'multiclass', 'nesterov': False, 'strategy': 'auto', 'benchmark': False, 'input_dim': 3, 'optimizer': 'AdamW', 'precision': '16-mixed', 'scheduler': 'CosineAnneal', 'warmstart': 20, 'batch_size': 4, 'cifar_size': False, 'max_epochs': 100, 'pretrained': True, 'save_preds': True, 'warmstart2': 0, 'accelerator': 'gpu', 'input_shape': [160, 160, 160], 'mixup_alpha': 0.2, 'num_classes': 2, 'num_workers': 16, 'result_plot': 'val', 'adaptive_sam': False, 'modality_idx': 1, 'target_shape': [160, 160, 160], 'undecay_norm': False, 'weight_decay': 0.01, 'data_root_dir': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM', 'deterministic': False, 'learning_rate': 2e-05, 'input_channels': 1, 'random_batches': False, 'resnet_dropout': 0, 'sync_batchnorm': True, 'apply_shakedrop': False, 'finetune_method': 'full', 'freeze_backbone': False, 'label_smoothing': 0.2, 'test_transforms': None, 'final_batch_size': 8, 'stochastic_depth': False, 'train_transforms': 'batchgenerators.get_training_transforms', 'log_every_n_steps': 10, 'squeeze_excitation': False, 'zero_init_residual': False, 'classification_task': 'idh_classification', 'use_single_modality': True, 'auto_batch_size_mode': 'power', 'auto_batch_size_steps': 3, 'prepare_data_per_node': False, 'accumulate_grad_batches': 1, 'auto_batch_size_enabled': True, 'metric_computation_mode': 'epochwise', 'token_aggregation_method': None, 'pretrained_checkpoint_path': '/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth', 'classification_head_dropout': 0.2}","{'Test/AP': 0.7871428728103638, 'Test/AUROC': 0.8977410793304443, 'Test/Balanced_Accuracy': 0.7884615659713745, 'Test/F1': 0.7884615659713745, 'Test/loss': 0.49727970361709595, 'Train/AP': 0.9394100308418274, 'Train/AUROC': 0.9517029523849488, 'Train/Balanced_Accuracy': 0.9072569608688354, 'Train/F1': 0.919905960559845, 'Train/loss': 0.4281471371650696, 'Val/AP': 0.823033332824707, 'Val/AUROC': 0.884353756904602, 'Val/Balanced_Accuracy': 0.7575757503509521, 'Val/F1': 0.7575757503509521, 'Val/loss': 0.5125691294670105, '_runtime': 8396, '_step': 500, '_timestamp': 1753944830.5392349, '_wandb': {'runtime': 8396}, 'epoch': 100, 'lr-AdamW': 7.709637592770997e-09, 'trainer/global_step': 3700, 'val_ConfusionMatrix_absolute': {'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_absolute_497_ab91b8d2b507f25ad6df.png'], 'format': 'png', 'height': 800, 'width': 800}, 'val_ConfusionMatrix_normalized': {'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_normalized_496_eef9645f8b525a00a6ea.png'], 'format': 'png', 'height': 800, 'width': 800}}",[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t1c/runs/7246063880.22981-62b4be5f-8251,july_stratified_ucsf_pdgm_idh_classification_single_t1c,Stratified RESENC pretrained on ucsf_pdgm idh_classification with t1c,100.0,0.8977410793304443,0.7871428728103638,0.7884615659713745,0.7884615659713745,0.9394100308418274,0.9517029523849488,0.9072569608688354,0.919905960559845,0.823033332824707,0.884353756904602,0.7575757503509521,0.7575757503509521
