id,name,state,created_at,config,summary,tags,url,project,notes,epoch,Test/AUROC,Test/AP,Test/F1,Test/Balanced_Accuracy,Train/AP,Train/AUROC,Train/Balanced_Accuracy,Train/F1,Val/AP,Val/AUROC,Val/Balanced_Accuracy,Val/F1
7246073653.02739-4baf9f93-dc99,brainiac_pretrained_t2_2025-07-31_01-52-16,failed,2025-07-31T01:52:37Z,"{'sam': False, 'fold': '0', 'task': 'Classification', 'T_max': 100, 'mixup': False, 'model': 'brainiac', 'epochs': 100, 'compile': False, 'devices': 1, 'metrics': ['f1', 'balanced_acc', 'ap', 'auroc'], 'subtask': 'multiclass', 'nesterov': False, 'strategy': 'auto', 'benchmark': False, 'input_dim': 3, 'optimizer': 'AdamW', 'precision': '16-mixed', 'scheduler': 'CosineAnneal', 'warmstart': 20, 'batch_size': 4, 'cifar_size': False, 'max_epochs': 100, 'pretrained': True, 'save_preds': True, 'warmstart2': 0, 'accelerator': 'gpu', 'input_shape': [160, 160, 160], 'mixup_alpha': 0.2, 'num_classes': 2, 'num_workers': 16, 'result_plot': 'val', 'adaptive_sam': False, 'dropout_prob': 0.2, 'modality_idx': 2, 'target_shape': [128, 128, 128], 'undecay_norm': False, 'weight_decay': 0.01, 'data_root_dir': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM', 'deterministic': False, 'learning_rate': 2e-05, 'input_channels': 1, 'random_batches': False, 'resnet_dropout': 0, 'sync_batchnorm': True, 'apply_shakedrop': False, 'finetune_method': 'full', 'freeze_backbone': False, 'label_smoothing': 0.2, 'test_transforms': None, 'final_batch_size': 4, 'stochastic_depth': False, 'train_transforms': 'batchgenerators.get_training_transforms', 'log_every_n_steps': 10, 'squeeze_excitation': False, 'zero_init_residual': False, 'classification_task': 'idh_classification', 'use_single_modality': True, 'auto_batch_size_mode': 'power', 'auto_batch_size_steps': 3, 'prepare_data_per_node': False, 'accumulate_grad_batches': 1, 'auto_batch_size_enabled': True, 'metric_computation_mode': 'epochwise', 'token_aggregation_method': 'cls_token', 'pretrained_checkpoint_path': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt', 'use_brainiac_preprocessing': True, 'classification_head_dropout': 0}","{'_runtime': 2, '_wandb': {'runtime': 2}}",[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t2/runs/7246073653.02739-4baf9f93-dc99,july_stratified_ucsf_pdgm_idh_classification_single_t2,Stratified BRAINIAC pretrained on ucsf_pdgm idh_classification with t2,,,,,,,,,,,,,
7246072890.80906-249fda94-86d0,mri_core_frozen_t2_2025-07-31_02-06-03,failed,2025-07-31T02:06:40Z,"{'sam': False, 'fold': '0', 'task': 'Classification', 'T_max': 100, 'depth': 12, 'mixup': False, 'model': 'MRICore', 'epochs': 100, 'compile': False, 'devices': 1, 'metrics': ['f1', 'balanced_acc', 'ap', 'auroc'], 'subtask': 'multiclass', 'nesterov': False, 'strategy': 'auto', 'benchmark': False, 'embed_dim': 768, 'input_dim': 3, 'mlp_ratio': 4, 'num_heads': 12, 'optimizer': 'AdamW', 'precision': '16-mixed', 'scheduler': 'CosineAnneal', 'warmstart': 20, 'batch_size': 8, 'cifar_size': False, 'hidden_dim': 512, 'image_size': 224, 'max_epochs': 100, 'patch_size': 16, 'pretrained': False, 'save_preds': True, 'warmstart2': 0, 'accelerator': 'gpu', 'input_shape': [160, 160, 160], 'mixup_alpha': 0.2, 'num_classes': 2, 'num_workers': 16, 'result_plot': 'val', 'adaptive_sam': False, 'modality_idx': 2, 'target_shape': [224, 224, 224], 'undecay_norm': False, 'weight_decay': 0.01, 'data_root_dir': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM', 'deterministic': False, 'learning_rate': 2e-05, 'freeze_encoder': True, 'input_channels': 1, 'random_batches': False, 'resnet_dropout': 0, 'sync_batchnorm': True, 'apply_shakedrop': False, 'finetune_method': 'full', 'label_smoothing': 0.2, 'test_transforms': None, 'final_batch_size': 8, 'stochastic_depth': False, 'train_transforms': 'batchgenerators.get_training_transforms', 'log_every_n_steps': 10, 'slice_aggregation': 'mean', 'squeeze_excitation': False, 'zero_init_residual': False, 'classification_task': 'idh_classification', 'use_single_modality': True, 'auto_batch_size_mode': 'power', 'auto_batch_size_steps': 3, 'prepare_data_per_node': False, 'accumulate_grad_batches': 1, 'auto_batch_size_enabled': True, 'metric_computation_mode': 'epochwise', 'token_aggregation_method': 'mean', 'pretrained_checkpoint_path': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth', 'classification_head_dropout': 0.5}","{'_runtime': 2, '_wandb': {'runtime': 2}}",[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t2/runs/7246072890.80906-249fda94-86d0,july_stratified_ucsf_pdgm_idh_classification_single_t2,Stratified MRI_CORE frozen on ucsf_pdgm idh_classification with t2,,,,,,,,,,,,,
7246072735.62973-a0373628-3f50,mri_core_pretrained_t2_2025-07-31_02-06-50,failed,2025-07-31T02:07:25Z,"{'sam': False, 'fold': '0', 'task': 'Classification', 'T_max': 100, 'depth': 12, 'mixup': False, 'model': 'MRICore', 'epochs': 100, 'compile': False, 'devices': 1, 'metrics': ['f1', 'balanced_acc', 'ap', 'auroc'], 'subtask': 'multiclass', 'nesterov': False, 'strategy': 'auto', 'benchmark': False, 'embed_dim': 768, 'input_dim': 3, 'mlp_ratio': 4, 'num_heads': 12, 'optimizer': 'AdamW', 'precision': '16-mixed', 'scheduler': 'CosineAnneal', 'warmstart': 20, 'batch_size': 1, 'cifar_size': False, 'hidden_dim': 512, 'image_size': 224, 'max_epochs': 100, 'patch_size': 16, 'pretrained': False, 'save_preds': True, 'warmstart2': 0, 'accelerator': 'gpu', 'input_shape': [160, 160, 160], 'mixup_alpha': 0.2, 'num_classes': 2, 'num_workers': 16, 'result_plot': 'val', 'adaptive_sam': False, 'modality_idx': 2, 'target_shape': [224, 224, 224], 'undecay_norm': False, 'weight_decay': 0.01, 'data_root_dir': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM', 'deterministic': False, 'learning_rate': 2e-05, 'freeze_encoder': False, 'input_channels': 1, 'random_batches': False, 'resnet_dropout': 0, 'sync_batchnorm': True, 'apply_shakedrop': False, 'finetune_method': 'full', 'freeze_backbone': False, 'label_smoothing': 0.2, 'test_transforms': None, 'final_batch_size': 1, 'stochastic_depth': False, 'train_transforms': 'batchgenerators.get_training_transforms', 'log_every_n_steps': 10, 'slice_aggregation': 'mean', 'squeeze_excitation': False, 'zero_init_residual': False, 'classification_task': 'idh_classification', 'use_single_modality': True, 'auto_batch_size_mode': 'power', 'auto_batch_size_steps': 3, 'prepare_data_per_node': False, 'accumulate_grad_batches': 1, 'auto_batch_size_enabled': True, 'metric_computation_mode': 'epochwise', 'token_aggregation_method': 'mean', 'pretrained_checkpoint_path': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth', 'classification_head_dropout': 0.5}","{'_runtime': 2, '_wandb': {'runtime': 2}}",[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t2/runs/7246072735.62973-a0373628-3f50,july_stratified_ucsf_pdgm_idh_classification_single_t2,Stratified MRI_CORE pretrained on ucsf_pdgm idh_classification with t2,,,,,,,,,,,,,
7246072427.88041-067e7a70-c910,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2_2025-07-31_02-14-07,failed,2025-07-31T02:14:47Z,"{'sam': False, 'fold': '0', 'task': 'Classification', 'T_max': 200, 'mixup': False, 'model': 'ResEncoder_Classifier', 'epochs': 200, 'compile': False, 'devices': 1, 'metrics': ['f1', 'balanced_acc', 'ap', 'auroc'], 'subtask': 'multiclass', 'nesterov': False, 'strategy': 'auto', 'benchmark': False, 'input_dim': 3, 'optimizer': 'AdamW', 'precision': '16-mixed', 'scheduler': 'CosineAnneal', 'warmstart': 20, 'batch_size': 1, 'cifar_size': False, 'max_epochs': 200, 'pretrained': True, 'save_preds': True, 'warmstart2': 0, 'accelerator': 'gpu', 'input_shape': [160, 160, 160], 'mixup_alpha': 0.2, 'num_classes': 2, 'num_workers': 16, 'result_plot': 'val', 'adaptive_sam': False, 'modality_idx': 2, 'target_shape': [160, 160, 160], 'undecay_norm': False, 'weight_decay': 0.01, 'data_root_dir': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM', 'deterministic': False, 'learning_rate': 5e-06, 'input_channels': 1, 'random_batches': False, 'resnet_dropout': 0, 'sync_batchnorm': True, 'apply_shakedrop': False, 'finetune_method': 'full', 'freeze_backbone': False, 'label_smoothing': 0.2, 'test_transforms': None, 'final_batch_size': 1, 'stochastic_depth': False, 'train_transforms': 'batchgenerators.get_training_transforms', 'log_every_n_steps': 10, 'squeeze_excitation': False, 'zero_init_residual': False, 'classification_task': 'idh_classification', 'use_single_modality': True, 'auto_batch_size_mode': 'power', 'auto_batch_size_steps': 3, 'prepare_data_per_node': False, 'accumulate_grad_batches': 1, 'auto_batch_size_enabled': True, 'metric_computation_mode': 'epochwise', 'token_aggregation_method': None, 'pretrained_checkpoint_path': '/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth', 'classification_head_dropout': 0.2}","{'_runtime': 2, '_wandb': {'runtime': 2}}",[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t2/runs/7246072427.88041-067e7a70-c910,july_stratified_ucsf_pdgm_idh_classification_single_t2,Stratified RESENC_MDAE pretrained on ucsf_pdgm idh_classification with t2,,,,,,,,,,,,,
7246072277.68105-3ba5e42c-c93a,resenc_multimodal_mm_mdae_pretrained_pretrained_t2_2025-07-31_02-14-55,failed,2025-07-31T02:15:35Z,"{'sam': False, 'fold': '0', 'task': 'Classification', 'T_max': 100, 'mixup': False, 'model': 'ResEncoderMultiModal_Classifier', 'epochs': 100, 'compile': False, 'devices': 1, 'metrics': ['f1', 'balanced_acc', 'ap', 'auroc'], 'subtask': 'multiclass', 'nesterov': False, 'strategy': 'auto', 'benchmark': False, 'input_dim': 3, 'optimizer': 'AdamW', 'precision': '16-mixed', 'scheduler': 'CosineAnneal', 'warmstart': 20, 'batch_size': 4, 'cifar_size': False, 'max_epochs': 100, 'pretrained': True, 'save_preds': True, 'warmstart2': 0, 'accelerator': 'gpu', 'input_shape': [160, 160, 160], 'mixup_alpha': 0.2, 'num_classes': 2, 'num_workers': 16, 'result_plot': 'val', 'adaptive_sam': False, 'modality_idx': 2, 'target_shape': [160, 160, 160], 'undecay_norm': False, 'weight_decay': 0.01, 'data_root_dir': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM', 'deterministic': False, 'learning_rate': 2e-05, 'input_channels': 1, 'random_batches': False, 'resnet_dropout': 0, 'sync_batchnorm': True, 'apply_shakedrop': False, 'finetune_method': 'full', 'freeze_backbone': False, 'label_smoothing': 0.2, 'test_transforms': None, 'final_batch_size': 4, 'stochastic_depth': False, 'train_transforms': 'batchgenerators.get_training_transforms', 'log_every_n_steps': 10, 'squeeze_excitation': False, 'zero_init_residual': False, 'classification_task': 'idh_classification', 'use_single_modality': True, 'auto_batch_size_mode': 'power', 'auto_batch_size_steps': 3, 'prepare_data_per_node': False, 'accumulate_grad_batches': 1, 'auto_batch_size_enabled': True, 'metric_computation_mode': 'epochwise', 'token_aggregation_method': None, 'pretrained_checkpoint_path': '/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth', 'classification_head_dropout': 0.2}","{'_runtime': 2, '_wandb': {'runtime': 2}}",[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t2/runs/7246072277.68105-3ba5e42c-c93a,july_stratified_ucsf_pdgm_idh_classification_single_t2,Stratified RESENC_MM_PRETRAINED pretrained on ucsf_pdgm idh_classification with t2,,,,,,,,,,,,,
7246072132.73140-6dfbb507-4414,resenc_time_conditioned_pretrained_t2_2025-07-31_02-16-56,failed,2025-07-31T02:17:43Z,"{'sam': False, 'fold': '0', 'task': 'Classification', 'T_max': 200, 'mixup': False, 'model': 'ResEncTimeConditioned', 'epochs': 200, 'compile': False, 'devices': 1, 'metrics': ['f1', 'balanced_acc', 'ap', 'auroc'], 'subtask': 'multiclass', 'nesterov': False, 'strategy': 'auto', 'time_dim': 256, 'benchmark': False, 'input_dim': 3, 'optimizer': 'AdamW', 'precision': '16-mixed', 'scheduler': 'CosineAnneal', 'warmstart': 20, 'batch_size': 1, 'cifar_size': False, 'max_epochs': 200, 'pretrained': True, 'save_preds': True, 'warmstart2': 0, 'accelerator': 'gpu', 'input_shape': [160, 160, 160], 'mixup_alpha': 0.2, 'num_classes': 2, 'num_workers': 16, 'result_plot': 'val', 'adaptive_sam': False, 'dropout_rate': 0.5, 'modality_idx': 2, 'target_shape': [160, 160, 160], 'undecay_norm': False, 'weight_decay': 0.01, 'data_root_dir': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM', 'deterministic': False, 'learning_rate': 5e-06, 'freeze_encoder': False, 'input_channels': 1, 'random_batches': False, 'resnet_dropout': 0, 'sync_batchnorm': True, 'apply_shakedrop': False, 'finetune_method': 'full', 'freeze_backbone': False, 'label_smoothing': 0.2, 'test_transforms': None, 'final_batch_size': 1, 'stochastic_depth': False, 'train_transforms': 'batchgenerators.get_training_transforms', 'log_every_n_steps': 10, 'squeeze_excitation': False, 'zero_init_residual': False, 'classification_task': 'idh_classification', 'use_single_modality': True, 'auto_batch_size_mode': 'power', 'auto_batch_size_steps': 3, 'prepare_data_per_node': False, 'learned_sinusoidal_dim': 64, 'accumulate_grad_batches': 1, 'auto_batch_size_enabled': True, 'metric_computation_mode': 'epochwise', 'token_aggregation_method': 'cls_token', 'pretrained_checkpoint_path': '/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth', 'classification_head_dropout': 0.5}","{'_runtime': 2, '_wandb': {'runtime': 2}}",[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t2/runs/7246072132.73140-6dfbb507-4414,july_stratified_ucsf_pdgm_idh_classification_single_t2,Stratified RESENC_TIME_CONDITIONED pretrained on ucsf_pdgm idh_classification with t2,,,,,,,,,,,,,
7246072590.32081-522bdbc5-c78c,resenc_pretrained_t2_2025-07-31_02-35-52,failed,2025-07-31T02:37:02Z,"{'sam': False, 'fold': '0', 'task': 'Classification', 'T_max': 100, 'mixup': False, 'model': 'ResEncoder_Classifier', 'epochs': 100, 'compile': False, 'devices': 1, 'metrics': ['f1', 'balanced_acc', 'ap', 'auroc'], 'subtask': 'multiclass', 'nesterov': False, 'strategy': 'auto', 'benchmark': False, 'input_dim': 3, 'optimizer': 'AdamW', 'precision': '16-mixed', 'scheduler': 'CosineAnneal', 'warmstart': 20, 'batch_size': 4, 'cifar_size': False, 'max_epochs': 100, 'pretrained': True, 'save_preds': True, 'warmstart2': 0, 'accelerator': 'gpu', 'input_shape': [160, 160, 160], 'mixup_alpha': 0.2, 'num_classes': 2, 'num_workers': 16, 'result_plot': 'val', 'adaptive_sam': False, 'modality_idx': 2, 'target_shape': [160, 160, 160], 'undecay_norm': False, 'weight_decay': 0.01, 'data_root_dir': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM', 'deterministic': False, 'learning_rate': 2e-05, 'input_channels': 1, 'random_batches': False, 'resnet_dropout': 0, 'sync_batchnorm': True, 'apply_shakedrop': False, 'finetune_method': 'full', 'freeze_backbone': False, 'label_smoothing': 0.2, 'test_transforms': None, 'final_batch_size': 4, 'stochastic_depth': False, 'train_transforms': 'batchgenerators.get_training_transforms', 'log_every_n_steps': 10, 'squeeze_excitation': False, 'zero_init_residual': False, 'classification_task': 'idh_classification', 'use_single_modality': True, 'auto_batch_size_mode': 'power', 'auto_batch_size_steps': 3, 'prepare_data_per_node': False, 'accumulate_grad_batches': 1, 'auto_batch_size_enabled': True, 'metric_computation_mode': 'epochwise', 'token_aggregation_method': None, 'pretrained_checkpoint_path': '/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth', 'classification_head_dropout': 0.2}","{'_runtime': 2, '_wandb': {'runtime': 2}}",[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t2/runs/7246072590.32081-522bdbc5-c78c,july_stratified_ucsf_pdgm_idh_classification_single_t2,Stratified RESENC pretrained on ucsf_pdgm idh_classification with t2,,,,,,,,,,,,,
7246073043.50243-9dc7a499-d6df,dinov2_pretrained_t2_2025-07-31_02-48-14,failed,2025-07-31T02:48:35Z,"{'sam': False, 'fold': '0', 'task': 'Classification', 'T_max': 100, 'mixup': False, 'model': 'dinov2', 'epochs': 50, 'compile': False, 'devices': 1, 'metrics': ['f1', 'balanced_acc', 'ap', 'auroc'], 'subtask': 'multiclass', 'nesterov': False, 'strategy': 'auto', 'benchmark': False, 'input_dim': 3, 'optimizer': 'AdamW', 'precision': '16-mixed', 'scheduler': 'CosineAnneal', 'warmstart': 20, 'batch_size': 1, 'cifar_size': False, 'max_epochs': 100, 'pretrained': True, 'save_preds': True, 'warmstart2': 0, 'accelerator': 'gpu', 'input_shape': [160, 160, 160], 'mixup_alpha': 0.2, 'num_classes': 2, 'num_workers': 16, 'result_plot': 'val', 'adaptive_sam': False, 'modality_idx': 2, 'target_shape': [224, 224, 224], 'undecay_norm': False, 'weight_decay': 0.01, 'data_root_dir': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM', 'deterministic': False, 'learning_rate': 2e-05, 'input_channels': 1, 'random_batches': False, 'resnet_dropout': 0, 'sync_batchnorm': True, 'apply_shakedrop': False, 'finetune_method': 'full', 'freeze_backbone': False, 'label_smoothing': 0.2, 'test_transforms': None, 'final_batch_size': 1, 'stochastic_depth': False, 'train_transforms': 'batchgenerators.get_training_transforms', 'dinov2_model_name': 'facebook/dinov2-base', 'log_every_n_steps': 10, 'slice_aggregation': 'mean', 'squeeze_excitation': False, 'zero_init_residual': False, 'classification_task': 'idh_classification', 'use_single_modality': True, 'auto_batch_size_mode': 'power', 'auto_batch_size_steps': 3, 'prepare_data_per_node': False, 'accumulate_grad_batches': 1, 'auto_batch_size_enabled': True, 'metric_computation_mode': 'epochwise', 'token_aggregation_method': 'mean', 'pretrained_checkpoint_path': None, 'use_brainiac_preprocessing': True, 'classification_head_dropout': 0.5}","{'_runtime': 1, '_wandb': {'runtime': 1}}",[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t2/runs/7246073043.50243-9dc7a499-d6df,july_stratified_ucsf_pdgm_idh_classification_single_t2,Stratified DINOV2 pretrained on ucsf_pdgm idh_classification with t2,,,,,,,,,,,,,
7246073201.57404-efcad378-f191,dinov2_frozen_t2_2025-07-31_02-49-05,failed,2025-07-31T02:49:37Z,"{'sam': False, 'fold': '0', 'task': 'Classification', 'T_max': 100, 'mixup': False, 'model': 'dinov2', 'epochs': 50, 'compile': False, 'devices': 1, 'metrics': ['f1', 'balanced_acc', 'ap', 'auroc'], 'subtask': 'multiclass', 'nesterov': False, 'strategy': 'auto', 'benchmark': False, 'input_dim': 3, 'optimizer': 'AdamW', 'precision': '16-mixed', 'scheduler': 'CosineAnneal', 'warmstart': 20, 'batch_size': 4, 'cifar_size': False, 'max_epochs': 100, 'pretrained': True, 'save_preds': True, 'warmstart2': 0, 'accelerator': 'gpu', 'input_shape': [160, 160, 160], 'mixup_alpha': 0.2, 'num_classes': 2, 'num_workers': 16, 'result_plot': 'val', 'adaptive_sam': False, 'modality_idx': 2, 'target_shape': [224, 224, 224], 'undecay_norm': False, 'weight_decay': 0.01, 'data_root_dir': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM', 'deterministic': False, 'learning_rate': 2e-05, 'input_channels': 1, 'random_batches': False, 'resnet_dropout': 0, 'sync_batchnorm': True, 'apply_shakedrop': False, 'finetune_method': 'full', 'freeze_backbone': True, 'label_smoothing': 0.2, 'test_transforms': None, 'final_batch_size': 4, 'stochastic_depth': False, 'train_transforms': 'batchgenerators.get_training_transforms', 'dinov2_model_name': 'facebook/dinov2-base', 'log_every_n_steps': 10, 'slice_aggregation': 'mean', 'squeeze_excitation': False, 'zero_init_residual': False, 'classification_task': 'idh_classification', 'use_single_modality': True, 'auto_batch_size_mode': 'power', 'auto_batch_size_steps': 3, 'prepare_data_per_node': False, 'accumulate_grad_batches': 1, 'auto_batch_size_enabled': True, 'metric_computation_mode': 'epochwise', 'token_aggregation_method': 'mean', 'pretrained_checkpoint_path': None, 'use_brainiac_preprocessing': True, 'classification_head_dropout': 0.5}","{'_runtime': 1, '_wandb': {'runtime': 1}}",[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t2/runs/7246073201.57404-efcad378-f191,july_stratified_ucsf_pdgm_idh_classification_single_t2,Stratified DINOV2 frozen on ucsf_pdgm idh_classification with t2,,,,,,,,,,,,,
7246062651.64681-7261915c-46c2,brainiac_pretrained_t2_2025-07-31_04-55-24,finished,2025-07-31T04:55:59Z,"{'sam': False, 'fold': '0', 'task': 'Classification', 'T_max': 100, 'mixup': False, 'model': 'brainiac', 'epochs': 100, 'compile': False, 'devices': 1, 'metrics': ['f1', 'balanced_acc', 'ap', 'auroc'], 'subtask': 'multiclass', 'nesterov': False, 'strategy': 'auto', 'benchmark': False, 'input_dim': 3, 'optimizer': 'AdamW', 'precision': '16-mixed', 'scheduler': 'CosineAnneal', 'warmstart': 20, 'batch_size': 4, 'cifar_size': False, 'max_epochs': 100, 'pretrained': True, 'save_preds': True, 'warmstart2': 0, 'accelerator': 'gpu', 'input_shape': [160, 160, 160], 'mixup_alpha': 0.2, 'num_classes': 2, 'num_workers': 16, 'result_plot': 'val', 'adaptive_sam': False, 'dropout_prob': 0.2, 'modality_idx': 2, 'target_shape': [128, 128, 128], 'undecay_norm': False, 'weight_decay': 0.01, 'data_root_dir': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM', 'deterministic': False, 'learning_rate': 2e-05, 'input_channels': 1, 'random_batches': False, 'resnet_dropout': 0, 'sync_batchnorm': True, 'apply_shakedrop': False, 'finetune_method': 'full', 'freeze_backbone': False, 'label_smoothing': 0.2, 'test_transforms': None, 'final_batch_size': 4, 'stochastic_depth': False, 'train_transforms': 'batchgenerators.get_training_transforms', 'log_every_n_steps': 10, 'squeeze_excitation': False, 'zero_init_residual': False, 'classification_task': 'idh_classification', 'use_single_modality': True, 'auto_batch_size_mode': 'power', 'auto_batch_size_steps': 3, 'prepare_data_per_node': False, 'accumulate_grad_batches': 1, 'auto_batch_size_enabled': True, 'metric_computation_mode': 'epochwise', 'token_aggregation_method': 'cls_token', 'pretrained_checkpoint_path': '/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt', 'use_brainiac_preprocessing': True, 'classification_head_dropout': 0}","{'Test/AP': 0.6544311046600342, 'Test/AUROC': 0.711843729019165, 'Test/Balanced_Accuracy': 0.5760073065757751, 'Test/F1': 0.5840336084365845, 'Test/loss': 0.6247667074203491, 'Train/AP': 0.8609924912452698, 'Train/AUROC': 0.8817128539085388, 'Train/Balanced_Accuracy': 0.7493640184402466, 'Train/F1': 0.7872980237007141, 'Train/loss': 0.4836007058620453, 'Val/AP': 0.6929764747619629, 'Val/AUROC': 0.7229437232017517, 'Val/Balanced_Accuracy': 0.6688311696052551, 'Val/F1': 0.6834948062896729, 'Val/loss': 0.691961407661438, '_runtime': 8578, '_step': 500, '_timestamp': 1753946337.411362, '_wandb': {'runtime': 8578}, 'epoch': 100, 'lr-AdamW': 7.709637592770997e-09, 'trainer/global_step': 7400, 'val_ConfusionMatrix_absolute': {'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_absolute_497_2e1c836e89f34a0f8ef7.png'], 'format': 'png', 'height': 800, 'width': 800}, 'val_ConfusionMatrix_normalized': {'_type': 'images/separated', 'count': 1, 'filenames': ['media/images/val_ConfusionMatrix_normalized_496_dfab6497c7782b0fe502.png'], 'format': 'png', 'height': 800, 'width': 800}}",[],https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_single_t2/runs/7246062651.64681-7261915c-46c2,july_stratified_ucsf_pdgm_idh_classification_single_t2,Stratified BRAINIAC pretrained on ucsf_pdgm idh_classification with t2,100.0,0.711843729019165,0.6544311046600342,0.5840336084365845,0.5760073065757751,0.8609924912452698,0.8817128539085388,0.7493640184402466,0.7872980237007141,0.6929764747619629,0.7229437232017517,0.6688311696052551,0.6834948062896729
