run_id,run_name,state,created_at,url,project,project_variant,metric_Test_AUROC,metric_Test_AP,metric_Test_F1,metric_Test_Balanced_Accuracy,metric_epoch,metric_Val_AUROC,metric_Val_AP,metric_Val_F1,metric_Val_Balanced_Accuracy,metric_Train_AP,metric_Train_AUROC,metric_Train_Balanced_Accuracy,metric_Train_F1,config_model,config_learning_rate,config_batch_size,config_epochs,method_extracted,benchmark,modalities
7246598703.66396-c2b0476b-4412,brainiac_pretrained_multi_flair_t1_t1ce_t2_2025-07-25_00-08-01,finished,2025-07-25T00:08:33Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246598703.66396-c2b0476b-4412,stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,standard,0.7571429014205933,0.7469968795776367,0.42424243688583374,0.5,100.0,0.4555555582046509,0.5016550421714783,0.4433996379375458,0.44285714626312256,0.9985015392303468,0.9989417791366576,0.9809523820877076,0.9775403738021852,brainiac,5e-05,1.0,100.0,brainiac_pretrained,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7246598273.80880-6a9b145f-89e9,brainiac_pretrained_multi_flair_t1_t1ce_t2_2025-07-25_00-10-24,finished,2025-07-25T00:10:46Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246598273.80880-6a9b145f-89e9,stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,standard,0.7825396656990051,0.7713115215301514,0.42424243688583374,0.5,100.0,0.5,0.533296525478363,0.41323527693748474,0.4095238149166107,0.9994643926620485,0.9996472597122192,0.984920620918274,0.984920620918274,brainiac,5e-05,1.0,100.0,brainiac_pretrained,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7246598234.35254-9c2c5727-a8c7,brainmvp_pretrained_multi_flair_t1_t1ce_t2_2025-07-25_00-10-32,finished,2025-07-25T00:10:51Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246598234.35254-9c2c5727-a8c7,stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,standard,0.653174638748169,0.672018826007843,0.42424243688583374,0.5,100.0,0.5301587581634521,0.5338970422744751,0.4810047149658203,0.5476190447807312,0.9362958669662476,0.9502645134925842,0.9015873074531556,0.8959130048751831,brainmvp,0.0001,1.0,100.0,brainmvp_pretrained,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7246598247.81879-bdde180a-3b99,brainiac_scratch_multi_flair_t1_t1ce_t2_2025-07-25_00-10-37,finished,2025-07-25T00:10:57Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246598247.81879-bdde180a-3b99,stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,standard,0.6507936716079712,0.6490745544433594,0.42424243688583374,0.5,100.0,0.46666663885116577,0.5419901013374329,0.4433996379375458,0.44285714626312256,0.9339956045150756,0.9555555582046508,0.879365086555481,0.879365086555481,brainiac,0.0001,1.0,100.0,brainiac_scratch,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7246598221.39855-2ba336fa-028f,dinov2_frozen_multi_flair_t1_t1ce_t2_2025-07-25_00-11-08,failed,2025-07-25T00:11:23Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246598221.39855-2ba336fa-028f,stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,standard,,,,,,,,,,,,,,dinov2,0.001,1.0,50.0,dinov2_frozen,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7246598208.10668-06bd1bed-37ce,resenc_pretrained_multi_flair_t1_t1ce_t2_2025-07-25_00-11-12,finished,2025-07-25T00:11:38Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246598208.10668-06bd1bed-37ce,stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,standard,0.8095238208770752,0.7409303188323975,0.6993914842605591,0.6952381134033203,100.0,0.8761904835700989,0.8142513632774353,0.6686046123504639,0.6619047522544861,0.9896851181983948,0.9934744238853456,0.9507936239242554,0.9475942850112916,ResEncoder_Classifier,0.0001,1.0,100.0,resenc_pretrained,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7246598182.16566-e1547695-cf53,resenc_multimodal_mm_mdae_pretrained_pretrained_multi_flair_t1_t1ce_t2_2025-07-25_00-13-04,finished,2025-07-25T00:13:22Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246598182.16566-e1547695-cf53,stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,standard,0.8539682626724243,0.863592267036438,0.773809552192688,0.773809552192688,100.0,0.7952380776405334,0.7425937056541443,0.6918919086456299,0.7452380657196045,0.9831852912902832,0.9902998208999634,0.9396825432777404,0.9396825432777404,ResEncoderMultiModal_Classifier,0.0001,2.0,100.0,resenc_multimodal_mm_mdae_pretrained_pretrained,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7246598194.89565-1418f7ad-5fed,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_flair_t1_t1ce_t2_2025-07-25_00-13-08,finished,2025-07-25T00:13:34Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246598194.89565-1418f7ad-5fed,stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,standard,0.8984127044677734,0.8890770673751831,0.7183794975280762,0.688095211982727,100.0,0.8476190567016602,0.7973984479904175,0.6677030324935913,0.6714285612106323,0.996032416820526,0.9970017671585084,0.9666666984558104,0.9768762588500975,ResEncoder_Classifier,0.0001,2.0,100.0,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7246593852.46964-795af846-e96c,dinov2_frozen_multi_flair_t1_t1ce_t2_2025-07-25_01-27-36,finished,2025-07-25T01:27:54Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246593852.46964-795af846-e96c,stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,standard,0.4238095283508301,0.4996282160282135,0.40625,0.4642857015132904,100.0,0.6460317373275757,0.6320888996124268,0.4183673560619354,0.488095223903656,0.9539149403572084,0.9606701731681824,0.8920634984970093,0.8602941036224365,dinov2,0.001,1.0,50.0,dinov2_frozen,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7246579725.92459-d0b24063-1ce0,resenc_pretrained_multi_flair_t1_t1ce_t2_2025-07-26_02-26-36,finished,2025-07-26T00:51:32Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246579725.92459-d0b24063-1ce0,stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,standard,0.8095238208770752,0.7409303188323975,0.6993914842605591,0.6952381134033203,100.0,0.8761904835700989,0.8142513632774353,0.6686046123504639,0.6619047522544861,0.9896851181983948,0.9934744238853456,0.9507936239242554,0.9475942850112916,ResEncoder_Classifier,0.0001,1.0,100.0,resenc_pretrained,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
