run_id,run_name,state,created_at,url,tags,group,user,config_lr,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_chpt_path,config_input_dim,config_optimizer,config_precision,config_scheduler,config_test_mode,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_label_smoothing,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_classification_head_dropout,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_learning_rate,config_freeze_backbone,config_pretrained_path,config_token_aggregation_method,config_use_brainiac_preprocessing,config_dinov2_model_name,config_slice_aggregation,config_temperature,config_fusion_method,config_expert_dropout,config_freeze_expert_3d,config_freeze_expert_2d5,config_dinov2_freeze_backbone,config_resenc_finetune_method,config_dinov2_slice_aggregation,config_use_expert_regularization,config_final_batch_size,config_auto_batch_size_mode,config_auto_batch_size_steps,config_auto_batch_size_enabled,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,config_time_dim,config_learned_sinusoidal_dim,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size,config_freeze_encoder,config_pretrained_encoder_path,config_n_stages,config_deep_supervision,config_dropout_rate
7247009758.79821-65ef7d23-0b8e,resenc_pretrained_2025-07-20_05-57-10,finished,2025-07-20T05:57:45Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7247009758.79821-65ef7d23-0b8e,,c8f1b9e7-6cce-48f2-89e6-2d45c9d53e56,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,False,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,False,False,1,epochwise,0.2,1.0,1.0,0.9888888597488404,0.9924057722091676,0.33907216787338257,0.6153083443641663,0.673015832901001,0.5880952477455139,0.5657894611358643,0.912405788898468,15463.0,1799,1753006530.0302002,299.0,3.1471622649714703e-10,6599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7247006225.20672-47f1593b-b21f,resenc_pretrained_2025-07-20_06-54-00,finished,2025-07-20T06:54:31Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7247006225.20672-47f1593b-b21f,,48a13337-7e09-429c-8402-f06868fdeb53,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,False,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,False,False,1,epochwise,0.2,1.0,1.0,0.9888888597488404,0.9924057722091676,0.33907216787338257,0.6153083443641663,0.673015832901001,0.5880952477455139,0.5657894611358643,0.912405788898468,12173.0,1799,1753006642.8328836,299.0,3.1471622649714703e-10,6599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246947826.83631-45fa9ab5-cf78,brainmvp_pretrained_2025-07-20_23-01-31,failed,2025-07-20T23:01:53Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246947826.83631-45fa9ab5-cf78,,b5fa8e47-5e04-4f27-8974-83ba3c5b8821,t-jiachentu,0.0001,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,,20,6,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,1,False,False,lgg_vs_hgg,False,False,1,epochwise,0.0,,,,,,,,,,,60.0,0,1753052536.1248195,,4.761904761904762e-06,0,0.2,0.0001,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/brainmvp/BrainMVP_unet.pt,cls_token,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246945630.86755-011dfcce-e630,dinov2_frozen_2025-07-20_23-38-23,failed,2025-07-20T23:38:43Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246945630.86755-011dfcce-e630,,322cae40-0934-45d8-820a-8fee699be8c3,t-jiachentu,0.0001,False,0,Classification,50,False,dinov2,50,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,1,False,False,lgg_vs_hgg,False,False,1,epochwise,0.5,,,,,,,,,,,42.0,0,1753054748.1740122,,4.761904761904762e-05,0,,0.001,False,,mean,True,facebook/dinov2-base,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246943862.62942-aa9841c5-68d0,dinov2_pretrained_2025-07-21_00-18-48,finished,2025-07-21T00:19:12Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246943862.62942-aa9841c5-68d0,,3b0d12e5-ea75-4ae8-a051-ac79aa63f870,t-jiachentu,0.0001,False,0,Classification,50,False,dinov2,50,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,1,False,False,lgg_vs_hgg,False,False,1,epochwise,0.5,0.9764270782470704,0.983774185180664,0.9063491821289062,0.9152129888534546,0.410335510969162,0.5510004162788391,0.5523809194564819,0.5404762029647827,0.5099206566810608,0.7433246374130249,36290.0,1799,1753093443.343622,299.0,1.030536869268895e-05,51299,,5e-05,False,,mean,True,facebook/dinov2-base,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246919011.43819-60c02595-08ce,brainiac_pretrained_multi_flair_t1_t1ce_t2_2025-07-21_07-02-20,failed,2025-07-21T07:02:46Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246919011.43819-60c02595-08ce,,074a596b-8eab-4444-9b96-6b4cfb823049,t-jiachentu,,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,,20,2,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,False,False,1,epochwise,0.0,,,,,,,,,,,57.0,0,1753081390.928803,,2.380952380952381e-06,0,0.2,5e-05,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,cls_token,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246918985.36000-468fa5e6-3d94,brainiac_scratch_multi_flair_t1_t1ce_t2_2025-07-21_07-11-16,failed,2025-07-21T07:11:44Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246918985.36000-468fa5e6-3d94,,779ae504-07d4-4e34-bb26-e48d0f9d3459,t-jiachentu,,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,,20,2,False,300,False,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,False,False,1,epochwise,0.0,,,,,,,,,,,57.0,0,1753081927.9131243,,4.761904761904762e-06,0,0.2,0.0001,False,,cls_token,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246918233.27970-e69675ca-ae79,brainmvp_pretrained_multi_flair_t1_t1ce_t2_2025-07-21_07-23-30,finished,2025-07-21T07:23:51Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246918233.27970-e69675ca-ae79,,b8e4243a-808e-4419-a679-070979b66032,t-jiachentu,,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,,20,2,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,False,False,1,epochwise,0.0,0.98486590385437,0.99312162399292,0.969841241836548,0.969841241836548,0.3592996299266815,0.6451735496520996,0.7047618627548218,0.6238095760345459,0.6083182692527771,0.6647422313690186,24483.0,1799,1753107110.1624265,299.0,3.147162264971471e-09,25799,0.2,0.0001,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,cls_token,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246917678.47120-20d60b6c-c31c,brainiac_pretrained_multi_flair_t1_t1ce_t2_2025-07-21_07-25-15,crashed,2025-07-21T07:25:42Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246917678.47120-20d60b6c-c31c,,77a8717e-c3a9-4dba-99e0-72702874bd0a,t-jiachentu,,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,False,False,1,epochwise,0.0,1.0,1.0,1.0,1.0,0.33406949043273926,0.5685940980911255,0.5761904716491699,0.5,0.42424243688583374,0.9717596769332886,38849.262718446,1416,1753121591.4250169,235.0,6.173213349909733e-06,40356,0.2,5e-05,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,cls_token,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246917405.72996-2e9f4431-9549,resenc_pretrained_multi_flair_t1_t1ce_t2_2025-07-21_07-29-05,finished,2025-07-21T07:29:42Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246917405.72996-2e9f4431-9549,,4ea9f7c7-76d2-4572-acb8-badb7032274f,t-jiachentu,,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,4,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,False,False,1,epochwise,0.2,0.9994495511054992,0.9996472597122192,0.9960317611694336,0.9925134778022766,0.3351496458053589,0.5777089595794678,0.5801587104797363,0.5190476179122925,0.49932432174682617,1.042901635169983,24691.0,1799,1753107672.3137293,299.0,3.147162264971471e-09,51299,,0.0001,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
