run_id,run_name,state,created_at,url,tags,group,user,config_lr,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_chpt_path,config_input_dim,config_optimizer,config_precision,config_scheduler,config_test_mode,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_label_smoothing,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_classification_head_dropout,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_learning_rate,config_freeze_backbone,config_dinov2_model_name,config_slice_aggregation,config_token_aggregation_method,config_dropout_prob,config_pretrained_path,config_use_brainiac_preprocessing,config_temperature,config_fusion_method,config_expert_dropout,config_freeze_expert_3d,config_freeze_expert_2d5,config_dinov2_freeze_backbone,config_resenc_finetune_method,config_dinov2_slice_aggregation,config_use_expert_regularization,config_final_batch_size,config_auto_batch_size_mode,config_auto_batch_size_steps,config_auto_batch_size_enabled,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,config_time_dim,config_learned_sinusoidal_dim,config_n_stages,config_hidden_dim,config_freeze_encoder,config_deep_supervision,config_pretrained_encoder_path
7247353576.83183-fb70be82-7b84,BaseMDAETrainer_RandomMask_Flow_BS48_2000ep_20250716_062335,finished,2025-07-16T06:24:08Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_single_flair/runs/7247353576.83183-fb70be82-7b84,,064f0679-5f51-4e75-9691-e8b38daa3bce,t-jiachentu,1e-05,False,0,Classification,300.0,False,ResEncoder_Classifier,300.0,False,1.0,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3.0,AdamW,16-mixed,CosineAnneal,False,20.0,10.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1.0,False,0.0,True,False,full,0.2,False,batchgenerators.get_training_transforms,1.0,False,False,lgg_vs_hgg,True,False,1.0,epochwise,0.2,0.9978238344192504,0.998589038848877,0.984920620918274,0.984920620918274,0.35478463768959045,0.5359542369842529,0.5460317134857178,0.6071428656578064,0.5558441877365112,0.9495500326156616,12163.0,1799.0,1752659213.1757865,299.0,3.1471622649714703e-10,5399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7247353160.43053-fa43744f-385d,BaseMDAETrainer_Flow90_b48_2000ep_20250716_063201,finished,2025-07-16T06:32:34Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_single_flair/runs/7247353160.43053-fa43744f-385d,,c5c95ea0-1114-43ef-9513-8261c5ca63e8,t-jiachentu,1e-05,False,0,Classification,300.0,False,ResEncoder_Classifier,300.0,False,1.0,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_Flow90_b48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3.0,AdamW,16-mixed,CosineAnneal,False,20.0,10.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1.0,False,0.0,True,False,full,0.2,False,batchgenerators.get_training_transforms,1.0,False,False,lgg_vs_hgg,True,False,1.0,epochwise,0.2,0.9959402084350586,0.9970017671585084,0.984920620918274,0.984920620918274,0.3570156395435333,0.5409870147705078,0.5063492059707642,0.4404761791229248,0.4348717927932739,0.985941767692566,11828.0,1799.0,1752659382.9510202,299.0,3.1471622649714703e-10,5399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7247353290.58376-f1f3288a-0e8d,BaseEMDAETrainer_BS48_90Mask_1500ep_20250716_064056,finished,2025-07-16T06:41:34Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_single_flair/runs/7247353290.58376-f1f3288a-0e8d,,6abfc0b8-aa5f-441c-a0e4-f0c50dccc029,t-jiachentu,1e-05,False,0,Classification,300.0,False,ResEncoder_Classifier,300.0,False,1.0,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseEMDAETrainer_BS48_90Mask_1500ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3.0,AdamW,16-mixed,CosineAnneal,False,20.0,10.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1.0,False,0.0,True,False,full,0.2,False,batchgenerators.get_training_transforms,1.0,False,False,lgg_vs_hgg,True,False,1.0,epochwise,0.2,0.9907119870185852,0.9887125492095948,0.9888888597488404,0.9924057722091676,0.35513564944267273,0.4828075766563415,0.46666666865348816,0.5690476298332214,0.5655487775802612,0.9117879867553712,13177.0,1799.0,1752661271.9599562,299.0,3.1471622649714703e-10,5399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7247351757.69987-69d8e49a-2937,VF_20250716_065355,finished,2025-07-16T06:54:29Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_single_flair/runs/7247351757.69987-69d8e49a-2937,,a68d5720-e625-4ea8-8bf4-5da7e569dfc5,t-jiachentu,1e-05,False,0,Classification,300.0,False,ResEncoder_Classifier,300.0,False,1.0,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-VF/checkpoint_final.pth,3.0,AdamW,16-mixed,CosineAnneal,False,20.0,10.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1.0,False,0.0,True,False,full,0.2,False,batchgenerators.get_training_transforms,1.0,False,False,lgg_vs_hgg,True,False,1.0,epochwise,0.2,0.9973044395446776,0.9982362985610962,0.9658730030059814,0.9625673294067384,0.3503982722759247,0.5241397023200989,0.5317460298538208,0.5571428537368774,0.4696029722690582,1.061017990112305,13766.0,1799.0,1752662636.3550234,299.0,3.1471622649714703e-10,5399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7247352100.59610-9fd012be-5c0e,MAE_20250716_065355,finished,2025-07-16T06:54:40Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_single_flair/runs/7247352100.59610-9fd012be-5c0e,,e7c34a3e-9be0-4db6-aed8-1e491594ddfe,t-jiachentu,1e-05,False,0,Classification,300.0,False,ResEncoder_Classifier,300.0,False,1.0,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3.0,AdamW,16-mixed,CosineAnneal,False,20.0,10.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1.0,False,0.0,True,False,full,0.2,False,batchgenerators.get_training_transforms,1.0,False,False,lgg_vs_hgg,True,False,1.0,epochwise,0.2,1.0,1.0,1.0,1.0,0.34374451637268066,0.552388608455658,0.5682539939880371,0.5904762148857117,0.4887101650238037,0.874558687210083,11642.0,1799.0,1752660524.241742,299.0,3.1471622649714703e-10,5399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7247349897.60705-2237ce0a-556f,dinov2_pretrained_20250716_072438,finished,2025-07-16T07:24:56Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_single_flair/runs/7247349897.60705-2237ce0a-556f,,04dc3f76-d9c2-4fdd-8cec-b4f2f1783477,t-jiachentu,0.0001,False,0,Classification,50.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,,3.0,AdamW,16-mixed,CosineAnneal,False,20.0,1.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1.0,False,0.0,True,False,full,0.2,False,batchgenerators.get_training_transforms,1.0,False,False,lgg_vs_hgg,True,False,4.0,epochwise,0.5,0.8935573101043701,0.9271605014801024,0.7904762029647827,0.8075046539306641,0.47843196988105774,0.6263902187347412,0.6333333253860474,0.6428571939468384,0.6000668406486511,0.7072348594665527,21734.0,1799.0,1752672426.75926,299.0,2.06107373853779e-05,12899.0,5e-05,False,facebook/dinov2-base,mean,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7247350060.84596-f4ed8663-39da,brainmvp_pretrained_20250716_072445,finished,2025-07-16T07:25:06Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_single_flair/runs/7247350060.84596-f4ed8663-39da,,d3f4eb02-4bd1-42fd-ac1e-b60bceba5273,t-jiachentu,0.0001,False,0,Classification,300.0,False,brainmvp,300.0,False,1.0,multiclass,False,auto,False,,3.0,AdamW,16-mixed,CosineAnneal,False,20.0,6.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1.0,False,0.0,True,False,full,0.2,False,batchgenerators.get_training_transforms,1.0,False,False,lgg_vs_hgg,True,False,1.0,epochwise,0.0,0.9423704147338868,0.9627865552902222,0.8571428656578064,0.8622941970825195,0.43348827958106995,0.5065119862556458,0.44285714626312256,0.5,0.42424243688583374,0.7861564755439758,13340.0,1799.0,1752664043.687071,299.0,3.147162264971471e-09,8699.0,5e-05,False,,,cls_token,0.2,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/brainmvp/BrainMVP_unet.pt,,,,,,,,,,,,,,,,,,,,,,,,,,
7247099716.04825-70b7806a-105a,brainiac_scratch_2025-07-19_04-50-09,finished,2025-07-19T04:50:37Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_single_flair/runs/7247099716.04825-70b7806a-105a,,86f557d4-f7c4-4f96-b199-7e9324f14569,t-jiachentu,0.0001,False,0,Classification,300.0,False,brainiac,300.0,False,1.0,multiclass,False,auto,False,,3.0,AdamW,16-mixed,CosineAnneal,False,20.0,4.0,False,300.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1.0,False,0.0,True,False,full,0.2,False,batchgenerators.get_training_transforms,1.0,False,False,lgg_vs_hgg,True,False,1.0,epochwise,0.0,0.9092475771903992,0.9161375164985656,0.879365086555481,0.879365086555481,0.4711141288280487,0.5628446340560913,0.5809524059295654,0.5714285969734192,0.5112733840942383,1.0323575735092163,17358.0,1799.0,1752917997.6263084,299.0,3.147162264971471e-09,12899.0,0.001,False,,,cls_token,0.2,,True,,,,,,,,,,,,,,,,,,,,,,,,,
7247099262.70794-8de616ef-3132,dinov2_pretrained_20250719_050404,finished,2025-07-19T05:04:21Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_single_flair/runs/7247099262.70794-8de616ef-3132,,12cff29c-6fd7-4076-8abd-501a20decdf4,t-jiachentu,0.0001,False,0,Classification,50.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,,3.0,AdamW,16-mixed,CosineAnneal,False,20.0,1.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1.0,False,0.0,True,False,full,0.2,False,batchgenerators.get_training_transforms,1.0,False,False,lgg_vs_hgg,True,False,4.0,epochwise,0.5,0.8689982891082764,0.9195767641067504,0.7825397253036499,0.7948504686355591,0.48929697275161743,0.5682043433189392,0.5904761552810669,0.6357142925262451,0.5239715576171875,0.7408307194709778,12425.0,1799.0,1752913886.3889225,299.0,2.06107373853779e-05,12899.0,0.0001,True,facebook/dinov2-base,mean,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7247079768.74960-cda8ef0f-87c6,brainiac_scratch_2025-07-19_10-22-46,finished,2025-07-19T10:23:14Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_single_flair/runs/7247079768.74960-cda8ef0f-87c6,,164a2e3b-5be0-465b-bd9a-df06c4bcdb5c,t-jiachentu,0.0001,False,0,Classification,300.0,False,brainiac,300.0,False,1.0,multiclass,False,auto,False,,3.0,AdamW,16-mixed,CosineAnneal,False,20.0,4.0,False,300.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1.0,False,0.0,True,False,full,0.2,False,batchgenerators.get_training_transforms,1.0,False,False,lgg_vs_hgg,True,False,1.0,epochwise,0.0,0.8956103920936584,0.90811288356781,0.8158730268478394,0.8227180242538452,0.4808812141418457,0.5763974785804749,0.6063492298126221,0.5714285969734192,0.5112733840942383,1.053924322128296,16018.0,1799.0,1752936613.1365302,299.0,3.147162264971471e-09,12899.0,0.001,False,,,cls_token,0.2,,True,,,,,,,,,,,,,,,,,,,,,,,,,
