run_id,run_name,state,created_at,url,tags,group,user,config_lr,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_chpt_path,config_input_dim,config_optimizer,config_precision,config_scheduler,config_test_mode,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_label_smoothing,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_classification_head_dropout,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_learning_rate,config_freeze_backbone,config_pretrained_path,config_token_aggregation_method,config_use_brainiac_preprocessing,config_dinov2_model_name,config_slice_aggregation
7247353537.12781-408a7757-a97f,BaseMDAETrainer_RandomMask_Flow_BS48_2000ep_20250716_062543,finished,2025-07-16T06:26:18Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_single_t1ce/runs/7247353537.12781-408a7757-a97f,,82de0e58-9c38-4ae9-8e52-fc9e65d0ccc9,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,300,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,1,False,False,lgg_vs_hgg,True,False,1,epochwise,0.2,1.0,1.0,0.9960317611694336,0.9925134778022766,0.342194527387619,0.621440589427948,0.6714285612106323,0.6452381014823914,0.6198666095733643,0.8919580578804016,13158,1799,1752660337.9671545,299,3.1471622649714703e-10,5399,,,,,,,,
7247353126.60307-8efab5e7-b650,BaseMDAETrainer_Flow90_b48_2000ep_20250716_062825,finished,2025-07-16T06:28:59Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_single_t1ce/runs/7247353126.60307-8efab5e7-b650,,18b0c69d-f9b1-4c6b-8b86-cf52f45ca0d9,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_Flow90_b48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,300,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,1,False,False,lgg_vs_hgg,True,False,1,epochwise,0.2,1.0,1.0,1.0,1.0,0.339099645614624,0.580352246761322,0.6238095164299011,0.5690476298332214,0.5655487775802612,0.8643919229507446,13371,1799,1752660711.731511,299,3.1471622649714703e-10,5399,,,,,,,,
7247353187.70731-ff7317d2-3b28,BaseMDAETrainer_Flow90_b48_2000ep_20250716_063150,finished,2025-07-16T06:32:23Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_single_t1ce/runs/7247353187.70731-ff7317d2-3b28,,f5fa2491-d4a0-4acd-a6f2-9f27c57d34fd,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_Flow90_b48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,300,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,1,False,False,lgg_vs_hgg,True,False,1,epochwise,0.2,1.0,1.0,1.0,1.0,0.339099645614624,0.580352246761322,0.6238095164299011,0.5690476298332214,0.5655487775802612,0.8643919229507446,11592,1799,1752659136.638436,299,3.1471622649714703e-10,5399,,,,,,,,
7247352073.97652-552495b2-8a96,MAE_20250716_064429,finished,2025-07-16T06:45:04Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_single_t1ce/runs/7247352073.97652-552495b2-8a96,,8594b477-0e75-4a82-b20d-acfcd444efee,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,300,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,1,False,False,lgg_vs_hgg,True,False,1,epochwise,0.2,1.0,1.0,1.0,1.0,0.3315049409866333,0.7829761505126953,0.8007936477661133,0.688095211982727,0.6381556987762451,0.7360421419143677,13117,1799,1752661421.797566,299,3.1471622649714703e-10,5399,,,,,,,,
7247353275.51323-e20e92da-4b70,BaseEMDAETrainer_BS48_90Mask_1500ep_20250716_064647,finished,2025-07-16T06:47:19Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_single_t1ce/runs/7247353275.51323-e20e92da-4b70,,b6c60c6d-b7b1-473b-bb77-9b89eb77c6f6,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseEMDAETrainer_BS48_90Mask_1500ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,300,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,1,False,False,lgg_vs_hgg,True,False,1,epochwise,0.2,1.0,1.0,1.0,1.0,0.3409353196620941,0.706817626953125,0.7428570985794067,0.6904761791229248,0.6598806381225586,0.7491887211799622,11307,1799,1752659747.736588,299,3.1471622649714703e-10,5399,,,,,,,,
7247351735.66703-36bd12bf-43d1,VF_20250716_070410,finished,2025-07-16T07:04:44Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_single_t1ce/runs/7247351735.66703-36bd12bf-43d1,,33721352-b020-44f4-83f4-09e4fe86c92e,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-VF/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,300,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,1,False,False,lgg_vs_hgg,True,False,1,epochwise,0.2,0.9982846975326538,0.9989417791366576,0.9738094806671144,0.9772171974182128,0.3464542627334595,0.5665239095687866,0.5579365491867065,0.5190476179122925,0.38520801067352295,1.231852650642395,12527,1799,1752662012.8704395,299,3.1471622649714703e-10,5399,,,,,,,,
7247350150.63185-3ef4a765-f0c2,brainiac_pretrained_2025-07-16_07-24-12,finished,2025-07-16T07:24:35Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_single_t1ce/runs/7247350150.63185-3ef4a765-f0c2,,05c1a6ff-3e6e-4c37-882a-977cfcfde9a7,t-jiachentu,0.0001,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,False,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,1,False,False,lgg_vs_hgg,True,False,1,epochwise,0.0,1.0,1.0,0.9888888597488404,0.9924057722091676,0.3452589511871338,0.8468002080917358,0.865079402923584,0.7928571701049805,0.7564102411270142,0.5904271602630615,17719,1799,1752668390.8368936,299,3.147162264971471e-09,12899,0.2,5e-05,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,cls_token,True,,
7247349880.20277-76689d78-7015,dinov2_pretrained_20250716_072429,finished,2025-07-16T07:24:47Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_single_t1ce/runs/7247349880.20277-76689d78-7015,,8e4c4d4f-a5e0-4286-bb00-fdfa616df989,t-jiachentu,0.0001,False,0,Classification,50,False,dinov2,50,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,False,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,1,False,False,lgg_vs_hgg,True,False,4,epochwise,0.5,0.8445115089416504,0.913403868675232,0.8301587104797363,0.8278096914291382,0.487990140914917,0.6746795177459717,0.6809524297714233,0.6619048118591309,0.583677351474762,0.691371500492096,21477,1799,1752672160.9850478,299,2.06107373853779e-05,12899,,5e-05,False,,mean,,facebook/dinov2-base,mean
7247349973.16349-71abaf22-60c3,brainmvp_pretrained_20250716_072428,finished,2025-07-16T07:24:47Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_single_t1ce/runs/7247349973.16349-71abaf22-60c3,,de83fb2e-f87e-4bab-8ef2-7b2aa5cb6538,t-jiachentu,0.0001,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,False,20,6,False,300,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,1,False,False,lgg_vs_hgg,True,False,1,epochwise,0.0,0.98205304145813,0.9825396537780762,0.9365079402923584,0.946044623851776,0.3836438357830048,0.8398852348327637,0.8428571224212646,0.7309523820877075,0.7508741617202759,0.5661819577217102,13160,1799,1752663843.78709,299,3.147162264971471e-09,8699,0.2,5e-05,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/brainmvp/BrainMVP_unet.pt,cls_token,,,
7246993911.53039-5a3d0cdc-7b37,dinov2_pretrained_2025-07-20_10-13-49,finished,2025-07-20T10:14:08Z,https://microsoft-research.wandb.io/t-jiachentu/brats18_lgg_vs_hgg_single_t1ce/runs/7246993911.53039-5a3d0cdc-7b37,,313079c8-a695-4b42-9d4e-b1f437000d56,t-jiachentu,0.0001,False,0,Classification,50,False,dinov2,50,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,1,False,False,lgg_vs_hgg,True,False,4,epochwise,0.5,0.9263136982917786,0.9317460060119628,0.8246031999588013,0.8463175892829895,0.46322810649871826,0.6091621518135071,0.5825396776199341,0.523809552192688,0.45004671812057495,0.7410778999328613,12743,1799,1753019193.4029603,299,2.06107373853779e-05,12899,,0.001,True,,mean,,facebook/dinov2-base,mean
