run_id,run_name,state,created_at,url,tags,group,user,config_lr,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_chpt_path,config_input_dim,config_optimizer,config_precision,config_scheduler,config_test_mode,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_label_smoothing,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_classification_head_dropout,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step
7247349504.05298-cb29faf7-fec2,resenc_pretrained_20250716_073512,finished,2025-07-16T07:35:44Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_men_vs_met_single_t1n/runs/7247349504.05298-cb29faf7-fec2,,8a85becb-2455-46d4-9e39-7d503ed5a356,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,False,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,False,1,epochwise,0.2,1.0,1.0,1.0,1.0,0.32548269629478455,1.0,1.0,1.0,1.0,0.32627639174461365,18409,1799,1752669755.1660528,299,3.1471622649714703e-10,8699
7247348483.26929-22beb5e9-8e6a,MAE_20250716_075217,finished,2025-07-16T07:52:50Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_men_vs_met_single_t1n/runs/7247348483.26929-22beb5e9-8e6a,,809bae7b-b3b3-40d4-a54b-85b94baabd98,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,False,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,False,1,epochwise,0.2,1.0,1.0,1.0,1.0,0.3254837989807129,1.0,1.0,1.0,1.0,0.3280978500843048,24682,1799,1752677051.4385464,299,3.1471622649714703e-10,8699
7247348299.73370-3d66c941-1518,BaseMDAETrainer_RandomMask_Flow_BS48_2000ep_20250716_075255,finished,2025-07-16T07:53:25Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_men_vs_met_single_t1n/runs/7247348299.73370-3d66c941-1518,,3d0bd9cf-0624-4093-bed5-9a22379658bb,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,False,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,False,1,epochwise,0.2,1.0,1.0,1.0,1.0,0.3349527418613434,0.9680925607681274,0.969507932662964,0.8839223980903625,0.8810641765594482,0.4839842915534973,24514,1799,1752676918.176899,299,3.1471622649714703e-10,8699
7247348167.93887-523fb98b-1d40,BaseEMDAETrainer_BS48_90Mask_1000ep_20250716_075702,finished,2025-07-16T07:57:35Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_men_vs_met_single_t1n/runs/7247348167.93887-523fb98b-1d40,,28e73d7b-36ae-403b-8e58-c86224296d03,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/EMDAE/Openmind/0711/Dataset005_OpenMind/BaseEMDAETrainer_BS48_90Mask_1000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,False,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,False,1,epochwise,0.2,1.0,0.9999999403953552,1.0,1.0,0.3352595567703247,0.955019474029541,0.9632710218429564,0.9223839044570924,0.92099791765213,0.4344746470451355,23672,1799,1752676326.2337182,299,3.1471622649714703e-10,8699
7247345953.49520-514680c8-6992,BaseEMDAETrainer_BS48_90Mask_1000ep_20250716_082741,finished,2025-07-16T08:28:13Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_men_vs_met_single_t1n/runs/7247345953.49520-514680c8-6992,,de4d5029-079e-4ca5-91f7-165bb6d66c5a,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/EMDAE/Openmind/0711/Dataset005_OpenMind/BaseEMDAETrainer_BS48_90Mask_1000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,False,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,False,1,epochwise,0.2,1.0,0.9999999403953552,1.0,1.0,0.3352595567703247,0.955019474029541,0.9632710218429564,0.9223839044570924,0.92099791765213,0.4344746470451355,23888,1799,1752678381.6068416,299,3.1471622649714703e-10,8699
7247288052.51166-273182ea-12f2,BaseEMDAETrainer_BS48_90Mask_1000ep_20250717_003728,finished,2025-07-17T00:38:03Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_men_vs_met_single_t1n/runs/7247288052.51166-273182ea-12f2,,2190d28a-be6c-4684-b31c-c6722f493308,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/EMDAE/Openmind/0711/Dataset005_OpenMind/BaseEMDAETrainer_BS48_90Mask_1000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,False,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,False,1,epochwise,0.2,0.9996145963668824,0.9996079206466676,0.995412826538086,0.9955682158470154,0.3405913710594177,0.9531840085983276,0.9667359590530396,0.9230769276618958,0.9208333492279052,0.4466117024421692,21724,1799,1752734405.2615516,299,3.1471622649714703e-10,8699
7247272725.09995-93b98471-571a,BaseEMDAETrainer_BS48_90Mask_1000ep_20250717_044616,finished,2025-07-17T04:46:51Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_men_vs_met_single_t1n/runs/7247272725.09995-93b98471-571a,,4f689020-3395-4750-9bf8-7b026102a949,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/EMDAE/Openmind/0711/Dataset005_OpenMind/BaseEMDAETrainer_BS48_90Mask_1000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,False,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,False,1,epochwise,0.2,0.9998443722724916,0.9998431205749512,0.995726466178894,0.9955710172653198,0.33901742100715637,0.9412378072738647,0.964656949043274,0.9358974695205688,0.9341078996658324,0.4322749674320221,21358,1799,1752748966.4739008,299,3.1471622649714703e-10,8699
7247102415.78986-f40b3e9b-ecaa,BaseEMDAETrainer_BS48_90Mask_1000ep_20250719_040811,finished,2025-07-19T04:08:48Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_men_vs_met_single_t1n/runs/7247102415.78986-f40b3e9b-ecaa,,829a6292-d464-46fa-97fc-972491c427aa,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/EMDAE/Openmind/0711/Dataset005_OpenMind/BaseEMDAETrainer_BS48_90Mask_1000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,False,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,False,1,epochwise,0.2,1.0,1.0,1.0,1.0,0.3354731798171997,0.958139181137085,0.9667359590530396,0.9487179517745972,0.9473319053649902,0.4183716773986816,21668,1799,1752919793.2781837,299,3.1471622649714703e-10,8699
7247098953.41638-15a6118a-df29,BaseEMDAETrainer_BS48_90Mask_1000ep_20250719_050403,finished,2025-07-19T05:04:33Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_men_vs_met_single_t1n/runs/7247098953.41638-15a6118a-df29,,c5219530-60c4-41e2-b860-576b27407d43,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/EMDAE/Openmind/0711/Dataset005_OpenMind/BaseEMDAETrainer_BS48_90Mask_1000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,False,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,False,1,epochwise,0.2,1.0,1.0,0.990825653076172,0.9911330938339232,0.33901017904281616,0.965985894203186,0.9729729890823364,0.9352044463157654,0.9341990947723388,0.41579341888427734,21990,1799,1752923461.5925484,299,3.1471622649714703e-10,8699
7247078975.69692-891bf687-0467,BaseEMDAETrainer_BS48_90Mask_1000ep_20250719_103523,finished,2025-07-19T10:35:54Z,https://microsoft-research.wandb.io/t-jiachentu/brats23_men_vs_met_single_t1n/runs/7247078975.69692-891bf687-0467,,cff3d530-8701-4012-abc2-a91e23f61edb,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/EMDAE/Openmind/0711/Dataset005_OpenMind/BaseEMDAETrainer_BS48_90Mask_1000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,False,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,False,1,epochwise,0.2,0.9998443722724916,0.999843180179596,0.995726466178894,0.9955710172653198,0.3393847644329071,0.9611694812774658,0.9681219458580016,0.9358974695205688,0.9341078996658324,0.422189861536026,21200,1799,1752942553.9542158,299,3.1471622649714703e-10,8699
