run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_pretrained_checkpoint_path,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_time_dim,config_dropout_rate,config_freeze_encoder,config_learned_sinusoidal_dim,config_dinov2_model_name,config_slice_aggregation,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size
7245191799.60892-18b34058-cc01,brainiac_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-11_19-30-42,finished,2025-08-10T06:52:04Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245191799.60892-18b34058-cc01,,35cf2713-b399-49b5-919e-c56e6732fd3d,t-jiachentu,False,0,Classification,200.0,False,brainiac,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,6e-05,4.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,60.0,False,False,gli_vs_met,False,power,3.0,False,1.0,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,True,0.0,0.5285985469818115,0.5596910119056702,0.5,0.4651567935943603,0.7266920208930969,1.0,1.0,0.995726466178894,0.9975414276123048,0.32817474007606506,0.47716647386550903,0.4063524007797241,0.5,0.4658493995666504,4.207798004150391,443302.0,1416.0,1755252537.9640284,200.0,4.5691453082619125e-09,183200.0,,,,,,,,,,,,,
7245191714.85715-dae96d47-da4a,brainiac_scratch_multi_t1n_t1c_t2w_t2f_2025-08-10_06-54-33,finished,2025-08-10T06:54:54Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245191714.85715-dae96d47-da4a,,f6fd76ce-c205-4c59-bd0c-176b2cad41d5,t-jiachentu,False,0,Classification,200.0,False,brainiac,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,6e-05,4.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,60.0,False,False,gli_vs_met,False,power,3.0,False,1.0,True,epochwise,cls_token,,True,0.0,0.616163432598114,0.7327247262001038,0.6740168333053589,0.5242109298706055,0.7710530757904053,0.999090015888214,0.9997326135635376,0.977380871772766,0.9826623797416688,0.33513638377189636,0.5706996321678162,0.6642085909843445,0.6250240802764893,0.5153253674507141,0.9319394826889038,311591.0,1000.0,1755120475.3687365,200.0,4.5691453082619125e-09,183200.0,,,,,,,,,,,,,
7245191054.98388-8bc0679b-4c56,brainmvp_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_07-03-29,finished,2025-08-10T07:03:51Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245191054.98388-8bc0679b-4c56,,fb8f3471-d3ba-4e25-93fc-aeb84a069b74,t-jiachentu,False,0,Classification,200.0,False,brainmvp,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,6e-05,4.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,60.0,False,False,gli_vs_met,False,power,3.0,False,1.0,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,True,0.0,0.5801658630371094,0.6456460952758789,0.5150281190872192,0.5107171535491943,0.5736721158027649,0.9961134791374208,0.9988019466400146,0.9682081341743468,0.9751397371292114,0.33924365043640137,0.8459777235984802,0.9211971759796144,0.7560728788375854,0.7904125452041626,0.4375026524066925,68925.0,1000.0,1754878352.1699855,200.0,4.5691453082619125e-09,45800.0,,,,,,,,,,,,,
7245190615.78036-16001cba-ab3b,dinov2_frozen_multi_t1n_t1c_t2w_t2f_2025-08-10_07-06-35,crashed,2025-08-10T07:06:52Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245190615.78036-16001cba-ab3b,,9450c7fb-a01c-47d2-bd41-2ade860fc260,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245190540.45732-680d3521-b488,dinov2_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_07-11-57,failed,2025-08-10T07:12:18Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245190540.45732-680d3521-b488,,522581c5-d034-4f07-96b0-09d5ae81ff9d,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,,,,,,,,,,,,,,,,,,
7245189816.76291-a3b60d54-61aa,mri_core_frozen_multi_t1n_t1c_t2w_t2f_2025-08-10_07-20-50,crashed,2025-08-10T07:21:32Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245189816.76291-a3b60d54-61aa,,81bc6934-b0b1-4429-8451-9f78fd25ddda,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245189737.96884-d6737d47-4235,mri_core_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_07-26-07,failed,2025-08-10T07:26:49Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245189737.96884-d6737d47-4235,,250d9bb0-4f72-465f-9250-afba637da384,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,
7245189063.71286-c61da176-6471,resenc_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_07-31-08,crashed,2025-08-10T07:31:43Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245189063.71286-c61da176-6471,,a5cee66f-e8bf-4375-9196-f7a54f29ac13,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245188676.62320-952dd76e-32fd,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_07-37-50,crashed,2025-08-10T07:38:31Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245188676.62320-952dd76e-32fd,,27dcd4b4-6127-4ff0-9579-0ef4769a5e91,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245188194.29420-e8e7e5ef-2bc6,resenc_time_conditioned_pretrained_multi_t1n_t1c_t2w_t2f_2025-08-10_07-45-46,finished,2025-08-10T07:46:42Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f/runs/7245188194.29420-e8e7e5ef-2bc6,,04afca62-a503-4974-83dc-d41b33c65aa1,t-jiachentu,False,0,Classification,180.0,False,ResEncTimeConditioned,180.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,180.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,7e-05,4.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,60.0,False,False,gli_vs_met,False,power,3.0,False,1.0,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.5,0.8291794061660767,0.8907303810119629,0.5,0.4651567935943603,0.4975105822086334,0.997367024421692,0.9984275102615356,0.990827202796936,0.9926241636276244,0.3321693539619446,0.8628950119018555,0.9627915620803832,0.8873625993728638,0.8385525941848755,0.4403154253959656,61717.0,900.0,1754873715.1819575,180.0,6.746583127731344e-09,41220.0,256.0,0.5,False,64.0,,,,,,,,,
