run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_pretrained_checkpoint_path,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dinov2_model_name,config_slice_aggregation,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size,config_freeze_encoder,config_time_dim,config_dropout_rate,config_learned_sinusoidal_dim,config_chpt_path,config_attn_drop_rate,config_drop_path_rate,config_load_cls_token,config_num_reg_tokens,config_proj_drop_rate,config_drop_path_scale,config_patch_drop_rate,config_use_abs_pos_emb,config_use_rot_pos_emb,config_cls_token_available,config_pretraining_input_shape_mismatch,config_dinov2_model_variant
7246050884.85771-78f95dc3-62a2,brainiac_pretrained_t1n_2025-07-31_08-11-20,finished,2025-07-31T08:11:42Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_single_t1n/runs/7246050884.85771-78f95dc3-62a2,,08b68d08-27ca-48a5-a87a-0224284bc0b5,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,True,0.0,0.6125335693359375,0.6840355396270752,0.5437734127044678,0.550658643245697,0.5133947730064392,0.9910296201705932,0.9947049021720886,0.9480921626091005,0.966812252998352,0.35468846559524536,0.9269109964370728,0.9622132778167723,0.9386446475982666,0.8690853118896484,0.4344947636127472,25356.0,500,1753974855.8037274,100,7.709637592770997e-09,22900,,,,,,,,,,,,,,,,,,,,,,,,,,
7246050813.38920-ab45a29f-1d99,brainiac_scratch_t1n_2025-07-31_08-11-41,finished,2025-07-31T08:12:05Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_single_t1n/runs/7246050813.38920-ab45a29f-1d99,,c7a3ede5-e401-4b3d-8c20-56e3e9ddb585,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,False,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,True,epochwise,cls_token,,True,0.0,0.6147885918617249,0.7194756269454956,0.512499988079071,0.490358829498291,0.5162519812583923,0.978115737438202,0.9892386794090272,0.8925366401672363,0.9300804138183594,0.36591199040412903,0.8873916864395142,0.931174099445343,0.7892327308654785,0.8364149332046509,0.4177806079387665,25210.0,500,1753974733.6830423,100,7.709637592770997e-09,22900,,,,,,,,,,,,,,,,,,,,,,,,,,
7246050743.17761-ea9e2879-de2e,brainmvp_pretrained_t1n_2025-07-31_08-13-03,finished,2025-07-31T08:13:28Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_single_t1n/runs/7246050743.17761-ea9e2879-de2e,,182eeb45-8e18-4d6e-88e8-1a71ae412cd3,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,True,0.0,0.47188687324523926,0.34325844049453735,0.5,0.4651567935943603,0.541729211807251,0.9270381331443788,0.950557827949524,0.8149877786636353,0.8696918487548828,0.3885956108570099,0.9409923553466796,0.9683343172073364,0.6794871687889099,0.741709291934967,0.4375365078449249,18202.0,500,1753967808.309355,100,7.709637592770997e-09,22900,,,,,,,,,,,,,,,,,,,,,,,,,,
7246050670.54679-5fa95fa5-165a,dinov2_frozen_t1n_2025-07-31_08-14-15,finished,2025-07-31T08:14:40Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_single_t1n/runs/7246050670.54679-5fa95fa5-165a,,272091e0-513c-42c3-8e51-c791456b2b2f,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,True,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,False,epochwise,mean,,True,0.5,0.48241063952445984,0.403792142868042,0.5,0.4651567935943603,0.5246821045875549,0.837533712387085,0.914069890975952,0.7389953136444092,0.7753334045410156,0.4369693398475647,0.8236286640167236,0.9128590822219848,0.5,0.4658493995666504,0.4580022096633911,25420.0,500,1753975095.8947384,100,7.709637592770997e-09,22900,facebook/dinov2-base,mean,,,,,,,,,,,,,,,,,,,,,,,,
7246050599.54223-e0a18b4b-91cd,dinov2_pretrained_t1n_2025-07-31_08-15-52,finished,2025-07-31T08:16:16Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_single_t1n/runs/7246050599.54223-e0a18b4b-91cd,,3a0b44fb-8f38-4498-99e5-1a3f1d676d15,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,True,epochwise,mean,,True,0.5,0.6743971109390259,0.7250936031341553,0.5249999761581421,0.5144022703170776,0.4971521198749542,0.9996317625045776,0.9998930096626282,0.9822801947593688,0.9876159429550172,0.3334573805332184,0.8786545395851135,0.9349817037582396,0.692307710647583,0.756195068359375,0.4362989068031311,32476.0,500,1753982250.9178383,100,7.709637592770997e-09,45800,facebook/dinov2-base,mean,,,,,,,,,,,,,,,,,,,,,,,,
7246050517.47741-6146abd5-6a98,mri_core_frozen_t1n_2025-07-31_08-16-53,finished,2025-07-31T08:17:28Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_single_t1n/runs/7246050517.47741-6146abd5-6a98,,9fb57a20-e084-4d5c-99f4-ebde33c30a79,t-jiachentu,False,0,Classification,100,False,MRICore,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,False,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,False,epochwise,mean,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,0.5,0.5048044919967651,0.4917134940624237,0.5,0.4651567935943603,0.5062715411186218,0.5180877447128296,0.5528171062469482,0.5,0.4658892154693603,0.5027788877487183,0.5593184232711792,0.6251205205917358,0.5,0.4658493995666504,0.5035812854766846,23473.0,500,1753973321.0565095,100,7.709637592770997e-09,22900,,mean,12.0,768.0,4.0,12.0,512.0,224.0,16.0,True,,,,,,,,,,,,,,,,
7246050440.03809-d7a34ce3-5661,mri_core_pretrained_t1n_2025-07-31_08-18-29,finished,2025-07-31T08:19:01Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_single_t1n/runs/7246050440.03809-d7a34ce3-5661,,69e45848-1f1e-4bc4-887d-f77388b0de85,t-jiachentu,False,0,Classification,100,False,MRICore,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,True,epochwise,mean,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,0.5,0.5087506771087646,0.5169475674629211,0.5,0.4651567935943603,0.507754385471344,0.6377737522125244,0.7704395055770874,0.5109431743621826,0.4901597201824188,0.4805178642272949,0.6466169357299805,0.7665317058563232,0.5,0.4658493995666504,0.5017107129096985,43555.0,500,1753993494.5844927,100,7.709637592770997e-09,45800,,mean,12.0,768.0,4.0,12.0,512.0,224.0,16.0,False,,,,,,,,,,,,,,,,
7246050359.58157-2b4d26c3-db8a,resenc_pretrained_t1n_2025-07-31_08-19-42,finished,2025-07-31T08:20:19Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_single_t1n/runs/7246050359.58157-2b4d26c3-db8a,,4340c6a3-034e-411b-aa4c-5ea9e9343814,t-jiachentu,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,0.2,0.7868845462799072,0.8632959127426147,0.5,0.4651567935943603,0.5118653774261475,0.9997867941856384,0.999935746192932,0.9914529919624328,0.995064616203308,0.328376829624176,0.9307948350906372,0.9706478118896484,0.8880374431610107,0.901183784008026,0.3852144479751587,24800.0,500,1753974817.7274263,100,7.709637592770997e-09,11500,,,,,,,,,,,,,,,,,,,,,,,,,,
7246050285.45732-53871114-490e,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1n_2025-07-31_08-26-32,finished,2025-07-31T08:27:08Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_single_t1n/runs/7246050285.45732-53871114-490e,,e8c6aea3-8eeb-45a5-a9d2-794e4f6729c6,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.2,0.6709774732589722,0.6807584166526794,0.608146071434021,0.6343563795089722,0.5013423562049866,1.0,1.0,0.995726466178894,0.9975414276123048,0.32919731736183167,0.918576717376709,0.969780206680298,0.8695777654647827,0.8736629486083984,0.3995237648487091,48771.0,1000,1753999197.6847682,200,1.5230484360873043e-09,23000,,,,,,,,,,,,,,,,,,,,,,,,,,
7246050093.04046-eadc4d3c-ad42,resenc_time_conditioned_pretrained_t1n_2025-07-31_08-31-28,finished,2025-07-31T08:32:13Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_brats23_gli_vs_met_single_t1n/runs/7246050093.04046-eadc4d3c-ad42,,69fc3db8-9afa-4355-9194-6b0d35b1bd6c,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,2e-05,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.5,0.5863901376724243,0.5562266111373901,0.5318820476531982,0.5300061106681824,0.5273414254188538,0.99950110912323,0.9998502731323242,0.98655366897583,0.9901293516159058,0.3321186304092407,0.8974032998085022,0.9718526601791382,0.8926643133163452,0.8269293308258057,0.4474532902240753,58234.0,1000,1754008963.78321,200,1.5230484360873043e-09,91600,,,,,,,,,,False,256.0,0.5,64.0,,,,,,,,,,,,,
