run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_pretrained_checkpoint_path,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_token_aggregation_method,config_use_brainiac_preprocessing,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size,config_freeze_encoder,config_slice_aggregation,config_time_dim,config_dropout_rate,config_learned_sinusoidal_dim,config_dinov2_model_name,config_chpt_path,config_attn_drop_rate,config_drop_path_rate,config_load_cls_token,config_num_reg_tokens,config_proj_drop_rate,config_drop_path_scale,config_patch_drop_rate,config_use_abs_pos_emb,config_use_rot_pos_emb,config_cls_token_available,config_pretraining_input_shape_mismatch
7245992810.36635-eb64a567-6c8b,resenc_pretrained_t1wce_2025-08-01_00-18-42,finished,2025-08-01T00:19:17Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1wce/runs/7245992810.36635-eb64a567-6c8b,,fbc09c10-e4b7-479d-a04c-559111b36e93,t-jiachentu,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,5e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,mgmt_methylation,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,0.2,0.4877532124519348,0.43234673142433167,0.5,0.33076924085617065,0.693965494632721,0.6167663335800171,0.6329963207244873,0.613868236541748,0.6128154993057251,0.6780140399932861,0.5511245727539062,0.5423387289047241,0.5313940048217773,0.5311710238456726,0.6920989155769348,14345,500,1754021902.0250287,100,1.927409398192747e-08,5900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245993220.54559-bdd7b714-6dc5,brainiac_pretrained_t1wce_2025-08-01_00-19-00,finished,2025-08-01T00:19:24Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1wce/runs/7245993220.54559-bdd7b714-6dc5,,86ba1c70-5807-4a46-a4f4-fd0a76c015f2,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,5e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,mgmt_methylation,True,power,3,False,1,False,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,0.0,0.44706296920776367,0.42336153984069824,0.4764799177646637,0.3382936716079712,0.7382587790489197,0.5155856609344482,0.5198144912719727,0.5053803324699402,0.44096288084983826,0.6929174661636353,0.5082665681838989,0.5114487409591675,0.5403225421905518,0.5402597188949585,11.444369316101074,12512,500,1754020076.0093188,100,1.927409398192747e-08,11700,0.2,cls_token,True,,,,,,,,,,,,,,,,,,,,,,,,,
7245993169.03606-66da8ab8-4023,brainiac_scratch_t1wce_2025-08-01_00-19-29,finished,2025-08-01T00:19:54Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1wce/runs/7245993169.03606-66da8ab8-4023,,9236ef88-760c-4bd6-a05d-27a741d29955,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,False,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,5e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,mgmt_methylation,True,power,3,False,1,False,epochwise,,0.0,0.4790057837963104,0.4619450271129608,0.476215660572052,0.3545161187648773,0.7007027268409729,0.5377786755561829,0.545046329498291,0.49568644165992737,0.4534255862236023,0.6908369660377502,0.5315682888031006,0.5224654674530029,0.5322580337524414,0.5322522521018982,0.6923307180404663,13657,500,1754021250.931755,100,1.927409398192747e-08,11700,0.2,cls_token,True,,,,,,,,,,,,,,,,,,,,,,,,,
7245993043.57836-4dc981d0-84c8,mri_core_frozen_t1wce_2025-08-01_00-18-58,finished,2025-08-01T00:20:12Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1wce/runs/7245993043.57836-4dc981d0-84c8,,d919c511-5a67-4daf-8f49-899c1b0e14e1,t-jiachentu,False,0,Classification,100,False,MRICore,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,False,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,5e-05,1,False,0,True,False,full,,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,mgmt_methylation,True,power,3,False,1,False,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,0.5,0.5136363506317139,0.5002642869949341,0.5,0.33076924085617065,0.6942068338394165,0.4860322177410126,0.4695640206336975,0.48692020773887634,0.38554802536964417,0.6936232447624207,0.5189270973205566,0.5216013789176941,0.5,0.3444444537162781,0.692328929901123,10122,500,1754017734.2889583,100,1.927409398192747e-08,11700,,mean,,12.0,768.0,4.0,12.0,512.0,224.0,16.0,True,mean,,,,,,,,,,,,,,,,
7245992978.93325-8974a54d-fcb6,brainmvp_pretrained_t1wce_2025-08-01_02-13-40,finished,2025-08-01T00:21:53Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1wce/runs/7245992978.93325-8974a54d-fcb6,,b1458967-bbb2-4826-a9aa-56821ddb989e,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,5e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,mgmt_methylation,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,0.0,0.477675348520279,0.45163846015930176,0.5,0.3358778655529022,0.6960275769233704,0.557185173034668,0.5641187429428101,0.5451298952102661,0.5393934845924377,0.6880913376808167,0.5252066254615784,0.494671642780304,0.5,0.3218390941619873,0.7083396315574646,15205,816,1754023410.989932,100,1.927409398192747e-08,11700,0.2,cls_token,True,,,,,,,,,,,,,,,,,,,,,,,,,
7245992926.48932-affbe946-0fe3,resenc_multimodal_mm_mdae_pretrained_pretrained_t1wce_2025-08-01_02-13-56,finished,2025-08-01T00:21:58Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1wce/runs/7245992926.48932-affbe946-0fe3,,afb4420f-1398-40f1-8cb2-02ecf36015f5,t-jiachentu,False,0,Classification,100,False,ResEncoderMultiModal_Classifier,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,5e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,mgmt_methylation,True,power,3,False,1,False,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.5563939809799194,0.507135272026062,0.5116279125213623,0.3611888289451599,0.6917923092842102,0.5455447435379028,0.5468831062316895,0.5310760736465454,0.5269135236740112,0.693102240562439,0.4945109784603119,0.47983869910240173,0.4939516186714173,0.4894022643566131,0.7078499794006348,17511,741,1754025735.3006716,100,1.927409398192747e-08,11700,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245993109.16536-be02554d-9f9c,mri_core_pretrained_t1wce_2025-08-01_02-13-59,finished,2025-08-01T00:21:58Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1wce/runs/7245993109.16536-be02554d-9f9c,,8730da18-f159-4cf1-b77c-9ec21977e0d3,t-jiachentu,False,0,Classification,100,False,MRICore,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,5e-05,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,mgmt_methylation,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,0.5,0.5212708711624146,0.5058139562606812,0.5,0.33076924085617065,0.6932521462440491,0.5088742971420288,0.5116790533065796,0.49271801114082336,0.444758653640747,0.692969560623169,0.5608224272727966,0.5607719421386719,0.5,0.3444444537162781,0.6924635767936707,27293,641,1754035526.3187664,100,1.927409398192747e-08,23300,,mean,,12.0,768.0,4.0,12.0,512.0,224.0,16.0,False,mean,,,,,,,,,,,,,,,,
7245992873.82599-42bd8f27-1682,resenc_time_conditioned_pretrained_t1wce_2025-08-01_02-15-22,finished,2025-08-01T00:22:47Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1wce/runs/7245992873.82599-42bd8f27-1682,,71647110-7b44-4b1f-8add-a0e8ebdc4103,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,5e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,mgmt_methylation,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,0.5108363628387451,0.4685518145561218,0.5,0.33076924085617065,0.6945255994796753,0.6316053867340088,0.6559926271438599,0.6287105679512024,0.6271226406097412,0.6685049533843994,0.5349318385124207,0.5178571939468384,0.544066846370697,0.5388925671577454,0.7132623195648193,32889,1201,1754041332.2173374,200,3.8076210902182585e-09,23400,,cls_token,,,,,,,,,False,,256.0,0.5,64.0,,,,,,,,,,,,,
7245992757.23984-77cc1a58-9a3a,dinov2_pretrained_t1wce_2025-08-01_00-26-01,finished,2025-08-01T00:26:26Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1wce/runs/7245992757.23984-77cc1a58-9a3a,,0092a4cb-f311-4e26-bf18-dbff667894a8,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,5e-05,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,mgmt_methylation,True,power,3,False,1,True,epochwise,,0.5,0.5351374745368958,0.5406976938247681,0.5,0.33076924085617065,0.749754786491394,0.5109785795211792,0.5068645477294922,0.5280148386955261,0.5098029375076294,0.6936166882514954,0.5150900483131409,0.5239055156707764,0.5,0.3444444537162781,0.6923490166664124,15576,500,1754023556.15486,100,1.927409398192747e-08,23300,,mean,True,,,,,,,,,mean,,,,facebook/dinov2-base,,,,,,,,,,,,
7245992694.87143-d7224f70-d6d3,dinov2_frozen_t1wce_2025-08-01_00-27-22,finished,2025-08-01T00:27:49Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1wce/runs/7245992694.87143-d7224f70-d6d3,,8d44309f-fa3e-4ac7-ab5b-4bec4c2d5170,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,5e-05,1,False,0,True,False,full,True,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,mgmt_methylation,True,power,3,False,1,False,epochwise,,0.5,0.523456871509552,0.5118921995162964,0.4894291758537293,0.3825806379318238,0.702444851398468,0.5368000268936157,0.5330426692962646,0.5082096457481384,0.5074175596237183,0.7165778875350952,0.5597150325775146,0.5712845325469971,0.5164170265197754,0.5049445629119873,0.6894828677177429,9448,500,1754017517.55249,100,1.927409398192747e-08,11700,,mean,True,,,,,,,,,mean,,,,facebook/dinov2-base,,,,,,,,,,,,
