run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_pretrained_checkpoint_path,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_time_dim,config_dropout_rate,config_freeze_encoder,config_learned_sinusoidal_dim,config_token_aggregation_method,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size,config_slice_aggregation,config_dropout_prob,config_use_brainiac_preprocessing,config_dinov2_model_name,config_chpt_path,config_attn_drop_rate,config_drop_path_rate,config_load_cls_token,config_num_reg_tokens,config_proj_drop_rate,config_drop_path_scale,config_patch_drop_rate,config_use_abs_pos_emb,config_use_rot_pos_emb,config_cls_token_available,config_pretraining_input_shape_mismatch
7245977256.89933-abf4de86-3eb6,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-08-01_04-41-37,finished,2025-08-01T04:42:14Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_single_flair/runs/7245977256.89933-abf4de86-3eb6,,17475c4f-bf48-4247-9bc7-61be875829b5,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,gender,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.8041491508483887,0.8158054351806641,0.7691489458084106,0.7771428823471069,0.6453776359558105,0.9906402826309204,0.9911516904830932,0.9691995978355408,0.9702945351600648,0.36684590578079224,0.8973639011383057,0.9100304245948792,0.8541033267974854,0.8503273725509644,0.5599199533462524,22448.0,1000,1754045782.5500348,200,1.5230484360873043e-09,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245976456.45685-236cf024-a340,resenc_time_conditioned_pretrained_flair_2025-08-01_04-58-51,crashed,2025-08-01T04:59:36Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_single_flair/runs/7245976456.45685-236cf024-a340,,4fac7d6c-75fb-400f-a204-5b26834b1f98,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,gender,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,,,,,,0.7770281434059143,0.7825058698654175,0.6967071890830994,0.6999351978302002,0.6037463545799255,0.8956372737884521,0.8963525891304016,0.757446825504303,0.726475715637207,0.587801992893219,2742.836106998,90,1754027119.7781832,17,1.8095238095238097e-05,1584,256.0,0.5,False,64.0,cls_token,,,,,,,,,,,,,,,,,,,,,,,
7245974656.61291-9b589b42-1f93,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-08-01_06-03-08,finished,2025-08-01T05:27:52Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_single_flair/runs/7245974656.61291-9b589b42-1f93,,27b3e73f-823c-4cf7-a285-e8edd96aad1d,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,10,False,False,gender,True,power,3,False,1,False,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.8111103773117065,0.8276596069335938,0.7899696230888367,0.7822526693344116,0.6010246872901917,0.9912458062171936,0.9925025701522828,0.9561296701431274,0.9555984735488892,0.3794630467891693,0.9163696765899658,0.911854088306427,0.8185410499572754,0.8151102066040039,0.5422517657279968,22170.0,1036,1754049288.7499309,200,1.5230484360873043e-09,70200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245973820.82788-a3f14f7a-0a0c,resenc_time_conditioned_pretrained_flair_2025-08-01_05-35-10,finished,2025-08-01T05:36:04Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_single_flair/runs/7245973820.82788-a3f14f7a-0a0c,,6ea64d8e-fbdf-40de-b7ad-394ef4579bdf,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,10,False,False,gender,True,power,3,False,1,False,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,0.8698377013206482,0.8609422445297241,0.753951370716095,0.726475715637207,0.6550252437591553,0.9700982570648192,0.969115138053894,0.8992908000946045,0.9016096591949464,0.4317567944526672,0.9187167286872864,0.916413426399231,0.8720364570617676,0.8746172189712524,0.4892002046108246,24542.0,1000,1754051104.6722674,200,1.5230484360873043e-09,70200,256.0,0.5,False,64.0,cls_token,,,,,,,,,,,,,,,,,,,,,,,
7245972128.42954-357bf1b4-f6f4,mri_core_pretrained_flair_2025-08-01_06-14-44,finished,2025-08-01T06:15:18Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_single_flair/runs/7245972128.42954-357bf1b4-f6f4,,736ffa92-0548-4183-8db3-cbe20c5368d3,t-jiachentu,False,0,Classification,100,False,MRICore,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,gender,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,0.5,0.502641499042511,0.4996960759162903,0.5,0.3743315637111664,0.68138188123703,0.5264241695404053,0.5350726246833801,0.49761903285980225,0.3732142746448517,0.6800475120544434,0.5,0.5,0.5,0.3743315637111664,0.6806341409683228,18744.0,500,1754047661.0998957,100,3.854818796385494e-08,17600,,,False,,mean,12.0,768.0,4.0,12.0,512.0,224.0,16.0,mean,,,,,,,,,,,,,,,
7245971312.71051-9c1b6aea-af65,brainmvp_pretrained_flair_2025-08-01_06-27-39,finished,2025-08-01T06:28:04Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_single_flair/runs/7245971312.71051-9c1b6aea-af65,,b8f79547-3bee-46c7-b3d4-64fb8e79765a,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,gender,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,0.0,0.5144160985946655,0.502887487411499,0.5,0.28658536076545715,0.7871828079223633,0.5716180205345154,0.5580377578735352,0.5106382966041565,0.39717742800712585,0.6765034198760986,0.5724734663963318,0.5586626529693604,0.5101823806762695,0.46783626079559326,0.6831731796264648,8515.0,500,1754038198.5067625,100,3.854818796385494e-08,8800,,,,,cls_token,,,,,,,,,0.2,True,,,,,,,,,,,,,
7245970513.65426-bd7a2ce3-faef,resenc_time_conditioned_pretrained_flair_2025-08-01_06-31-46,finished,2025-08-01T06:32:27Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_single_flair/runs/7245970513.65426-bd7a2ce3-faef,,14228e4f-77f4-453a-9f9a-ece42c743c12,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,gender,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,0.8125606775283813,0.8036473989486694,0.7369300723075867,0.7392607927322388,0.5852769613265991,0.8393346071243286,0.8504897356033325,0.760840892791748,0.7682597637176514,0.5584932565689087,0.8574862480163574,0.855015218257904,0.7940729260444641,0.8039575815200806,0.5518137216567993,27251.0,1000,1754057195.4724576,200,7.615242180436517e-09,17600,256.0,0.5,False,64.0,cls_token,,,,,,,,,,,,,,,,,,,,,,,
7245969691.91453-081724ed-31ec,dinov2_pretrained_flair_2025-08-01_06-45-10,finished,2025-08-01T06:45:33Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_single_flair/runs/7245969691.91453-081724ed-31ec,,c2005058-8c16-4cf3-871c-e0676ca76093,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,gender,True,power,3,False,1,True,epochwise,,0.5,0.76282799243927,0.7706687450408936,0.5,0.3743315637111664,0.7821232080459595,0.7292827367782593,0.7662951946258545,0.6873353719711304,0.6915425062179565,0.6198328137397766,0.7314113974571228,0.7489361763000488,0.5,0.28658536076545715,0.7816410064697266,14602.0,500,1754045335.619619,100,3.854818796385494e-08,17600,,,,,mean,,,,,,,,mean,,True,facebook/dinov2-base,,,,,,,,,,,,
7245968869.46694-aea8bb9a-456d,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-08-01_08-12-06,finished,2025-08-01T08:12:45Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_single_flair/runs/7245968869.46694-aea8bb9a-456d,,b446ac29-771d-4b82-8c23-932d8f262f3c,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,200,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,gender,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.8306940793991089,0.8352583646774292,0.7439209222793579,0.7430518865585327,0.6411396861076355,0.9781841039657592,0.9793312549591064,0.9395643472671508,0.9405890107154846,0.3944480121135712,0.9377989172935486,0.9410334825515748,0.8756839036941528,0.882138729095459,0.4865572154521942,23566.0,1000,1754059529.6254687,200,7.615242180436517e-09,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245918479.53922-1c4d225b-0a98,resenc_pretrained_flair_2025-08-01_21-03-53,finished,2025-08-01T21:04:27Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_gender_single_flair/runs/7245918479.53922-1c4d225b-0a98,,432ae327-7844-4eca-9c53-d5acc3851279,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,6e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,gender,True,power,3,False,1,True,epochwise,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,0.2,0.832168698310852,0.831610918045044,0.7691489458084106,0.7771428823471069,0.5789328217506409,0.9258607625961304,0.9331475496292114,0.8590172529220581,0.862320065498352,0.4831058382987976,0.9144172072410583,0.916717290878296,0.8364741802215576,0.8387936353683472,0.5068932771682739,19039.0,1000,1754101304.744079,200,4.5691453082619125e-09,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
