run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_time_dim,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_rate,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_freeze_encoder,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_learned_sinusoidal_dim,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_pretrained_checkpoint_path,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_use_brainiac_preprocessing
7246007417.68997-c397dad4-3889,resenc_time_conditioned_pretrained_multi_t1_t1gd_t2_flair_2025-07-31_20-27-27,finished,2025-07-31T20:28:38Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_multi_t1_t1gd_t2_flair/runs/7246007417.68997-c397dad4-3889,,cf4e8fe1-4a78-47a8-b478-96e8ccb92f34,t-jiachentu,False,0,Classification,200.0,False,ResEncTimeConditioned,200.0,False,1.0,multiclass,False,auto,256.0,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.5,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,False,4.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,survival_2year,False,power,3.0,False,64.0,1.0,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.5,0.47993379831314087,0.4186613559722901,0.5,0.4433962404727936,0.5818512439727783,0.6649951934814453,0.7279266715049744,0.5070422291755676,0.45815640687942505,0.5449917316436768,0.5671980381011963,0.5663082599639893,0.5,0.44285714626312256,0.5823900103569031,24032.0,1000.0,1754017749.356814,200.0,1.5230484360873043e-09,17600.0,,
7245191307.33081-0bec9db5-906c,brainiac_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_06-59-36,finished,2025-08-10T06:59:56Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_multi_t1_t1gd_t2_flair/runs/7245191307.33081-0bec9db5-906c,,8704efcf-40d0-4ae1-a429-78b0a6a6239e,t-jiachentu,False,0,Classification,200.0,False,brainiac,200.0,False,1.0,multiclass,False,auto,,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,6e-05,,4.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,60.0,False,False,survival_2year,False,power,3.0,False,,1.0,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,0.0,0.5247665643692017,0.5352393388748169,0.5,0.4433962404727936,0.5821526050567627,0.6240103840827942,0.6891564726829529,0.5,0.4435611963272095,0.5617165565490723,0.5021816492080688,0.5226254463195801,0.5,0.44285714626312256,0.599539041519165,123059.0,1000.0,1754932249.1382408,200.0,4.5691453082619125e-09,70000.0,0.2,True
7245191129.73543-64b70dc4-4e2f,brainiac_scratch_multi_t1_t1gd_t2_flair_2025-08-10_07-02-10,finished,2025-08-10T07:02:32Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_multi_t1_t1gd_t2_flair/runs/7245191129.73543-64b70dc4-4e2f,,bcce6eeb-dd59-4363-aac0-9d661c5c8c60,t-jiachentu,False,0,Classification,200.0,False,brainiac,200.0,False,1.0,multiclass,False,auto,,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,6e-05,,4.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,60.0,False,False,survival_2year,False,power,3.0,False,,1.0,True,epochwise,cls_token,,0.0,0.5415711402893066,0.560062050819397,0.5,0.4433962404727936,0.5784591436386108,0.6102579832077026,0.6373113393783569,0.5,0.4435611963272095,0.566062331199646,0.5303568243980408,0.5400985479354858,0.5,0.44285714626312256,0.5913150310516357,122369.0,1000.0,1754931718.9883175,200.0,4.5691453082619125e-09,70000.0,0.2,True
7245190720.65173-4970a4ee-2240,brainmvp_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-03-38,finished,2025-08-10T07:04:00Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_multi_t1_t1gd_t2_flair/runs/7245190720.65173-4970a4ee-2240,,d704e05c-432e-4de8-848d-b7fab23d24b6,t-jiachentu,False,0,Classification,200.0,False,brainmvp,200.0,False,1.0,multiclass,False,auto,,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,6e-05,,4.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,60.0,False,False,survival_2year,False,power,3.0,False,,1.0,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,0.0,0.5276667475700378,0.5664893388748169,0.5,0.4433962404727936,0.634822428226471,0.728690505027771,0.7853753566741943,0.6176737546920776,0.6411704421043396,0.5257830619812012,0.6130803227424622,0.6169354915618896,0.5,0.44285714626312256,0.6375637650489807,29342.0,1000.0,1754838780.77258,200.0,4.5691453082619125e-09,17600.0,0.2,True
7245190135.44686-8125ff96-e8be,dinov2_frozen_multi_t1_t1gd_t2_flair_2025-08-10_07-21-07,crashed,2025-08-10T07:21:30Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_multi_t1_t1gd_t2_flair/runs/7245190135.44686-8125ff96-e8be,,e4a070ea-4315-4acc-a263-f15a6195f3ff,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245189921.62805-1e659cf2-6de7,dinov2_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-23-40,failed,2025-08-10T07:23:59Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_multi_t1_t1gd_t2_flair/runs/7245189921.62805-1e659cf2-6de7,,e2c93d6b-470a-4f3d-b1d4-2d472d614ec3,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1141.0,,,,,,,
7245189323.00866-31df90df-7159,mri_core_frozen_multi_t1_t1gd_t2_flair_2025-08-10_07-27-12,crashed,2025-08-10T07:27:55Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_multi_t1_t1gd_t2_flair/runs/7245189323.00866-31df90df-7159,,c7d7397a-1978-4d74-b143-6447dc6e0b0d,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245189141.25948-47a4f406-ba13,mri_core_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-36-48,failed,2025-08-10T07:37:30Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_multi_t1_t1gd_t2_flair/runs/7245189141.25948-47a4f406-ba13,,c0cb5934-67f8-426f-9f8e-6aed38e61467,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025.0,,,,,,,
7245188754.77098-d88489be-1ab7,resenc_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-37-08,finished,2025-08-10T07:37:42Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_multi_t1_t1gd_t2_flair/runs/7245188754.77098-d88489be-1ab7,,d5d5c7ba-f686-45ca-a1d2-3abf6ae160c9,t-jiachentu,False,0,Classification,180.0,False,ResEncoder_Classifier,180.0,False,1.0,multiclass,False,auto,,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,180.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,7e-05,,4.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,60.0,False,False,survival_2year,False,power,3.0,False,,1.0,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,0.2,0.4968814253807068,0.46320921182632446,0.5,0.4433962404727936,0.5883100628852844,0.8789821863174438,0.901963710784912,0.8466101288795471,0.8717061281204224,0.45952439308166504,0.5245336294174194,0.49462366104125977,0.4563172161579132,0.4381945431232453,0.6366101503372192,32752.0,900.0,1754844212.398677,180.0,6.746583127731344e-09,7920.0,,
7245188270.57785-57ca9355-92d6,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-44-19,finished,2025-08-10T07:44:49Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_multi_t1_t1gd_t2_flair/runs/7245188270.57785-57ca9355-92d6,,5bc77182-952b-4c9e-be84-44b355993be8,t-jiachentu,False,0,Classification,180.0,False,ResEncoder_Classifier,180.0,False,1.0,multiclass,False,auto,,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,180.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,7e-05,,4.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,60.0,False,False,survival_2year,False,power,3.0,False,,1.0,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,0.2,0.514750599861145,0.48847517371177673,0.5,0.4433962404727936,0.588516116142273,0.7653908729553223,0.7946387529373169,0.693472683429718,0.7331808805465698,0.5098103284835815,0.5775769948959351,0.5918458700180054,0.5772849321365356,0.5870588421821594,0.60009765625,28133.0,900.0,1754840023.9397054,180.0,6.746583127731344e-09,7920.0,,
