run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_pretrained_checkpoint_path,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dinov2_model_name,config_slice_aggregation,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size,config_freeze_encoder,config_time_dim,config_dropout_rate,config_learned_sinusoidal_dim,config_chpt_path,config_attn_drop_rate,config_drop_path_rate,config_load_cls_token,config_num_reg_tokens,config_proj_drop_rate,config_drop_path_scale,config_patch_drop_rate,config_use_abs_pos_emb,config_use_rot_pos_emb,config_cls_token_available,config_pretraining_input_shape_mismatch
7246044539.75228-ff74b59e-6f7d,brainiac_pretrained_t2_2025-07-31_09-58-55,finished,2025-07-31T09:59:20Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t2/runs/7246044539.75228-ff74b59e-6f7d,,cdbfbce8-63aa-43d7-a28b-1d78c3a8def7,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,True,power,3,False,1,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,True,0.0,0.638948917388916,0.6385195255279541,0.5873227119445801,0.5945017337799072,0.5963695049285889,0.6750893592834473,0.7342116832733154,0.5754202604293823,0.5845955014228821,0.5454739332199097,0.5940139293670654,0.6245520114898682,0.5913978815078735,0.5941258072853088,0.6424205899238586,11813,500,1753967773.222192,100,7.709637592770997e-09,8800,,,,,,,,,,,,,,,,,,,,,,,,,
7246044486.13388-e622715c-7795,brainiac_scratch_t2_2025-07-31_10-03-09,finished,2025-07-31T10:03:35Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t2/runs/7246044486.13388-e622715c-7795,,dc5e1bb3-bcf6-4f22-974e-9d7782f5448f,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,0.2,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,True,power,3,False,1,True,epochwise,cls_token,,True,0.0,0.5297662615776062,0.5658245086669922,0.5,0.4433962404727936,0.5750058889389038,0.6066162586212158,0.665682315826416,0.5,0.4435611963272095,0.5607396364212036,0.535111665725708,0.5219534039497375,0.49462366104125977,0.440191388130188,0.5894948840141296,11466,500,1753967681.0804706,100,7.709637592770997e-09,8800,,,,,,,,,,,,,,,,,,,,,,,,,
7246044381.00315-e9eae832-f760,dinov2_frozen_t2_2025-07-31_10-06-50,finished,2025-07-31T10:07:14Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t2/runs/7246044381.00315-e9eae832-f760,,7d05a600-46d8-4eae-8d92-7d9d4cd04b14,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,True,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,True,power,3,False,1,False,epochwise,mean,,True,0.5,0.565481424331665,0.5970745086669922,0.5,0.4433962404727936,0.5739638209342957,0.5201022028923035,0.5331414937973022,0.48182645440101624,0.450549453496933,0.6167927980422974,0.5190624594688416,0.47379031777381897,0.5,0.44285714626312256,0.578961968421936,10447,500,1753966879.1806092,100,7.709637592770997e-09,8800,facebook/dinov2-base,mean,,,,,,,,,,,,,,,,,,,,,,,
7246044326.97933-3395a982-7eb6,dinov2_pretrained_t2_2025-07-31_10-07-27,finished,2025-07-31T10:07:51Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t2/runs/7246044326.97933-3395a982-7eb6,,13f1071f-0afb-458a-aa5a-edc5cb4accfb,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,True,power,3,False,1,True,epochwise,mean,,True,0.5,0.536708414554596,0.5844414830207825,0.5,0.4433962404727936,0.5758877396583557,0.5432114601135254,0.5592912435531616,0.5,0.4435611963272095,0.5740785002708435,0.5241536498069763,0.5681003928184509,0.5,0.44285714626312256,0.577392578125,14494,500,1753970964.653263,100,7.709637592770997e-09,17500,facebook/dinov2-base,mean,,,,,,,,,,,,,,,,,,,,,,,
7246044221.15985-c1b2919b-b225,mri_core_pretrained_t2_2025-07-31_10-07-43,finished,2025-07-31T10:08:16Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t2/runs/7246044221.15985-c1b2919b-b225,,413f139f-1e65-49b1-976f-6ec616780d06,t-jiachentu,False,0,Classification,100,False,MRICore,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,2,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,True,power,3,False,1,True,epochwise,mean,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,0.5,0.5260900855064392,0.5691488981246948,0.5,0.4433962404727936,0.5762397050857544,0.5141745805740356,0.5268564820289612,0.5,0.4435611963272095,0.5758031010627747,0.5,0.5,0.5,0.44285714626312256,0.577356219291687,18610,500,1753975105.432989,100,7.709637592770997e-09,17500,,mean,12.0,768.0,4.0,12.0,512.0,224.0,16.0,False,,,,,,,,,,,,,,,
7246044163.86576-cfdc2647-22c3,resenc_pretrained_t2_2025-07-31_10-08-39,finished,2025-07-31T10:09:15Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t2/runs/7246044163.86576-cfdc2647-22c3,,3310143a-4f05-4888-8548-66d4908353d8,t-jiachentu,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,True,power,3,False,1,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,0.2,0.522312581539154,0.508865237236023,0.5,0.4433962404727936,0.5758568048477173,0.6500278115272522,0.7171992063522339,0.5,0.4435611963272095,0.5577425956726074,0.5035312175750732,0.485215038061142,0.5,0.44285714626312256,0.5844975113868713,12658,500,1753969212.5061102,100,7.709637592770997e-09,4400,,,,,,,,,,,,,,,,,,,,,,,,,
7246044109.54545-a909ec63-ff0c,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2_2025-07-31_10-08-41,finished,2025-07-31T10:09:16Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t2/runs/7246044109.54545-a909ec63-ff0c,,acbbad90-df15-4f59-9f76-2b42380a4097,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,True,power,3,False,1,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.2,0.5692687034606934,0.6307623982429504,0.5,0.4433962404727936,0.570243239402771,0.9627566933631896,0.9773839712142944,0.8677368760108948,0.887964129447937,0.4027709066867829,0.6274908185005188,0.6666666865348816,0.5819892883300781,0.5915682315826416,0.6196849346160889,23537,1000,1753980092.9066658,200,1.5230484360873043e-09,8800,,,,,,,,,,,,,,,,,,,,,,,,,
7246044274.49454-bc02b9e6-056d,mri_core_frozen_t2_2025-07-31_10-08-56,finished,2025-07-31T10:09:32Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t2/runs/7246044274.49454-bc02b9e6-056d,,e7e2442a-4b24-4ec5-8792-8f2707046d2d,t-jiachentu,False,0,Classification,100,False,MRICore,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,False,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,True,power,3,False,1,False,epochwise,mean,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,0.5,0.5153566002845764,0.5429964065551758,0.5,0.4433962404727936,0.5759028792381287,0.5170356035232544,0.516911506652832,0.5,0.4435611963272095,0.5754126906394958,0.5100929737091064,0.5268816947937012,0.5,0.44285714626312256,0.5771946310997009,11143,500,1753967715.82605,100,7.709637592770997e-09,8800,,mean,12.0,768.0,4.0,12.0,512.0,224.0,16.0,True,,,,,,,,,,,,,,,
7246044434.34128-e16a84a5-ab10,brainmvp_pretrained_t2_2025-07-31_10-09-18,finished,2025-07-31T10:09:43Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t2/runs/7246044434.34128-e16a84a5-ab10,,a4aadb4f-847f-4836-bd6a-1f82f96f1976,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,True,power,3,False,1,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,True,0.0,0.5896826982498169,0.5893173217773438,0.5,0.4433962404727936,0.5733945369720459,0.6436281204223633,0.6956181526184082,0.5,0.4435611963272095,0.55660480260849,0.5609594583511353,0.5705645084381104,0.5,0.44285714626312256,0.6312805414199829,8455,500,1753965036.8985224,100,7.709637592770997e-09,8800,,,,,,,,,,,,,,,,,,,,,,,,,
7246043999.38344-c27fba8d-e3bd,resenc_time_conditioned_pretrained_t2_2025-07-31_10-12-34,finished,2025-07-31T10:13:30Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t2/runs/7246043999.38344-c27fba8d-e3bd,,ca2b0680-98b1-4e83-85a8-f64e4bf0b7da,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,survival_2year,True,power,3,False,1,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.5,0.6240651607513428,0.6717641353607178,0.5,0.4433962404727936,0.5652700662612915,0.5437312126159668,0.5752183198928833,0.5,0.4435611963272095,0.5728998184204102,0.5348395109176636,0.5479390621185303,0.5,0.44285714626312256,0.5783221125602722,24575,1000,1753981382.454326,200,1.5230484360873043e-09,17600,,,,,,,,,,False,256.0,0.5,64.0,,,,,,,,,,,,
