run_id,run_name,state,created_at,url,tags,group,user,config_lr,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_chpt_path,config_input_dim,config_optimizer,config_precision,config_scheduler,config_test_mode,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_pretrained_path,config_dinov2_model_name,config_slice_aggregation
7247515801.22766-3cad3cba-7108,BrainIAC_2025-07-14_09-15-47_mgmt_methylation,finished,2025-07-14T09:16:01Z,https://microsoft-research.wandb.io/t-jiachentu/rsna_miccai_brain_tumor_mgmt_methylation/runs/7247515801.22766-3cad3cba-7108,,7cdce749-acce-4772-9418-39ca10a6417f,t-jiachentu,0.0001,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,3,AdamW,16-mixed,CosineAnneal,False,20,32,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,0.0001,4,False,0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,1,False,False,mgmt_methylation,True,False,1,epochwise,cls_token,True,0.0,0.9656474590301514,0.963936448097229,0.8917820453643799,0.8925955295562744,0.44544363021850586,0.5222285985946655,0.5162444114685059,0.504768967628479,0.4622456431388855,0.723784327507019,22255.0,1799.0,1752506814.083825,299.0,3.147162264971471e-09,4499.0,,,
7247515116.72658-b82dc0d6-53fc,2025-07-14_09-27-01_mgmt_methylation,failed,2025-07-14T09:27:10Z,https://microsoft-research.wandb.io/t-jiachentu/rsna_miccai_brain_tumor_mgmt_methylation/runs/7247515116.72658-b82dc0d6-53fc,,710bbf2b-a0a6-4b80-b8a4-284f05576c19,t-jiachentu,0.0001,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,False,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,0.0001,1,False,0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,1,False,False,mgmt_methylation,True,False,1,epochwise,cls_token,,0.0,,,,,,,,,,,165.0,0.0,1752485349.139161,,4.761904761904762e-06,0.0,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/brainmvp/BrainMVP_unet.pt,,
7247514078.03098-3322c9e7-3007,Brainmvp_2025-07-14_09-45-06_mgmt_methylation,finished,2025-07-14T09:45:17Z,https://microsoft-research.wandb.io/t-jiachentu/rsna_miccai_brain_tumor_mgmt_methylation/runs/7247514078.03098-3322c9e7-3007,,4c95e479-1e59-4a5b-a7ca-507e44a7443a,t-jiachentu,0.0001,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,False,20,6,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,0.0001,1,False,0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,1,False,False,mgmt_methylation,True,False,1,epochwise,cls_token,,0.0,0.6089743375778198,0.6059199571609497,0.5685563683509827,0.5680921077728271,0.6765933632850647,0.5010761022567749,0.46289122104644775,0.47675108909606934,0.4737859964370727,0.7664178609848022,26778.0,1799.0,1752513094.2603874,299.0,3.147162264971471e-09,23399.0,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/brainmvp/BrainMVP_unet.pt,,
fsn0jg0u,2025-07-14_09-49-45_mgmt_methylation,failed,2025-07-14T09:49:51Z,https://microsoft-research.wandb.io/t-jiachentu/rsna_miccai_brain_tumor_mgmt_methylation/runs/fsn0jg0u,,2b31df7f-2423-4be8-9de9-74a19f282752,t-jiachentu,0.0001,False,0,Classification,5,False,brainiac,5,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,True,20,8,False,5,False,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,0.001,4,False,0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,1,False,False,mgmt_methylation,True,False,1,epochwise,cls_token,True,0.0,,,,,,,,,,,9.874352807,0.0,1752486599.9879572,,4.761904761904762e-06,0.0,,,
7247514012.19248-90396a87-d916,dinov2_tunable_t1w_2025-07-14_09-50-40,finished,2025-07-14T09:50:58Z,https://microsoft-research.wandb.io/t-jiachentu/rsna_miccai_brain_tumor_mgmt_methylation/runs/7247514012.19248-90396a87-d916,,a33f70e7-e715-4070-a8c2-a54679bcab9a,t-jiachentu,0.0001,False,0,Classification,50,False,dinov2,50,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,False,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,5e-05,1,False,0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,1,False,False,mgmt_methylation,True,False,4,epochwise,mean,,0.5,0.5054530501365662,0.4972533583641052,0.48264116048812866,0.4239969849586487,0.6936802864074707,0.5463451147079468,0.5228017568588257,0.5,0.3446327745914459,0.692264199256897,44760.0,1799.0,1752531417.026214,299.0,2.06107373853779e-05,35099.0,,facebook/dinov2-base,mean
7247513260.18755-0922905e-5573,BrainIAC_scratch2025-07-14_09-58-35_mgmt_methylation,finished,2025-07-14T09:58:50Z,https://microsoft-research.wandb.io/t-jiachentu/rsna_miccai_brain_tumor_mgmt_methylation/runs/7247513260.18755-0922905e-5573,,888a5d98-a1cd-4e90-9337-d840ee5616f8,t-jiachentu,0.0001,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,False,20,16,False,300,False,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,0.0001,4,False,0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,1,False,False,mgmt_methylation,True,False,1,epochwise,cls_token,True,0.0,0.9601913690567015,0.9574543833732604,0.8647550344467163,0.8662289977073669,0.4535991847515106,0.5003626346588135,0.4792846441268921,0.45961248874664307,0.4551514983177185,0.7205002903938293,21640.0,1799.0,1752508768.9586911,299.0,3.147162264971471e-09,8999.0,,,
7247479158.08141-a9fddf3e-05f0,resenc_multimodal_pretrained_multi_t1w_t1wce_t2w_flair_2025-07-14_19-30-19,finished,2025-07-14T19:30:51Z,https://microsoft-research.wandb.io/t-jiachentu/rsna_miccai_brain_tumor_mgmt_methylation/runs/7247479158.08141-a9fddf3e-05f0,,f80ce230-e448-43c8-86c6-acd3b7c5717e,t-jiachentu,0.0001,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,300,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,,4,False,0,True,False,full,,0.2,False,batchgenerators.get_training_transforms,10,False,False,mgmt_methylation,False,False,1,epochwise,,,0.2,0.9663130044937134,0.9691917896270752,0.9382003545761108,0.9379091262817384,0.4212791621685028,0.518792986869812,0.4923993945121765,0.48047688603401184,0.480286717414856,0.9618944525718688,28181.0,1799.0,1752549633.1981788,299.0,3.147162264971471e-09,14099.0,,,
7247462942.54243-20774d1e-d666,2025-07-14_23-59-20_mgmt_methylation,finished,2025-07-14T23:59:29Z,https://microsoft-research.wandb.io/t-jiachentu/rsna_miccai_brain_tumor_mgmt_methylation/runs/7247462942.54243-20774d1e-d666,,5ec06b60-5fd2-4e62-bc2a-af21860e7739,t-jiachentu,0.0001,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,False,20,6,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,0.0001,1,False,0,True,False,full,False,0.2,False,batchgenerators.get_training_transforms,1,False,False,mgmt_methylation,True,False,1,epochwise,cls_token,,0.0,0.6247168183326721,0.625531017780304,0.5922874212265015,0.592341959476471,0.6729131937026978,0.5457521677017212,0.539940357208252,0.5539493560791016,0.5276219844818115,0.8928722143173218,28075.0,1799.0,1752565645.1993968,299.0,3.147162264971471e-09,23399.0,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/brainmvp/BrainMVP_unet.pt,,
7247393912.56411-b60e924a-d035,2025-07-15_19-11-37_mgmt_methylation,finished,2025-07-15T19:11:57Z,https://microsoft-research.wandb.io/t-jiachentu/rsna_miccai_brain_tumor_mgmt_methylation/runs/7247393912.56411-b60e924a-d035,,0e387b16-dbfd-4851-ab1f-72742fa0d862,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/modelgenesis/BrainMVP001/Dataset001_BrainMVP/ModelGenesisTrainer_ANAT_ANON_BS8__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,300,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,,1,False,0,True,False,full,,0.2,False,batchgenerators.get_training_transforms,10,False,False,mgmt_methylation,True,False,1,epochwise,,,0.2,0.9919185638427734,0.9921079874038696,0.9697868824005128,0.9699928760528564,0.36847618222236633,0.4959715604782105,0.4928465187549591,0.5059612393379211,0.5056448578834534,1.0535931587219238,23003.0,1799.0,1752629721.3997052,299.0,3.1471622649714703e-10,14099.0,,,
7247371162.04710-5f058694-09df,resenc_multimodal_BaseMDAETrainer_RandomMask_Flow_BS48_2000ep_multi_t1w_t1wce_t2w_flair_2025-07-16_01-42-51,finished,2025-07-16T01:43:25Z,https://microsoft-research.wandb.io/t-jiachentu/rsna_miccai_brain_tumor_mgmt_methylation/runs/7247371162.04710-5f058694-09df,,dd9e35f2-4faf-445e-80c9-f3087fc4a173,t-jiachentu,0.0001,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,300,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,,4,False,0,True,False,full,,0.2,False,batchgenerators.get_training_transforms,10,False,False,mgmt_methylation,False,False,1,epochwise,,,0.2,0.9618897438049316,0.9624808430671692,0.8941990733146667,0.8930920958518982,0.45295682549476624,0.5363641977310181,0.5210133790969849,0.49687033891677856,0.49625638127326965,0.9311401844024658,29477.0,1799.0,1752659683.313536,299.0,3.147162264971471e-09,14099.0,,,
