run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_chpt_path,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_image_size,config_pretrained_path,config_slice_aggregation,config_token_aggregation_method,config_time_dim,config_learned_sinusoidal_dim,config_dropout_prob,config_use_brainiac_preprocessing,config_dinov2_model_name,config_dropout_rate,config_freeze_encoder,config_pretrained_encoder_path
7246479713.82592-92559d54-2de9,resenc_pretrained_flair_2025-07-26_09-09-42,finished,2025-07-26T09:10:13Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_flair/runs/7246479713.82592-92559d54-2de9,,66a95ae6-7d4a-4771-b06d-2dbddddeb414,t-jiachentu,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,0.2,0.6625891327857971,0.6912698745727539,0.5,0.42424243688583374,0.6201741695404053,0.8655350804328918,0.914814829826355,0.8309524059295654,0.8381338715553284,0.48841848969459534,0.6049543619155884,0.5761904716491699,0.5,0.4970588088035583,0.6733055710792542,3870.0,500.0,1753524883.09189,100.0,3.854818796385494e-08,2200.0,,,,,,,,,,,,
7246479536.35209-dae7f1ba-a3b4,mri_core_frozen_flair_2025-07-26_09-10-41,finished,2025-07-26T09:11:02Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_flair/runs/7246479536.35209-dae7f1ba-a3b4,,4ec38f25-67b4-4200-a5c0-bf6547f1d7af,t-jiachentu,False,0,Classification,100,False,mri_core_frozen,50,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,20,8,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.001,1,False,0,True,False,linear_probing,True,0.2,256,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,0.5,0.5976016521453857,0.617460310459137,0.5,0.42424243688583374,0.6154798269271851,0.628396213054657,0.6684303283691406,0.5095238089561462,0.4722222089767456,0.6032677888870239,0.6944302320480347,0.658730149269104,0.5,0.42424243688583374,0.5997474789619446,11333.0,500.0,1753532396.798201,100.0,3.854818796385499e-07,100.0,224.0,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,mean,mean,,,,,,,,
7246478941.04476-5ba5bd5b-7eea,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-07-26_09-16-48,finished,2025-07-26T09:17:14Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_flair/runs/7246478941.04476-5ba5bd5b-7eea,,ce95b725-a8c4-43bc-90a1-65366c11816a,t-jiachentu,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,0.2,0.4675842523574829,0.341269850730896,0.4476190507411957,0.4418901801109314,0.7235550880432129,0.96974515914917,0.9791887998580932,0.894444465637207,0.894444465637207,0.4132952392101288,0.5143716335296631,0.46190476417541504,0.4357143044471741,0.4026675224304199,0.9244151711463928,2945.0,500.0,1753524379.3325982,100.0,3.854818796385494e-08,2200.0,,,,,,,,,,,,
7246479080.19845-3fdd2873-5d76,resenc_pretrained_flair_2025-07-26_09-16-52,finished,2025-07-26T09:17:16Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_flair/runs/7246479080.19845-3fdd2873-5d76,,195f4c54-281a-412d-8402-ca0361bc9919,t-jiachentu,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,0.2,0.6625891327857971,0.6912698745727539,0.5,0.42424243688583374,0.6201741695404053,0.8655350804328918,0.914814829826355,0.8309524059295654,0.8381338715553284,0.48841848969459534,0.6049543619155884,0.5761904716491699,0.5,0.4970588088035583,0.6733055710792542,2966.0,500.0,1753524402.776713,100.0,3.854818796385494e-08,2200.0,,,,,,,,,,,,
7246478659.28982-7c56c9ca-37fb,resenc_tc_time_conditioned_pretrained_flair_2025-07-26_10-19-24,finished,2025-07-26T09:25:45Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_flair/runs/7246478659.28982-7c56c9ca-37fb,,43e02cc5-1929-4f06-892d-a6cfe048e9e7,t-jiachentu,False,0,Classification,100,False,TimeConditionedResEncoder_Classifier,100,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,0.2,0.4733888804912567,0.3698412775993347,0.44999998807907104,0.42809364199638367,0.7504163980484009,0.9795808792114258,0.9791886806488036,0.9071428775787354,0.9284086227416992,0.4016563892364502,0.613987922668457,0.6507936716079712,0.5642857551574707,0.5378378629684448,0.8346298336982727,5451.0,675.0,1753529307.096795,100.0,3.854818796385494e-08,2200.0,,,,,256.0,64.0,,,,,,
7246478803.59365-b053f7a4-17c5,resenc_multimodal_mm_mdae_pretrained_pretrained_flair_2025-07-26_10-22-25,finished,2025-07-26T09:26:06Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_flair/runs/7246478803.59365-b053f7a4-17c5,,7d1c67c4-fc7e-4b67-a0fd-d55c755bd0f9,t-jiachentu,False,0,Classification,100,False,ResEncoderMultiModal_Classifier,100,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,0.2,0.4675842523574829,0.341269850730896,0.4476190507411957,0.4418901801109314,0.7235550880432129,0.96974515914917,0.9791887998580932,0.894444465637207,0.894444465637207,0.4132952392101288,0.5143716335296631,0.46190476417541504,0.4357143044471741,0.4026675224304199,0.9244151711463928,6155.0,731.0,1753529929.0799146,100.0,3.854818796385494e-08,2200.0,,,,,,,,,,,,
7246478041.26534-29ddecab-68a3,mri_core_pretrained_flair_2025-07-26_09-33-10,failed,2025-07-26T09:33:38Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_flair/runs/7246478041.26534-29ddecab-68a3,,2acb24a0-e2b8-4228-a7f2-f05ac90988fa,t-jiachentu,False,0,Classification,100,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,20,8,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,False,epochwise,0.5,,,,,,,,,,,,,,,,46.0,0.0,1753522452.136959,,4.761904761904763e-07,0.0,224.0,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,mean,mean,,,,,,,,
7246475055.85539-4ac559a4-d68c,brainmvp_pretrained_flair_2025-07-26_10-32-57,finished,2025-07-26T10:33:23Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_flair/runs/7246475055.85539-4ac559a4-d68c,,c5f7c503-65b1-4ece-a43f-e5537b9a3c78,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,0.0,0.6330835223197937,0.6777777671813965,0.5833333134651184,0.37362638115882874,0.7679976224899292,0.8602903485298157,0.8941798806190491,0.7777777910232544,0.7797664403915405,0.498076468706131,0.5455756783485413,0.5301587581634521,0.4928571581840515,0.4533247947692871,0.8325116634368896,3704.0,500.0,1753529707.59891,100.0,3.854818796385494e-08,4300.0,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,,cls_token,,,0.2,True,,,,
7246426113.89370-aec466a9-32f7,mri_core_pretrained_flair_2025-07-26_23-59-21,crashed,2025-07-26T23:59:36Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_flair/runs/7246426113.89370-aec466a9-32f7,,735fe1a5-5592-4ff1-9b6a-1224bb6c585c,t-jiachentu,False,0,Classification,100,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,False,epochwise,0.5,,,,,,0.8224382400512695,0.8752204775810242,0.7714285850524902,0.7852258682250977,0.5152392983436584,0.5998072028160095,0.644444465637207,0.6214286088943481,0.5907692313194275,0.6837629079818726,1814.668162627,70.0,1753576191.9745553,13.0,7.142857142857144e-06,2394.0,224.0,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,mean,mean,,,,,,,,
7246425967.78155-e9284ea6-8400,mri_core_frozen_flair_2025-07-26_23-59-35,crashed,2025-07-27T00:00:04Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_flair/runs/7246425967.78155-e9284ea6-8400,,e0f46e33-37bf-4698-93cf-57b554d78278,t-jiachentu,False,0,Classification,100,False,mri_core_frozen,50,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,20,8,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.001,1,False,0,True,False,linear_probing,True,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,False,epochwise,0.5,,,,,,0.7429929971694946,0.817460298538208,0.6484127044677734,0.6616541147232056,0.5502758026123047,0.6623350977897644,0.6285713911056519,0.6547619104385376,0.6789554357528687,0.6178167462348938,1882.0,110.0,1753576233.28313,21.0,0.000998458666866564,484.0,224.0,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,mean,mean,,,,,,,,
