run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_pretrained_path,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_chpt_path,config_time_dim,config_learned_sinusoidal_dim,config_image_size,config_slice_aggregation,config_dinov2_model_name,config_dropout_rate,config_freeze_encoder,config_pretrained_encoder_path
7246474949.43151-8c6bfdd8-a7f0,brainmvp_pretrained_t1n_2025-07-26_10-33-52,finished,2025-07-26T10:34:15Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t1n/runs/7246474949.43151-8c6bfdd8-a7f0,,0ede5f16-a54d-4228-bd52-9792bf0dd157,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.5135250091552734,0.5299118757247925,0.5,0.4676007032394409,0.538317084312439,0.6026355028152466,0.6677613258361816,0.5045871734619141,0.47743791341781616,0.4843731224536896,0.4655092358589173,0.37258684635162354,0.5,0.46748682856559753,0.5142411589622498,15702,500,1753541756.785848,100,3.854818796385494e-08,22700,,,,,,,,,
7246422067.12846-1ab2846a-a42f,resenc_pretrained_t1n_2025-07-27_01-03-15,finished,2025-07-27T01:04:17Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t1n/runs/7246422067.12846-1ab2846a-a42f,,16b03222-d2db-48e1-95f1-44229ba576d8,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,,,0.2,0.9316742420196532,0.9585990309715272,0.9084928035736084,0.8435006141662598,0.4366513192653656,1.0,1.0,1.0,1.0,0.32625189423561096,0.9927735924720764,0.9982726573944092,0.9943609237670898,0.9776839017868042,0.33878079056739807,65339,1500,1753643595.041234,300,3.1471622649714703e-10,34200,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,,,,
7246421865.14800-05ec98a2-4fab,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1n_2025-07-27_01-12-48,finished,2025-07-27T01:13:17Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t1n/runs/7246421865.14800-05ec98a2-4fab,,29c52e79-636f-45ed-be94-c5d32957eeca,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,,,0.2,0.7775255441665649,0.8929041624069214,0.7527583837509155,0.7092269659042358,0.5166491866111755,0.9945513010025024,0.997094988822937,0.9856127500534058,0.9894907474517822,0.3347170054912567,0.8294660449028015,0.9087584018707277,0.8385490775108337,0.8234266042709351,0.440692663192749,65182,1500,1753643977.2815816,300,3.1471622649714703e-10,34200,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,
7246421411.76608-e74b942d-4137,resenc_tc_time_conditioned_pretrained_t1n_2025-07-27_01-13-31,finished,2025-07-27T01:13:51Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t1n/runs/7246421411.76608-e74b942d-4137,,86a6c3b1-7ab9-4587-a741-985df8b84bd4,t-jiachentu,False,0,Classification,300,False,TimeConditionedResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,,,0.2,0.7436635494232178,0.8673955202102661,0.8049397468566895,0.740234375,0.5375450849533081,1.0,1.0,0.9993742108345032,0.9974038600921632,0.32828661799430847,0.8859603404998779,0.9294859170913696,0.8539422750473022,0.8381410241127014,0.4321146607398987,72765,1500,1753651596.8281844,300,3.1471622649714703e-10,34200,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,256.0,64.0,,,,,,
7246407769.33147-c752ab66-648d,mri_core_frozen_t1n_2025-07-27_05-08-07,finished,2025-07-27T05:08:26Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t1n/runs/7246407769.33147-c752ab66-648d,,eb824572-3f51-401b-a87b-ccf9368fdfba,t-jiachentu,False,0,Classification,300,False,mri_core_frozen,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,linear_probing,True,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,8,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,False,epochwise,mean,,0.5,0.625914990901947,0.6956169605255127,0.5,0.4676007032394409,0.48418110609054565,0.5818960070610046,0.6658092737197876,0.49874842166900635,0.4674486815929413,0.4895211160182953,0.6785950660705566,0.8206665515899658,0.5,0.46748682856559753,0.4753709435462952,123022,1500,1753715930.7815485,300,3.1471622649714703e-10,34200,,,,224.0,mean,,,,
7246407588.45924-9c3ea767-f911,mri_core_pretrained_t1n_2025-07-27_05-09-26,finished,2025-07-27T05:09:45Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t1n/runs/7246407588.45924-9c3ea767-f911,,9cdaddcd-15c8-41d3-bec7-9c783a5a2718,t-jiachentu,False,0,Classification,300,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,1,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,False,epochwise,mean,,0.5,0.8927121758460999,0.9659884572029114,0.9197287559509276,0.8756815195083618,0.4066915512084961,1.0,1.0,1.0,1.0,0.326734334230423,0.9773515462875366,0.9725664854049684,0.9305527210235596,0.9515458345413208,0.34908992052078247,250394,1500,1753843373.0884016,300,3.1471622649714703e-10,272400,,,,224.0,mean,,,,
7246407248.54540-9a2275fd-5ac0,brainiac_pretrained_t1n_2025-07-27_05-09-41,finished,2025-07-27T05:10:00Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t1n/runs/7246407248.54540-9a2275fd-5ac0,,f1008f4d-fc35-48e8-b78b-68466855793e,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.8335633277893066,0.9048486948013306,0.7939568758010864,0.8119975328445435,0.4366717040538788,0.9838576316833496,0.9922494888305664,0.905128002166748,0.9306740760803224,0.3595849871635437,0.934684157371521,0.984555959701538,0.8611054420471191,0.8979797959327698,0.38230425119400024,137894,1500,1753730894.0458207,300,3.1471622649714703e-10,68100,,,,,,,,,
7246407958.56928-22636f58-181b,brainmvp_pretrained_t1n_2025-07-27_05-12-58,finished,2025-07-27T05:13:19Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t1n/runs/7246407958.56928-22636f58-181b,,97daad94-13d9-4fd4-8008-dec322f7ce04,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.5538741946220398,0.6085636615753174,0.5083004236221313,0.5005658864974976,0.5193098187446594,0.8247352242469788,0.9090951085090636,0.6824413537979126,0.7346268892288208,0.4281076490879059,0.593420147895813,0.7180451154708862,0.5874314308166504,0.6064935326576233,0.5902149081230164,52466,1500,1753645663.511237,300,3.1471622649714703e-10,68100,,,,,,,,,
7246407065.68347-58108696-eea7,brainiac_scratch_t1n_2025-07-27_05-18-14,finished,2025-07-27T05:18:34Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t1n/runs/7246407065.68347-58108696-eea7,,a83d0bee-38b0-4cb8-b9ac-fad54ccba0b7,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,False,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.654765248298645,0.7740662097930908,0.64090496301651,0.6238893270492554,0.5244958996772766,0.9402002096176147,0.9683549404144288,0.8231849670410156,0.8730019330978394,0.3913350403308869,0.7457745671272278,0.856025218963623,0.6568787097930908,0.6855311393737793,0.47666695713996887,148979,1500,1753742493.4095745,300,3.1471622649714703e-10,68100,,,,,,,,,
7246393920.75811-ac0a0970-c879,dinov2_frozen_t1n_2025-07-27_08-53-06,finished,2025-07-27T08:53:30Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t1n/runs/7246393920.75811-ac0a0970-c879,,918bdfb4-2b58-49e7-a776-28f1655d45ce,t-jiachentu,False,0,Classification,300,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,True,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,False,epochwise,mean,True,0.5,0.6637678146362305,0.7988662719726562,0.5660998225212097,0.5826380848884583,0.4937961995601654,0.7170225381851196,0.7932335138320923,0.6196793913841248,0.6569019556045532,0.4668487012386322,0.84241783618927,0.8914854526519775,0.6332554221153259,0.6832437515258789,0.46105197072029114,58573,1500,1753664982.6266396,300,3.1471622649714703e-10,34200,,,,,mean,facebook/dinov2-base,,,
