run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_pretrained_path,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dinov2_model_name,config_slice_aggregation,config_chpt_path,config_image_size,config_time_dim,config_learned_sinusoidal_dim,config_dropout_rate,config_freeze_encoder,config_pretrained_encoder_path
7246474873.97700-5c6551e8-e705,brainmvp_pretrained_t2f_2025-07-26_10-35-57,finished,2025-07-26T10:36:21Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t2f/runs/7246474873.97700-5c6551e8-e705,,65bad98f-6702-4956-849d-d848e1701b31,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.6253957748413086,0.7652596235275269,0.6994128823280334,0.533760666847229,0.6425039172172546,0.8729205131530762,0.931095004081726,0.722474217414856,0.7728539705276489,0.4110545814037323,0.6401060819625854,0.7549278736114502,0.7062588930130005,0.6028960347175598,0.7016252279281616,15612.0,500,1753541792.3498166,100,3.854818796385494e-08,22700,,,,,,,,,
7246389487.00252-4e80d2de-d718,dinov2_pretrained_t2f_2025-07-27_15-05-41,finished,2025-07-27T10:06:46Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t2f/runs/7246389487.00252-4e80d2de-d718,,40d128d5-d06e-4d04-8a01-52b031927493,t-jiachentu,False,0,Classification,300,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,,1,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,False,epochwise,mean,True,0.5,0.9670701026916504,0.9878530502319336,0.8494787216186523,0.8952205777168274,0.3774462938308716,0.999466836452484,0.999839186668396,0.995412826538086,0.997383177280426,0.3297235071659088,0.9739933609962464,0.9872993230819702,0.8629851341247559,0.905218243598938,0.3676977455615998,69137.0,1740,1753687623.3688862,300,3.1471622649714703e-10,272400,facebook/dinov2-base,mean,,,,,,,
7246388404.87365-77d3bf9e-8bbf,brainiac_scratch_t2f_2025-07-27_13-59-38,finished,2025-07-27T10:56:55Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t2f/runs/7246388404.87365-77d3bf9e-8bbf,,7cf0e90f-97b2-4c43-a5fb-163058ddfa95,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,False,True,0,gpu,0.2,2,16,val,False,0.2,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.739077091217041,0.8288288116455078,0.7161149978637695,0.6168087720870972,0.6452525854110718,0.9709724187850952,0.983356475830078,0.8953278660774231,0.9220189452171326,0.36393579840660095,0.7627516388893127,0.8451534509658813,0.7758077383041382,0.7191265821456909,0.5502129197120667,50228.0,1832,1753665914.541498,300,3.1471622649714703e-10,68100,,,,,,,,,
7246389123.28535-5822c8ed-2a93,brainmvp_pretrained_t2f_2025-07-30_01-25-45,crashed,2025-07-27T11:23:06Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t2f/runs/7246389123.28535-5822c8ed-2a93,,abc19298-4cac-4564-935c-81fc5795b04f,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,8,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,cls_token,True,0.0,,,,,,0.5055370330810547,0.5014122724533081,0.49394312500953674,0.4830465614795685,0.5276522636413574,0.5067100524902344,0.4975106716156006,0.5,0.46748682856559753,0.4989100694656372,189231.012591897,3519,1753838055.5864084,0,9.523809523809523e-07,114,,,,,,,,,
7246388761.20957-be61efd5-790a,brainiac_pretrained_t2f_2025-07-27_14-33-30,finished,2025-07-27T11:45:14Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t2f/runs/7246388761.20957-be61efd5-790a,,17d4d80e-753e-402c-9907-e5cf422390b4,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.8249390125274658,0.8751897811889648,0.8357121348381042,0.7649739980697632,0.5284741520881653,0.9962899088859558,0.998897671699524,0.9522510766983032,0.9651445150375366,0.34713318943977356,0.8490345478057861,0.9003251791000366,0.7747409343719482,0.7846255302429199,0.4519146680831909,45870.0,1689,1753667250.3868196,300,3.1471622649714703e-10,68100,,,,,,,,,
7246387676.53200-fb604867-1b33,resenc_pretrained_t2f_2025-07-28_02-47-49,finished,2025-07-27T11:45:30Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t2f/runs/7246387676.53200-fb604867-1b33,,17b11b20-d604-4cfd-926f-9500ba848502,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,,,0.2,0.9365763664245604,0.9654316902160645,0.8750379681587219,0.8707191944122314,0.4091600477695465,0.9984366297721864,0.9993857145309448,0.995412826538086,0.997383177280426,0.3284000754356384,0.969918131828308,0.9859784245491028,0.9249136447906494,0.9299134016036988,0.36741146445274353,80727.0,3434,1753707621.6304443,300,3.1471622649714703e-10,34200,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,,
7246388035.91967-b9d9fb62-837f,mri_core_pretrained_t2f_2025-07-27_14-00-07,finished,2025-07-27T11:53:41Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t2f/runs/7246388035.91967-b9d9fb62-837f,,5b46993f-e59f-4cc5-a9c2-13bc87958476,t-jiachentu,False,0,Classification,300,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,1,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,False,epochwise,mean,,0.5,0.9704132080078124,0.9845126271247864,0.8783783912658691,0.9224819540977478,0.3732372224330902,1.0,1.0,1.0,1.0,0.32679513096809387,0.9873992204666138,0.9950213432312012,0.9459459781646729,0.967697262763977,0.3522610664367676,199040.0,1524,1753820902.2866287,300,3.1471622649714703e-10,272400,,mean,,224.0,,,,,
7246387314.43466-e64c0967-31ed,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f_2025-07-30_05-55-19,finished,2025-07-27T12:34:11Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t2f/runs/7246387314.43466-e64c0967-31ed,,ee68180e-6885-4b1e-87ff-4f9336e50285,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,,,0.2,0.8331100940704346,0.8655734062194824,0.8251341581344604,0.8141218423843384,0.4363360106945038,0.999789834022522,0.9999426007270812,0.9816513657569884,0.9894057512283324,0.3331674635410309,0.7618862390518188,0.8269152641296387,0.7675777077674866,0.741735577583313,0.4964123666286469,191118.0,8204,1753888042.190304,300,3.1471622649714703e-10,34200,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,
7246386953.83269-374764f8-cf24,resenc_tc_time_conditioned_pretrained_t2f_2025-07-27_19-07-43,finished,2025-07-27T13:11:24Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t2f/runs/7246386953.83269-374764f8-cf24,,38230d39-da28-46be-b282-76009a24a26c,t-jiachentu,False,0,Classification,300,False,TimeConditionedResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,,,0.2,0.8741616010665894,0.9253972768783568,0.8754428625106812,0.8395410180091858,0.4212621748447418,0.9888601303100586,0.9900563955307008,0.9712255001068116,0.978811502456665,0.338979035615921,0.8500728607177734,0.9368522763252258,0.7942491173744202,0.7842780947685242,0.4422362148761749,47645.0,2047,1753676897.201443,300,3.1471622649714703e-10,34200,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,256.0,64.0,,,
7246221963.34181-1b12ceb5-0607,resenc_time_conditioned_pretrained_t2f_2025-07-29_08-39-58,finished,2025-07-29T08:40:41Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t2f/runs/7246221963.34181-1b12ceb5-0607,,a1566778-c006-42af-9d1a-5075fcf13ac9,t-jiachentu,False,0,Classification,300,False,ResEncTimeConditioned,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,cls_token,,0.5,0.9231114387512208,0.956169605255127,0.867547333240509,0.8472398519515991,0.410767525434494,0.9940756559371948,0.9947755336761476,0.9889483451843262,0.9870190620422364,0.3333307206630707,0.9029215574264526,0.9592562913894652,0.8520625829696655,0.8326087594032288,0.4270202815532684,74187.0,1500,1753852627.209056,300,3.1471622649714703e-10,68100,,,,,256.0,64.0,0.5,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth
