run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_pretrained_path,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dinov2_model_name,config_slice_aggregation,config_image_size,config_chpt_path,config_time_dim,config_dropout_rate,config_freeze_encoder,config_learned_sinusoidal_dim,config_pretrained_encoder_path
7246474899.26597-6a6204f7-a589,brainmvp_pretrained_t2w_2025-07-26_10-28-52,finished,2025-07-26T10:29:40Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t2w/runs/7246474899.26597-6a6204f7-a589,,d44939ac-723a-4613-bd11-9a0f0b84989a,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.5182642936706543,0.5412490963935852,0.5052636861801147,0.46907225251197815,0.6635956764221191,0.7252558469772339,0.8275023102760315,0.6111308932304382,0.6468986868858337,0.4520789682865143,0.5742340087890625,0.6068888902664185,0.5333773493766785,0.5372118949890137,0.5230178833007812,15473,500,1753541253.6707623,100,3.854818796385494e-08,22700,,,,,,,,,
7246389553.92607-25e49bd3-628c,dinov2_pretrained_t2w_2025-07-27_10-11-26,finished,2025-07-27T10:11:44Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t2w/runs/7246389553.92607-25e49bd3-628c,,b11861b6-41a2-4106-8201-0e71a3273766,t-jiachentu,False,0,Classification,300,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,,1,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,False,epochwise,mean,True,0.5,0.9534720182418824,0.9734790921211244,0.935114860534668,0.889494776725769,0.4089355766773224,0.5088703632354736,0.5,0.5,0.1071779727935791,NaN,0.5326766967773438,0.5,0.5,0.10882353037595748,NaN,111517,1500,1753722621.6482463,300,3.1471622649714703e-10,272400,facebook/dinov2-base,mean,,,,,,,
7246388821.89075-58b276c9-16b4,brainiac_pretrained_t2w_2025-07-27_10-19-19,finished,2025-07-27T10:19:40Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t2w/runs/7246388821.89075-58b276c9-16b4,,8b50dd47-2207-4d27-a61d-e2c34b8449cb,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.9277109503746032,0.951108455657959,0.8904241323471069,0.885928750038147,0.4096790552139282,0.9867790341377258,0.9925824403762816,0.9345282316207886,0.9561960697174072,0.35797640681266785,0.9201736450195312,0.922221064567566,0.8708596229553223,0.8936928510665894,0.3988276422023773,138183,1500,1753749761.3987553,300,3.1471622649714703e-10,68100,,,,,,,,,
7246388457.24998-286fec24-d881,brainiac_scratch_t2w_2025-07-27_10-29-29,finished,2025-07-27T10:29:48Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t2w/runs/7246388457.24998-286fec24-d881,,3eda006e-e917-467d-89ba-a31aa1c279e1,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,False,True,0,gpu,0.2,2,16,val,False,0.2,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.6661945581436157,0.7586294412612915,0.6874683499336243,0.6509029865264893,0.576865017414093,0.951689064502716,0.967338800430298,0.8507078886032104,0.8941930532455444,0.3861246407032013,0.7927546501159668,0.857650876045227,0.7165718078613281,0.7539178729057312,0.5106416344642639,137750,1500,1753749937.6249063,300,3.1471622649714703e-10,68100,,,,,,,,,
7246388090.12041-afba74f5-ab68,mri_core_pretrained_t2w_2025-07-27_10-36-42,finished,2025-07-27T10:37:01Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t2w/runs/7246388090.12041-afba74f5-ab68,,30c989b6-1d95-48fb-b9ba-dfb2d12b79f3,t-jiachentu,False,0,Classification,300,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,1,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,False,epochwise,mean,,0.5,0.9720682501792908,0.988257884979248,0.8494787216186523,0.8952205777168274,0.368404358625412,1.0,1.0,1.0,1.0,0.3269927203655243,0.9932732582092284,0.9965962171554564,0.95945942401886,0.9760695099830629,0.3433266878128052,263459,1500,1753876076.1600173,300,3.1471622649714703e-10,272400,,mean,224.0,,,,,,
7246387383.01569-de5bf2ed-1906,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w_2025-07-27_10-46-28,finished,2025-07-27T10:47:02Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t2w/runs/7246387383.01569-de5bf2ed-1906,,b177d103-26f0-4887-9d66-8a7085a478fe,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,,,0.2,0.8651958703994751,0.8966494798660278,0.8540338277816772,0.8382196426391602,0.42605194449424744,0.9961081743240356,0.9976117014884948,0.979773998260498,0.981682062149048,0.3363860547542572,0.8670382499694824,0.906523048877716,0.824679970741272,0.8446279764175415,0.4221893548965454,73380,1500,1753686602.4894023,300,3.1471622649714703e-10,34200,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,
7246221976.89338-c6951db9-28f9,resenc_time_conditioned_pretrained_t2w_2025-07-29_08-39-41,finished,2025-07-29T08:40:27Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t2w/runs/7246221976.89338-c6951db9-28f9,,19f10842-92f1-4931-a0d9-5c4b21121347,t-jiachentu,False,0,Classification,300,False,ResEncTimeConditioned,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,cls_token,,0.5,0.8648325800895691,0.9347099661827089,0.8240712881088257,0.7609073519706726,0.4775547683238983,0.9962671995162964,0.996940016746521,0.9862385392189026,0.9920862913131714,0.332003116607666,0.9293174743652344,0.9535663723945618,0.8441881537437439,0.8402259945869446,0.4123642146587372,73609,1500,1753852034.7725396,300,3.1471622649714703e-10,68100,,,,,256.0,0.5,False,64.0,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth
7246151736.95544-b832b79e-b4a4,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w_2025-07-30_04-11-10,finished,2025-07-30T04:12:23Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t2w/runs/7246151736.95544-b832b79e-b4a4,,c58f4b33-8102-42f4-bcf3-7708b599de20,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,5e-06,1,False,0,True,False,full,False,0.2,,1,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,False,epochwise,,,0.2,0.8460774421691895,0.9101630449295044,0.7789756059646606,0.7695111036300659,0.44442278146743774,0.984288215637207,0.9870193600654602,0.9718512892723083,0.9813846349716188,0.3432019352912903,0.8574618101119995,0.8998171091079712,0.8460679054260254,0.8460679054260254,0.42790141701698303,55340,1000,1753904075.7318275,200,3.8076210902182607e-10,181600,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,
7246149801.37012-a2a051c5-e511,resenc_time_conditioned_pretrained_t2w_2025-07-30_04-48-17,finished,2025-07-30T04:48:52Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t2w/runs/7246149801.37012-a2a051c5-e511,,8783e04d-0603-4aad-898c-d9adb444ff36,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,5e-06,1,False,0,True,False,full,False,0.2,,1,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,False,epochwise,cls_token,,0.5,0.8625460863113403,0.9330904483795166,0.8465431928634644,0.8167486190795898,0.43446898460388184,0.9913156032562256,0.9944827556610109,0.9580898284912108,0.9730771780014038,0.3417415916919708,0.9147332906723022,0.95945942401886,0.8498272895812988,0.858146071434021,0.41276687383651733,64400,1000,1753915325.2356515,200,3.8076210902182607e-10,181600,,,,,256.0,0.5,False,64.0,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth
7246128490.65167-db435a13-d7fb,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w_2025-07-30_10-36-52,finished,2025-07-30T10:37:27Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t2w/runs/7246128490.65167-db435a13-d7fb,,c6658e49-daf0-4765-a66e-260836a42ab7,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,5e-06,1,False,0,True,False,full,False,0.2,,1,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,False,epochwise,,,0.2,0.8438420295715332,0.8996862173080444,0.8244761228561401,0.7408354878425598,0.4995352625846863,0.9938076734542848,0.9964864253997804,0.9718512892723083,0.9813846349716188,0.340801864862442,0.8227872848510742,0.8586669564247131,0.8363137245178223,0.8484401702880859,0.4249573349952698,53318,1000,1753925157.8528848,200,3.8076210902182607e-10,181600,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,
