run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_pretrained_path,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_chpt_path,config_time_dim,config_learned_sinusoidal_dim,config_image_size,config_slice_aggregation,config_dinov2_model_name,config_dropout_rate,config_freeze_encoder,config_pretrained_encoder_path
7246474848.23191-41017f01-a28b,brainmvp_pretrained_t1n_2025-07-26_10-29-27,finished,2025-07-26T10:29:46Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_met_single_t1n/runs/7246474848.23191-41017f01-a28b,,6a41db96-8bf2-4123-820a-4e4a5b8ab900,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.8597574830055237,0.8825843334197998,0.5,0.4651567935943603,0.5096151232719421,0.7721505165100098,0.8308836817741394,0.6664527058601379,0.7112636566162109,0.4495338499546051,0.49238187074661255,0.4366685748100281,0.5,0.4658493995666504,0.5119770765304565,15673,500,1753541459.2271829,100,3.854818796385494e-08,22900,,,,,,,,,
7246421852.76954-2229c475-f158,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1n_2025-07-27_01-06-49,finished,2025-07-27T01:07:53Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_met_single_t1n/runs/7246421852.76954-2229c475-f158,,babb8fb1-a646-4fbb-8631-875fc3ea0c8b,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,True,epochwise,,,0.2,0.7351887226104736,0.7528557777404785,0.6669007539749146,0.6944260001182556,0.47677209973335266,1.0,1.0,0.9993742108345032,0.9975593090057372,0.32870590686798096,0.9046072959899902,0.899170994758606,0.8752169013023376,0.892345666885376,0.3962157368659973,64589,1500,1753643061.0106175,300,3.1471622649714703e-10,34500,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,
7246421399.03362-8786fad4-7548,resenc_tc_time_conditioned_pretrained_t1n_2025-07-27_01-19-30,finished,2025-07-27T01:19:50Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_met_single_t1n/runs/7246421399.03362-8786fad4-7548,,396f3306-8a78-4114-86f9-0c34b1af8251,t-jiachentu,False,0,Classification,300,False,TimeConditionedResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,True,epochwise,,,0.2,0.645632266998291,0.7453184127807617,0.5,0.4651567935943603,0.5480644702911377,1.0,1.0,1.0,1.0,0.32676491141319275,0.9354860782623292,0.9602371454238892,0.9246192574501038,0.9200218915939332,0.3845546245574951,72104,1500,1753651292.2207754,300,3.1471622649714703e-10,34500,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,256.0,64.0,,,,,,
7246421615.09305-9fb1fa82-b88d,resenc_multimodal_mm_mdae_pretrained_pretrained_t1n_2025-07-27_01-20-44,finished,2025-07-27T01:21:14Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_met_single_t1n/runs/7246421615.09305-9fb1fa82-b88d,,7c98fdf8-4ae2-43ae-b652-e014aed4c681,t-jiachentu,False,0,Classification,300,False,ResEncoderMultiModal_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,True,epochwise,,,0.2,0.6076516509056091,0.5341759920120239,0.6156367063522339,0.6505122780799866,0.5077208876609802,0.9999265670776368,0.9999786019325256,0.995726466178894,0.9975414276123048,0.3292759358882904,0.9139491319656372,0.946163535118103,0.8654810190200806,0.8324213027954102,0.43296223878860474,64932,1500,1753644204.7896528,300,3.1471622649714703e-10,34500,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,
7246407919.69185-8a63367a-c02f,brainmvp_pretrained_t1n_2025-07-27_05-06-05,finished,2025-07-27T05:06:24Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_met_single_t1n/runs/7246407919.69185-8a63367a-c02f,,bd134a93-67f7-4ea3-b818-ef2e7bd0f6ac,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.4292978346347809,0.2862827777862549,0.5,0.4651567935943603,0.6051695942878723,0.9853214025497437,0.990415334701538,0.9425671100616456,0.9593105912208556,0.3491780757904053,0.5053730010986328,0.3795546591281891,0.5347021818161011,0.5346128940582275,0.5297068357467651,51851,1500,1753644629.1476882,300,3.1471622649714703e-10,68700,,,,,,,,,
7246407745.26586-20c016ac-1368,mri_core_frozen_t1n_2025-07-27_05-07-27,finished,2025-07-27T05:07:48Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_met_single_t1n/runs/7246407745.26586-20c016ac-1368,,9d3875f4-736d-4edc-8d58-b9714bb7d60d,t-jiachentu,False,0,Classification,300,False,mri_core_frozen,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,linear_probing,True,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,8,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,False,epochwise,mean,,0.5,0.48752057552337646,0.42055243253707886,0.5,0.4651567935943603,0.5156999230384827,0.6008286476135254,0.7054437398910522,0.5085470080375671,0.48323988914489746,0.491534411907196,0.7771982550621033,0.8368035554885864,0.5,0.4658493995666504,0.4753526449203491,114354,1500,1753707225.3658774,300,3.1471622649714703e-10,34500,,,,224.0,mean,,,,
7246407565.41743-cc01e943-5e4a,mri_core_pretrained_t1n_2025-07-27_05-11-21,finished,2025-07-27T05:11:41Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_met_single_t1n/runs/7246407565.41743-cc01e943-5e4a,,17e915fc-2f09-4409-a112-3e634c416bf5,t-jiachentu,False,0,Classification,300,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,1,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,False,epochwise,mean,,0.5,0.6672792434692383,0.6656366586685181,0.5856273174285889,0.6157979965209961,0.5097668766975403,1.0,1.0,1.0,1.0,0.3264024257659912,0.9648560285568236,0.984624981880188,0.8989782333374023,0.90338933467865,0.3722416758537293,259102,1500,1753852197.3916335,300,3.1471622649714703e-10,274800,,,,224.0,mean,,,,
7246407225.78669-070cd1af-0b32,brainiac_pretrained_t1n_2025-07-27_05-16-13,finished,2025-07-27T05:16:33Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_met_single_t1n/runs/7246407225.78669-070cd1af-0b32,,d09f6e04-4d52-4448-b4a7-c7e8592defac,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.7794040441513062,0.910814642906189,0.6475187540054321,0.681469202041626,0.4469871520996094,0.9988009929656982,0.999625563621521,0.9853021502494812,0.9853021502494812,0.3372616171836853,0.9371927976608276,0.9683824777603148,0.9295835494995116,0.8719993233680725,0.40986520051956177,139638,1500,1753733030.5476978,300,3.1471622649714703e-10,68700,,,,,,,,,
7246407038.81896-feb8e253-681f,brainiac_scratch_t1n_2025-07-27_05-19-38,finished,2025-07-27T05:19:58Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_met_single_t1n/runs/7246407038.81896-feb8e253-681f,,6aad241e-e835-4535-b0f7-0e717b771d43,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,False,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.5979999899864197,0.6067415475845337,0.5656366944313049,0.5830112099647522,0.5192891955375671,0.9996155500411988,0.999893069267273,0.9822801947593688,0.9876159429550172,0.3352687358856201,0.9329327344894408,0.9583574533462524,0.8752169013023376,0.892345666885376,0.39193829894065857,137840,1500,1753731436.158927,300,3.1471622649714703e-10,68700,,,,,,,,,
7246393869.24227-353f8ffb-5787,dinov2_frozen_t1n_2025-07-27_08-54-32,finished,2025-07-27T08:54:56Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_met_single_t1n/runs/7246393869.24227-353f8ffb-5787,,4a024708-ee21-4679-9ee8-2fc4c829f0f5,t-jiachentu,False,0,Classification,300,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,True,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_met,True,power,3,False,1,False,epochwise,mean,True,0.5,0.49098846316337585,0.42008426785469055,0.4962546825408935,0.46328672766685486,0.549346387386322,0.8621354699134827,0.908758819103241,0.7726645469665527,0.8131375312805176,0.4354676902294159,0.8252993226051331,0.9177752733230592,0.5878639221191406,0.61962890625,0.46220824122428894,57879,1500,1753664372.7714117,300,3.1471622649714703e-10,34500,,,,,mean,facebook/dinov2-base,,,
