run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_dinov2_model_name,config_log_every_n_steps,config_slice_aggregation,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_pretrained_path,config_image_size,config_chpt_path,config_time_dim,config_dropout_rate,config_freeze_encoder,config_learned_sinusoidal_dim,config_pretrained_encoder_path
7246389481.66018-e262cdb1-10db,dinov2_pretrained_t2w_2025-07-27_10-12-41,finished,2025-07-27T10:13:02Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t2w/runs/7246389481.66018-e262cdb1-10db,,4540be3e-d088-477f-b853-576a2eddd4bb,t-jiachentu,False,0,Classification,300,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,1e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,facebook/dinov2-base,10,mean,False,False,mgmt_methylation,True,power,3,False,1,False,epochwise,mean,True,0.5,0.5234910249710083,0.4955074191093445,0.5,0.33076924085617065,0.7169657349586487,0.5054754018783569,0.5,0.5,0.3210603892803192,NaN,0.5183063745498657,0.5,0.5,0.32163742184638977,NaN,56832,1500,1753668011.7552807,300,3.1471622649714703e-10,138300,,,,,,,,,
7246389121.88255-007e1cb4-75e9,brainmvp_pretrained_t2w_2025-07-27_10-18-25,finished,2025-07-27T10:18:44Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t2w/runs/7246389121.88255-007e1cb4-75e9,,f24a5a2b-f1ab-403d-94ed-355da14c9f0a,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,mgmt_methylation,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.4546489119529724,0.3977272808551788,0.5235201120376587,0.4024124443531037,0.8789549469947815,0.6759858727455139,0.6748404502868652,0.6330180764198303,0.6323184370994568,0.6601002216339111,0.5791014432907104,0.5734723806381226,0.5812220573425293,0.5496894121170044,0.8030337691307068,26258,1500,1753637781.070106,300,3.1471622649714703e-10,34800,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,,,,,,,
7246388751.16076-2ad02569-69e5,brainiac_pretrained_t2w_2025-07-27_10-24-42,finished,2025-07-27T10:25:01Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t2w/runs/7246388751.16076-2ad02569-69e5,,e423e2d9-43a8-4a9e-a22d-69277c6d28b8,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,mgmt_methylation,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.5103083848953247,0.4878435730934143,0.4830867052078247,0.4824851155281067,0.8611690402030945,0.886181116104126,0.8923811912536621,0.8071317672729492,0.807873010635376,0.5334697365760803,0.5636586546897888,0.5277198553085327,0.4903129637241363,0.4751131534576416,1.2265735864639282,71527,1500,1753683427.6470094,300,3.1471622649714703e-10,34800,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,,,,,,
7246388386.91660-447e50a9-a79e,brainiac_scratch_t2w_2025-07-27_10-30-32,finished,2025-07-27T10:30:52Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t2w/runs/7246388386.91660-447e50a9-a79e,,75f6a5c6-15a2-45cb-9498-44b5957a9715,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,False,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,mgmt_methylation,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.5169926881790161,0.5174418687820435,0.5,0.33076924085617065,0.6937241554260254,0.6681923866271973,0.6638634204864502,0.6018518209457397,0.6001428365707397,0.6636327505111694,0.5169243812561035,0.5016393661499023,0.5076005458831787,0.4926093816757202,0.7529321312904358,70685,1500,1753682936.3877065,300,3.1471622649714703e-10,34800,0.2,,,,,,,,
7246388023.15501-c1f42b13-eabc,mri_core_pretrained_t2w_2025-07-27_10-31-07,finished,2025-07-27T10:31:26Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t2w/runs/7246388023.15501-c1f42b13-eabc,,039588b9-c438-440e-b3fe-32cd53ce4e3e,t-jiachentu,False,0,Classification,300,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,1e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,,10,mean,False,False,mgmt_methylation,True,power,3,False,1,False,epochwise,mean,,0.5,0.5914364457130432,0.5739957690238953,0.5,0.33076924085617065,0.6937510371208191,0.4897782802581787,0.4825008511543274,0.49325141310691833,0.39262187480926514,0.6932134032249451,0.5067956447601318,0.4956780970096588,0.49269744753837585,0.3563218414783478,0.6923796534538269,125065,1500,1753737349.2461483,300,3.1471622649714703e-10,138300,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,224.0,,,,,,
7246387312.14297-920619c0-9e1f,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w_2025-07-27_10-46-00,finished,2025-07-27T10:46:31Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t2w/runs/7246387312.14297-920619c0-9e1f,,edffb423-6e34-42c9-9dbe-09ff89ab8266,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,,10,,False,False,mgmt_methylation,True,power,3,False,1,True,epochwise,,,0.2,0.49438920617103577,0.4418604373931885,0.4817653298377991,0.4783477783203125,0.7428165078163147,0.972543716430664,0.971533179283142,0.9040378332138062,0.904226779937744,0.4396631121635437,0.5001189708709717,0.49359166622161865,0.4786885380744934,0.4771634638309479,1.0041320323944092,44654,1500,1753657844.799051,300,3.1471622649714703e-10,17400,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,
7246221811.52546-0152c5f6-34e9,resenc_time_conditioned_pretrained_t2w_2025-07-29_09-01-25,finished,2025-07-29T09:02:08Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t2w/runs/7246221811.52546-0152c5f6-34e9,,802b2440-deee-4297-b577-3717c51ff042,t-jiachentu,False,0,Classification,300,False,ResEncTimeConditioned,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,mgmt_methylation,True,power,3,False,1,True,epochwise,cls_token,,0.5,0.4952996373176574,0.4672304391860962,0.5,0.33076924085617065,0.6944891810417175,0.9345983266830444,0.9396213293075562,0.8820459246635437,0.8823979496955872,0.4718207120895386,0.5477766990661621,0.5305514335632324,0.5205662846565247,0.5177991390228271,0.9109251499176024,39237,1500,1753818965.8232305,300,3.1471622649714703e-10,34800,,,,,256.0,0.5,False,64.0,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth
7246151360.56887-698e1b9d-f829,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w_2025-07-30_04-34-25,finished,2025-07-30T04:35:04Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t2w/runs/7246151360.56887-698e1b9d-f829,,5f5fd19f-4aea-42ce-94b6-c5fc49b65bda,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,5e-06,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,,10,,False,False,mgmt_methylation,True,power,3,False,1,False,epochwise,,,0.2,0.5134804248809814,0.5,0.5121564269065857,0.3958333432674408,0.7118430137634277,0.8537641763687134,0.8550137281417847,0.7643277645111084,0.764662504196167,0.565205454826355,0.5278761982917786,0.4953800439834595,0.5050670504570007,0.5041619539260864,0.8162417411804199,29498,1000,1753879599.6267192,200,3.8076210902182607e-10,92200,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,
7246149414.26717-551e022b-2eb2,resenc_time_conditioned_pretrained_t2w_2025-07-30_04-56-18,finished,2025-07-30T04:56:52Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t2w/runs/7246149414.26717-551e022b-2eb2,,d28b9f8c-0c13-4675-8091-bb549d398069,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,5e-06,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,,10,,False,False,mgmt_methylation,True,power,3,False,1,False,epochwise,cls_token,,0.5,0.5011169910430908,0.4949788749217987,0.5158562660217285,0.5093985199928284,0.693345308303833,0.7278532981872559,0.7503869533538818,0.7008815407752991,0.7011946439743042,0.632064163684845,0.5574092864990234,0.514754056930542,0.4850968718528747,0.4802156984806061,0.7330580949783325,32945,1000,1753884354.0375924,200,3.8076210902182607e-10,92200,,,,,256.0,0.5,False,64.0,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth
7246128252.32704-a6e3e7ed-8ab3,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w_2025-07-30_10-40-48,finished,2025-07-30T10:41:24Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t2w/runs/7246128252.32704-a6e3e7ed-8ab3,,5559bc9d-cf95-4f09-8c8e-aa70418d6ee8,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,5e-06,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,,10,,False,False,mgmt_methylation,True,power,3,False,1,False,epochwise,,,0.2,0.5134804248809814,0.5,0.5121564269065857,0.3958333432674408,0.7118430137634277,0.8537641763687134,0.8550137281417847,0.7643277645111084,0.764662504196167,0.565205454826355,0.5278761982917786,0.4953800439834595,0.5050670504570007,0.5041619539260864,0.8162417411804199,29574,1000,1753901652.9171162,200,3.8076210902182607e-10,92200,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,
