run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_chpt_path,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_time_dim,config_learned_sinusoidal_dim,config_dropout_prob,config_pretrained_path,config_token_aggregation_method,config_use_brainiac_preprocessing,config_image_size,config_slice_aggregation,config_dinov2_model_name,config_dropout_rate,config_freeze_encoder,config_pretrained_encoder_path,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_patch_size
7246421538.67150-fb932656-5a20,resenc_multimodal_mm_mdae_pretrained_pretrained_t1_2025-07-27_01-12-30,finished,2025-07-27T01:12:56Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_t1/runs/7246421538.67150-fb932656-5a20,,bc0d4f0b-4aef-4cd1-a0bf-22f8b5f9b77f,t-jiachentu,False,0,Classification,300,False,ResEncoderMultiModal_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,0.2,0.7769407033920288,0.7767471075057983,0.7316017150878906,0.7159420251846313,0.5649538040161133,0.9960887432098388,0.9976362586021424,0.9736512899398804,0.9793146848678588,0.35078397393226624,0.6824870109558105,0.7583333253860474,0.7173076868057251,0.7173076868057251,0.6160780787467957,32056.0,1500,1753610832.24122,300,3.1471622649714703e-10,11100,,,,,,,,,,,,,,,,,,
7246421985.04766-db63ffa4-cd1a,resenc_pretrained_t1_2025-07-27_01-17-05,finished,2025-07-27T01:18:07Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_t1/runs/7246421985.04766-db63ffa4-cd1a,,643c3100-67f5-4418-8f5d-7eba58eef367,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,0.2,0.6165814399719238,0.6790352463722229,0.5,0.4399999976158142,0.5634489059448242,0.8831301331520081,0.8794146776199341,0.8381534814834595,0.8704870939254761,0.45123639702796936,0.7171327471733093,0.7724359035491943,0.7301281690597534,0.7388407588005066,0.525856077671051,25485.0,1500,1753604573.1508622,300,3.1471622649714703e-10,11100,,,,,,,,,,,,,,,,,,
7246421744.46898-ccbf3516-d0d0,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-07-27_01-18-44,finished,2025-07-27T01:19:45Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_t1/runs/7246421744.46898-ccbf3516-d0d0,,d76750fd-14ba-4c84-87db-d26b1dbf565a,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,0.2,0.7767226696014404,0.7544835805892944,0.6839826703071594,0.7244980335235596,0.5214779376983643,0.994872272014618,0.9949944615364076,0.9919354915618896,0.9948596954345704,0.34663084149360657,0.7324775457382202,0.7836538553237915,0.7294871807098389,0.7169783115386963,0.6070408821105957,25228.0,1500,1753604412.1090877,300,3.1471622649714703e-10,11100,,,,,,,,,,,,,,,,,,
7246421339.79846-4effd7f2-ee2c,resenc_tc_time_conditioned_pretrained_t1_2025-07-27_01-20-36,finished,2025-07-27T01:20:56Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_t1/runs/7246421339.79846-4effd7f2-ee2c,,1d7ffb41-6f5e-412a-9c60-9483cbd6dca1,t-jiachentu,False,0,Classification,300,False,TimeConditionedResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,0.2,0.7480981349945068,0.7322201728820801,0.701298713684082,0.7385671138763428,0.5245431661605835,0.9993193745613098,0.99965238571167,0.9817157983779908,0.9845790863037108,0.3398251235485077,0.750899076461792,0.812820553779602,0.7480769157409668,0.7259750366210938,0.5927692651748657,30733.0,1500,1753609988.7460692,300,3.1471622649714703e-10,11100,256.0,64.0,,,,,,,,,,,,,,,,
7246407816.95528-9e6b80d3-e444,brainmvp_pretrained_t1_2025-07-27_05-06-09,finished,2025-07-27T05:06:29Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_t1/runs/7246407816.95528-9e6b80d3-e444,,9a2acc50-b4b9-4467-87fd-8e536656faa9,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,0.0,0.7669368982315063,0.7544835805892944,0.5,0.4399999976158142,0.6190083622932434,0.838579535484314,0.8677350282669067,0.7343575954437256,0.7623188495635986,0.4869951605796814,0.6600755453109741,0.6698718070983887,0.5,0.4431818127632141,0.6459352374076843,20724.0,1500,1753613513.0675063,300,3.1471622649714703e-10,22200,,,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,cls_token,True,,,,,,,,,,,,
7246407635.08714-d820291a-966c,mri_core_frozen_t1_2025-07-27_05-09-19,finished,2025-07-27T05:09:37Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_t1/runs/7246407635.08714-d820291a-966c,,5f54ea5c-0b19-4bbc-89c8-46e05705785c,t-jiachentu,False,0,Classification,300,False,mri_core_frozen,50,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1e-05,1,False,0,True,False,linear_probing,True,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,False,epochwise,0.5,0.6751962304115295,0.6530612707138062,0.5,0.4399999976158142,0.5751488208770752,0.5439563393592834,0.5321885347366333,0.5301028490066528,0.5030795931816101,0.5955979228019714,0.6140808463096619,0.6660256385803223,0.5,0.4431818127632141,0.5674014687538147,45267.0,1500,1753638244.255632,300,3.1471622649714703e-10,11100,,,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,mean,,224.0,mean,,,,,,,,,,
7246407465.81860-98b8302f-3b8e,mri_core_pretrained_t1_2025-07-27_05-12-14,finished,2025-07-27T05:12:33Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_t1/runs/7246407465.81860-98b8302f-3b8e,,ee440bd5-3844-4df1-a27d-aebdb546550c,t-jiachentu,False,0,Classification,300,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,False,epochwise,0.5,0.8126341700553894,0.8373531103134155,0.7121211886405945,0.739130437374115,0.5055721402168274,1.0,1.0,1.0,1.0,0.3284825086593628,0.8693671226501465,0.91282057762146,0.8115384578704834,0.8115384578704834,0.4657402038574219,82259.0,1500,1753675409.0628636,300,3.1471622649714703e-10,88200,,,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,mean,,224.0,mean,,,,,,,,,,
7246407111.24054-9cbdd675-3f2a,brainiac_pretrained_t1_2025-07-27_05-18-16,finished,2025-07-27T05:18:36Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_t1/runs/7246407111.24054-9cbdd675-3f2a,,56b26fd6-7b3f-48bf-be8d-d5c2c7503657,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,0.0,0.7457671165466309,0.7353123426437378,0.6190476417541504,0.6452488899230957,0.5685334205627441,0.8069100379943848,0.8464961051940918,0.732758641242981,0.7668896317481995,0.5037984251976013,0.7503165006637573,0.8051282167434692,0.6493589878082275,0.6742912530899048,0.6012972593307495,50261.0,1500,1753643776.0831244,300,3.1471622649714703e-10,22200,,,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,cls_token,True,,,,,,,,,,,,
7246406930.13805-51539964-7526,brainiac_scratch_t1_2025-07-27_05-21-09,finished,2025-07-27T05:21:29Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_t1/runs/7246406930.13805-51539964-7526,,ff1dc4e3-49b6-43c2-b64f-edccfb51001e,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,False,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,0.0,0.6797656416893005,0.7365491390228271,0.5346320271492004,0.5185964703559875,0.6368187665939331,0.781767725944519,0.808711051940918,0.7026557326316833,0.7385671138763428,0.5143485069274902,0.7120969295501709,0.8160256147384644,0.6615384817123413,0.6797385811805725,0.8113912343978882,48588.0,1500,1753642277.2252667,300,3.1471622649714703e-10,22200,,,0.2,,cls_token,True,,,,,,,,,,,,
7246393611.87160-bd67cb5b-a42f,dinov2_frozen_t1_2025-07-27_09-03-48,finished,2025-07-27T09:04:08Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_t1/runs/7246393611.87160-bd67cb5b-a42f,,5ab6c885-ffea-4848-b7dc-2cf0875ca92a,t-jiachentu,False,0,Classification,300,False,dinov2,50,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1e-05,1,False,0,True,False,full,True,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,False,epochwise,0.5,0.6824105978012085,0.7452071905136108,0.5,0.4399999976158142,0.5625398755073547,0.6037620306015015,0.6250694990158081,0.5778642892837524,0.5864110589027405,0.6041249632835388,0.6478862762451172,0.7602564096450806,0.5,0.4431818127632141,0.5528872609138489,30671.0,1500,1753637720.3274815,300,3.1471622649714703e-10,11100,,,,,mean,True,,mean,facebook/dinov2-base,,,,,,,,,
