run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_dinov2_model_name,config_log_every_n_steps,config_slice_aggregation,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_pretrained_path,config_chpt_path,config_image_size,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_patch_size,config_freeze_encoder,config_pretrained_encoder_path,config_time_dim,config_dropout_rate,config_learned_sinusoidal_dim
7246593881.82814-4c987673-adc4,dinov2_frozen_multi_t1_t1gd_t2_flair_2025-07-25_01-25-45,finished,2025-07-25T01:26:02Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7246593881.82814-4c987673-adc4,,c7643385-18d7-40d0-92da-df69f73d130a,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.001,4.0,False,0.0,True,False,full,True,0.2,1.0,False,batchgenerators.get_training_transforms,facebook/dinov2-base,10.0,mean,False,False,gtr_status,False,power,3.0,False,1.0,False,epochwise,mean,True,0.5,0.5792714953422546,0.58152174949646,0.5072463750839233,0.306968629360199,2.5925514698028564,0.6669118404388428,0.6617190837860107,0.5964856147766113,0.5954059362411499,0.9909106492996216,0.5682692527770996,0.563707709312439,0.4841485619544983,0.4676979184150696,0.7359747886657715,25108.0,500.0,1753431870.891731,100.0,3.854818796385499e-07,35100.0,,,,,,,,,,,,,,,
7246593025.77369-2e0dfc0c-9cf0,brainiac_scratch_multi_t1_t1gd_t2_flair_2025-07-25_01-46-15,finished,2025-07-25T01:46:42Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7246593025.77369-2e0dfc0c-9cf0,,ca0207d4-aea3-4b92-b74c-663efc08103c,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,gtr_status,False,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,0.5349783897399902,0.5301932096481323,0.5,0.3709677457809448,0.7137072086334229,0.5595426559448242,0.559977114200592,0.5,0.3732142746448517,0.6804479956626892,0.558608889579773,0.51902174949646,0.5,0.3709677457809448,0.7608414888381958,37669.0,500.0,1753445671.852256,100.0,3.854818796385494e-08,35100.0,0.2,,,,,,,,,,,,,,
7246593038.52598-5a0523db-916d,brainiac_pretrained_multi_t1_t1gd_t2_flair_2025-07-25_01-46-19,finished,2025-07-25T01:46:43Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7246593038.52598-5a0523db-916d,,7757960b-0a8b-48f7-865c-11ce7a4e45bb,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,4.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,gtr_status,False,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,0.505206823348999,0.4842995405197144,0.5,0.3709677457809448,0.684490978717804,0.5504764318466187,0.5682492256164551,0.5,0.3732142746448517,0.67970210313797,0.5293383002281189,0.5210597515106201,0.5,0.3709677457809448,5.803799629211426,39769.0,500.0,1753447772.252585,100.0,1.927409398192747e-08,35100.0,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,,,,,,,,,,,,
7246593000.63416-a657eff0-d491,dinov2_frozen_multi_t1_t1gd_t2_flair_2025-07-25_01-46-27,finished,2025-07-25T01:46:44Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7246593000.63416-a657eff0-d491,,c4f8e1da-d8ec-4d60-b193-041fb023ddeb,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.001,4.0,False,0.0,True,False,full,True,0.2,1.0,False,batchgenerators.get_training_transforms,facebook/dinov2-base,10.0,mean,False,False,gtr_status,False,power,3.0,False,1.0,False,epochwise,mean,True,0.5,0.5733384490013123,0.5960144996643066,0.49682971835136414,0.30242806673049927,1.9959144592285156,0.6666222810745239,0.6643472909927368,0.6049262285232544,0.6046766042709351,0.9826576709747314,0.5807620286941528,0.5774456262588501,0.5018116235733032,0.48705434799194336,0.7267980575561523,33211.0,500.0,1753441216.514734,100.0,3.854818796385499e-07,35100.0,,,,,,,,,,,,,,,
7246593013.60582-d23a84e8-9c0f,brainmvp_pretrained_multi_t1_t1gd_t2_flair_2025-07-25_01-46-32,finished,2025-07-25T01:46:52Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7246593013.60582-d23a84e8-9c0f,,ba10c6b7-e700-47d0-b939-271b216fe1b9,t-jiachentu,False,0,Classification,100.0,False,brainmvp,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,gtr_status,False,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,0.5614490509033203,0.550422728061676,0.5,0.290909081697464,0.7016852498054504,0.6389460563659668,0.661500096321106,0.585736870765686,0.5852380990982056,0.6547490954399109,0.5283541679382324,0.5220410823822021,0.4818840622901917,0.4496515691280365,0.7281460762023926,18472.0,500.0,1753426484.1403916,100.0,3.854818796385494e-08,8800.0,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,,,,,,,,,,,,,
7246592966.59487-fc7b6406-ffd8,resenc_multimodal_mm_mdae_pretrained_pretrained_multi_t1_t1gd_t2_flair_2025-07-25_01-47-25,crashed,2025-07-25T01:47:50Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7246592966.59487-fc7b6406-ffd8,,e8f131b4-2b93-442e-90e7-4cde53c2fa8a,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246592987.88784-28cee28f-f561,resenc_pretrained_multi_t1_t1gd_t2_flair_2025-07-25_01-47-23,crashed,2025-07-25T01:47:55Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7246592987.88784-28cee28f-f561,,7474eced-10b4-4255-a10b-7451b703e6b6,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246580526.72523-82d15706-994e,resenc_multimodal_mm_mdae_pretrained_pretrained_multi_t1_t1gd_t2_flair_2025-07-25_05-10-45,finished,2025-07-25T05:11:11Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7246580526.72523-82d15706-994e,,b481c06e-ca63-4864-955c-c126a1be44f4,t-jiachentu,False,0,Classification,100.0,False,ResEncoderMultiModal_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,gtr_status,False,power,3.0,False,1.0,True,epochwise,,,0.2,0.4795610904693603,0.4260265529155731,0.501358687877655,0.4396551847457886,0.7036112546920776,0.6128431558609009,0.6326909065246582,0.5650144815444946,0.558027982711792,0.6651939749717712,0.5254632234573364,0.5277777910232544,0.5172101259231567,0.4904181361198426,0.6991015672683716,9173.0,500.0,1753429444.324344,100.0,3.854818796385494e-08,4400.0,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,,,
7246579753.18766-88c866e8-d453,resenc_pretrained_multi_t1_t1gd_t2_flair_2025-07-26_03-33-27,finished,2025-07-26T03:33:51Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7246579753.18766-88c866e8-d453,,665070ba-d030-449c-a0f2-45e0c4752841,t-jiachentu,False,0,Classification,100.0,False,ResEncoder_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,gtr_status,False,power,3.0,False,1.0,True,epochwise,,,0.2,0.5487236976623535,0.5457427501678467,0.5,0.3709677457809448,0.6827586889266968,0.5391014218330383,0.5440224409103394,0.5,0.3732142746448517,0.6806378364562988,0.4956601858139038,0.46407005190849304,0.5,0.3709677457809448,0.6836742758750916,7005.0,500.0,1753507836.4887283,100.0,3.854818796385494e-08,4400.0,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,,,,,,,,
7246476213.84130-7ddf14b0-b21f,mri_core_frozen_multi_t1_t1gd_t2_flair_2025-07-26_10-06-22,crashed,2025-07-26T10:06:46Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair/runs/7246476213.84130-7ddf14b0-b21f,,d452ef7d-b2c3-421a-a382-85464020b1b2,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
