run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_dinov2_model_name,config_log_every_n_steps,config_slice_aggregation,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_pretrained_path,config_chpt_path,config_image_size,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_patch_size,config_freeze_encoder,config_pretrained_encoder_path,config_time_dim,config_dropout_rate,config_learned_sinusoidal_dim
7246593903.94804-5231d510-34af,dinov2_frozen_multi_t1_t1gd_t2_flair_2025-07-25_01-20-44,finished,2025-07-25T01:21:10Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair/runs/7246593903.94804-5231d510-34af,,7519057d-38ca-40b8-a6ca-9104835080ab,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.001,4.0,False,0.0,True,False,full,True,0.2,1.0,False,batchgenerators.get_training_transforms,facebook/dinov2-base,10.0,mean,False,False,idh1_status,False,power,3.0,False,1.0,False,epochwise,mean,True,0.5,0.6576604247093201,0.7554563283920288,0.7046130895614624,0.7008401155471802,0.5812522172927856,0.6410636901855469,0.7358959913253784,0.6199830770492554,0.623084545135498,0.7885622978210449,0.5730361938476562,0.5922619104385376,0.5,0.4507042169570923,0.7106336355209351,24839.0,500.0,1753431308.4047356,100.0,3.854818796385499e-07,35100.0,,,,,,,,,,,,,,,
7246593127.86860-bc5a8a2c-1a28,brainiac_scratch_multi_t1_t1gd_t2_flair_2025-07-25_01-38-27,finished,2025-07-25T01:38:54Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair/runs/7246593127.86860-bc5a8a2c-1a28,,2e6ff54c-b252-4897-8e3c-3289d03ffc07,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,idh1_status,False,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,0.4968261122703552,0.4578372836112976,0.5,0.4507042169570923,0.7582381367683411,0.6271997094154358,0.7174109220504761,0.5,0.45241808891296387,0.5324706435203552,0.5218128561973572,0.5404266119003296,0.5,0.4507042169570923,0.5571013689041138,37510.0,500.0,1753445045.2841558,100.0,3.854818796385494e-08,35100.0,0.2,,,,,,,,,,,,,,
7246593141.07066-9be189a6-e8a0,brainiac_pretrained_multi_t1_t1gd_t2_flair_2025-07-25_01-39-15,finished,2025-07-25T01:39:48Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair/runs/7246593141.07066-9be189a6-e8a0,,899aa4dd-631c-4e8c-a8f4-e8559337de64,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,4.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,idh1_status,False,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,0.47635650634765625,0.3874008059501648,0.5,0.4507042169570923,0.5652459263801575,0.5308519601821899,0.5631712675094604,0.5,0.45241808891296387,0.5485894083976746,0.5869086384773254,0.5791170597076416,0.5,0.4507042169570923,0.5540083050727844,37778.0,500.0,1753445367.132484,100.0,1.927409398192747e-08,35100.0,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,,,,,,,,,,,,
7246593052.07742-0b20ebdf-f390,resenc_multimodal_mm_mdae_pretrained_pretrained_multi_t1_t1gd_t2_flair_2025-07-25_01-40-22,crashed,2025-07-25T01:40:48Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair/runs/7246593052.07742-0b20ebdf-f390,,17b8c91e-85dc-4ce5-9b9a-65a6f27fff41,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246593114.55132-20a4a840-0f87,brainmvp_pretrained_multi_t1_t1gd_t2_flair_2025-07-25_01-40-37,finished,2025-07-25T01:40:59Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair/runs/7246593114.55132-20a4a840-0f87,,f24dbcfe-8fd9-407f-bf27-d824c833a071,t-jiachentu,False,0,Classification,100.0,False,brainmvp,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,idh1_status,False,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,0.6039501428604126,0.6478174924850464,0.5,0.4507042169570923,0.5666915774345398,0.6446566581726074,0.7421424388885498,0.5,0.45241808891296387,0.5236868858337402,0.6027023792266846,0.6383928060531616,0.5,0.4507042169570923,0.5634999871253967,18544.0,500.0,1753426202.2549248,100.0,3.854818796385494e-08,8800.0,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,,,,,,,,,,,,,
7246593065.12599-17f3ada1-4be7,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_t1_t1gd_t2_flair_2025-07-25_01-45-23,crashed,2025-07-25T01:45:53Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair/runs/7246593065.12599-17f3ada1-4be7,,4767c27f-8992-49d4-b8e5-7198de81ce53,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246593100.78536-b5a095b5-16b1,dinov2_frozen_multi_t1_t1gd_t2_flair_2025-07-25_01-46-13,finished,2025-07-25T01:46:33Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair/runs/7246593100.78536-b5a095b5-16b1,,3d1655f9-256a-43f7-a811-39ce10f2bd53,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.001,4.0,False,0.0,True,False,full,True,0.2,1.0,False,batchgenerators.get_training_transforms,facebook/dinov2-base,10.0,mean,False,False,idh1_status,False,power,3.0,False,1.0,False,epochwise,mean,True,0.5,0.6155753135681152,0.6904761791229248,0.4895833432674408,0.4454976320266723,0.6276947855949402,0.6316802501678467,0.7245619297027588,0.6329282522201538,0.6329282522201538,0.7998285293579102,0.5705404877662659,0.5882936716079712,0.5,0.4507042169570923,0.8171151280403137,33011.0,500.0,1753441004.40668,100.0,3.854818796385499e-07,35100.0,,,,,,,,,,,,,,,
7246593087.70968-5926a7c2-ef0f,resenc_pretrained_multi_t1_t1gd_t2_flair_2025-07-25_01-46-13,crashed,2025-07-25T01:46:44Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair/runs/7246593087.70968-5926a7c2-ef0f,,366ab019-4c24-459c-8f50-58d6f30ad553,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246585298.31079-c4f5592a-85db,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_t1_t1gd_t2_flair_2025-07-25_03-45-50,finished,2025-07-25T03:47:12Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair/runs/7246585298.31079-c4f5592a-85db,,e30f1cc4-e875-4da6-89b1-be00d664277c,t-jiachentu,False,0,Classification,100.0,False,ResEncoder_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,idh1_status,False,power,3.0,False,1.0,True,epochwise,,,0.2,0.4738224744796753,0.4179067611694336,0.5,0.4507042169570923,0.5631788372993469,0.5326297283172607,0.5377897024154663,0.5,0.45241808891296387,0.5517908930778503,0.4612523317337036,0.3722718358039856,0.5,0.4507042169570923,0.5563729405403137,10338.0,500.0,1753425570.5134597,100.0,3.854818796385494e-08,4400.0,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,,,
7246585316.20097-d6449850-f222,resenc_multimodal_mm_mdae_pretrained_pretrained_multi_t1_t1gd_t2_flair_2025-07-25_03-51-21,finished,2025-07-25T03:51:49Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair/runs/7246585316.20097-d6449850-f222,,ae81b566-a7f3-4c96-990a-ababa7e032c1,t-jiachentu,False,0,Classification,100.0,False,ResEncoderMultiModal_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,idh1_status,False,power,3.0,False,1.0,True,epochwise,,,0.2,0.49867814779281616,0.469990074634552,0.5,0.4507042169570923,0.565429151058197,0.6104297637939453,0.6844544410705566,0.49827587604522705,0.4515624940395355,0.5341565608978271,0.48647212982177734,0.4429563283920288,0.5,0.4507042169570923,0.5717338919639587,9756.0,500.0,1753425265.9108946,100.0,3.854818796385494e-08,4400.0,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,,,
