run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_dinov2_model_name,config_log_every_n_steps,config_slice_aggregation,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_pretrained_path,config_image_size,config_time_dim,config_chpt_path,config_learned_sinusoidal_dim,config_dropout_rate,config_freeze_encoder,config_pretrained_encoder_path
7246389267.83795-eb9b8c56-8c08,dinov2_pretrained_flair_2025-07-28_17-02-29,finished,2025-07-27T10:15:22Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_idh1_status_single_flair/runs/7246389267.83795-eb9b8c56-8c08,,9cced5b7-60aa-49df-83e1-9083cc7a5d11,t-jiachentu,False,0,Classification,300,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,facebook/dinov2-base,10,mean,False,False,idh1_status,True,power,3,False,1,False,epochwise,mean,True,0.5,0.4815746545791626,0.4097222089767456,0.5,0.4507042169570923,0.5578848719596863,0.5050565600395203,0.5,0.5,0.14805825054645538,NaN,0.5172052979469299,0.5,0.5,0.15217390656471252,NaN,95035.0,5187,1753750483.1249409,300,3.1471622649714703e-10,105300,,,,,,,,,
7246388901.21143-43f15460-7ead,brainmvp_pretrained_flair_2025-07-27_11-04-05,finished,2025-07-27T11:04:27Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_idh1_status_single_flair/runs/7246388901.21143-43f15460-7ead,,de4295ca-a58f-4316-b32b-d99cec68846e,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,,10,,False,False,idh1_status,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.49814724922180176,0.486855149269104,0.5,0.4507042169570923,0.5782573223114014,0.6616982817649841,0.7488694190979004,0.5258903503417969,0.5097877383232117,0.520866334438324,0.5028437376022339,0.4057539701461792,0.443452388048172,0.4444173872470856,0.6476098299026489,12892.0,1500,1753627159.608824,300,3.1471622649714703e-10,13200,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,,,,,,,
7246388547.73115-fb83ab86-b8d7,brainiac_pretrained_flair_2025-07-27_12-00-41,finished,2025-07-27T11:25:51Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_idh1_status_single_flair/runs/7246388547.73115-fb83ab86-b8d7,,db2f5813-1124-48f0-8fce-d5919817bbd6,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,idh1_status,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.4978140890598297,0.4647817313671112,0.4947916567325592,0.44811320304870605,0.6288439631462097,0.8030011653900146,0.8629168272018433,0.6320237517356873,0.6622001528739929,0.4803591966629028,0.5084332227706909,0.507440447807312,0.4821428656578064,0.4647058844566345,0.8245646953582764,19583.0,1500,1753636961.181896,300,3.1471622649714703e-10,26400,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,,,,,,
7246388179.17581-8b1a7fec-c215,brainiac_scratch_flair_2025-07-28_14-24-21,finished,2025-07-27T11:30:56Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_idh1_status_single_flair/runs/7246388179.17581-8b1a7fec-c215,,76cfd56c-0912-4c82-a041-68d93b4e542b,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,False,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,idh1_status,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.49170154333114624,0.448164701461792,0.5,0.4507042169570923,0.5625733137130737,0.7128072381019592,0.7911249399185181,0.5081967115402222,0.4692540168762207,0.5116281509399414,0.48052236437797546,0.4538690447807312,0.46875,0.4347825944423675,0.7364211678504944,82276.0,5768,1753733990.404251,300,3.1471622649714703e-10,26400,0.2,,,,,,,,
7246387819.76715-fdaf87ad-275e,mri_core_pretrained_flair_2025-07-27_13-59-58,finished,2025-07-27T11:34:27Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_idh1_status_single_flair/runs/7246387819.76715-fdaf87ad-275e,,2f6cdc62-e79b-405e-b3ec-a8847a958717,t-jiachentu,False,0,Classification,300,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,,10,mean,False,False,idh1_status,True,power,3,False,1,False,epochwise,mean,,0.5,0.4897010624408722,0.4345238208770752,0.5,0.4507042169570923,0.5603119730949402,0.5009052157402039,0.49024873971939087,0.5,0.45241808891296387,0.5517471432685852,0.5632098913192749,0.6108630895614624,0.5,0.4507042169570923,0.555170476436615,77872.0,1566,1753698808.8120704,300,3.1471622649714703e-10,105300,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,224.0,,,,,,
7246386737.03558-10c884c8-0f61,resenc_tc_time_conditioned_pretrained_flair_2025-07-27_12-41-09,failed,2025-07-27T12:41:33Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_idh1_status_single_flair/runs/7246386737.03558-10c884c8-0f61,,eff1f1f3-8cfe-419d-94fc-8abcfd8a574a,t-jiachentu,False,0,Classification,300,False,TimeConditionedResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,,10,,False,False,idh1_status,True,power,3,False,1,True,epochwise,,,0.2,,,,,,0.9544193744659424,0.9622385501861572,0.9193329811096193,0.9333333373069764,0.38606053590774536,0.4958323538303375,0.4575892686843872,0.5007440447807312,0.4931930601596832,0.6818035244941711,11707.0,998,1753631657.7008133,199,2.881261029483057e-06,8799,,,,256.0,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,64.0,,,
7246387099.74999-5c90cbb5-235e,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-07-27_20-43-26,finished,2025-07-27T13:17:51Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_idh1_status_single_flair/runs/7246387099.74999-5c90cbb5-235e,,5ba5e4bd-0d70-4ca7-9bb3-413ed521f4e7,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,,10,,False,False,idh1_status,True,power,3,False,1,True,epochwise,,,0.2,0.530388355255127,0.545634925365448,0.5,0.4507042169570923,0.5941357612609863,0.980919599533081,0.9843131303787231,0.9391746520996094,0.9538461565971376,0.3697410225868225,0.5320416688919067,0.5292658805847168,0.4955357015132904,0.4884667694568634,0.6423037648200989,28956.0,2466,1753663613.1933143,300,3.1471622649714703e-10,13200,,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,
7246387458.37103-6b8938bb-41d0,resenc_pretrained_flair_2025-07-27_15-17-25,finished,2025-07-27T13:18:23Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_idh1_status_single_flair/runs/7246387458.37103-6b8938bb-41d0,,bcec4eda-ab33-417e-a23d-e1add96f96dd,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,,10,,False,False,idh1_status,True,power,3,False,1,True,epochwise,,,0.2,0.5231168866157532,0.545634925365448,0.5,0.4507042169570923,0.555343747138977,0.9362146854400636,0.9416619539260864,0.8649802207946777,0.8848012685775757,0.4177408814430237,0.4786239564418793,0.4211309552192688,0.519345223903656,0.5182353258132935,0.6090468168258667,19736.0,1686,1753646537.968762,300,3.1471622649714703e-10,13200,,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,
7246221394.59470-53b97ba9-ebfb,resenc_time_conditioned_pretrained_flair_2025-07-29_08-55-24,finished,2025-07-29T08:56:03Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_idh1_status_single_flair/runs/7246221394.59470-53b97ba9-ebfb,,54b67c79-f94d-4de8-91aa-9fcafb30350f,t-jiachentu,False,0,Classification,300,False,ResEncTimeConditioned,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,idh1_status,True,power,3,False,1,True,epochwise,cls_token,,0.5,0.4959959089756012,0.3801801800727844,0.5,0.4889867901802063,0.5108991861343384,0.6484764218330383,0.663063108921051,0.5379276871681213,0.5085947513580322,0.6035490036010742,0.5060925483703613,0.5175438523292542,0.469298243522644,0.4819819927215576,0.4802322387695313,36734.0,1500,1753816096.170422,300,3.1471622649714703e-10,26700,,,,256.0,,64.0,0.5,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth
7246175857.59717-8d449ffc-8bb0,resenc_time_conditioned_pretrained_flair_2025-07-29_21-27-14,finished,2025-07-29T21:27:39Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_idh1_status_single_flair/runs/7246175857.59717-8d449ffc-8bb0,,25e2ffca-b326-4248-9fbf-b140785df086,t-jiachentu,False,0,Classification,300,False,ResEncTimeConditioned,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,idh1_status,True,power,3,False,1,True,epochwise,cls_token,,0.5,0.4880600869655609,0.34414416551589966,0.5,0.4889867901802063,0.4938901662826538,0.697340726852417,0.7176180481910706,0.6042560935020447,0.6112823486328125,0.5830153822898865,0.5450573563575745,0.9122806787490844,0.95175439119339,0.5515774488449097,0.484803169965744,31510.0,1500,1753855968.7470744,300,3.1471622649714703e-10,26700,,,,256.0,,64.0,0.5,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth
