run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_dinov2_model_name,config_log_every_n_steps,config_slice_aggregation,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_pretrained_path,config_image_size,config_chpt_path,config_time_dim,config_learned_sinusoidal_dim,config_dropout_rate,config_freeze_encoder,config_pretrained_encoder_path
7246389457.65649-18f91514-93a3,dinov2_pretrained_t2_2025-07-27_10-12-35,finished,2025-07-27T10:12:54Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_1year_single_t2/runs/7246389457.65649-18f91514-93a3,,3dcd0be2-c02b-41d5-96d9-5322ff90db92,t-jiachentu,False,0,Classification,300,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,facebook/dinov2-base,10,mean,False,False,survival_1year,True,power,3,False,1,False,epochwise,mean,True,0.5,0.7309123277664185,0.7491155862808228,0.5,0.3117647171020508,0.740979790687561,0.5094631314277649,0.5,0.5,0.3117647171020508,NaN,0.5211724638938904,0.5,0.5,0.3117647171020508,NaN,47629,1500,1753658799.4566123,300,3.1471622649714703e-10,105300,,,,,,,,,
7246389097.62403-827ba174-363e,brainmvp_pretrained_t2_2025-07-27_10-18-25,finished,2025-07-27T10:18:45Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_1year_single_t2/runs/7246389097.62403-827ba174-363e,,ee6e9d71-c8a5-4c06-926b-6e087c4d13da,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,survival_1year,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.6456248760223389,0.6369398832321167,0.5,0.3117647171020508,0.7181665897369385,0.7324569225311279,0.7317708730697632,0.6495676040649414,0.6493093967437744,0.6355359554290771,0.5878347158432007,0.5849056243896484,0.5482016801834106,0.4553695321083069,0.792731523513794,21313,1500,1753632837.6743598,300,3.1471622649714703e-10,26400,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,,,,,,,
7246388726.46764-98c97c03-5964,brainiac_pretrained_t2_2025-07-27_10-24-41,finished,2025-07-27T10:25:01Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_1year_single_t2/runs/7246388726.46764-98c97c03-5964,,88bd1db4-0992-416e-ab85-1adc0d9499bd,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,survival_1year,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.5746468305587769,0.5627948045730591,0.5408313274383545,0.5381579399108887,0.991378664970398,0.8935843706130981,0.8986667990684509,0.817118763923645,0.8164106011390686,0.5262459516525269,0.7217090725898743,0.7172759771347046,0.6879422068595886,0.6884615421295166,0.8206475377082825,57488,1500,1753669389.191843,300,3.1471622649714703e-10,26400,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,,,,,,
7246388360.05507-96998cc4-74ef,brainiac_scratch_t2_2025-07-27_10-30-38,finished,2025-07-27T10:30:58Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_1year_single_t2/runs/7246388360.05507-96998cc4-74ef,,54255378-b41b-4e52-9ec8-78e97e4c91ac,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,False,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,survival_1year,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.6704378128051758,0.6820459365844727,0.5994988083839417,0.5821428298950195,0.6676346659660339,0.7894141674041748,0.7991188764572144,0.7234178781509399,0.7246149778366089,0.604434609413147,0.6645398736000061,0.6873526573181152,0.635613203048706,0.624518632888794,0.7429710626602173,56953,1500,1753669211.6262808,300,3.1471622649714703e-10,26400,0.2,,,,,,,,
7246387999.74677-29b321dc-3a6b,mri_core_pretrained_t2_2025-07-27_10-36-47,finished,2025-07-27T10:37:05Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_1year_single_t2/runs/7246387999.74677-29b321dc-3a6b,,5a9b6cc7-41a1-4821-9de4-99f57c0d4750,t-jiachentu,False,0,Classification,300,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,,10,mean,False,False,survival_1year,True,power,3,False,1,False,epochwise,mean,,0.5,0.6820363402366638,0.7096108198165894,0.6885318756103516,0.6732804179191589,0.7614299058914185,0.99976909160614,0.9997707605361938,0.9864386916160583,0.9856501817703248,0.34914201498031616,0.717173159122467,0.7113797664642334,0.6000884771347046,0.6002674102783203,0.6883077621459961,101963,1500,1753714589.633026,300,3.1471622649714703e-10,105300,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,224.0,,,,,,
7246387288.28728-9e531135-643f,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2_2025-07-27_10-46-20,finished,2025-07-27T10:46:51Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_1year_single_t2/runs/7246387288.28728-9e531135-643f,,e8401c88-1e34-42b4-b3df-4fad3acc3d6e,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,,10,,False,False,survival_1year,True,power,3,False,1,True,epochwise,,,0.2,0.637068510055542,0.6451946496963501,0.6238207817077637,0.6225806474685669,0.8323043584823608,0.986276626586914,0.9856852293014526,0.950324296951294,0.9510520696640016,0.3982298672199249,0.705058217048645,0.7096108198165894,0.669074296951294,0.6697860956192017,0.7874506711959839,38288,1500,1753651498.0075493,300,3.1471622649714703e-10,13200,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,
7246386922.33162-ecb9dca4-0133,resenc_tc_time_conditioned_pretrained_t2_2025-07-27_10-58-33,finished,2025-07-27T10:59:17Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_1year_single_t2/runs/7246386922.33162-ecb9dca4-0133,,37db942c-5f68-43f5-b7f5-3ce6f8b81817,t-jiachentu,False,0,Classification,300,False,TimeConditionedResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,,10,,False,False,survival_1year,True,power,3,False,1,True,epochwise,,,0.2,0.6797517538070679,0.6917747259140015,0.5725235939025879,0.5232105255126953,0.8479599952697754,0.995762825012207,0.9957743883132936,0.9613797664642334,0.959876537322998,0.37140148878097534,0.6796352863311768,0.7026828527450562,0.6518278121948242,0.6524064540863037,0.7810198664665222,31163,1500,1753645115.0589013,300,3.1471622649714703e-10,13200,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,256.0,64.0,,,
7246221300.96852-7482513a-00dd,resenc_time_conditioned_pretrained_t2_2025-07-29_08-58-54,finished,2025-07-29T08:59:32Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_1year_single_t2/runs/7246221300.96852-7482513a-00dd,,4672aaef-7bd6-4589-88fe-a63758705717,t-jiachentu,False,0,Classification,300,False,ResEncTimeConditioned,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,survival_1year,True,power,3,False,1,True,epochwise,cls_token,,0.5,0.590610682964325,0.5978788137435913,0.6060606241226196,0.6065371632575989,0.7028906345367432,0.9830339550971984,0.9835089445114136,0.9396874904632568,0.94038063287735,0.3978913426399231,0.6947987079620361,0.6809701919555664,0.6333955526351929,0.6300551891326904,0.7925028800964355,37094,1500,1753816664.414925,300,3.1471622649714703e-10,26700,,,,,256.0,64.0,0.5,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth
7246150183.04990-dcf79aab-3d95,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2_2025-07-30_04-40-58,finished,2025-07-30T04:41:35Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_1year_single_t2/runs/7246150183.04990-dcf79aab-3d95,,d1fc7ec9-ebba-46f2-8afd-bf25691dcd47,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-06,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,,10,,False,False,survival_1year,True,power,3,False,1,False,epochwise,,,0.2,0.5488650798797607,0.5169696807861328,0.5400000214576721,0.444860577583313,0.7073060870170593,0.9778995513916016,0.97697651386261,0.9116686582565308,0.9120581150054932,0.4283926486968994,0.5804399251937866,0.59017413854599,0.6050994992256165,0.6028091311454773,0.929257869720459,23834,1000,1753874328.778839,200,3.8076210902182607e-10,70800,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,
7246148227.99361-d15fc367-0a3a,resenc_time_conditioned_pretrained_t2_2025-07-30_05-13-41,crashed,2025-07-30T05:14:18Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_1year_single_t2/runs/7246148227.99361-d15fc367-0a3a,,b5bc0254-39e0-4117-b23a-95915c275c76,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-06,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,,10,,False,False,survival_1year,True,power,3,False,1,False,epochwise,cls_token,,0.5,,,,,,0.901919960975647,0.907009482383728,0.8346729278564453,0.835269570350647,0.5159921050071716,0.6692981123924255,0.6763060092926025,0.6200248599052429,0.6187061071395874,0.7084373235702515,18668,675,1753871008.3610425,134,1.4434543456482524e-06,47790,,,,,256.0,64.0,0.5,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth
7246127588.91784-ec8f7ca6-aeef,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2_2025-07-30_10-57-57,finished,2025-07-30T10:58:33Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_1year_single_t2/runs/7246127588.91784-ec8f7ca6-aeef,,244a7959-124a-46ad-ab87-0e6db4a22b91,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-06,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,,10,,False,False,survival_1year,True,power,3,False,1,False,epochwise,,,0.2,0.5815515518188477,0.5795454382896423,0.5327272415161133,0.5309973359107971,0.7793674468994141,0.9494935870170592,0.948605477809906,0.8923116326332092,0.8923116326332092,0.47037824988365173,0.6247589588165283,0.6480099558830261,0.6096081733703613,0.6088435649871826,0.7981864809989929,23664,1000,1753896772.0439436,200,3.8076210902182607e-10,70800,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,
7246126493.42465-3fed0043-209a,resenc_time_conditioned_pretrained_t2_2025-07-30_11-10-27,finished,2025-07-30T11:11:03Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_1year_single_t2/runs/7246126493.42465-3fed0043-209a,,f3afdcfd-670f-48b5-a963-ef7d54419623,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-06,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,,10,,False,False,survival_1year,True,power,3,False,1,False,epochwise,cls_token,,0.5,0.6530314683914185,0.6351515054702759,0.5869696736335754,0.554752767086029,0.7952350378036499,0.943874716758728,0.9443786144256592,0.8796951770782471,0.8806090354919434,0.4654377102851868,0.708109974861145,0.69465172290802,0.6422574520111084,0.6334244012832642,0.7601625919342041,27461,1000,1753901319.5978422,200,3.8076210902182607e-10,70800,,,,,256.0,64.0,0.5,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth
