run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_dinov2_model_name,config_log_every_n_steps,config_slice_aggregation,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_pretrained_path,config_image_size,config_chpt_path,config_time_dim,config_learned_sinusoidal_dim,config_dropout_rate,config_freeze_encoder,config_pretrained_encoder_path
7246390419.22121-fa4e5a77-f3b9,dinov2_pretrained_t1gd_2025-07-27_09-53-17,finished,2025-07-27T09:53:48Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_2year_single_t1gd/runs/7246390419.22121-fa4e5a77-f3b9,,c65db679-892d-49fc-9f09-f219cf84dc77,t-jiachentu,False,0,Classification,300,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,facebook/dinov2-base,10,mean,False,False,survival_2year,True,power,3,False,1,False,epochwise,mean,True,0.5,0.5607079863548279,0.5752688050270081,0.5,0.44285714626312256,0.6097378730773926,0.5126688480377197,0.5,0.5,0.4437400996685028,NaN,0.539508581161499,0.5,0.5,0.44285714626312256,NaN,41289.0,1500,1753651314.519621,300,3.1471622649714703e-10,105300,,,,,,,,,
7246390040.87431-8b149761-5567,brainmvp_pretrained_t1gd_2025-07-27_09-56-35,finished,2025-07-27T09:56:54Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_2year_single_t1gd/runs/7246390040.87431-8b149761-5567,,d7aeb92d-f3e6-405d-8b82-a529a60ba02d,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,survival_2year,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.5010347366333008,0.4912634491920471,0.5,0.44285714626312256,0.5794090628623962,0.5196456909179688,0.5348591208457947,0.5,0.4437400996685028,0.5740576982498169,0.47350338101387024,0.4139784872531891,0.5,0.44285714626312256,0.6087691187858582,24254.0,1500,1753634468.5157511,300,3.1471622649714703e-10,26400,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,,,,,,,
7246389623.82606-8a67acee-1413,brainiac_pretrained_t1gd_2025-07-27_10-03-37,finished,2025-07-27T10:04:00Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_2year_single_t1gd/runs/7246389623.82606-8a67acee-1413,,9440cbb5-6657-4581-bb87-001ca98b644c,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,survival_2year,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.5766146779060364,0.5537633895874023,0.5,0.44285714626312256,0.6623450517654419,0.8676494359970093,0.885814905166626,0.7516348361968994,0.794326663017273,0.47136345505714417,0.6339460611343384,0.6308243870735168,0.6801075339317322,0.6773303747177124,0.6776760220527649,57275.0,1500,1753667914.5918262,300,3.1471622649714703e-10,26400,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,,,,,,
7246389264.13884-7b197ee0-f617,brainiac_scratch_t1gd_2025-07-27_10-16-50,finished,2025-07-27T10:17:13Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_2year_single_t1gd/runs/7246389264.13884-7b197ee0-f617,,496da06e-5ab3-4e25-8860-70b0a44521ba,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,False,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,survival_2year,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.5503712892532349,0.5730286836624146,0.5,0.44285714626312256,0.6421698331832886,0.6853779554367065,0.7249497175216675,0.5070422291755676,0.4583333432674408,0.5459861755371094,0.5324407815933228,0.5497311949729919,0.4294354915618897,0.4196428656578064,0.6699030995368958,49466.0,1500,1753660898.1566153,300,3.1471622649714703e-10,26400,0.2,,,,,,,,
7246388903.22953-b1f81e46-ded8,mri_core_pretrained_t1gd_2025-07-27_10-20-02,finished,2025-07-27T10:20:20Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_2year_single_t1gd/runs/7246388903.22953-b1f81e46-ded8,,f2248e56-2132-4c71-adf4-de022d535aa0,t-jiachentu,False,0,Classification,300,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,,10,mean,False,False,survival_2year,True,power,3,False,1,False,epochwise,mean,,0.5,0.5629066824913025,0.5911738276481628,0.5349462032318115,0.5345040559768677,0.6541246771812439,0.9886992573738098,0.9863178730010986,0.984129786491394,0.9866878986358644,0.3499612510204315,0.5775793790817261,0.5748207569122314,0.5450268983840942,0.5476803779602051,0.632507860660553,83613.0,1500,1753695230.136981,300,3.1471622649714703e-10,105300,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,224.0,,,,,,
7246388547.78423-dccff06d-b0c8,resenc_pretrained_t1gd_2025-07-27_10-26-07,finished,2025-07-27T10:26:36Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_2year_single_t1gd/runs/7246388547.78423-dccff06d-b0c8,,fdfec76c-970c-4780-8516-22cdc8473aef,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,,10,,False,False,survival_2year,True,power,3,False,1,True,epochwise,,,0.2,0.4976103901863098,0.47311824560165405,0.5,0.44285714626312256,0.5780600905418396,0.7588491439819336,0.770523190498352,0.5070422291755676,0.4583333432674408,0.5251865386962891,0.5610868334770203,0.5678763389587402,0.5,0.44285714626312256,0.582016110420227,35391.0,1500,1753647386.7374332,300,3.1471622649714703e-10,13200,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,
7246388188.88207-5fdad593-b64f,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1gd_2025-07-27_10-40-02,finished,2025-07-27T10:40:34Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_2year_single_t1gd/runs/7246388188.88207-5fdad593-b64f,,6e161298-e7ff-4088-a331-1458a9bc3f61,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,,10,,False,False,survival_2year,True,power,3,False,1,True,epochwise,,,0.2,0.5583486557006836,0.5828852653503418,0.5,0.44285714626312256,0.579544186592102,0.9441574811935424,0.9584758281707764,0.832671046257019,0.8710288405418396,0.4150116443634033,0.5390123128890991,0.5250896215438843,0.538306474685669,0.5361620187759399,0.7337625026702881,37133.0,1500,1753649966.4194355,300,3.1471622649714703e-10,13200,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,
7246334517.97176-15f8ccd4-d478,dinov2_pretrained_t1gd_2025-07-28_01-22-30,finished,2025-07-28T01:23:03Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_2year_single_t1gd/runs/7246334517.97176-15f8ccd4-d478,,b842d903-6d52-4be7-a415-9180fb1c809d,t-jiachentu,False,0,Classification,300,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,facebook/dinov2-base,10,mean,False,False,survival_2year,True,power,3,False,1,False,epochwise,mean,True,0.5,0.5216500759124756,0.5439068078994751,0.5,0.44285714626312256,0.5793429613113403,0.5126688480377197,0.5,0.5,0.4437400996685028,NaN,0.539508581161499,0.5,0.5,0.44285714626312256,NaN,41435.0,1500,1753707212.824789,300,3.1471622649714703e-10,105300,,,,,,,,,
7246334144.70758-17a4e17a-bf54,brainmvp_pretrained_t1gd_2025-07-28_01-28-25,finished,2025-07-28T01:29:15Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_2year_single_t1gd/runs/7246334144.70758-17a4e17a-bf54,,d6c30455-bafc-4479-86ef-0d1bec1d4d2e,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,survival_2year,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.5383404493331909,0.5757168531417847,0.5,0.44285714626312256,0.5836660265922546,0.6040111780166626,0.647987961769104,0.5,0.4437400996685028,0.5620351433753967,0.5191175937652588,0.5004480481147766,0.5,0.44285714626312256,0.5848171710968018,23467.0,1500,1753689622.016657,300,3.1471622649714703e-10,26400,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,,,,,,,
7246333033.51570-7666638d-f88c,mri_core_pretrained_t1gd_2025-07-28_01-46-41,finished,2025-07-28T01:47:00Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_2year_single_t1gd/runs/7246333033.51570-7666638d-f88c,,d5c85fe9-66eb-4671-a098-f88301e58feb,t-jiachentu,False,0,Classification,300,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,,10,mean,False,False,survival_2year,True,power,3,False,1,False,epochwise,mean,,0.5,0.5531822443008423,0.5766128897666931,0.4932795464992523,0.4792534112930298,0.6482052206993103,0.9888914823532104,0.9871479272842408,0.970045268535614,0.9775738716125488,0.3501693904399872,0.567636251449585,0.5985662937164307,0.5873656272888184,0.5987104177474976,0.6263374090194702,83903.0,1500,1753751119.160734,300,3.1471622649714703e-10,105300,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,224.0,,,,,,
