run_id,run_name,state,created_at,url,tags,group,user,config_lr,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_pretrained_path,config_stochastic_depth,config_train_transforms,config_gradient_clip_val,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,config_name,config_metrics,config_input_shape,metric__runtime,metric__step,metric__timestamp,metric_lr-AdamW,metric_trainer/global_step,metric_epoch,metric_train_acc_epoch,metric_train_acc_step,metric_train_loss_epoch,metric_train_loss_step,metric_val_acc,metric_val_loss,config_test_mode,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric_lr-SGD
axvjbgtj,brainiac_t1c_20250622_235843,failed,2025-06-22T23:59:03Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_brainiac/runs/axvjbgtj,,70df6001-8569-4269-8229-c6d6695cbb91,t-jiachentu,0.001,False,0,Classification,50,False,BrainIACModel,50,False,1,multiclass,False,auto,False,3,AdamW,16,CosineAnneal,0,2,50,False,True,0,gpu,0.2,2,16,val,False,0.2,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,True,0.0001,1,False,0,True,False,full,False,0.1,/home/t-jiachentu/repos/BrainIAC/src/BrainIAC/checkpoints/brainage_model_latest.pt,False,batchgenerators.get_training_transforms,1,10,False,False,True,False,4,epochwise,cls_token,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ve5fyy9,brainiac_t1c_20250623_001134,crashed,2025-06-23T00:11:46Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_brainiac/runs/5ve5fyy9,,9190041e-da0a-42ed-b3f7-7f7e2ec9c1ae,t-jiachentu,0.001,False,0,Classification,50,False,BrainIACSimple,50,False,1,multiclass,False,auto,False,3,SGD,16,CosineAnneal,0,2,50,False,True,0,gpu,0.2,2,16,val,False,0.2,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,True,0.0001,1,False,0,True,False,full,False,0.1,/home/t-jiachentu/repos/BrainIAC/src/BrainIAC/checkpoints/brainage_model_latest.pt,False,batchgenerators.get_training_transforms,1,10,False,False,True,False,4,epochwise,cls_token,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
wx3v80mq,brainiac_t1c_20250623_001218,failed,2025-06-23T00:12:29Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_brainiac/runs/wx3v80mq,,64666df5-db7d-4840-8e5c-c43fc283522d,t-jiachentu,0.001,False,0,Classification,50,False,BrainIACSimple,50,False,1,multiclass,False,auto,False,3,SGD,16,CosineAnneal,0,2,50,False,True,0,gpu,0.2,2,16,val,False,0.2,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,True,0.0001,1,False,0,True,False,full,False,0.1,/home/t-jiachentu/repos/BrainIAC/src/BrainIAC/checkpoints/brainage_model_latest.pt,False,batchgenerators.get_training_transforms,1,10,False,False,True,False,4,epochwise,cls_token,True,0,BrainIACSimple,"['f1', 'balanced_acc', 'ap', 'auroc']","[128, 128, 128]",399.903003947,0.0,1750637948.0570002,0.0001,0.0,,,,,,,,,,,,,,,,,,,
ikbo76wk,brainiac_t1c_20250623_001218,finished,2025-06-23T00:22:26Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_brainiac/runs/ikbo76wk,,ed3952da-70dd-4926-9162-b5f6680bda94,t-jiachentu,0.001,False,0,Classification,50,False,BrainIACSimple,50,False,1,multiclass,False,auto,False,3,SGD,16,CosineAnneal,0,2,50,False,True,0,gpu,0.2,2,16,val,False,0.2,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,True,0.0001,1,False,0,True,False,full,False,0.1,/home/t-jiachentu/repos/BrainIAC/src/BrainIAC/checkpoints/brainage_model_latest.pt,False,batchgenerators.get_training_transforms,1,10,False,False,True,False,4,epochwise,cls_token,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
crzo2yln,brainiac_t1c_20250623_003012,failed,2025-06-23T00:30:23Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_brainiac/runs/crzo2yln,,6d62cfb7-e448-406b-a33c-ed35a21f3892,t-jiachentu,0.001,False,0,Classification,50,False,BrainIACSimple,50,False,1,multiclass,False,auto,False,3,SGD,16,CosineAnneal,0,2,50,False,True,0,gpu,0.2,2,16,val,False,0.2,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,True,0.0001,1,False,0,True,False,full,False,0.1,/home/t-jiachentu/repos/BrainIAC/src/BrainIAC/checkpoints/brainage_model_latest.pt,False,batchgenerators.get_training_transforms,1,10,False,False,True,False,4,epochwise,cls_token,True,0,BrainIACSimple,"['f1', 'balanced_acc', 'ap', 'auroc']","[128, 128, 128]",78.940725632,0.0,1750638701.0555508,0.0001,0.0,,,,,,,,,,,,,,,,,,,
r1hjxn05,brainiac_t1c_20250623_043802,failed,2025-06-23T04:38:13Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_brainiac/runs/r1hjxn05,,20924fdb-7379-400c-b245-9f9879a4c585,t-jiachentu,0.001,False,0,Classification,50,False,BrainIACSimple,50,False,1,multiclass,False,auto,False,3,SGD,16,CosineAnneal,0,2,50,False,True,0,gpu,0.2,2,16,val,False,0.2,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,True,0.0001,1,False,0,True,False,full,False,0.1,/home/t-jiachentu/repos/BrainIAC/src/BrainIAC/checkpoints/brainage_model_latest.pt,False,batchgenerators.get_training_transforms,1,10,False,False,True,False,4,epochwise,cls_token,True,0,BrainIACSimple,"['f1', 'balanced_acc', 'ap', 'auroc']","[128, 128, 128]",180.441599684,0.0,1750653673.1163092,0.0001,0.0,,,,,,,,,,,,,,,,,,,
ehp9vudl,brainiac_t1c_20250623_044716,finished,2025-06-23T04:47:27Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_brainiac/runs/ehp9vudl,,07a8e674-4c1a-48d3-84b3-dbe62145b7f1,t-jiachentu,0.001,False,0,Classification,50,False,BrainIACSimple,50,False,1,multiclass,False,auto,False,3,SGD,16,CosineAnneal,0,2,50,False,True,0,gpu,0.2,2,16,val,False,0.2,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,0.0001,1,False,0,True,False,full,False,0.1,/home/t-jiachentu/repos/BrainIAC/src/BrainIAC/checkpoints/brainage_model_latest.pt,False,batchgenerators.get_training_transforms,1,10,False,False,True,False,4,epochwise,cls_token,True,0,BrainIACSimple,"['f1', 'balanced_acc', 'ap', 'auroc']","[128, 128, 128]",795.581814864,394.0,1750654841.9287803,9.866357858642197e-08,2449.0,49.0,0.9360613822937012,1.0,0.3034970760345459,0.19884033501148224,0.8888888955116272,0.3431699872016907,,,,,,,,,,,,
qqso54fx,brainiac_t1c_20250623_052635,finished,2025-06-23T05:26:46Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_brainiac/runs/qqso54fx,,58464ae7-6df6-4cb4-b8a8-bcff92162bc8,t-jiachentu,0.001,False,0,Classification,50,False,BrainIACSimple,50,False,1,multiclass,False,auto,False,3,SGD,16,CosineAnneal,0,2,50,False,True,0,gpu,0.2,2,16,val,False,0.2,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,0.0001,1,False,0,True,False,full,False,0.1,/home/t-jiachentu/repos/BrainIAC/src/BrainIAC/checkpoints/brainage_model_latest.pt,False,batchgenerators.get_training_transforms,1,10,False,False,True,False,4,epochwise,cls_token,True,0,BrainIACSimple,"['f1', 'balanced_acc', 'ap', 'auroc']","[128, 128, 128]",774.3725521,394.0,1750657179.6399312,9.866357858642197e-08,2449.0,49.0,0.9104859232902528,1.0,0.3265436291694641,0.19861754775047305,0.9292929172515868,0.3343544006347656,,,,,,,,,,,,
kf84oxjh,brainiac_t1c_,failed,2025-06-23T18:41:36Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_brainiac/runs/kf84oxjh,,ee62f61e-af97-433d-bc97-7f3fb95ecb7c,t-jiachentu,0.001,False,0,Classification,50,False,BrainIACModel,50,False,1,multiclass,False,auto,False,3,SGD,16-mixed,CosineAnneal,0,2,50,False,True,0,gpu,0.2,2,16,val,False,0.2,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,0.0001,1,False,0,True,False,full,False,0.1,,False,batchgenerators.get_training_transforms,1,10,False,False,True,False,8,epochwise,cls_token,True,0,BrainIACModel,"['f1', 'balanced_acc', 'ap', 'auroc']","[128, 128, 128]",57.453413482,2.0,1750704153.644321,0.0001,18.0,0.0,,0.5,,0.9431732296943665,0.7448979616165161,1.0643072128295898,False,,,,,,,,,,,
bw5efuza,brainiac_t1c_,failed,2025-06-23T21:33:17Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_brainiac/runs/bw5efuza,,cfe4125a-f7b1-4cb1-a1ed-63efaea888aa,t-jiachentu,0.001,False,0,Classification,5,False,BrainIACModel,5,False,1,multiclass,False,auto,False,3,SGD,16-mixed,CosineAnneal,0,2,5,False,True,0,gpu,0.2,2,16,val,False,0.2,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,0.0001,1,False,0,True,False,full,False,0.1,,False,batchgenerators.get_training_transforms,1,10,False,False,True,False,2,epochwise,cls_token,True,0,BrainIACModel,"['f1', 'balanced_acc', 'ap', 'auroc']","[128, 128, 128]",6.8368466009999995,1.0,1750714404.0165057,0.0001,2.0,0.0,,,,,0.6000000238418579,0.6765454411506653,True,,,,,,,,,,,
