run_id,run_name,state,created_at,url,tags,group,user,config_lr,config_sam,config_fold,config_name,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_metrics,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_test_mode,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_input_shape,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_pretrained_path,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_token_aggregation_method,config_classification_head_dropout,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_train_acc_epoch,metric_train_acc_step,metric_train_loss_epoch,metric_train_loss_step,metric_trainer/global_step,metric_val_acc,metric_val_loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss
owqd1x9v,2025-06-26_07-27-40,finished,2025-06-26T07:27:46Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_classification_brainmvp/runs/owqd1x9v,,b64e8380-8039-4f5b-bb24-2d253c20d223,t-jiachentu,0.0001,False,0,UnetBrainMVPModel,Classification,5.0,False,UnetBrainMVPModel,5.0,False,1.0,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,True,20.0,4.0,False,5.0,True,True,0.0,gpu,"[96, 96, 96]",0.2,2.0,16.0,val,False,0.2,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,0.0005,1.0,False,0.0,True,False,full,False,0.2,/home/t-jiachentu/repos/BrainMVP/ckpts/epoch80.ckpt,False,batchgenerators.get_training_transforms,1.0,False,False,True,False,1.0,epochwise,cls_token,0.0,76.231323798,29.0,1750922941.2621725,4.0,4.8650259903450626e-05,0.699999988079071,0.5,2.0232930183410645,2.202930212020874,14.0,0.6000000238418579,0.772906482219696,,,,,,,,,,
zn9xwswg,2025-06-26_07-29-55,finished,2025-06-26T07:30:01Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_classification_brainmvp/runs/zn9xwswg,,69a8049a-2bc8-4ec6-b8cd-55b3faeecdf5,t-jiachentu,0.0001,False,0,UnetBrainMVPModel,Classification,5.0,False,UnetBrainMVPModel,5.0,False,1.0,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,True,20.0,4.0,False,5.0,True,True,0.0,gpu,"[96, 96, 96]",0.2,2.0,16.0,val,False,0.2,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,0.0005,1.0,False,0.0,True,False,full,False,0.2,/home/t-jiachentu/repos/BrainMVP/ckpts/epoch80.ckpt,False,batchgenerators.get_training_transforms,1.0,False,False,True,False,1.0,epochwise,cls_token,0.0,93.562932886,29.0,1750923093.6550896,4.0,4.8650259903450626e-05,0.699999988079071,0.5,2.0232930183410645,2.202930212020874,14.0,0.6000000238418579,0.772906482219696,,,,,,,,,,
hh3zlvnn,2025-06-26_07-33-52,finished,2025-06-26T07:33:57Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_classification_brainmvp/runs/hh3zlvnn,,9de6c9e5-a39c-4f89-8362-5835b29862d4,t-jiachentu,0.0001,False,0,UnetBrainMVPModel,Classification,5.0,False,UnetBrainMVPModel,5.0,False,1.0,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,True,20.0,4.0,False,5.0,True,True,0.0,gpu,"[96, 96, 96]",0.2,2.0,16.0,val,False,0.2,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,0.0005,1.0,False,0.0,True,False,full,False,0.2,/home/t-jiachentu/repos/BrainMVP/ckpts/epoch80.ckpt,False,batchgenerators.get_training_transforms,1.0,False,False,True,False,1.0,epochwise,cls_token,0.0,90.252383637,29.0,1750923326.8375823,4.0,4.8650259903450626e-05,0.699999988079071,0.5,2.0232930183410645,2.202930212020874,14.0,0.6000000238418579,0.772906482219696,,,,,,,,,,
i2yz3xti,2025-06-26_07-36-41,finished,2025-06-26T07:36:46Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_classification_brainmvp/runs/i2yz3xti,,972cd8a6-6b22-44ef-8fed-ec25ae5f66fc,t-jiachentu,0.0001,False,0,UnetBrainMVPModel,Classification,5.0,False,UnetBrainMVPModel,5.0,False,1.0,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,True,20.0,8.0,False,5.0,True,True,0.0,gpu,"[96, 96, 96]",0.2,2.0,16.0,val,False,0.2,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,0.0005,1.0,False,0.0,True,False,full,False,0.2,/home/t-jiachentu/repos/BrainMVP/ckpts/epoch80.ckpt,False,batchgenerators.get_training_transforms,1.0,False,False,True,False,1.0,epochwise,cls_token,0.0,75.703558835,24.0,1750923481.5820634,4.0,4.8650259903450626e-05,0.800000011920929,1.0,2.6455540657043457,0.8981605768203735,9.0,0.6000000238418579,5.491642475128174,,,,,,,,,,
v9442gqg,2025-06-26_08-26-23,finished,2025-06-26T08:26:29Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_classification_brainmvp/runs/v9442gqg,,997d2bef-d4e5-470e-ba9f-c79c13072416,t-jiachentu,0.0001,False,0,,Classification,20.0,False,UnetBrainMVPModel,20.0,False,1.0,,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,False,20.0,8.0,False,20.0,True,True,0.0,gpu,,0.2,2.0,16.0,val,False,0.2,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,0.0005,1.0,False,0.0,True,False,full,False,0.2,/home/t-jiachentu/repos/BrainMVP/ckpts/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,1.0,False,False,True,False,1.0,epochwise,cls_token,0.0,,,,,,,,,,,,,,,,,,,,,,
xrf7q4nk,2025-06-26_08-27-51,finished,2025-06-26T08:27:56Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_classification_brainmvp/runs/xrf7q4nk,,dec64d02-7d08-4265-8ceb-2714305f1ccb,t-jiachentu,0.0001,False,0,UnetBrainMVPModel,Classification,20.0,False,UnetBrainMVPModel,20.0,False,1.0,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,False,20.0,8.0,False,20.0,True,True,0.0,gpu,"[96, 96, 96]",0.2,2.0,16.0,val,False,0.2,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,0.0005,1.0,False,0.0,True,False,full,False,0.2,/home/t-jiachentu/repos/BrainMVP/ckpts/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,1.0,False,False,True,False,1.0,epochwise,cls_token,0.0,492.3567521,799.0,1750926968.1389449,19.0,4.071759021513154e-06,0.8054607510566711,1.0,0.5694325566291809,0.3931030035018921,739.0,0.7448979616165161,0.7085720896720886,,,,,,,,,,
ju3qd2yh,2025-06-26_08-33-40,finished,2025-06-26T08:33:46Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_classification_brainmvp/runs/ju3qd2yh,,3a1dcda1-19fc-4ab4-849f-8e91d0e6651a,t-jiachentu,0.0001,False,0,UnetBrainMVPModel,Classification,5.0,False,UnetBrainMVPModel,5.0,False,1.0,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,True,20.0,8.0,False,5.0,True,True,0.0,gpu,"[96, 96, 96]",0.2,2.0,16.0,val,False,0.2,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,0.0005,1.0,False,0.0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/brainmvp/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,1.0,False,False,True,False,1.0,epochwise,cls_token,0.0,90.503038081,24.0,1750926915.6908324,4.0,4.8650259903450626e-05,0.800000011920929,1.0,2.6455540657043457,0.8981605768203735,9.0,0.6000000238418579,5.491642475128174,,,,,,,,,,
n53vm8vr,2025-06-26_08-49-22,finished,2025-06-26T08:49:28Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_classification_brainmvp/runs/n53vm8vr,,a3daf52f-6d64-43ed-80ab-6cac22de14d0,t-jiachentu,0.0001,False,0,UnetBrainMVPModel,Classification,100.0,False,UnetBrainMVPModel,100.0,False,1.0,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,False,20.0,8.0,False,100.0,True,True,0.0,gpu,"[96, 96, 96]",0.2,2.0,16.0,val,False,0.2,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,0.0005,1.0,False,0.0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/brainmvp/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,1.0,False,False,True,False,1.0,epochwise,cls_token,0.0,2027.331889107,3999.0,1750929794.5220563,99.0,1.1231131887499658e-06,0.80887371301651,0.4000000059604645,0.5340750813484192,0.7806982398033142,3699.0,0.7448979616165161,0.6811511516571045,,,,,,,,,,
r0kwr51w,2025-06-26_21-26-18,finished,2025-06-26T21:26:24Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_classification_brainmvp/runs/r0kwr51w,,fddd5606-3efe-4358-80b1-5b49cf997367,t-jiachentu,0.0001,False,0,UnetBrainMVPModel,Classification,100.0,False,UnetBrainMVPModel,100.0,False,1.0,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,False,20.0,8.0,False,100.0,True,True,0.0,gpu,"[96, 96, 96]",0.2,2.0,16.0,val,False,0.2,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,0.0001,1.0,False,0.0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/exp/brainmvp/exp/ucsf_pdgm/checkpoints/a3daf52f-6d64-43ed-80ab-6cac22de14d0/0/last.ckpt,False,batchgenerators.get_training_transforms,1.0,False,False,True,False,1.0,epochwise,cls_token,0.0,3115.490216137,3999.0,1750976298.8445442,99.0,1.0244252618962855e-06,0.8771331310272217,0.800000011920929,0.4688178598880768,0.6550854444503784,3699.0,0.7448979616165161,0.74627286195755,,,,,,,,,,
m80tpaki,2025-06-26_22-55-34,finished,2025-06-26T22:55:40Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_classification_brainmvp/runs/m80tpaki,,2888aea1-bee9-4499-8b38-37b2beff0cbc,t-jiachentu,0.0001,False,0,UnetBrainMVPModel,Classification,200.0,False,UnetBrainMVPModel,200.0,False,1.0,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,False,20.0,8.0,False,200.0,True,True,0.0,gpu,"[96, 96, 96]",0.2,2.0,16.0,val,False,0.2,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,0.0001,1.0,False,0.0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/exp/brainmvp/exp/ucsf_pdgm/checkpoints/fddd5606-3efe-4358-80b1-5b49cf997367/0/last.ckpt,False,batchgenerators.get_training_transforms,1.0,False,False,True,False,1.0,epochwise,cls_token,0.0,6957.820007651,7999.0,1750985497.1020513,199.0,1.0061066921578009e-06,0.9283276200294496,1.0,0.426243394613266,0.35743898153305054,7399.0,0.7448979616165161,0.6706369519233704,,,,,,,,,,
