run_id,run_name,state,created_at,url,tags,group,user,config_lr,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_chpt_path,config_input_dim,config_optimizer,config_precision,config_scheduler,config_test_mode,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_label_smoothing,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_classification_head_dropout,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_learning_rate,config_token_aggregation_method
c7fdabm1,resenc_pretrained_2025-06-24_06-46-44,crashed,2025-06-24T06:46:54Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_resenc_pretrained/runs/c7fdabm1,,8853ec99-8efd-40b5-841a-7e5418628c69,t-jiachentu,0.0001,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,False,20,4,False,300,True,True,0,gpu,0.2,2,12,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,1,False,False,True,False,1,epochwise,0.2,0.48833703994750977,0.46312814950942993,0.5,0.44612476229667664,0.5705545544624329,0.5995564460754395,0.5950684547424316,0.5,0.42690059542655945,0.6205328106880188,1210.859487159,138.0,1750748825.242753,22.0,9.997167791667667e-05,1702.0,,,
dn6enepe,resenc_pretrained_2025-06-24_07-08-01,crashed,2025-06-24T07:08:11Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_resenc_pretrained/runs/dn6enepe,,771ca33b-5bef-4898-a01c-69bae7d188b8,t-jiachentu,0.0001,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,False,20,4,False,300,True,True,0,gpu,0.2,2,12,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,True,False,1,epochwise,0.2,0.48718535900115967,0.46729111671447754,0.5,0.44612476229667664,0.5710787773132324,0.5019558668136597,0.4756163954734802,0.5,0.42690059542655945,0.6172755360603333,534.134116549,54.0,1750749424.865676,8.0,4.761904761904763e-05,666.0,,,
81xlbbl5,resenc_pretrained_2025-06-24_07-34-37,finished,2025-06-24T07:34:47Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_resenc_pretrained/runs/81xlbbl5,,7c41baaa-2d55-4dce-920a-6df90b970a5e,t-jiachentu,0.0001,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,False,20,8,False,200,True,True,0,gpu,0.2,2,12,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,True,False,1,epochwise,0.2,0.5184624195098877,0.5292521715164185,0.5,0.44612476229667664,0.6005467772483826,0.5058769583702087,0.5147945284843445,0.5,0.42690059542655945,0.6190751194953918,403.971591002,28.0,1750750891.274748,4.0,2.3809523809523817e-05,184.0,,,
4ei2kkce,resenc_pretrained_2025-06-24_07-42-46,finished,2025-06-24T07:43:06Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_resenc_pretrained/runs/4ei2kkce,,9178fc4c-8e48-496d-beb8-661aede4749c,t-jiachentu,0.0001,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,False,20,8,False,200,True,True,0,gpu,0.2,2,12,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,True,False,1,epochwise,0.2,0.4753100275993347,0.42714837193489075,0.5,0.44612476229667664,0.570995569229126,0.570796549320221,0.58164381980896,0.5,0.42690059542655945,0.6220424175262451,1656.634066221,142.0,1750752641.9346442,23.0,9.99314767377287e-05,887.0,,,
7249247669.93405-b8a7c52f-dde4,resenc_pretrained_2025-06-24_08-08-33,failed,2025-06-24T08:09:03Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_resenc_pretrained/runs/7249247669.93405-b8a7c52f-dde4,,3ddb0ece-d70a-4038-aa46-ca7500a7ed6e,t-jiachentu,0.0001,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,False,20,6,False,300,True,True,0,gpu,0.2,2,12,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,True,False,1,epochwise,0.2,0.5002670288085938,0.4760258793830872,0.5,0.44612476229667664,0.5694347023963928,0.6105433702468872,0.6728767156600952,0.5,0.42690059542655945,0.6124651432037354,1821.054714707,166.0,1750754362.636943,27.0,9.984586668665645e-05,1371.0,,,
7249242112.38810-a50c1c65-8029,resenc_pretrained_2025-06-24_09-46-32,finished,2025-06-24T09:46:56Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_resenc_pretrained/runs/7249242112.38810-a50c1c65-8029,,cbacf633-25bc-4d3f-9c55-3525eda41de6,t-jiachentu,0.0001,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,False,20,6,False,200,True,True,0,gpu,0.2,2,12,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,True,False,1,epochwise,0.2,0.7090770602226257,0.7918896675109863,0.5,0.44612476229667664,0.5246208906173706,0.6844422817230225,0.7156164646148682,0.5,0.42690059542655945,0.590965211391449,9433.543880245,1199.0,1750767848.7749786,199.0,7.615242180436517e-09,9799.0,,,
u6ixgpqt,resenc_pretrained_2025-06-24_13-11-26,failed,2025-06-24T13:11:41Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_resenc_pretrained/runs/u6ixgpqt,,73564857-c4f8-47e3-ba8a-69c15a1324a8,t-jiachentu,0.0001,False,0,Classification,10,False,resenc,1,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,,False,20,4,False,100,True,True,0,gpu,0.2,2,12,none,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1,False,0,True,False,full,0.2,0,batchgenerators.get_training_transforms,10,False,False,True,False,1,epochwise,0.0,,,,,,,,,,,34.319589121,0.0,1750770734.3353205,,0.0001,0.0,0.2,0.0001,cls_token
avdqnz3c,resenc_pretrained_2025-06-24_13-14-12,failed,2025-06-24T13:14:26Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_resenc_pretrained/runs/avdqnz3c,,2957c12f-76db-412d-b5ed-f39ef5d539e4,t-jiachentu,0.0001,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,False,20,4,False,100,True,True,0,gpu,0.2,2,12,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,True,False,1,epochwise,0.2,,,,,,,,,,,20.88650419,0.0,1750770886.0226092,,4.761904761904762e-06,0.0,,,
rwhvkdo8,resenc_pretrained_2025-06-24_13-18-40,failed,2025-06-24T13:18:55Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_resenc_pretrained/runs/rwhvkdo8,,a852a0bb-af5e-4096-b5b7-96fa7fe60cd2,t-jiachentu,0.0001,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,False,20,4,False,100,True,True,0,gpu,0.2,2,12,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,True,False,1,epochwise,0.2,,,,,,,,,,,12.389440978,0.0,1750771146.513745,,4.761904761904762e-06,0.0,,,
u9rzhsht,resenc_pretrained_2025-06-24_13-21-05,finished,2025-06-24T13:21:18Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_resenc_pretrained/runs/u9rzhsht,,b4e3c255-7a09-4270-b202-22e663bc1772,t-jiachentu,0.0001,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,False,20,4,False,100,True,True,0,gpu,0.2,2,12,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,True,False,1,epochwise,0.2,0.7914859056472778,0.8465284109115601,0.5,0.44612476229667664,0.5065163969993591,0.8707775473594666,0.8816438317298889,0.5,0.42690059542655945,0.5468857288360596,7079.159589441,599.0,1750778356.8042915,99.0,3.854818796385494e-08,7399.0,,,
